,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),exit_reason,action
0,7.645,7.674,8.010006449986383,8.347682577140143,7.365,1,7.436,1319083.25,8.451480000000002,1,0,go_short,7.621000000000028,7.876714285714271,go_short,force_exit,do_nothing
1,0.09728,0.09733,0.0973780403837488,0.0977179639097283,0.09703,0,0.09723,1657447.0,0.0975716000000001,0,0,go_short,0.0972479999999998,0.0973114285714283,go_short,force_exit,do_nothing
2,5.193,5.208,5.222815808229821,5.237304728140803,5.189,0,5.205,25717.0,5.258200000000024,0,0,go_short,5.21220000000005,5.205285714285656,go_short,force_exit,do_nothing
3,2.069,2.072,2.060258943123241,2.1034340173530786,1.744,1,1.75,17192782.7,2.1184799999999933,0,0,go_short,2.027600000000015,2.0551428571428616,go_short,force_exit,do_nothing
4,20.627,20.633,20.759276424067743,20.924264419610083,20.156,1,20.235,64546.1,21.01387999999987,0,0,go_short,20.59159999999998,20.669142857142862,go_short,force_exit,do_nothing
5,2.1621,2.1663,2.17099406574364,2.177790938300794,2.1562,1,2.1573,246632.5,2.1783439999999965,0,0,go_short,2.164640000000001,2.168700000000014,go_short,force_exit,do_nothing
6,404.54,404.67,405.6670711646004,408.5647876478814,399.27,1,399.56,15855.318,407.4344000000014,1,0,go_short,403.5920000000003,404.3099999999977,go_short,force_exit,do_nothing
7,1.0444,1.0483,1.048102212681114,1.0533191562911166,1.044,0,1.0478,26243.4,1.054652000000001,0,0,go_short,1.046639999999996,1.0460714285714314,go_short,force_exit,go_short
8,0.8136,0.8146,0.8151139914216614,0.819385225429663,0.8121,0,0.8133,122302.0,0.8192800000000046,0,0,go_short,0.8141200000000044,0.8139142857142802,go_short,force_exit,go_short
9,1.1252,1.1256,1.1301280908924751,1.1369469536042405,1.1206,1,1.1216,227565.0,1.1391360000000117,0,0,go_short,1.124920000000007,1.126671428571434,go_short,force_exit,do_nothing
10,0.705,0.708,0.7072714294102808,0.7080741961465904,0.704,0,0.708,831752.6,0.708320000000001,0,0,go_short,0.7072000000000018,0.7068571428571443,go_short,force_exit,do_nothing
11,89.601,89.794,90.08543603799524,91.83520665347142,89.304,1,89.697,8571.6,90.02055999999993,0,0,go_short,89.95540000000182,89.93899999999967,go_short,force_exit,do_nothing
12,79.41,79.46,79.59503019843348,79.79861291453219,79.16,1,79.19,17832.544,79.84680000000017,0,0,go_short,79.46199999999928,79.47857142857133,go_short,force_exit,do_nothing
13,3.122,3.133,3.126489114062131,3.138864114589758,3.12,1,3.126,45532.0,3.135880000000007,0,0,go_short,3.1226000000000225,3.1215714285714022,go_short,force_exit,do_nothing
14,57461.5,57496.8,57459.396544404095,57715.03174539518,56920.0,1,56963.0,6285.767,57543.296,1,0,go_short,57306.86000000076,57331.82857142839,go_short,force_exit,do_nothing
15,1.5776,1.5783,1.6166470104462802,1.6431083906493364,1.5398,1,1.5421,703384.4,1.627135999999998,0,0,go_short,1.6041599999999998,1.6178285714285696,go_short,roi,go_short
16,1.7321,1.7357,1.7317479252090462,1.7494715624175772,1.7119,1,1.7126,534244.7,1.7521319999999991,0,0,go_short,1.7278199999999906,1.723271428571426,go_short,roi,go_short
17,5.379,5.412,5.40717652566266,5.4342663526264765,5.371,0,5.398,85771.0,5.42716000000003,0,0,go_short,5.388000000000049,5.396428571428511,go_short,roi,go_short
18,5.366,5.374,5.375663470318935,5.392815244572893,5.357,0,5.372,21924.0,5.38736000000003,0,0,go_short,5.366800000000049,5.37042857142851,go_short,roi,go_short
19,5.313,5.326,5.320555811873947,5.338985327510712,5.309,0,5.317,70982.0,5.344960000000031,0,0,go_short,5.306600000000048,5.307571428571366,go_short,roi,go_short
20,5.299,5.301,5.299405746630023,5.308515488122093,5.289,1,5.292,17449.0,5.308320000000029,0,0,go_short,5.300200000000051,5.301285714285653,go_short,roi,go_short
21,5.193,5.218,5.220145579971323,5.229293193335061,5.191,1,5.198,49052.0,5.2182400000000255,0,0,go_short,5.215200000000051,5.220714285714228,go_short,roi,go_short
22,1.2844,1.2916,1.3008973145396878,1.3085971912359695,1.2615,1,1.2726,141343.2,1.3049239999999986,0,0,go_short,1.2892999999999974,1.2979999999999994,go_short,roi,go_short
23,1.945,1.9491,1.9531665145126649,1.9544839031339027,1.94,0,1.9426,448866.0,1.954944,0,0,go_short,1.94878,1.9548,go_short,roi,go_short
24,1.9754,1.9888,1.9717220250351333,1.967276752272416,1.9691,1,1.985,604931.0,1.964428000000001,0,0,go_short,1.97828,1.976857142857143,go_short,roi,go_short
25,1.9861,1.9987,1.9730576328928875,1.9666949500539264,1.9703,1,1.9977,1561882.0,1.9618120000000008,0,0,go_short,1.9825999999999997,1.9738428571428572,go_short,roi,go_short
26,1.8232,1.8275,1.854289151111183,1.8922552636352696,1.8144,0,1.824,464368.0,1.912320000000001,0,0,go_short,1.827379999999999,1.821828571428572,go_short,roi,go_short
27,2.0459,2.082,2.0838613565468864,2.146526885852112,2.043,0,2.0806,1854741.0,2.156420000000002,0,0,go_short,2.0263599999999995,2.0242571428571443,go_short,roi,go_short
28,2.0359,2.0456,2.060902305015798,2.085839213876916,2.0313,1,2.0332,532743.0,2.056256000000001,0,0,go_short,2.052019999999999,2.0594142857142868,go_short,roi,go_short
29,2.1097,2.1268,2.140134890243624,2.162032506515322,2.0639,1,2.0671,3218393.0,2.171380000000004,1,0,go_short,2.119059999999999,2.1321285714285705,go_short,roi,go_short
30,2.1393,2.1659,2.20133817045715,2.24111165916936,2.1392,0,2.1541,854613.0,2.268756000000006,0,0,go_short,2.1726199999999998,2.1682571428571444,go_short,roi,go_short
31,2.1286,2.1434,2.1159356206118307,2.1338370673461324,2.1205,0,2.1244,797431.0,2.133128000000006,0,0,go_short,2.119959999999998,2.107500000000002,go_short,roi,go_short
32,2.1553,2.184,2.149181148756401,2.14335741772213,2.1525,0,2.1823,516674.0,2.1410720000000047,0,0,go_short,2.156619999999998,2.14904285714286,go_short,roi,go_short
33,2.2231,2.2324,2.2245471296667154,2.218440765804303,2.2193,1,2.2203,452574.0,2.218044000000005,0,0,go_short,2.2251199999999987,2.2249285714285736,go_short,roi,go_short
34,2.1716,2.1811,2.1609567882053704,2.1712004983669155,2.1583,0,2.1699,528121.0,2.171976000000005,0,0,go_short,2.162539999999999,2.157128571428573,go_short,roi,go_short
35,2.0808,2.0826,2.085546167323872,2.1139984550119566,2.0608,0,2.0639,927711.0,2.118480000000004,0,0,go_short,2.0691199999999985,2.0623285714285733,go_short,roi,go_short
36,2.0934,2.0975,2.086107716581142,2.083863944182045,2.0772,1,2.079,332574.0,2.078980000000005,0,0,go_short,2.0867599999999977,2.0896857142857166,go_short,roi,go_short
37,2.0906,2.0945,2.096566227624682,2.100277304339945,2.0619,1,2.0743,766062.0,2.104984000000005,0,0,go_short,2.0908399999999965,2.0933714285714307,go_short,roi,go_short
38,2.0791,2.0957,2.0804856297904406,2.0861254479921523,2.0778,1,2.0792,466852.0,2.090372000000005,1,0,go_short,2.087039999999997,2.083300000000002,go_short,roi,go_short
