,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),exit_reason,action
0,2.951,2.979,2.9487317120582888,3.0138689458689463,2.923,0,2.968,180785.0,3.0057200000000006,0,0,2.9302,2.917714285714286,46.81912597,first_buy,do_nothing,go_long,go_short,go_short,force_exit,go_long
1,0.7115,0.7116,0.6930939692504848,0.7159383624522822,0.4596,1,0.538,32864927.0,0.7256280000001104,0,0,0.6776999999997312,0.6899714285715375,-0.94956873,first_buy,go_short,go_long,go_short,go_short,force_exit,go_long
2,0.8547,0.8558,0.8342855392851383,0.8499151842211848,0.6512,1,0.6779000000000001,3728478.4,0.8542440000000018,0,0,0.8232399999999875,0.8361714285714171,-10.61197813,first_buy,do_nothing,go_long,go_short,go_short,force_exit,go_long
3,1.242,1.247,1.239864494319152,1.2427744154521996,1.218,1,1.228,3329509.9,1.2494400000000006,1,0,1.2393999999999896,1.237428571428588,50.29898665,second_buy,go_long,do_nothing,do_nothing,do_nothing,force_exit,go_short
4,5.13,5.143,5.153799920136505,5.1784566091093165,5.055,1,5.095,1406006.1,5.195039999999848,0,0,5.139200000000022,5.139285714286026,-21.59170573,first_buy,do_nothing,go_short,go_short,go_short,force_exit,go_long
5,4.427,4.427,4.321563114866152,4.446342534992795,3.151,1,3.525,716168.9,4.492479999999817,0,0,4.230199999999839,4.303857142856905,201.28741803,first_buy,do_nothing,do_nothing,go_short,go_short,force_exit,go_long
6,4215.0,4237.0,4277.157951121808,4335.791463872411,4141.0,1,4153.0,88.139,4355.519999999935,0,0,4230.800000000047,4249.714285714186,-12.63082579,first_buy,go_short,go_short,do_nothing,do_nothing,force_exit,go_long
7,3.903,3.99,3.747025772324819,3.6825712250712255,3.803,0,3.97,577713.6,3.706880000000001,0,0,3.7688000000000015,3.7108571428571424,428.86157154,first_buy,do_nothing,go_short,go_short,go_short,roi,go_long
8,2.037,2.045,2.029190167116019,2.027938842379324,2.03,0,2.036,347054.4,2.027959999999997,1,0,2.036799999999988,2.032142857142868,23.90201619,second_buy,go_long,do_nothing,do_nothing,do_nothing,roi,go_short
9,0.5191,0.5192,0.536305931573752,0.5535717085698381,0.5052,0,0.5172,1896390.0,0.5594079999999931,0,0,0.5228599999999975,0.524571428571426,1930.23029718,first_buy,go_short,go_long,go_short,go_short,roi,go_long
10,4.883,5.035,4.924089053044258,4.983418803418803,4.88,0,4.88,238695.7,4.99776,0,0,4.931199999999999,4.92742857142857,38.37891159,second_buy,go_long,do_nothing,do_nothing,do_nothing,roi,go_short
11,5.569,5.732,5.398524822438771,5.239011887935221,5.526,0,5.63,3669001.8,5.211360000000012,1,0,5.486000000000012,5.433142857142872,36.62822634,second_buy,go_long,do_nothing,do_nothing,do_nothing,roi,go_short
12,8392.2,8396.5,8425.89878863649,8484.051256063616,8170.0,1,8183.2,281.001,8520.039999999977,0,0,8358.420000000056,8410.228571428537,123.34377236,first_buy,go_short,go_short,do_nothing,do_nothing,roi,go_long
13,13710.1,13813.0,13981.913646754814,14190.231551203486,13343.5,1,13507.9,314.516,14252.823999999964,0,0,13912.96000000004,13939.442857142816,-21.69068822,first_buy,go_short,go_short,do_nothing,do_nothing,stop_loss,go_long
14,34209.1,34303.1,34350.26607427377,34172.03944871696,33828.0,1,34221.2,32.686,34091.14799999992,0,0,34246.400000000096,34320.228571428524,-22.25361925,first_buy,go_short,go_short,do_nothing,do_nothing,stop_loss,go_long
15,23803.5,23803.5,24508.82027569156,25558.324263931445,21675.6,1,21980.2,122.782,25962.716000000004,0,0,23725.41999999999,24102.242857142843,-13.87953171,first_buy,go_short,go_short,do_nothing,do_nothing,stop_loss,go_long
16,36175.9,36330.0,35022.93407693917,33596.76965811966,35548.0,0,36034.9,59.669,33555.308,0,0,36108.280000000006,35753.857142857145,-14.15512864,first_buy,go_short,go_short,do_nothing,do_nothing,stop_loss,go_long
17,42.665,43.089,43.35658900245054,44.64004944281817,38.146,1,39.804,59224.4,44.84867999999995,0,0,42.56220000000011,43.101571428571255,-23.68734409,first_buy,do_nothing,do_nothing,go_short,go_short,stop_loss,go_long
18,23599.0,23847.0,24809.188771311,25977.50533258576,17375.0,1,18470.0,488.448,26395.079999999936,0,0,23967.60000000005,24646.285714285616,-23.11803277,first_buy,go_short,go_short,do_nothing,do_nothing,stop_loss,go_long
19,11682.0,11689.0,11749.611833023528,12096.360156278432,11183.0,0,11371.0,137.202,12117.959999999935,0,0,11614.400000000049,11634.9999999999,-21.88991887,first_buy,go_short,go_short,do_nothing,do_nothing,stop_loss,go_long
20,1.071,1.071,1.083638809513097,1.1140559280724107,1.033,1,1.037,1729519.0,1.126480000000116,1,0,1.068399999999746,1.0667142857143923,-28.83155023,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
21,1.774,1.849,1.80925519021798,1.8352127005976464,1.699,1,1.722,7512512.0,1.8203600000001157,0,0,1.790199999999747,1.8051428571429704,-23.33541911,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
22,2.824,2.877,2.9583817658686185,3.0738610799331765,2.789,0,2.859,1268086.0,3.099640000000109,0,0,2.8981999999997328,2.9098571428572506,-24.65689107,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
23,5.019,5.199,5.953738245133976,6.341213545949613,4.242,1,4.626,6326477.0,6.477840000000079,0,0,5.617799999999786,5.849857142857282,-25.12151275,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
24,14.811,15.606,16.002049616270757,17.59187833454856,5.829,1,7.281,6198546.0,18.32952000000001,0,0,14.863799999999747,15.490571428571544,-32.51645545,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
25,12.9033,12.9601,14.308069686105116,15.066760397809244,8.2916,1,11.4146,4186398.0,15.422268000000022,0,0,13.707899999999796,14.102142857142947,-24.99926036,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
