,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,exit_reason,action,regbot_long_-1 (entry),regbot_short_1 (entry),long_signal,short_signal
14,PYTH/USDT:USDT,2024-02-27 03:00:00+00:00,0.6032000000000001,0.7503000000000001,0.61399533012221,0.598819092892906,0.6032000000000001,0,0.7345,48482063.0,0.594448,0,0,0.62292,0.613471428571428,0.0523025,second_buy,force_exit,,1,1,0.0,0.0
15,ANKR/USDT:USDT,2024-02-15 09:15:00+00:00,0.02723,0.02757,0.0270127720284146,0.0269000102833915,0.02721,0,0.0274,5426150.0,0.0268931999999998,1,0,0.0271479999999975,0.0270542857142839,-51.23944169,second_buy,force_exit,do_nothing,1,1,0.0,0.0
16,BAKE/USDT:USDT,2024-02-20 15:30:00+00:00,0.3966,0.3972,0.4019606074507453,0.4052698422157278,0.3727,1,0.3817,1984103.2,0.4065279999999996,0,0,0.3970000000000244,0.4016571428571425,21.19642467,first_buy,force_exit,,-1,-1,0.0,0.0
17,ALT/USDT:USDT,2024-02-20 20:00:00+00:00,0.5018,0.5156000000000001,0.4974811538126114,0.4899622791104892,0.5015000000000001,0,0.5132,2276156.0,0.4886160000000003,0,0,0.5034400000000012,0.5021714285714268,-8.38299073,second_buy,force_exit,do_nothing,1,1,0.0,0.0
18,HIFI/USDT:USDT,2024-02-11 14:30:00+00:00,0.6761,0.6906,0.6247064000995052,0.6073951115161843,0.6434000000000001,0,0.6547000000000001,2567583.0,0.5995560000000002,1,0,0.6451999999999909,0.6328857142857149,-0.96696967,second_buy,force_exit,do_nothing,1,1,0.0,1.0
19,GAS/USDT:USDT,2024-02-20 15:30:00+00:00,6.363,6.375,6.409567438586355,6.458760957631597,5.944,1,6.079,219105.0,6.483760000000029,0,0,6.341199999999938,6.395714285714271,11.9647332,first_buy,force_exit,,-1,-1,0.0,0.0
20,CYBER/USDT:USDT,2024-02-21 10:00:00+00:00,8.482,8.509,8.574871520106404,8.675200812194577,8.372,1,8.424,30074.7,8.692919999999996,0,0,8.523000000000026,8.55800000000002,10.30952458,first_buy,force_exit,,-1,-1,0.0,0.0
21,CVC/USDT:USDT,2024-01-03 12:15:00+00:00,0.10626,0.10643,0.1064769683496982,0.1077085653653137,0.0842,1,0.09767,3997054.0,0.1082755999999994,0,0,0.1052200000000023,0.1062285714285716,44.37281928,first_buy,force_exit,,-1,-1,0.0,0.0
22,DYDX/USDT:USDT,2024-02-26 09:30:00+00:00,3.395,3.399,3.3937912372259302,3.410345691480522,3.327,1,3.335,593039.2,3.4209199999999464,1,0,3.387200000000014,3.385857142857165,6.0629757,first_buy,force_exit,,-1,-1,0.0,0.0
23,EDU/USDT:USDT,2024-02-23 16:15:00+00:00,0.8181,0.8226,0.8256255783033308,0.8283908117834867,0.8017000000000001,1,0.8025,488364.9,0.8289199999999987,0,0,0.821419999999993,0.8261714285714172,3.58343587,first_buy,force_exit,,-1,-1,0.0,0.0
