,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry)
0,4.535,4.552,4.521028142498466,4.501458578376441,4.529,0,4.552,2356.0,4.496720000000096,0,0,go_short,4.53400000000037,4.5265714285716685,go_short,go_short,go_short,0.10882486,second_buy,force_exit,go_short,go_short
1,149.96,153.09,147.5194178378327,144.45175244555895,149.9,1,152.35,277481.0,143.2615999999981,0,0,go_short,150.19999999999737,149.75857142857097,go_short,go_short,go_short,0.31538768,second_buy,force_exit,go_short,go_short
2,65300.2,65831.2,65114.27460366053,64763.417727036816,65260.3,1,65533.1,6531638.0,64724.24799999981,1,0,go_short,65376.78000000018,65333.12857142922,go_short,go_short,go_short,0.47023174,second_buy,force_exit,go_short,go_short
3,356.31,358.03,353.2493959890183,351.42895608555307,354.71,1,355.36,50626.0,351.1740000000022,0,0,go_short,354.8919999999979,354.0571428571607,go_short,go_short,go_short,0.37446735,second_buy,force_exit,go_short,go_short
4,1.99,1.99,1.9502145348971167,1.93610205672151,1.984,0,1.99,1285.0,1.929720000000201,1,0,go_short,1.9755999999999705,1.9574285714286284,go_short,go_short,go_short,-0.48557222,second_buy,force_exit,go_short,go_short
5,7.128,7.461,7.171507878176087,7.105087599033744,7.128,0,7.375,576322.0,7.136039999999922,0,0,go_short,7.176399999999729,7.190714285714264,go_short,go_short,go_short,-0.12404474,second_buy,force_exit,go_short,go_short
6,587.1,588.35,585.8979053890411,584.9337062461522,586.65,0,588.35,102331.0,584.8980000000017,0,0,go_short,586.8700000000076,586.2357142857101,go_short,go_short,go_short,0.41598632,second_buy,force_exit,go_short,go_short
7,0.13903,0.13959,0.1373287293631018,0.1363007892694205,0.13877,0,0.13921,22551.0,0.1360391999999929,0,0,go_short,0.1381039999999932,0.1376228571428575,go_short,go_short,go_short,0.58707149,second_buy,force_exit,go_short,go_short
8,0.281,0.2813,0.2777864073351077,0.2757874246111179,0.2803,0,0.2807,214559.0,0.2753120000000006,0,0,go_short,0.2794400000000407,0.2790142857142981,go_short,go_short,go_short,1.07821754,second_buy,force_exit,go_short,go_short
9,0.378,0.3798,0.3750603092304119,0.3727958301817182,0.3779,0,0.3796,3651.0,0.3725080000000229,0,0,go_short,0.3773999999999871,0.3761571428571374,go_short,go_short,go_short,0.28119589,second_buy,force_exit,go_short,go_short
10,8.49,9.187,8.380424353483768,8.240639370347035,8.488,0,8.942,3141022.0,8.203119999999982,0,0,go_short,8.493599999999988,8.436857142857143,go_short,go_short,go_short,-3.5354,second_buy,stop_loss,go_short,go_short
11,14.037,14.74,16.55592040870801,18.008630444162698,9.804,1,11.829,58616.0,18.464560000000063,0,0,go_short,15.39939999999981,15.914000000000096,go_short,go_short,go_short,-4.550545,second_buy,stop_loss,go_short,go_short
12,5.325,5.412,5.225213974510207,5.177522941733864,5.313,0,5.378,998706.0,5.167039999999989,0,0,go_short,5.259599999999887,5.240571428571478,go_short,go_short,go_short,-3.19769897,second_buy,stop_loss,go_short,go_short
13,0.1161,0.1161,0.1150962974716983,0.1186087810591444,0.0899,1,0.096,166385.0,0.1201919999999931,0,0,go_short,0.1125399999999941,0.114271428571432,go_short,go_short,go_short,-3.39753687,second_buy,stop_loss,go_short,go_short
14,458.6,467.2,482.3069226695533,504.9115037878507,340.95,1,359.05,1013555.0,512.1759999999992,0,0,go_short,466.2499999999979,479.55000000001695,go_short,go_short,go_short,-2.834153,second_buy,stop_loss,go_short,go_short
15,45491.4,45895.3,45412.81715613955,45337.93689745663,45469.8,0,45760.1,9986460.0,45347.92799999982,0,0,go_short,45470.96000000032,45418.50000000061,go_short,go_short,go_short,-1.77652558,second_buy,stop_loss,go_short,go_short
16,0.27281,0.27347,0.2740865402586543,0.2833946028410328,0.21599,1,0.23321,851328.0,0.285342000000022,0,0,go_short,0.2675719999999925,0.2720185714285699,go_short,go_short,go_short,-2.75518738,second_buy,stop_loss,go_short,go_short
17,13.1191,13.1191,12.804570486612633,13.206725846463094,9.7299,1,10.3376,91046.0,13.353552000000144,0,0,go_short,12.554459999998368,12.745128571428252,go_short,go_short,go_short,-4.02390349,second_buy,stop_loss,go_short,go_short
18,0.1047,0.1047,0.1037203522089914,0.1070704805667028,0.0809,1,0.0863,5286799.0,0.1082319999999996,0,0,go_short,0.1016800000000405,0.1030714285714408,go_short,go_short,go_short,-3.45316668,second_buy,stop_loss,go_short,go_short
19,338.9,361.9,328.7613646700967,321.87153770149257,337.05,0,360.95,1068746.0,318.7739999999982,0,0,go_short,335.3700000000034,329.90000000001777,go_short,go_short,go_short,-1.41553497,second_buy,stop_loss,go_short,go_short
20,108.1,108.1,106.47818335478767,108.32504361705556,89.5,1,92.95,1486626.0,109.16799999999816,0,0,go_short,105.20000000000137,106.17857142858932,go_short,go_short,go_short,-3.30236009,second_buy,stop_loss,go_short,go_short
21,361.35,364.9,356.0050524807073,351.75885869763977,359.4,0,360.15,133445.0,351.8279999999992,1,0,go_short,358.1500000000018,357.23571428573183,go_short,go_short,go_short,2.2066088,second_buy,trailing_stop_loss,go_short,go_short
22,698.0,727.75,823.4908067081833,886.849864060275,466.7,1,610.75,857416.0,907.2880000000008,0,0,go_short,771.799999999999,796.6785714285764,go_short,go_short,go_short,-1.8616736,second_buy,trailing_stop_loss,go_short,go_short
23,1148.05,1168.55,1184.9277356156515,1213.086420033752,1142.5,0,1144.8,24555.0,1227.3040000000017,0,0,go_short,1168.9399999999991,1166.778571428573,go_short,go_short,go_short,5.0844082,second_buy,trailing_stop_loss,go_short,go_short
24,924.0,930.0,906.8124191094802,894.8554616943458,920.4,1,926.15,18859.0,889.3859999999996,0,0,go_short,919.3799999999974,914.1285714285724,go_short,go_short,go_short,-2.6478507,second_buy,trailing_stop_loss,go_short,go_short
