,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry),grads-ratio (entry)
0,XMR/USDT:USDT,2024-06-03 15:30:00+00:00,153.62,153.67,155.005469417755,155.50479104181915,152.79,1,153.14,1162.03,156.2768000000001,0,0,go_short,154.07600000000133,154.5457142857133,go_short,go_short,go_short,33.15718792,first_buy,force_exit,go_short,go_short,-0.8002554278416398
1,FOXY/USDT:USDT,2024-06-06 19:15:00+00:00,0.02977,0.030285,0.0277539735300723,0.0269431216135581,0.0294,0,0.0299949999999999,94948460.0,0.0266566799999999,0,0,go_short,0.0287339999999999,0.0279504285714285,go_short,go_long,go_short,43.58117599,second_buy,force_exit,go_short,go_short,1.2604735883424516
2,BAND/USDT:USDT,2024-06-07 18:15:00+00:00,1.709,1.712,1.7080957350108004,1.737997103866911,1.479,1,1.487,642686.1,1.7522799999999978,1,0,go_short,1.6812000000000205,1.702142857142863,go_short,go_short,go_short,-3.975862,first_buy,force_exit,do_nothing,go_short,-0.0555555555555493
3,GAS/USDT:USDT,2024-06-07 18:15:00+00:00,4.896,4.901,4.848310415056703,4.937475286416517,4.079,1,4.121,538496.0,4.979119999999995,0,0,go_short,4.780999999999992,4.84242857142859,go_short,go_short,go_short,10.7921772,first_buy,force_exit,go_short,go_short,-1.0399999999999547
4,BAL/USDT:USDT,2024-06-03 21:15:00+00:00,3.987,3.987,3.996126189615584,4.009078719519722,3.963,1,3.968,5868.88,4.006520000000003,0,0,go_short,3.989399999999982,3.993285714285717,go_short,go_short,go_short,-20.87891045,first_buy,force_exit,do_nothing,go_short,-0.4727272727272504
5,BAKE/USDT:USDT,2024-05-23 00:15:00+00:00,0.3284,0.3417,0.3255053836046508,0.3200886340884026,0.3242,0,0.3361,2649658.9,0.3177959999999998,0,0,go_short,0.3311599999999986,0.3282285714285702,go_short,go_short,go_short,17.15635056,second_buy,force_exit,go_short,go_short,2.945533769063206
6,GMX/USDT:USDT,2024-05-30 16:30:00+00:00,35.95,38.05,35.27499995178517,35.067050541016684,35.645,0,36.38,61315.73,35.13640000000002,0,0,go_short,35.320000000000185,35.18857142857146,go_short,go_short,go_short,-5.76109374,second_buy,force_exit,do_nothing,go_short,0.8066378066378059
7,GNO/USDT:USDT,2024-05-14 18:45:00+00:00,271.25,271.64,270.7895819900512,273.02,269.69,0,270.27,70.195,272.6756,0,0,go_short,270.25999999999993,270.1471428571429,go_short,go_short,go_short,65.29400317,first_buy,force_exit,go_short,go_short,-0.6466826538768946
8,GODS/USDT:USDT,2024-06-03 14:45:00+00:00,0.2461,0.2461,0.2471274173529787,0.2473214692668688,0.2422,1,0.2435,62612.0,0.2475760000000003,0,0,go_short,0.2471400000000033,0.2475999999999991,go_short,go_short,go_short,-27.67041363,first_buy,force_exit,do_nothing,go_short,-1.3090277777777932
9,BADGER/USDT:USDT,2024-06-06 20:15:00+00:00,4.8,4.803,4.849576667016863,4.880402946307335,4.734,1,4.791,15296.7,4.892519999999988,0,0,go_short,4.819800000000031,4.837285714285765,go_short,go_short,go_short,-30.27314712,first_buy,force_exit,do_nothing,go_short,-1.8571428571428656
10,AXS/USDT:USDT,2024-06-01 21:30:00+00:00,8.042,8.286,7.908249370623559,7.8092549858074864,8.042,0,8.143,202127.4,7.7945599999999855,1,0,go_short,7.994199999999981,7.95014285714289,go_short,go_short,go_short,24.07333481,second_buy,force_exit,go_short,go_short,0.5923261390887228
11,HIFI/USDT:USDT,2024-05-04 00:15:00+00:00,0.8212,0.8598,0.8257632967950197,0.8159164204376117,0.8205,0,0.8565,1366636.0,0.8158119999999986,0,0,go_short,0.8312399999999988,0.8288285714285742,go_short,go_short,go_short,38.01644181,second_buy,force_exit,go_short,go_short,0.4797979797979687
12,AXL/USDT:USDT,2024-05-29 02:45:00+00:00,1.03,1.0471,1.0229606556370867,1.0126962583629269,1.0295,0,1.0439,154392.0,1.0121119999999977,0,0,go_short,1.0302200000000084,1.0261285714285715,go_short,go_short,go_short,48.03028676,second_buy,force_exit,go_short,go_short,1.0241157556270073
13,INJ/USDT:USDT,2024-05-20 15:15:00+00:00,25.761,26.18,25.662266342383045,25.49233808092896,25.718,0,26.162,92084.3,25.558240000000158,0,0,go_short,25.807399999999927,25.7237142857144,go_short,go_short,go_short,-24.55453308,second_buy,force_exit,do_nothing,go_short,1.3170848267622566
14,AVAX/USDT:USDT,2024-06-07 18:15:00+00:00,35.105,35.175,35.161211135106896,35.71447020056324,30.73,1,31.225,1840674.2,36.04819999999998,0,0,go_short,34.64100000000004,35.03500000000032,go_short,go_short,go_short,6.22915986,first_buy,force_exit,go_short,go_short,-0.3490740740740637
15,BB/USDT:USDT,2024-06-06 00:15:00+00:00,0.852,0.88,0.8463651941054202,0.8352478789882967,0.8473,0,0.8656,3820010.0,0.8388760000000002,0,0,go_short,0.8507199999999993,0.848128571428571,go_short,go_short,go_short,65.12439403,second_buy,force_exit,go_short,go_short,0.2087029995775092
16,AUCTION/USDT:USDT,2024-05-29 09:30:00+00:00,17.999,28.12,19.48583835750775,18.73217845555208,17.968,0,27.586,795290.2,18.4222,0,0,go_short,19.916399999999918,19.318857142857198,go_short,go_short,go_short,50.37325085,second_buy,force_exit,go_short,go_short,4.783751493429111
17,LINK/USDT:USDT,2024-05-30 06:30:00+00:00,18.567,18.609,18.678973922699907,18.70700726276358,18.387,1,18.512,123858.9,18.749520000000064,0,0,go_short,18.630999999999908,18.65900000000005,go_short,go_short,go_short,-30.45125419,first_buy,force_exit,do_nothing,go_short,-4.595959595959194
18,ATOM/USDT:USDT,2024-04-15 06:30:00+00:00,8.46,8.607,8.352145304812053,8.296353954091535,8.451,0,8.6,98986.1,8.26403999999996,0,0,go_short,8.422799999999965,8.371142857142836,go_short,go_short,go_short,22.36717789,second_buy,force_exit,go_short,go_short,0.1877777777777736
19,ASTR/USDT:USDT,2024-06-05 02:15:00+00:00,0.09883,0.1011,0.0964863738817882,0.0948635529849197,0.0986649999999999,0,0.09903,5426384.0,0.0943275999999996,0,0,go_short,0.0982279999999994,0.0974892857142853,go_short,go_short,go_short,25.83331458,second_buy,force_exit,go_short,go_short,0.9521024784182572
20,MANA/USDT:USDT,2024-04-14 22:30:00+00:00,0.4396,0.4438,0.4307865114578326,0.430149590445639,0.438,0,0.4432,208844.6,0.430503999999998,0,0,go_short,0.4303000000000002,0.4288428571428611,go_short,go_short,go_short,17.82526229,second_buy,force_exit,go_short,go_short,0.6091030789826093
21,ARPA/USDT:USDT,2024-06-07 18:15:00+00:00,0.07382,0.07396,0.0735923585757828,0.074831357601812,0.06306,1,0.06394,29511530.0,0.0753771999999997,0,0,go_short,0.072538,0.0734799999999999,go_short,go_short,go_short,-5.62585075,first_buy,force_exit,do_nothing,go_short,-0.286975717439289
22,MKR/USDT:USDT,2024-06-01 00:00:00+00:00,2736.2,2739.4,2738.309135982403,2746.5545695426104,2642.0,1,2708.4,348.084,2750.1160000000023,0,0,go_short,2729.25999999999,2734.0428571428592,go_short,go_short,go_short,-24.14253063,first_buy,force_exit,do_nothing,go_short,-3.10869565217296
23,MON/USDT:USDT,2024-05-30 16:45:00+00:00,0.38797,0.39625,0.3935183480343184,0.3876540598290598,0.38332,0,0.3907,347425.0,0.3901652,0,0,go_short,0.387468,0.3920242857142856,go_short,go_short,go_short,45.74090895,second_buy,force_exit,go_short,go_short,1.5867802108677942
24,ARKM/USDT:USDT,2024-06-05 00:15:00+00:00,2.6979,2.7546,2.6819501417917158,2.655751541027987,2.6979,0,2.7458,135040.0,2.6579760000000063,0,0,go_short,2.698720000000005,2.691271428571458,go_short,go_short,go_short,45.27128142,second_buy,force_exit,go_short,go_short,0.2172096908938885
25,OG/USDT:USDT,2024-05-29 16:15:00+00:00,4.723,5.207,4.62980060788772,4.574721030129314,4.6545000000000005,0,5.0228,167292.1,4.557759999999991,0,0,go_short,4.677599999999982,4.631528571428605,go_short,go_short,go_short,30.19188509,second_buy,force_exit,go_short,go_short,0.752115526122138
26,ONDO/USDT:USDT,2024-06-06 06:30:00+00:00,1.3652,1.3657,1.376834516595676,1.3821453025236845,1.341,1,1.3509,2373320.0,1.3850680000000002,1,0,go_short,1.3714400000000035,1.3755000000000006,go_short,go_short,go_short,-24.03606887,first_buy,force_exit,do_nothing,go_short,-1.9113355780022248
27,ARK/USDT:USDT,2024-06-09 14:15:00+00:00,0.8983000000000001,0.9194,0.8690569495804739,0.8503036357747246,0.8875000000000001,0,0.89,1789571.0,0.853776,1,0,go_short,0.8818199999999956,0.8759285714285684,go_short,go_short,go_short,18.12413673,second_buy,force_exit,go_short,go_short,1.0702811244979935
28,ORBS/USDT:USDT,2024-05-23 20:15:00+00:00,0.03379,0.03379,0.0337929951924379,0.0340616526673724,0.03279,1,0.03312,14577090.0,0.0340348000000001,1,0,go_short,0.0337139999999997,0.0337371428571427,go_short,go_short,go_short,-29.85046764,first_buy,force_exit,do_nothing,go_short,-0.1083333333333161
29,ARB/USDT:USDT,2024-06-07 18:15:00+00:00,1.0592,1.0621,1.0582983249423483,1.0766189208911798,0.8653000000000001,1,0.9135,53298136.5,1.0850799999999985,1,0,go_short,1.043379999999995,1.0565714285714496,go_short,go_short,go_short,9.97608657,first_buy,force_exit,go_short,go_short,-0.7455197132616204
30,ORCA/USDT:USDT,2024-06-08 10:30:00+00:00,2.225,2.229,2.243588084444982,2.2609338192509068,2.216,1,2.221,4463.9,2.263840000000007,0,0,go_short,2.230200000000008,2.2342857142857118,go_short,go_short,go_short,-5.4372307,first_buy,force_exit,do_nothing,go_short,-0.4396135265700434
31,JOE/USDT:USDT,2024-06-07 18:15:00+00:00,0.4606,0.4613,0.4582014012362956,0.467114234572427,0.37775,1,0.38925,3704577.0,0.4709499999999995,0,0,go_short,0.4505800000000052,0.4566214285714274,go_short,go_short,go_short,5.1710642,first_buy,force_exit,go_short,go_short,-0.3611111111110948
