,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
0,12.592,12.606,12.641147521097633,12.668587727045246,12.563,1,12.574,61578.0,12.703519999999896,0,0,go_short,12.613000000000095,12.636285714286029,go_short,go_short,go_short,-0.29771074,second_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,force_exit,do_nothing,go_short
1,30.093,30.107,29.789741605655543,29.735084936599865,29.782,0,29.826,71821.7,29.73812000000008,1,0,go_short,29.916800000000347,29.853999999999825,go_short,go_short,go_short,-1.0162,second_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,force_exit,do_nothing,go_short
2,25.987,26.182,25.427005497797307,25.008978632478637,25.26,0,25.289,390485.31,24.972240000000003,0,0,go_short,25.630600000000005,25.616571428571422,go_short,go_short,go_short,1.7308609,second_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
3,2.188,2.193,2.1953651502943923,2.200598393654025,2.18,1,2.19,430047.5,2.197640000000011,0,0,go_short,2.1912000000000145,2.193285714285616,go_short,go_short,go_short,0.75616474,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
4,2.162,2.165,2.1728691911081803,2.1838839962664807,2.152,1,2.154,362746.6,2.18912000000001,1,0,go_short,2.1594000000000118,2.162428571428472,go_short,go_short,go_short,1.32967863,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
5,2.187,2.192,2.1845179055037622,2.1677371565124863,2.187,1,2.187,230188.1,2.167400000000009,0,0,go_short,2.186200000000013,2.1892857142856146,go_short,go_short,go_short,1.91441635,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
6,2.18,2.19,2.172433540146741,2.1613057182077915,2.177,0,2.185,542898.8,2.1670800000000088,0,0,go_short,2.175400000000014,2.1728571428570445,go_short,go_short,go_short,0.00572681,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
7,2.014,2.017,2.0182266504154454,2.0357976701411302,2.008,0,2.01,294043.8,2.0400400000000083,0,0,go_short,2.008600000000018,2.0087142857141864,go_short,go_short,go_short,-0.0210383,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,do_nothing,go_short
8,2.014,2.017,2.008797835149992,2.0076164712020828,1.994,1,1.999,885953.7,2.0068400000000093,0,0,go_short,2.0120000000000178,2.0121428571427584,go_short,go_short,go_short,0.82356719,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
9,2.053,2.059,2.0530089814625025,2.054702338846081,2.051,0,2.057,217818.7,2.0559600000000087,0,0,go_short,2.0536000000000163,2.052714285714185,go_short,go_short,go_short,1.80219973,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
