,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
0,0.02569,0.02749,0.0243735458945526,0.0227935185185185,0.02562,0,0.0274,216194.0,0.0228464,0,0,go_long,0.025328,0.02495,go_long,go_long,go_long,-5.55905306,first_buy,go_short,do_nothing,go_short,go_short,go_long,go_long,force_exit,do_nothing,go_long
1,0.01668,0.01759,0.0160293774072625,0.0154449949368997,0.01664,0,0.01749,20932.0,0.0152387999999999,0,0,go_long,0.0165620000000003,0.0163271428571436,go_long,go_long,go_long,-6.97056626,first_buy,go_short,go_short,go_short,go_short,go_long,go_long,force_exit,do_nothing,go_long
2,0.00993,0.011438,0.0096373667951182,0.009516552940847,0.009929,0,0.0106889999999999,36089.0,0.00942388,0,0,go_long,0.0097584,0.0096331428571428,go_long,go_long,go_long,-2.66215717,first_buy,do_nothing,do_nothing,go_short,go_short,go_long,go_long,force_exit,do_nothing,go_long
3,0.7763,0.8097000000000001,0.7990719001178724,0.8251828435138086,0.7728,0,0.8094,232460.0,0.8333200000000232,0,0,go_short,0.7806999999999888,0.7852999999999951,go_short,go_short,go_short,-1.82732385,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,force_exit,do_nothing,go_short
4,396.13,406.61,403.1692221736808,413.3678884196886,394.11,0,405.63,50300.0,415.9720000000026,0,0,go_short,396.8319999999997,398.2185714285956,go_short,go_short,go_short,-0.98075023,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,force_exit,do_nothing,go_short
5,4e-05,4e-05,3.832028164586443e-05,3.72035534067894e-05,3.9136e-05,0,3.99e-05,371854.0,3.681116000000017e-05,0,0,go_long,3.921959999999919e-05,3.897814285714329e-05,go_long,go_long,go_long,-6.82590305,first_buy,go_short,go_short,go_short,go_short,go_long,go_long,force_exit,do_nothing,go_long
6,379.75,379.9,386.9178378678337,393.2624083126839,370.3,1,371.7,36015.0,392.9039999999994,0,0,go_short,381.889999999997,385.5500000000031,go_short,go_short,go_short,-6.9725908,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,liquidation,do_nothing,go_short
7,770.0,770.0,771.6527115869792,777.8612507273125,745.0,1,746.55,22391.0,784.3479999999996,1,0,go_short,766.2499999999991,768.1428571428617,go_short,go_short,go_short,-7.0187348,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,liquidation,do_nothing,go_short
8,649.15,1580.8,690.7323191337251,701.8011186261015,649.15,1,670.45,41805.0,705.0239999999998,0,0,go_short,681.7999999999995,687.2928571428611,go_short,go_short,go_short,-6.2941705,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,liquidation,do_nothing,go_short
9,0.10042,0.10042,0.1008787642592506,0.1015522404061246,0.09861,1,0.09861,33.0,0.1016239999999999,0,0,go_short,0.1005280000000001,0.1008057142857143,go_short,go_short,go_short,-8.4151791,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,liquidation,do_nothing,go_short
10,193.7,193.7,193.8522794669369,194.82310281792311,191.1,1,192.15,6574.0,194.3240000000001,0,0,go_short,193.16999999999985,193.55714285714285,go_short,go_short,go_short,-9.03323,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,liquidation,do_nothing,go_short
11,196.95,197.8,196.4900350780596,200.8574317531795,161.4,1,164.75,3160697.0,201.99999999999872,0,0,go_short,193.2700000000039,196.37857142859303,go_short,go_short,go_short,-7.48084253,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,liquidation,do_nothing,go_short
12,0.3101,0.3101,0.3144487985055554,0.3165510096141448,0.3089,1,0.3089,78.0,0.315232800000001,0,0,go_short,0.312607999999999,0.3144257142857122,go_short,go_short,go_short,-8.6658672,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,liquidation,do_nothing,go_short
13,446.7,448.55,452.9693837439772,456.42402992281575,439.0,1,440.6,12214.0,457.6660000000002,0,0,go_short,449.52999999999975,451.1642857142897,go_short,go_short,go_short,-8.3306346,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,liquidation,do_nothing,go_short
14,302.35,303.25,305.8824656286584,307.71920537752834,297.55,1,299.7,336243.0,307.95199999999863,0,0,go_short,304.6600000000031,305.95000000002125,go_short,go_short,go_short,-5.31664233,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,liquidation,do_nothing,go_short
15,393.3,393.3,393.4488667176207,396.3687570974121,388.3,1,389.0,11702.0,394.10800000000125,0,0,go_short,393.2999999999983,393.6785714285826,go_short,go_short,go_short,-7.312854,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,liquidation,do_nothing,go_short
16,538.8,539.55,538.7482304773154,539.2947230103553,536.1,1,536.1,1211.0,537.8860000000008,0,0,go_short,539.8300000000025,540.6500000000132,go_short,go_short,go_short,0.021434,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,roi,go_short,go_short
17,536.55,536.55,539.6367454722921,541.6319140634838,530.0,1,532.35,6217.0,543.2340000000007,0,0,go_short,537.760000000002,539.1857142857275,go_short,go_short,go_short,0.1867075,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,roi,go_short,go_short
18,540.1,542.7,542.5941984553165,544.7762167153545,539.0,1,542.15,2524.0,544.1800000000006,0,0,go_short,539.7200000000025,542.3285714285845,go_short,go_short,go_short,0.0266865,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,roi,go_short,go_short
19,546.35,549.05,545.9352648789533,549.1251873148444,545.0,0,547.3,2069.0,548.4420000000007,0,0,go_short,542.7300000000026,544.1000000000131,go_short,go_short,go_short,0.069118,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,roi,go_short,go_short
20,607.75,609.85,611.0339057407452,617.930208483209,607.55,0,608.1,7703.0,618.2840000000009,0,0,go_short,607.1100000000009,606.5000000000118,go_short,go_short,go_short,0.02428,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,roi,go_short,go_short
21,565.9,566.2,568.5819015783645,574.4329771026457,555.15,1,558.85,12999.0,574.4840000000006,0,0,go_short,565.6600000000025,566.8857142857274,go_short,go_short,go_short,0.0824285,second_buy,go_short,go_short,do_nothing,do_nothing,go_short,go_short,roi,go_short,go_short
