,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action
0,XMR/USDT:USDT,2024-02-27 02:30:00+00:00,138.97,145.25,136.44786606816558,134.61746862943698,138.44,0,141.77,4958.63,133.97119999999967,1,0,137.64199999999724,137.21000000000225,7.11307142,second_buy,go_short,go_short,go_long,do_nothing,go_long,go_long,force_exit,go_short
1,IOST/USDT:USDT,2023-12-14 17:30:00+00:00,0.011821,0.0118909999999999,0.0122377555194196,0.012115884577533,0.0111349999999999,1,0.011482,206224231.0,0.0121268399999997,0,0,0.0120852000000007,0.0123068571428566,-35.78877219,first_buy,go_long,go_short,do_nothing,go_short,go_short,go_short,force_exit,do_nothing
2,CRO/USDT:USDT,2024-02-10 05:15:00+00:00,0.08925,0.08932,0.0890561512971693,0.0888185397089752,0.08925,1,0.08926,2076.0,0.0886423999999999,1,0,0.0892619999999963,0.0892271428571407,30.2996141,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,force_exit,go_long
3,CETUS/USDT:USDT,2024-02-05 14:15:00+00:00,0.14704,0.15021,0.1477273580434704,0.1438276923076923,0.14703,0,0.14902,6329608.0,0.1446344,0,0,0.150122,0.1501671428571429,64.00314702,second_buy,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,force_exit,go_short
4,GMX/USDT:USDT,2024-02-24 08:30:00+00:00,49.385,50.595,49.30211618197407,48.5288036253892,49.325,0,50.375,6648.47,48.248199999999976,0,0,49.78699999999971,49.646428571428594,-7.18178012,second_buy,go_short,go_short,do_nothing,go_long,do_nothing,go_long,force_exit,do_nothing
5,ETH/USDT:USDT,2024-01-03 12:15:00+00:00,2309.41,2310.2,2325.62147818364,2348.796204262079,2044.0,1,2181.79,382746.25,2360.1444000000047,0,0,2301.203999999924,2319.591428571433,101.40035659,first_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,force_exit,go_long
6,CTC/USDT:USDT,2024-02-22 00:15:00+00:00,0.5744,0.5950500000000001,0.570022032582246,0.5650284341112277,0.57415,0,0.5838500000000001,508152.0,0.5624460000000016,0,0,0.5747400000000092,0.5729928571428541,15.467372,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,force_exit,go_short
7,ENS/USDT:USDT,2024-02-07 05:15:00+00:00,21.426,21.447,21.953747663285004,22.271005514506925,20.715,0,21.301,558658.8,22.50199999999977,0,0,21.53219999999984,21.727142857143285,7.01084527,first_buy,go_long,go_long,do_nothing,do_nothing,go_short,go_short,force_exit,go_long
8,CYBER/USDT:USDT,2024-02-21 10:00:00+00:00,8.482,8.509,8.574871520106404,8.675200812194577,8.372,1,8.424,30074.7,8.692919999999996,0,0,8.523000000000026,8.55800000000002,10.8562418,first_buy,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,force_exit,go_long
9,EGLD/USDT:USDT,2024-02-13 03:45:00+00:00,58.7,59.66,58.4232775041734,58.19297049441939,58.6,0,59.52,6601.56,58.20120000000075,0,0,58.57400000000082,58.38285714285518,-0.84021547,second_buy,go_short,go_short,do_nothing,go_short,do_nothing,go_long,force_exit,do_nothing
10,ARB/USDT:USDT,2024-02-12 17:15:00+00:00,2.0264,2.0509,1.9970179905880807,1.973730517034719,2.0258,0,2.0405,2861273.5,1.961496,0,0,2.014059999999991,2.012228571428539,17.80269532,second_buy,go_long,go_long,do_nothing,do_nothing,do_nothing,go_long,force_exit,go_short
11,AXL/USDT:USDT,2024-01-10 13:00:00+00:00,1.0224,1.0231,1.0270972758819186,1.0346075698399344,0.9906,1,1.0038,71237.0,1.037071999999999,0,0,1.022220000000002,1.0234285714285714,106.11074387,first_buy,go_short,do_nothing,do_nothing,go_short,go_short,do_nothing,force_exit,go_long
12,AVAX/USDT:USDT,2024-01-19 15:30:00+00:00,32.69,32.965,33.150927966539896,33.31773611985812,32.475,1,32.545,64307.8,33.43520000000044,0,0,32.91299999999934,33.09214285714368,42.13348431,first_buy,go_long,go_long,go_long,do_nothing,go_short,go_short,force_exit,go_long
13,BAND/USDT:USDT,2024-01-19 01:30:00+00:00,1.552,1.552,1.5538747855001915,1.566212341457491,1.52,1,1.524,89930.0,1.560040000000016,1,0,1.5466000000000193,1.5509999999999415,96.13363769,first_buy,go_long,go_long,go_long,go_short,go_short,do_nothing,force_exit,go_long
