,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry)
0,7.683,7.747,7.547793289408425,7.490892828372934,7.642,1,7.644,6672.0,7.448920000000085,1,0,go_short,7.626200000000338,7.59300000000021,go_short,go_short,go_short,1.15578943,second_buy,force_exit,go_short,go_short
1,3.792,3.83,3.6897820489922366,3.5632682507398274,3.792,1,3.82,853.0,3.5314800000001982,0,0,go_short,3.767399999999975,3.7582857142857606,go_short,go_long,go_short,2.47257089,second_buy,force_exit,go_short,go_short
2,93133.2,93394.5,94300.139277158,95297.18554905406,92595.6,1,92715.0,7175807.0,95709.7839999999,0,0,go_long,93582.40000000045,93938.25714285766,go_long,go_long,go_long,0.15130108,first_buy,force_exit,go_long,go_long
3,357.21,359.87,365.92766566113454,368.1436422385369,335.04,1,352.17,388957.0,368.41239999999823,0,0,go_long,363.2739999999968,366.40285714285534,go_long,go_long,go_long,-1.23463887,first_buy,force_exit,go_long,go_long
4,13.838,13.989,13.586439779330597,13.296611447063082,13.838,0,13.953,206473.0,13.199839999999936,0,0,go_short,13.77579999999979,13.751714285714206,go_short,go_short,go_short,2.50024716,second_buy,force_exit,go_short,go_short
5,0.9579,0.9593,0.9664507469750976,0.9740883178358956,0.9466,1,0.9471,58556.0,0.9765560000000234,0,0,go_short,0.9621799999999888,0.9629857142857114,go_short,go_short,go_short,-0.48470088,second_buy,force_exit,go_short,go_short
6,722.6,722.85,722.984388246821,724.8843882878194,713.8,1,716.2,646272.0,725.3160000000021,0,0,go_long,721.9800000000072,722.7214285714227,go_long,go_long,go_long,-0.22860626,first_buy,force_exit,go_long,go_long
7,0.355,0.3585,0.3478298834230083,0.3448131434190516,0.3536,0,0.358,309398.0,0.3442360000000011,0,0,go_short,0.350120000000039,0.3486000000000124,go_short,go_short,go_short,2.56447876,second_buy,force_exit,go_short,go_short
8,466.92,467.88,468.2751016295108,469.2996436365943,464.36,1,465.26,55118.0,468.74040000000207,0,0,go_long,468.1599999999992,468.3742857143069,go_long,go_long,go_long,-0.09776717,first_buy,force_exit,go_long,go_long
9,0.4189,0.4216,0.4143314928745509,0.410524856333075,0.4182,0,0.4214,4812.0,0.4085599999999917,0,0,go_short,0.4177399999999936,0.4161999999999989,go_short,go_short,go_short,0.55075822,second_buy,force_exit,go_short,go_short
10,105.107,106.249,105.05983792563444,105.34750993945158,102.0,1,102.541,105097.0,105.22447999999726,0,0,go_long,105.00919999999746,105.03628571428514,go_long,go_long,go_long,-3.23349072,first_buy,stop_loss,go_long,go_long
11,532.057,533.078,537.6217147974507,545.730056320188,511.237,1,511.237,732196.0,547.5200400000004,0,0,go_long,531.5311999999998,534.8760000000024,go_long,go_long,go_long,-3.8308028,first_buy,stop_loss,go_long,go_long
12,14.037,14.74,16.55592040870801,18.008630444162698,9.804,1,11.829,58616.0,18.464560000000063,0,0,go_short,15.39939999999981,15.914000000000096,go_short,go_short,go_short,-4.550545,second_buy,stop_loss,go_short,go_short
13,8.49,9.187,8.380424353483768,8.240639370347035,8.488,0,8.942,3141022.0,8.203119999999982,0,0,go_short,8.493599999999988,8.436857142857143,go_short,go_short,go_short,-3.5354,second_buy,stop_loss,go_short,go_short
14,13.1191,13.1191,12.804570486612633,13.206725846463094,9.7299,1,10.3376,91046.0,13.353552000000144,0,0,go_short,12.554459999998368,12.745128571428252,go_short,go_short,go_short,-4.02390349,second_buy,stop_loss,go_short,go_short
15,288.05,288.1,292.7217262124897,295.3185694177616,279.75,1,283.05,122730.0,296.4599999999984,1,0,go_long,290.04,291.8000000000187,go_long,go_long,go_long,-3.3535581,first_buy,stop_loss,go_long,go_long
16,91.15,91.15,91.04498477185372,91.42845825742896,90.256,1,90.335,7487.0,91.4798799999968,1,0,go_long,90.86979999999734,90.86171428571356,go_long,go_long,go_long,-3.5666281,first_buy,stop_loss,go_long,go_long
17,550.145,552.315,557.0861570646925,561.0787522616394,486.806,1,514.342,62044.0,563.1510799999987,0,0,go_long,553.2495999999986,555.8910000000004,go_long,go_long,go_long,-2.02106103,first_buy,stop_loss,go_long,go_long
18,287.584,287.979,292.1663008132643,293.7872373128122,287.088,1,287.979,3089.0,293.6755199999983,0,0,go_long,290.95899999999847,292.05000000000183,go_long,go_long,go_long,-3.40684437,first_buy,stop_loss,go_long,go_long
19,0.27281,0.27347,0.2740865402586543,0.2833946028410328,0.21599,1,0.23321,851328.0,0.285342000000022,0,0,go_short,0.2675719999999925,0.2720185714285699,go_short,go_short,go_short,-2.75518738,second_buy,stop_loss,go_short,go_short
20,224.494,224.707,225.9255328694645,228.0850521315892,221.612,1,221.612,4027.0,228.45831999999731,1,0,go_long,224.07979999999705,225.01114285714291,go_long,go_long,go_long,-3.4956366,first_buy,stop_loss,go_long,go_long
21,117.79,117.79,119.1245765993652,120.68919335204347,116.93,1,116.93,42555.0,120.73839999999716,0,0,go_long,118.22199999999756,118.77714285714303,go_long,go_long,go_long,-2.77462194,first_buy,stop_loss,go_long,go_long
22,1227.25,1232.45,1270.5868475046746,1293.88367740459,1173.4,1,1208.75,149107.0,1301.3820000000012,0,0,go_long,1243.6399999999996,1259.264285714287,go_long,go_long,go_long,-4.7711303,first_buy,stop_loss,go_long,go_long
23,5.325,5.412,5.225213974510207,5.177522941733864,5.313,0,5.378,998706.0,5.167039999999989,0,0,go_short,5.259599999999887,5.240571428571478,go_short,go_short,go_short,-3.4108789,second_buy,stop_loss,go_short,go_short
24,0.1161,0.1161,0.1150962974716983,0.1186087810591444,0.0899,1,0.096,166385.0,0.1201919999999931,0,0,go_short,0.1125399999999941,0.114271428571432,go_short,go_short,go_short,-3.39753687,second_buy,stop_loss,go_short,go_short
25,1.1644,1.2045,1.2881909376072989,1.340113306091336,0.9825,1,1.0709,14001.0,1.3430599999999933,0,0,go_short,1.240199999999998,1.2825142857142922,go_short,go_short,go_short,-4.203444,second_buy,stop_loss,go_short,go_short
26,175.3,175.3,173.8664663750503,174.22271854077923,165.95,1,169.9,291928.0,174.26999999999822,1,0,go_long,173.90000000000097,173.97142857144695,go_long,go_long,go_long,-3.3461275,first_buy,stop_loss,go_long,go_long
27,56734.9,56849.9,56777.135494101625,57117.85926917493,54661.3,1,55348.7,10496020.0,57148.45200000003,0,0,go_long,56525.19999999953,56747.2857142857,go_long,go_long,go_long,-2.18409454,first_buy,stop_loss,go_long,go_long
28,29757.9,29762.5,30399.79873796296,30811.082899187622,29321.0,1,29548.5,12470422.0,31028.65599999978,1,0,go_long,29912.199999999768,30083.50000000061,go_long,go_long,go_long,-3.49817601,first_buy,stop_loss,go_long,go_long
29,1.2244,1.2244,1.2446484269429718,1.2603007612144583,1.2177,1,1.2177,210.0,1.260759999999998,0,0,go_short,1.2381800000000118,1.242242857142861,go_short,go_short,go_short,-4.814139,second_buy,stop_loss,go_short,go_short
30,0.1047,0.1047,0.1037203522089914,0.1070704805667028,0.0809,1,0.0863,5286799.0,0.1082319999999996,0,0,go_short,0.1016800000000405,0.1030714285714408,go_short,go_short,go_short,-3.4962898,second_buy,stop_loss,go_short,go_short
