,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),exit_reason,action
0,0.2685,0.276,0.2525617756136994,0.2460363566155623,0.2603,0,0.2606,23169.0,0.2468039999999972,0,0,0.2594199999999987,0.2561142857142882,-2.16577875,first_buy,go_long,go_long,force_exit,go_long
1,0.3593,0.3597,0.3616356334399379,0.3672949089641369,0.3566,1,0.3568,36878.0,0.3656199999999956,1,0,0.3603799999999897,0.3601999999999908,-1.18444992,first_buy,go_long,go_long,force_exit,go_long
2,9.353e-06,9.368e-06,9.428715624134036e-06,9.51034693491697e-06,9.286e-06,1,9.299e-06,5154.0,9.504560000000176e-06,0,0,9.379999999999189e-06,9.398000000000356e-06,-0.01069726,first_buy,go_long,go_long,force_exit,go_long
3,1.143,1.1499,1.1085639408153454,1.0973846760541204,1.1173,0,1.1318,220565.0,1.0906560000000238,0,0,1.1218599999999852,1.1151714285714225,-1.5682952,first_buy,go_long,go_long,force_exit,go_long
4,0.5645,0.5650000000000001,0.5666170864068193,0.5704004756790437,0.5553,1,0.5594,5715.0,0.568283999999993,0,0,0.5659199999999888,0.5657285714285681,-0.75144195,first_buy,go_long,go_long,force_exit,go_long
5,0.3033,0.3033,0.3082050260716114,0.314368675692303,0.3019,0,0.3019,1635.0,0.3159760000000104,0,0,0.3047200000000705,0.3059142857143347,-1.17679341,first_buy,go_long,go_long,force_exit,go_long
6,0.025,0.025,0.0257065050483294,0.0259940673589108,0.023059,1,0.024768,194681.0,0.0260594000000012,0,0,0.0254435999999998,0.0256571428571422,-1.07387687,first_buy,go_long,go_long,force_exit,go_long
7,0.02539,0.02544,0.0258131604635142,0.0262856672112062,0.02525,1,0.02533,1626.0,0.0263756,0,0,0.0255899999999996,0.0256585714285716,-1.11245225,first_buy,go_long,go_long,force_exit,go_long
8,0.13342,0.13342,0.1341097874331308,0.1351900328302248,0.13136,1,0.132,6243.0,0.1348379999999982,0,0,0.1336980000000122,0.1339199999999965,-0.6423145,first_buy,go_long,go_long,force_exit,go_long
9,0.2449,0.2449,0.2465340866376846,0.248726732191886,0.2436,1,0.2438,30347.0,0.2473040000000016,0,0,0.2461799999999936,0.2464428571428523,-0.98281975,first_buy,go_long,go_long,force_exit,go_long
10,640.6,645.0,636.446257161367,634.1036205899206,639.85,0,642.2,1241640.0,633.7380000000015,0,0,637.6000000000058,636.6428571428514,0.69257968,first_buy,go_long,go_long,force_exit,go_long
11,51.41,51.7,52.12526658522038,52.29288236559069,50.74,1,50.78,223068.0,52.28479999999738,0,0,52.01400000000022,52.25428571428446,1.6797209,first_buy,go_long,go_long,force_exit,go_long
12,344.97,352.97,325.98604220694983,314.4195810090005,341.0,0,343.39,275926.0,311.101199999998,1,0,336.7819999999976,332.59714285714165,2.11281555,second_buy,go_short,go_short,force_exit,go_short
13,86284.8,86464.0,85305.3882272958,84366.87652628728,86001.6,0,86110.3,2904638.0,84153.61999999982,0,0,86010.36000000028,85702.5428571434,0.71166322,first_buy,go_long,go_long,force_exit,go_long
14,2.405,2.405,2.429916985395684,2.459162285289473,2.372,1,2.372,152251.0,2.465519999999768,0,0,2.413200000000092,2.4241428571431065,-0.35679056,first_buy,go_long,do_nothing,force_exit,go_long
15,0.00888,0.00888,0.0089602222796606,0.0090338020782486,0.008824,1,0.00887,791.0,0.00899812,0,0,0.0089242,0.0089439999999999,-0.05172967,first_buy,go_long,go_long,force_exit,go_long
