,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
0,0.42762,0.45496,0.4124464747078135,0.4032337619616026,0.42543,0,0.44983,126066.0,0.3984851999999996,0,0,go_short,0.4201120000000024,0.4125714285714297,go_short,go_short,go_short,1.46192756,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
1,1.3554e-05,1.3577e-05,1.3634744281519403e-05,1.3730958936307504e-05,5.15e-06,1,1.3433000000000002e-05,284693.0,1.3726560000000192e-05,0,0,go_long,1.3563799999999213e-05,1.360871428571466e-05,go_long,go_long,go_long,-2.74449294,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,force_exit,go_long,go_long
2,1.868,138.116,1.8953198066191832,1.901205209010247,1.788,1,1.842,461520.0,1.8909199999999948,0,0,go_short,1.9034000000000175,1.9008571428571568,go_short,go_short,go_short,7.90208739,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
3,11.625,13.669,12.992428818937844,13.55302279202279,11.561,0,11.561,33137.0,13.75128,0,0,go_short,12.432200000000003,12.686857142857146,go_short,go_short,go_short,7.93444452,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
4,114.341,115.163,119.4786165894622,123.19467254230447,96.257,1,103.133,420206.0,124.04260000000026,0,0,go_short,116.93060000000024,118.80814285714332,go_short,go_short,go_short,9.56760138,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
5,0.01037,0.010384,0.0106429574648257,0.0107874234413793,0.010291,1,0.010332,31732.0,0.01082436,0,0,go_long,0.0104732,0.0105899999999999,go_long,go_long,go_long,-1.17667939,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,force_exit,go_long,go_long
6,0.00644,0.00644,0.0064070425698398,0.0064500072149443,0.00614,1,0.00617,257016.0,0.0064643999999999,0,0,go_long,0.0063740000000003,0.0064085714285722,go_long,go_long,go_long,-3.11379341,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,force_exit,go_long,go_long
7,602.942,613.5,586.6427438960247,570.6180247433464,598.296,0,606.999,16141.0,571.27204,1,0,go_short,596.7894000000002,592.4682857142844,go_short,go_short,go_short,-0.93767426,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
8,93578.8,93853.3,93085.88630852682,92615.54862280747,93050.3,1,93803.5,4202912.0,92415.08799999989,0,0,go_short,93557.2400000002,93320.3142857148,go_short,go_short,go_short,0.0026578,second_buy,do_nothing,do_nothing,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
9,14.171,15.5,13.9983652894807,13.68238761887999,14.137,0,15.278,6373918.0,13.659199999999988,0,0,go_short,14.204399999999982,14.056714285714284,go_short,go_short,go_short,4.15446128,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
10,77.731,83.901,75.08642385202884,72.84644952055523,77.731,0,83.695,48601.0,72.41191999999972,0,0,go_short,77.48459999999974,75.51714285714307,go_short,go_short,go_short,7.17640373,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
11,0.0037719999999999,0.00383,0.0038469508769754,0.0039905683760683,0.0037719999999999,0,0.003802,22.0,0.00399076,0,0,go_long,0.0037958,0.0037845714285714,go_long,go_long,go_long,11.68970649,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,force_exit,go_long,go_long
12,1.12883,1.13026,1.1292675205230205,1.1369557441477407,1.10375,1,1.10506,11197.0,1.1319704000000224,0,0,go_short,1.1250439999999933,1.1282514285714238,go_short,go_short,go_short,2.03007114,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
13,492.84,500.0,480.7555451402772,476.3584326827058,492.84,0,497.718,13199.0,478.1356399999989,0,0,go_short,483.6308000000001,481.114142857144,go_short,go_short,go_short,2.27028189,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
14,42.96,43.0,41.01989088762584,40.28333270034819,42.96,0,43.0,74.0,40.2380399999999,0,0,go_short,41.80139999999996,41.4290000000001,go_short,go_short,go_short,8.24118349,second_buy,go_long,go_short,go_long,go_long,go_long,go_long,force_exit,go_short,go_short
15,22.8,22.999,22.19149979998469,21.86935829968937,22.8,0,22.999,55.0,21.81443999999992,0,0,go_short,22.83979999999996,22.386714285714284,go_short,go_short,go_short,-3.672226,second_buy,go_long,go_short,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
16,0.0001657,0.0001771,0.0002565507415613,0.0002945983278899,8.24e-05,1,0.0001199,2157660.0,0.000304248,0,0,go_long,0.0002236799999999,0.0002505285714285,go_long,go_long,go_long,-3.21570784,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,stop_loss,go_long,go_long
17,7.62e-05,7.98e-05,0.0001002870376676,0.0001109364400406,6.25e-05,1,7.28e-05,3911176.0,0.000112704,0,0,go_long,9.2119999999999e-05,9.78857142857146e-05,go_long,go_long,go_long,-3.1599689,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,stop_loss,go_long,go_long
