,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
0,7.555,7.59,7.63250178275793,7.778428635898984,7.432,1,7.472,10915.0,7.737480000000033,0,0,go_short,7.581400000000242,7.595428571428683,go_short,go_short,go_short,-1.01586415,first_buy,go_long,go_long,force_exit,go_long,go_short
1,0.2359,0.2364,0.2404546677433032,0.2484520750626877,0.2279,1,0.2293,1666053.0,0.250244000000001,0,0,go_short,0.2364800000000388,0.2373285714285838,go_short,go_short,go_short,0.15264496,first_buy,go_short,go_short,force_exit,go_long,go_short
2,466.92,467.88,468.2751016295108,469.2996436365943,464.36,1,465.26,55118.0,468.7404000000026,0,0,go_short,468.1599999999988,468.3742857143105,go_short,go_short,go_short,-0.19553433,first_buy,go_long,go_long,force_exit,go_long,go_short
3,0.9484,0.9514,0.9620784819538448,0.9776285254073342,0.9165,1,0.9268,521270.0,0.9748160000000232,0,0,go_short,0.9533599999999876,0.9587285714285662,go_short,go_short,go_short,0.61140345,first_buy,go_short,go_short,force_exit,go_long,go_short
4,722.6,722.85,722.984388246821,724.8843882878194,713.8,1,716.2,646272.0,725.3160000000018,0,0,go_short,721.9800000000074,722.721428571423,go_short,go_short,go_short,-0.29718814,first_buy,go_long,go_long,force_exit,go_long,go_short
5,3.072,3.072,3.1389588541626727,3.1584432030884275,2.815,1,2.98,12133.0,3.1568400000002,0,0,go_short,3.124399999999976,3.144000000000045,go_short,go_short,go_short,-1.76603776,first_buy,go_long,go_long,force_exit,go_long,go_short
6,361.26,365.43,357.3015851565263,351.3147975024909,360.57,0,365.02,17185.0,349.2607999999961,0,0,go_short,360.5099999999951,359.77142857142627,go_short,go_short,go_short,1.4589528,second_buy,do_nothing,do_nothing,force_exit,go_short,go_short
7,10.136,10.155,10.314507240971531,10.359504954856993,9.87,1,9.924,434851.0,10.396519999999931,0,0,go_short,10.210799999999791,10.305571428571303,go_short,go_short,go_short,-0.83858726,first_buy,go_short,go_short,force_exit,go_long,go_short
8,0.4189,0.4216,0.4143314928745509,0.410524856333075,0.4182,0,0.4214,4812.0,0.4085599999999935,0,0,go_short,0.4177399999999922,0.4161999999999999,go_short,go_short,go_short,1.10151643,second_buy,do_nothing,do_nothing,force_exit,go_short,go_short
9,107061.4,107774.9,106706.00376093498,105993.10766945269,107060.5,1,107677.7,4674642.0,105588.71999999994,1,0,go_short,107149.62000000002,107014.67142857202,go_short,go_short,go_short,1.31530957,second_buy,do_nothing,do_nothing,force_exit,go_short,go_short
10,1237.6,1280.3,1342.4041030244216,1381.7315065246887,1156.9,1,1258.65,281311.0,1393.6080000000024,0,0,go_short,1301.3299999999992,1324.571428571433,go_short,go_short,go_short,-4.9704418,first_buy,go_long,go_long,stop_loss,go_long,go_short
11,20.506,20.756,20.86594871231183,21.02037747219602,20.27,0,20.756,1649.0,21.077399999999983,0,0,go_short,20.721800000000098,20.72742857142857,go_short,go_short,go_short,-4.02994746,first_buy,go_long,go_long,stop_loss,go_long,go_short
12,0.2588,0.2588,0.2615910910189341,0.2641780404841283,0.2518,1,0.2518,25359.0,0.265316,0,0,go_short,0.2589400000000404,0.2603571428571596,go_short,go_short,go_short,-3.48675779,first_buy,go_short,go_short,stop_loss,go_long,go_short
13,17.72,17.75,17.878166446888756,18.03803947769929,17.505,1,17.557,155603.0,18.03787999999992,0,0,go_short,17.71839999999984,17.777285714285693,go_short,go_short,go_short,-3.56806288,first_buy,go_short,go_short,stop_loss,go_long,go_short
14,614.284,622.52,632.7003975731676,641.1370820437882,605.099,0,621.974,1096388.0,645.38272,0,0,go_short,623.6287999999994,628.1660000000012,go_short,go_short,go_short,-3.92682603,first_buy,go_long,go_long,stop_loss,go_long,go_short
15,390.013,398.385,417.8652510993692,429.6831953096735,359.61,1,390.35,4132803.0,427.8411200000006,0,0,go_short,409.6224000000002,414.65900000000255,go_short,go_short,go_short,-4.01544029,first_buy,go_long,go_long,stop_loss,go_long,go_short
16,13.1191,13.1191,12.804570486612633,13.206725846463094,9.7299,1,10.3376,91046.0,13.353552000000215,0,0,go_short,12.55445999999846,12.745128571428252,go_short,go_short,go_short,-4.02390349,second_buy,do_nothing,do_nothing,stop_loss,go_short,go_short
17,358.644,360.0,362.96883361598,366.1527505116102,357.125,1,358.886,519146.0,366.5381199999991,0,0,go_short,361.26520000000505,362.0370000000002,go_short,go_short,go_short,-3.54207765,first_buy,go_long,go_long,stop_loss,go_long,go_short
