,pair,open_date,enter_reason,exit_reason,sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),sma-07 (exit),sma-05 (exit),sma-25 (exit),sma-compare (exit)
1487,MTL/USDT:USDT,2024-09-27 06:15:00+00:00,first_buy,force_exit,1.1041599999999498,1.103942857142901,1.0927600000000128,-9.29712228,-0.15216229698314923,0,0.9447571428571863,0.9446199999999504,0.9499800000000126,1
2356,UNI/USDT:USDT,2024-09-22 22:45:00+00:00,second_buy,force_exit,6.56380000000007,6.582714285714651,6.614999999999989,-2.25300793,-0.03791569061033259,1,6.882285714286094,6.879600000000066,6.9547199999999885,1
3007,DYDX/USDT:USDT,2022-09-19 01:45:00+00:00,first_buy,long-exit-profit,1.214799999999976,1.2110000000001335,1.2342799999999428,0.48395339,0.007880905669061569,0,1.2065714285715619,1.2107999999999763,1.2024799999999425,0
2536,LDO/USDT:USDT,2023-07-13 16:30:00+00:00,first_buy,long-exit-profit,1.9966999999999775,1.9695000000000167,1.9254400000000016,0.435696,0.007221415997397522,0,2.0228571428571596,2.0520399999999777,1.9392960000000017,0
2537,LDO/USDT:USDT,2023-07-13 17:45:00+00:00,first_buy,long-exit-profit,2.129759999999977,2.10825714285716,1.9686520000000014,0.7202439,0.01213195436085357,0,2.1526714285714457,2.178439999999977,1.9923240000000013,0
2538,LDO/USDT:USDT,2023-07-13 18:45:00+00:00,first_buy,long-exit-profit,2.2075399999999776,2.1876571428571596,2.016868000000001,1.0273473,0.017248338375482397,0,2.2144285714285883,2.222539999999977,2.043284000000001,0
2539,LDO/USDT:USDT,2023-07-13 19:30:00+00:00,first_buy,long-exit-profit,2.232779999999977,2.2262571428571594,2.0582560000000014,0.47035246,0.007930320252729514,0,2.2419142857143024,2.2613599999999767,2.2172720000000017,0
2540,LDO/USDT:USDT,2023-07-14 00:45:00+00:00,first_buy,long-exit-profit,2.3420799999999766,2.3081285714285884,2.2334520000000015,0.438685,0.00725844483866926,0,2.3408142857143024,2.3763599999999765,2.2428320000000013,0
2541,LDO/USDT:USDT,2023-07-14 18:30:00+00:00,first_buy,long-exit-profit,2.317459999999978,2.3305142857143037,2.3735000000000017,0.2603232,0.004239235963191775,1,2.251657142857161,2.2634599999999776,2.262540000000001,0
2542,LDO/USDT:USDT,2023-07-14 23:30:00+00:00,first_buy,long-exit-profit,2.2904999999999776,2.281000000000018,2.2536400000000008,0.3483454,0.005714993802098841,0,2.2958428571428753,2.3066599999999773,2.2545720000000005,0
2543,LDO/USDT:USDT,2023-07-15 05:30:00+00:00,first_buy,long-exit-profit,2.396379999999978,2.3931571428571607,2.3719480000000015,0.8467575,0.014125010868905672,0,2.4004428571428744,2.4066599999999783,2.3791760000000015,0
4785,STORJ/USDT:USDT,2021-05-07 18:15:00+00:00,first_buy,long-exit-profit,2.2441400000000113,2.2158285714285872,2.0815919999999988,1.5660525,0.026127054308417035,0,2.3222285714285875,2.3849600000000115,2.132463999999999,0
2545,LDO/USDT:USDT,2023-08-17 21:45:00+00:00,first_buy,long-exit-profit,1.6025999999999834,1.6230714285714412,1.6548600000000027,5.4515824,0.08925282966240566,1,1.599285714285727,1.5725799999999832,1.6491840000000026,1
2546,LDO/USDT:USDT,2023-08-17 22:15:00+00:00,first_buy,long-exit-profit,1.5426799999999832,1.5770428571428698,1.6437120000000027,1.713172,0.02829047440261405,1,1.5619285714285842,1.5243399999999832,1.6398080000000028,1
2547,LDO/USDT:USDT,2023-08-17 23:00:00+00:00,first_buy,long-exit-profit,1.5624599999999833,1.5499571428571552,1.6351120000000026,0.49386325,0.0082394750749828,0,1.6694142857142988,1.6708199999999818,1.663652000000003,0
2548,LDO/USDT:USDT,2023-08-21 04:00:00+00:00,first_buy,long-exit-profit,1.6596199999999814,1.6626428571428704,1.6708960000000035,0.4098046,0.006686044633956895,1,1.6604428571428704,1.6626399999999812,1.6682440000000036,0
2549,LDO/USDT:USDT,2023-08-21 10:15:00+00:00,first_buy,long-exit-profit,1.6639399999999807,1.6652428571428703,1.6686560000000035,0.454434,0.007430795948237808,1,1.6538428571428703,1.6548399999999805,1.6661960000000036,0
2550,LDO/USDT:USDT,2023-08-21 13:30:00+00:00,first_buy,long-exit-profit,1.647179999999981,1.653228571428585,1.6600000000000035,0.7293514,0.012063530686417231,1,1.6470714285714423,1.6417399999999809,1.6582720000000035,1
2551,LDO/USDT:USDT,2023-08-21 15:15:00+00:00,first_buy,long-exit-profit,1.6485199999999807,1.648028571428585,1.6541680000000036,0.31906987,0.005246586543785081,0,1.6458428571428712,1.6489399999999788,1.6390200000000041,0
2552,LDO/USDT:USDT,2023-08-23 09:30:00+00:00,first_buy,long-exit-profit,1.661199999999979,1.6604857142857286,1.6475120000000039,1.22416024,0.01993628055513573,0,1.6653857142857278,1.6683799999999789,1.648440000000004,0
2553,LDO/USDT:USDT,2023-08-23 17:00:00+00:00,first_buy,long-exit-profit,1.6864799999999789,1.6792428571428708,1.653044000000004,0.4153485,0.006937760273434432,0,1.6883000000000137,1.698999999999979,1.6560520000000039,0
4784,STORJ/USDT:USDT,2021-05-01 23:45:00+00:00,first_buy,long-exit-profit,2.213240000000007,2.2048285714285845,2.1650279999999995,2.62416864,0.04422223391070176,0,2.1720857142857297,2.1968800000000117,2.0651759999999992,0
2555,LDO/USDT:USDT,2023-10-09 16:45:00+00:00,first_buy,long-exit-profit,1.5011599999999898,1.5070285714285738,1.5282600000000128,0.4353954,0.007151190568784097,1,1.5032428571428595,1.49731999999999,1.5262160000000125,1
2556,LDO/USDT:USDT,2023-10-10 20:45:00+00:00,first_buy,long-exit-profit,1.5330599999999885,1.5355714285714317,1.536676000000012,0.369724,0.006065733517615538,1,1.5311714285714315,1.5287999999999886,1.5349080000000117,1
2557,LDO/USDT:USDT,2023-10-11 15:30:00+00:00,first_buy,long-exit-profit,1.5511999999999884,1.5538142857142891,1.5587520000000117,0.30634689,0.0050975713006874,1,1.5502714285714316,1.5486599999999884,1.5579480000000117,1
2535,LDO/USDT:USDT,2023-07-06 14:00:00+00:00,first_buy,long-exit-profit,2.025599999999976,2.029614285714304,2.088136000000003,0.71382489,0.011876289086881145,1,1.944485714285731,1.9610599999999774,1.9189360000000015,0
4786,STORJ/USDT:USDT,2021-05-07 19:15:00+00:00,first_buy,long-exit-profit,2.4020000000000117,2.360228571428587,2.148587999999999,0.29540016,0.0048982124560364325,0,2.2947142857143015,2.319200000000012,2.2704159999999987,0
2533,LDO/USDT:USDT,2023-06-07 16:15:00+00:00,first_buy,long-exit-profit,2.3375599999999706,2.345428571428582,2.367900000000005,0.3233022,0.005344984175499213,1,2.3361571428571537,2.3279199999999705,2.3657040000000054,1
2532,LDO/USDT:USDT,2023-06-07 14:45:00+00:00,first_buy,long-exit-profit,2.390539999999971,2.3906571428571537,2.3740200000000047,0.3137175,0.005296224687859668,0,2.385742857142868,2.379519999999971,2.372812000000005,0
2509,LDO/USDT:USDT,2023-05-12 22:15:00+00:00,first_buy,long-exit-profit,1.8940399999999737,1.892157142857144,1.8503800000000021,0.44027873,0.007259792609281597,0,1.8938428571428578,1.8968799999999733,1.8826600000000027,0
