,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),mean-grad-hist (exit),ema-26 (exit),sma-compare (exit),ema-12 (exit),open (exit),sma-05 (exit),short_kdj (exit),sma-25 (exit),volume (exit),sma-07 (exit),long_jcrosk (exit),high (exit),low (exit),close (exit)
844,XLM/USDT:USDT,2021-02-28 14:00:00+00:00,first_buy,roi,0.40167,0.4025,0.4009355676008597,0.4047788401714679,0.395,1,0.39517,5168900.0,1,False,0.3987100000000014,0.39867857142857005,0.4051199999999997,3.79754506,0.06195938256533082,0,1,0.4240572614713092,0,0.4217656983416173,0.42057000000000005,0.42431000000000185,False,0.4193407999999998,0.0,0.4267542857142845,0,0.42057000000000005,0.42057000000000005,0.42057000000000005
2699,ZRX/USDT:USDT,2020-06-27 20:00:00+00:00,first_buy,roi,0.332,0.33230000000000004,0.33513393355753257,0.34015518238207687,0.30760000000000004,1,0.323,1194879.4,0,False,0.3328,0.333742857142857,0.3417200000000005,1.92942957,0.03142734735426967,1,1,0.3339860888112476,0,0.33397367437483555,0.334,0.3339999999999998,False,0.3334480000000003,0.0,0.3341857142857143,0,0.334,0.334,0.334
450,LINK/USDT:USDT,2021-03-01 06:45:00+00:00,first_buy,roi,25.087,25.146,25.005401717877874,24.972463963832645,24.812,1,24.839,116619.68,0,False,24.973800000000207,24.98099999999992,25.08680000000004,6.83422666,0.11171619986096852,1,1,27.641959970474534,0,27.31216976025432,27.693,27.9108000000002,False,27.157440000000037,0.0,27.921142857142776,0,27.693,27.693,27.693
663,XLM/USDT:USDT,2020-09-23 23:15:00+00:00,first_buy,roi,0.0678,0.0678,0.0681165229898171,0.06891487615673224,0.06728,0,0.06734000000000001,1573186.0,0,False,0.0676120000000012,0.06769285714285762,0.06909440000000017,3.86241769,0.06290688327653238,1,1,0.07221963258597669,1,0.07250869231942149,0.07201,0.07214200000000112,False,0.07246960000000013,0.0,0.07214714285714341,0,0.07201,0.07201,0.07201
2049,LTC/USDT:USDT,2020-02-19 21:45:00+00:00,first_buy,trailing_stop_loss,75.18,75.24,76.15332118697914,76.70686127340872,73.2,1,74.06,33522.227,0,False,75.57599999999996,75.92571428571442,77.09240000000007,-4.56902084,-0.0744554259613093,1,1,69.65713592162761,1,70.12364415671098,69.08,69.27399999999997,False,70.21560000000005,6514.685,69.4314285714287,0,69.34,68.66,69.08
2050,LTC/USDT:USDT,2020-02-20 13:00:00+00:00,first_buy,trailing_stop_loss,69.06,69.08,69.49603808753106,70.01152236732499,67.79,1,68.61,13109.325,0,False,69.03799999999997,69.25000000000013,70.12360000000004,5.43533037,0.08851660196843779,1,1,76.44719572094301,1,76.96712362912963,76.29,76.28400000000008,False,76.9204000000001,37163.8,76.37142857142862,0,76.29,75.5,75.75
2051,LTC/USDT:USDT,2020-02-24 07:30:00+00:00,first_buy,trailing_stop_loss,75.73,75.78,76.32916561002871,76.871781138083,74.77,1,75.68,30395.551,0,False,76.09800000000008,76.26000000000006,76.8052000000001,-2.80691242,-0.045761561311241865,1,1,74.37100806931576,1,75.11299860203158,73.77,73.7220000000001,False,75.4900000000001,40362.286,74.1314285714286,0,73.77,72.47,72.85
2052,LTC/USDT:USDT,2020-02-24 18:15:00+00:00,first_buy,trailing_stop_loss,72.84,72.87,74.01700682788257,74.88759129817738,71.69,1,72.07,58289.175,0,False,73.22600000000008,73.66428571428573,75.27840000000009,-0.92844752,-0.015123043483152314,1,1,74.29287444720157,0,74.29134001744723,74.2,74.09200000000006,False,74.3116000000001,48881.945,74.32857142857141,0,74.29,73.02,73.25
2053,LTC/USDT:USDT,2020-02-25 14:45:00+00:00,first_buy,trailing_stop_loss,73.22,73.6,73.95858607070902,74.13050001615484,71.15,1,72.12,72133.816,0,False,73.67200000000005,73.92571428571425,74.2320000000001,-3.40238197,-0.05540811298507588,1,1,70.35113094462953,1,70.89909154536711,69.28,69.57400000000004,False,71.0020000000001,15273.219,70.19285714285711,0,69.68,68.7,68.7
2054,LTC/USDT:USDT,2020-02-26 02:15:00+00:00,first_buy,trailing_stop_loss,68.69,68.95,69.92018772237883,70.65101069015473,66.85,1,67.55,54691.356,0,False,68.93400000000005,69.56571428571425,70.8736000000001,-2.03741519,-0.03318933551189457,1,1,67.7099376762695,1,68.36729739562738,67.2,67.00800000000004,False,68.3144000000001,15443.656,67.33571428571425,0,67.23,66.37,66.51
2055,LTC/USDT:USDT,2020-02-26 09:30:00+00:00,first_buy,trailing_stop_loss,66.53,66.59,67.46687034145882,68.20157166261794,65.4,1,66.13,36211.701,0,False,66.61200000000004,66.98428571428568,68.2196000000001,-2.8082538,-0.04575016819914779,1,1,66.3415507658863,1,66.83086210156718,65.28,66.06200000000005,False,66.57480000000007,41906.65,66.45714285714283,0,65.9,64.35,65.35
2056,LTC/USDT:USDT,2020-02-26 14:30:00+00:00,first_buy,trailing_stop_loss,65.33,65.33,65.8520814172884,66.55894639033998,62.43,1,63.16,92215.613,0,False,65.32600000000005,65.85999999999997,66.37680000000007,-3.48405383,-0.05676664850992938,1,0,62.17495098411081,1,63.754007747562284,60.58,61.06000000000006,False,64.26280000000006,43096.206,61.347142857142806,0,60.98,60.11,60.54
0,LINK/USDT:USDT,2020-01-17 14:45:00+00:00,first_buy,trailing_stop_loss,2.675,2.699,2.71803109846696,2.761757834757835,2.658,0,2.677,107230.38,0,False,2.7011999999999996,2.705714285714286,2.7608000000000006,-2.27781081,-0.03710309273616147,1,1,2.738914214212243,0,2.7423833500550288,2.752,2.7468,False,2.7253599999999993,188260.43,2.745285714285715,0,2.76,2.678,2.69
2048,LTC/USDT:USDT,2020-02-18 13:30:00+00:00,first_buy,trailing_stop_loss,71.79,71.8,72.21035101716788,72.71828150750854,70.04,1,70.61,31769.674,0,False,71.86399999999992,72.1085714285715,72.86440000000005,3.05988029,0.04983895506170094,1,1,76.53392503915717,1,76.91861017528142,75.92,76.11799999999997,False,77.23800000000007,15121.555,76.28428571428584,1,75.92,75.07,75.22
2059,LTC/USDT:USDT,2020-02-27 21:45:00+00:00,first_buy,trailing_stop_loss,62.55,62.55,62.92990015603931,63.10337380941683,60.74,1,60.77,55464.165,1,False,62.61800000000009,62.79857142857136,63.596800000000094,-1.64180255,-0.02673564629654048,1,1,60.426465952747385,1,60.95661855319578,60.32,60.17000000000009,False,61.03240000000009,16786.673,60.39857142857135,0,60.37,59.53,59.57
2060,LTC/USDT:USDT,2020-02-28 10:00:00+00:00,first_buy,trailing_stop_loss,59.59,59.6,60.10700965232471,60.763535697403505,58.15,1,58.35,47907.617,0,False,59.67400000000009,60.00999999999993,60.88640000000009,-0.91932848,-0.014978471454779017,1,1,58.87732157784742,1,58.9866653856051,58.68,58.7760000000001,False,59.082000000000086,7770.899,58.79571428571422,0,59.05,58.61,58.69
2061,LTC/USDT:USDT,2020-03-01 16:45:00+00:00,first_buy,trailing_stop_loss,58.68,58.68,58.67773364279397,58.88246794963435,57.31,1,57.58,46801.491,0,False,58.5000000000001,58.612857142857074,59.02680000000009,1.8744173,0.03053591500773376,1,1,60.68641202203059,0,60.946025443966285,60.36,60.669999999999995,False,60.66320000000009,4378.691,60.68999999999989,0,60.53,60.25,60.49
2062,LTC/USDT:USDT,2020-03-08 00:15:00+00:00,first_buy,trailing_stop_loss,60.5,60.5,60.48542555710281,60.83002355922804,59.21,1,59.38,26524.633,0,False,60.37399999999999,60.50142857142846,60.60040000000009,-4.12526757,-0.06718580582078744,1,1,57.38231759573205,1,58.001169418711854,56.65,56.93399999999999,False,58.32120000000009,19882.435,57.097142857142735,0,56.86,56.04,56.15
2063,LTC/USDT:USDT,2020-03-08 15:30:00+00:00,first_buy,trailing_stop_loss,56.15,56.46,57.04349950408096,57.79219390621468,54.8,1,55.18,50783.059,0,False,56.463999999999984,56.754285714285594,58.15960000000009,-4.93321734,-0.08038970163515347,1,1,52.703871801411076,1,53.281234700779244,53.05,52.51799999999999,False,53.14680000000008,20191.071,52.527142857142735,0,53.05,51.73,52.02
2064,LTC/USDT:USDT,2020-03-09 00:00:00+00:00,first_buy,trailing_stop_loss,52.01,52.03,52.440199216578606,53.111513611832635,50.28,1,50.99,57303.831,1,False,52.24199999999998,52.30571428571416,53.028800000000075,-2.81024392,-0.04576316400905281,1,1,50.58168627858515,1,51.268362497863684,50.11,50.00599999999999,False,51.27520000000008,15120.844,50.27142857142845,0,50.3,49.79,49.89
2065,LTC/USDT:USDT,2020-03-09 05:30:00+00:00,first_buy,trailing_stop_loss,49.88,49.93,50.112196081879745,50.99144675728119,46.99,1,47.53,118686.928,1,False,49.544,49.77999999999987,51.05160000000009,0.1093404,0.001781513247955495,1,1,49.35814062499495,1,49.69962031110874,48.93,49.06399999999998,False,49.806000000000104,20916.733,49.241428571428436,0,49.19,48.62,48.72
2066,LTC/USDT:USDT,2020-03-09 15:00:00+00:00,first_buy,trailing_stop_loss,48.72,48.86,49.146118990380344,49.572241028804385,47.59,1,47.98,43896.111,0,False,48.77999999999998,48.99571428571415,49.6876000000001,-0.02963405,-0.00048262210876873473,1,1,49.254927591949766,1,49.55148029807153,49.0,49.079999999999984,False,49.65440000000009,4599.536,49.115714285714134,0,49.14,48.92,49.02
2057,LTC/USDT:USDT,2020-02-26 17:45:00+00:00,first_buy,trailing_stop_loss,60.55,60.55,61.741881601939916,63.4285256921873,58.58,1,59.36,74084.945,0,False,60.56600000000007,60.81714285714281,63.98680000000006,-0.78309664,-0.012758131356514104,1,1,60.990845410051726,1,61.54722063204253,60.57,60.82000000000009,False,61.53200000000009,37329.172,60.92857142857138,0,60.59,59.28,59.66
2058,LTC/USDT:USDT,2020-02-27 00:30:00+00:00,first_buy,trailing_stop_loss,59.65,59.78,60.709176885428384,61.37038947411345,58.65,1,59.16,31223.412,0,False,60.408000000000094,60.6171428571428,61.4460000000001,1.66788748,0.027181370260633404,1,1,63.32260927531918,1,63.290043714170174,63.23,63.07200000000008,False,63.6840000000001,15282.372,63.20999999999993,0,63.37,62.41,62.6
2046,LTC/USDT:USDT,2020-02-16 16:30:00+00:00,first_buy,trailing_stop_loss,73.68,73.91,75.0690382050809,76.2493034062194,71.88,1,73.09,51722.372,0,False,73.87599999999995,74.41714285714286,76.57200000000006,-1.89090392,-0.03079195342179044,1,1,72.90042326205223,1,73.12440259000344,72.57,72.31599999999993,False,73.30760000000008,3636.423,72.48428571428572,0,72.77,72.2,72.3
2067,LTC/USDT:USDT,2020-03-11 10:15:00+00:00,first_buy,trailing_stop_loss,49.02,49.02,49.07570796241903,49.44322249821438,47.97,1,48.09,27035.27,1,False,48.86199999999998,48.962857142857,49.566800000000086,-3.22914132,-0.05261238779568383,1,1,47.11724960503216,1,47.64391620509571,46.78,46.713999999999984,False,47.74880000000008,42786.757,47.01571428571417,0,46.79,45.68,45.68
2026,EOS/USDT:USDT,2021-02-10 12:30:00+00:00,first_buy,trailing_stop_loss,4.111,4.207,4.3043646286170985,4.331085846871652,4.089,1,4.147,4526715.2,0,False,4.246599999999988,4.29571428571431,4.3548399999999745,-4.1163234,-0.06745653671141975,1,0,4.030437984080368,0,4.131531795713636,3.983,4.006599999999988,False,4.193839999999975,2634151.7,3.9787142857143096,1,4.023,3.9,3.916
2027,LTC/USDT:USDT,2020-01-09 14:45:00+00:00,first_buy,trailing_stop_loss,45.23,45.23,45.17015094750767,45.15915954415954,44.93,0,44.99,3224.06,0,False,45.194,45.225714285714325,45.146800000000006,16.36833433,0.26666042111668975,0,0,57.82138732081373,0,56.64049665805663,60.67,58.82600000000008,False,56.4184,34091.195,58.31857142857147,0,61.21,59.42,59.9
2028,LTC/USDT:USDT,2020-01-14 18:45:00+00:00,first_buy,trailing_stop_loss,59.94,60.3,57.864250809919305,56.748608016719096,57.17,1,58.1,95183.784,1,False,58.994000000000085,58.50428571428575,56.57719999999999,-1.97346332,-0.03215819365579463,0,1,58.7624871360667,1,58.66091354105537,58.1,58.51000000000003,False,58.87800000000003,12989.763,58.822857142857174,0,58.36,57.34,57.87
2029,LTC/USDT:USDT,2020-01-15 04:30:00+00:00,first_buy,trailing_stop_loss,57.82,57.87,58.449796807441054,58.51788290838461,56.29,1,56.73,10927.78,0,False,58.02800000000004,58.41285714285717,58.821200000000026,-1.22316942,-0.019932748916456376,1,1,57.52160029365978,1,57.766635170961095,56.98,56.97000000000014,False,57.92240000000001,6044.841,57.33000000000004,0,56.99,56.17,56.41
2030,LTC/USDT:USDT,2020-01-16 01:45:00+00:00,first_buy,trailing_stop_loss,56.5,56.5,57.235200248481355,57.61058812126027,54.68,1,55.66,19855.521,0,False,56.666000000000146,56.9671428571429,57.85000000000001,3.60010716,0.05863494931553334,1,1,61.38513725917417,1,61.5171035271237,61.1,61.21800000000015,False,61.73439999999999,3791.483,61.31142857142863,0,61.26,60.54,60.54
2031,LTC/USDT:USDT,2020-01-18 04:45:00+00:00,first_buy,trailing_stop_loss,60.52,60.55,61.03819306545507,61.340281043633055,58.75,1,59.13,11223.363,0,False,60.75200000000016,60.97714285714291,61.626799999999996,-0.84648828,-0.013791142204241106,1,1,60.95493770654063,1,61.01761552759635,60.92,60.78200000000013,False,61.12720000000002,4630.069,60.94142857142866,1,60.96,60.5,60.5
2032,LTC/USDT:USDT,2020-01-19 11:15:00+00:00,first_buy,trailing_stop_loss,60.5,60.57,60.50033190553438,60.7940884514781,57.13,1,58.0,48319.985,0,False,60.24000000000012,60.45571428571437,60.99800000000002,-2.66755924,-0.043472622184189395,1,0,56.30302962679754,1,56.48986223847695,56.36,56.22200000000022,False,56.43320000000001,2385.722,56.23571428571437,0,56.45,56.12,56.13
2033,LTC/USDT:USDT,2020-01-23 12:15:00+00:00,first_buy,trailing_stop_loss,56.15,56.3,56.28717891498253,56.468390961552736,55.44,0,56.2,12966.727,0,False,56.19800000000022,56.220000000000084,56.416000000000004,-4.02454626,-0.06554917867617975,1,1,55.02923855185612,1,55.40200446240685,54.7,54.7720000000002,False,55.457999999999984,3237.87,54.89714285714295,0,54.82,54.41,54.5
2034,LTC/USDT:USDT,2020-01-23 18:00:00+00:00,first_buy,trailing_stop_loss,54.55,54.56,54.786278774647485,55.257411539265604,52.14,1,53.45,47676.25,0,False,54.4980000000002,54.64000000000009,55.34239999999999,-2.77587048,-0.045238469695162195,1,1,52.47742580100574,1,52.707704184585275,52.42,52.400000000000205,False,52.526,1900.408,52.438571428571514,0,52.51,52.0,52.13
2047,LTC/USDT:USDT,2020-02-17 03:30:00+00:00,first_buy,trailing_stop_loss,72.29,72.39,72.56189660635188,72.94481721296614,70.7,1,70.7,16127.82,1,False,72.00799999999992,72.11,73.27200000000009,-0.50830101,-0.008284158200222472,1,1,72.50132392938022,1,72.88694402810921,72.06,72.24799999999992,False,72.99480000000005,5177.283,72.4128571428572,0,72.2,71.72,71.8
