,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),open (exit),close (exit),sma-07 (exit),mean-grad-hist (exit),volume (exit),sma-compare (exit),short_kdj (exit),ema-12 (exit),sma-25 (exit),ema-26 (exit),low (exit),long_jcrosk (exit),sma-05 (exit),high (exit)
8941,NEO/USDT:USDT,2021-02-28 14:15:00+00:00,first_buy,roi,33.531,33.757,34.33433061083085,34.74967284954305,32.868,1,33.018,42938.29,0,False,33.88779999999993,34.0564285714285,34.93140000000005,8.86526719,0.14498028679131045,1,37.901,37.901,38.32742857142851,1,0.0,0,False,37.89464727839324,37.74208000000005,38.081615095478824,37.901,0,38.24459999999994,37.901
7120,SUSHI/USDT:USDT,2021-02-28 14:15:00+00:00,first_buy,roi,14.1465,14.2286,14.47450182601409,14.652806072561493,13.9137,1,14.0068,292631.0,0,False,14.326939999999926,14.388400000000013,14.710779999999984,18.59552263,0.3317027412706712,1,18.6909,18.6909,18.988328571428582,1,0.0,0,False,18.11391395088583,17.981475999999986,18.57664203029799,18.6909,0,18.887479999999908,18.6909
6212,RUNE/USDT:USDT,2021-02-28 16:00:00+00:00,first_buy,roi,3.924,3.9431000000000003,4.049892570341726,4.113617642728341,3.8807,1,3.9311,126883.0,0,False,4.014419999999992,4.032671428571439,4.157135999999993,21.67303591,0.36682651021160256,1,5.3833,5.3833,5.3271142857142975,1,0.0,0,False,5.1259816034234245,5.064875999999995,5.25475432562397,5.3833,0,5.367859999999984,5.3833
2183,AAVE/USDT:USDT,2021-03-01 19:45:00+00:00,first_buy,roi,368.127,369.622,369.79789575533096,372.85713770309945,361.51,1,361.837,6243.0,0,False,367.3459999999985,368.7870000000006,373.65571999999986,2.14389073,0.05921979370236163,1,383.884,383.884,387.80542857142916,1,0.0,0,False,377.8170586908039,373.6499599999999,382.32371913667527,383.884,0,388.11619999999846,383.884
3724,ETC/USDT:USDT,2021-02-28 15:45:00+00:00,first_buy,roi,9.894,9.94,10.072198232951989,10.177861937942655,9.751,1,9.76,330745.66,0,False,10.028199999999917,10.02442857142854,10.221760000000003,7.79937425,0.12710766078924296,0,11.029,11.029,11.11928571428568,1,0.0,0,False,10.938100769163139,10.88340000000001,11.027446570018807,11.029,0,11.100599999999918,11.029
5496,QTUM/USDT:USDT,2021-02-28 16:15:00+00:00,first_buy,roi,4.602,4.721,4.7267502198117235,4.806180523956369,4.517,0,4.655,170750.0,0,False,4.657599999999942,4.708714285714286,4.8403599999999924,6.52579373,0.10690752708725668,1,5.165,5.165,5.243571428571427,1,0.0,0,False,5.190253210635561,5.176799999999993,5.212584390025068,5.165,0,5.214599999999938,5.165
1602,UNI/USDT:USDT,2021-03-01 18:30:00+00:00,first_buy,roi,23.9746,23.976,24.169069132053536,24.111682181282415,23.5991,1,23.7957,148984.0,0,False,24.030039999999943,24.119228571428625,24.166104000000047,3.91718231,0.08221395253135683,1,25.822,25.822,26.105957142857193,1,0.0,0,False,25.0759736297267,24.778560000000063,25.60963789804116,25.822,0,26.10209999999994,25.822
482,LINK/USDT:USDT,2021-02-28 14:15:00+00:00,first_buy,roi,23.865,23.984,24.08592199404213,24.28724415759167,23.389,1,23.491,560820.9,0,False,23.953600000000215,23.985714285714202,24.30204000000003,10.76994477,0.17549141453223896,1,27.693,27.693,27.921142857142776,1,0.0,0,False,27.31216976025432,27.157440000000037,27.641959970474534,27.693,0,27.9108000000002,27.693
4858,SOL/USDT:USDT,2021-02-28 20:00:00+00:00,first_buy,roi,12.392,13.3514,12.268405940695443,12.107451214499743,12.392,0,13.2761,700909.0,0,False,12.477739999999987,12.380914285714272,11.914912000000008,6.9707807,0.13120166254280335,0,15.0526,15.0526,15.094214285714262,1,0.0,0,False,14.971489619844887,14.901200000000003,15.035563897729151,15.0526,0,15.122859999999985,15.0526
8404,ATOM/USDT:USDT,2021-02-28 14:00:00+00:00,first_buy,roi,17.272,17.333,17.375137155664245,17.572780398733588,16.964,1,17.013,54380.33,0,False,17.188800000000022,17.23199999999996,17.635119999999958,5.60659289,0.09151947545918132,1,18.611,18.611,18.764857142857092,1,0.0,0,False,18.493057613573864,18.37727999999995,18.613796520605305,18.611,0,18.746200000000023,18.611
