,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,open (exit),long_jcrosk (exit),close (exit),mean-grad-hist (exit),volume (exit),short_kdj (exit),high (exit),sma-05 (exit),sma-07 (exit),ema-12 (exit),ema-26 (exit),low (exit),sma-25 (exit)
77,STMX/USDT:USDT,2024-09-01 23:00:00+00:00,second_buy,force_exit,0.006,0.00602,0.006035905302553288,0.0060637227800713605,0.005940000000000001,1,0.00598,104265219.0,0,False,0.006022000000001122,0.006029999999999457,0.006054800000000003,1.59582733,0.026038394133004593,0.005840000000000001,0,0.005840000000000001,0,27020363.0,False,0.00587,0.005806000000001174,0.005801428571428044,0.005881142028516887,0.005826286888335768,0.00583,0.005845599999999995
532,UNI/USDT:USDT,2024-10-01 15:15:00+00:00,first_buy,force_exit,7.24,7.254,7.414355331806238,7.538237248244283,6.982,1,7.125,1073770.0,0,False,7.284000000000063,7.330714285714661,7.611079999999987,-2.21321058,-0.03878402295150822,6.902,0,6.8629999999999995,1,45915.0,False,6.902,6.879600000000066,6.882285714286094,6.97547184771825,6.903418993519771,6.859,6.9547199999999885
1160,DYDX/USDT:USDT,2024-09-28 02:00:00+00:00,second_buy,force_exit,1.091,1.095,1.0845366696217493,1.0811360480265422,1.087,0,1.095,452734.6,0,False,1.0894000000000188,1.087000000000125,1.0787199999999595,10.93330676,0.17847767467402173,0.906,0,0.899,1,586780.5,False,0.906,0.902400000000019,0.9035714285715539,0.9197467066311014,0.9070694693917652,0.899,0.9151599999999591
3424,ATOM/USDT:USDT,2020-11-24 02:00:00+00:00,first_buy,long-ml-exit,6.25,6.337,6.054752369121339,5.946634043432925,6.233,0,6.241,188890.78,1,False,6.183599999999963,6.11899999999995,5.927839999999999,-4.34866245,-0.07086255354458308,5.912,0,5.818,1,247571.9,False,5.917,5.995599999999963,6.075142857142803,6.1103084034322945,6.07605818768646,5.7,6.154439999999999
3425,ATOM/USDT:USDT,2020-11-24 21:45:00+00:00,first_buy,long-ml-exit,5.922,5.94,5.99527805640697,5.993236848846538,5.886,1,5.912,52757.71,0,False,5.966999999999966,5.99128571428566,6.003880000000002,-4.58248807,-0.07468399647552745,5.59,0,5.501,1,169912.39,False,5.628,5.643399999999972,5.683857142857085,5.7962974532584415,5.694763480067322,5.413,5.822000000000004
3426,ATOM/USDT:USDT,2020-12-01 12:30:00+00:00,first_buy,long-ml-exit,5.523,5.539,5.5510924837878015,5.578028764374648,5.089,1,5.182,488332.26,0,False,5.491399999999976,5.552857142857085,5.606159999999993,-4.19094495,-0.06829607187321793,4.878,0,4.853,1,39705.82,False,4.883,4.8923999999999666,4.906428571428527,4.937426415499151,4.913325042669906,4.839,4.9426
3428,ATOM/USDT:USDT,2020-12-17 10:30:00+00:00,first_buy,long-ml-exit,5.592,5.642,5.507286767302648,5.489302209575697,5.554,0,5.615,181803.99,0,False,5.51119999999996,5.497571428571379,5.48088000000001,-4.08977505,-0.06663191889791886,5.284,0,5.254,1,58353.25,False,5.298,5.314999999999962,5.338857142857092,5.409291077204755,5.3494276771379825,5.231,5.408400000000009
3420,ATOM/USDT:USDT,2020-10-15 09:30:00+00:00,first_buy,long-ml-exit,5.5969999999999995,5.61,5.6417055877791915,5.659528513676111,5.522,1,5.561,131745.68,0,False,5.601999999999949,5.630714285714264,5.668400000000002,-4.33421111,-0.07059071422597162,5.249,0,5.206,1,83278.27,False,5.268,5.269999999999951,5.269714285714267,5.353014277785259,5.299493937393616,5.186,5.3687199999999935
3429,ATOM/USDT:USDT,2020-12-18 14:15:00+00:00,first_buy,long-ml-exit,5.332,5.355,5.382941158047446,5.3922674805675666,5.291,1,5.294,45604.28,0,False,5.372999999999966,5.3854285714285215,5.407720000000007,-4.50656018,-0.07341586159834348,4.978,0,4.939,1,182867.5,False,4.978,4.993799999999963,5.001142857142817,5.064552353152793,5.030785142942828,4.875,5.085600000000004
3443,ATOM/USDT:USDT,2021-01-10 11:45:00+00:00,first_buy,long-ml-exit,6.412,6.539,6.7108176819516485,6.7897266268148915,6.258,1,6.345,311650.41,0,False,6.5807999999999485,6.643428571428542,6.8861200000000045,-4.56183712,-0.07432269857448195,6.001,0,5.883,1,217178.44,False,6.058,6.0585999999999505,6.1145714285714,6.248949554647998,6.157691564151545,5.862,6.276320000000001
3431,ATOM/USDT:USDT,2020-12-24 23:15:00+00:00,first_buy,long-ml-exit,4.994,4.996,4.932179619637909,4.895747170768501,4.947,1,4.954,55159.84,1,False,4.9579999999999576,4.948714285714241,4.893720000000005,-4.33862372,-0.07068527242622544,4.6690000000000005,0,4.617,1,116477.5,False,4.6690000000000005,4.682799999999951,4.701428571428524,4.758793981027021,4.7165000216767465,4.577,4.782800000000002
3433,ATOM/USDT:USDT,2020-12-29 00:15:00+00:00,first_buy,long-ml-exit,5.398,5.5,5.326560830868158,5.307829767272176,5.392,0,5.474,132873.99,0,False,5.328599999999951,5.298428571428524,5.325960000000004,-4.1153901,-0.06703546150938133,5.182,0,5.115,1,105183.75,False,5.185,5.179999999999953,5.194571428571384,5.261315593432877,5.218346275495777,5.108,5.284960000000009
3436,ATOM/USDT:USDT,2020-12-31 23:30:00+00:00,first_buy,long-ml-exit,6.271,6.377,6.17808524907377,6.115075870843046,6.261,0,6.376,113846.46,0,False,6.216599999999955,6.1832857142856685,6.132160000000008,-4.3020002,-0.07007790139011859,5.986,0,5.942,0,94326.03,False,5.991,6.027999999999957,6.049999999999954,6.161366077907858,6.091567495552828,5.901,6.235120000000007
3437,ATOM/USDT:USDT,2021-01-01 07:00:00+00:00,first_buy,long-ml-exit,5.942,5.991,6.074710957775469,6.148079701766536,5.94,0,5.982,50923.99,0,False,6.002799999999956,6.0312857142856675,6.221960000000007,-4.42309304,-0.07207660625532668,5.63,0,5.58,1,132806.42,False,5.679,5.689399999999954,5.741999999999955,5.798004437310291,5.749884015558006,5.573,5.802160000000004
3439,ATOM/USDT:USDT,2021-01-06 13:15:00+00:00,first_buy,long-ml-exit,6.462,6.798,6.371971635119403,6.272845957631943,6.453,0,6.676,595012.69,0,False,6.42459999999995,6.407142857142817,6.247720000000004,-5.30211374,-0.08636012230523991,6.442,0,6.175,1,417748.02,False,6.47,6.502599999999947,6.558428571428536,6.611510016216111,6.555353844599445,6.163,6.663000000000007
3440,ATOM/USDT:USDT,2021-01-07 19:00:00+00:00,first_buy,long-ml-exit,6.17,6.27,6.510376330045684,6.585694459459362,5.977,1,6.263,527423.45,0,False,6.425599999999948,6.498571428571393,6.646320000000007,-4.58149247,-0.07467484849300789,5.907,0,5.821,1,135392.59,False,5.908,5.943999999999948,5.983428571428534,6.183065935117496,6.055965433247479,5.812,6.207520000000005
