,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,short_kdj (exit),long_jcrosk (exit),volume (exit),close (exit),sma-05 (exit),sma-07 (exit),ema-12 (exit),low (exit),ema-26 (exit),open (exit),sma-25 (exit),mean-grad-hist (exit),high (exit)
380,LPT/USDT:USDT,2024-09-24 13:45:00+00:00,first_buy,force_exit,14.778,14.93,14.855117356746588,14.85571522925071,14.762,0,14.842,18363.9,0,False,14.807399999999808,14.825571428571276,14.895759999999688,-10.75029971,-0.17654545491660023,False,0,10521.8,12.229,12.255599999999834,12.245714285714133,12.449824027279513,12.229,12.282593048877418,12.331,12.344839999999682,1,12.331
71,STMX/USDT:USDT,2024-09-06 14:45:00+00:00,second_buy,force_exit,0.006050000000000001,0.0061200000000000004,0.006137077961943765,0.006173152539016582,0.006030000000000001,0,0.0061,139241792.0,0,False,0.006104000000001128,0.006138571428570887,0.006167199999999997,2.8220479,0.0460493993383711,False,0,27020363.0,0.005840000000000001,0.005806000000001174,0.005801428571428044,0.005881142028516887,0.00583,0.005826286888335768,0.005840000000000001,0.005845599999999995,0,0.00587
309,1000SHIB/USDT:USDT,2024-09-27 14:30:00+00:00,second_buy,force_exit,0.02093,0.021637,0.020382792482325236,0.019938110448346105,0.020878,0,0.021498,3525598863.0,0,False,0.020788199999999944,0.020614428571428534,0.019829120000000113,14.51329258,0.23686485790199777,False,0,181669599.0,0.016397,0.016312999999999973,0.016284142857142813,0.016435967247733333,0.016377,0.016306780338087173,0.016423999999999998,0.016299360000000106,0,0.016458999999999998
949,BCH/USDT:USDT,2024-09-15 23:00:00+00:00,first_buy,force_exit,317.95,318.2,318.2928101439623,319.4837295025885,317.38,1,318.06,1003.2,0,False,318.00000000000284,317.91857142855736,319.0060000000005,-0.07040277,-0.0011517883881619576,False,0,1053.108,317.42,317.33800000000264,317.2371428571286,319.9769377867795,317.42,317.7591322571895,318.41,319.060000000002,0,318.41
911,ETH/USDT:USDT,2024-09-15 23:00:00+00:00,first_buy,force_exit,2346.16,2346.66,2352.13386887966,2364.486894015909,2341.0,1,2345.16,12261.325,0,False,2347.2919999999813,2346.112857142804,2364.7095999999933,2.31718645,0.03796528220055339,False,0,12964.279,2446.85,2448.529999999975,2449.512857142796,2474.3326505453347,2446.85,2455.314044659892,2452.28,2472.161199999989,0,2453.83
119,UNI/USDT:USDT,2024-09-16 00:15:00+00:00,first_buy,force_exit,6.53,6.559,6.560644639849166,6.6069497848157,6.506,1,6.506,129905.0,1,False,6.523400000000073,6.54157142857179,6.606479999999988,2.8752435,0.049047540748785555,False,0,45915.0,6.8629999999999995,6.879600000000066,6.882285714286094,6.97547184771825,6.859,6.903418993519771,6.902,6.9547199999999885,1,6.902
189,INJ/USDT:USDT,2024-09-19 06:45:00+00:00,first_buy,force_exit,20.561,20.706,20.510794804225135,20.286376396332866,20.555,1,20.637,46614.1,0,False,20.614000000000253,20.584714285714274,20.353760000000108,-0.2199068,-0.003670971935337523,False,1,35008.5,20.678,20.725800000000238,20.712000000000014,21.032754279883534,20.655,20.759589541491767,20.806,20.825000000000138,1,20.807
873,BNB/USDT:USDT,2024-09-10 16:45:00+00:00,first_buy,force_exit,514.34,515.58,516.4080215600067,517.6491326346529,514.01,0,515.57,3139.47,0,False,515.1799999999888,515.7985714285647,518.5543999999919,3.40220823,0.05992914282907194,False,0,4160.38,546.98,547.4099999999902,547.151428571421,549.5559346446465,546.97,547.2525680964719,548.51,547.8403999999919,1,548.51
687,SXP/USDT:USDT,2024-09-25 11:30:00+00:00,second_buy,force_exit,0.267,0.267,0.26696960197052494,0.26727574966428813,0.2654,1,0.2666,420658.2,0,False,0.26677999999998875,0.266899999999958,0.2675759999999922,8.58669593,0.1401064287229022,False,0,472058.9,0.22920000000000001,0.228399999999989,0.22814285714281496,0.23087822575957148,0.22890000000000002,0.22875015419239542,0.22940000000000002,0.22939999999999214,0,0.22970000000000002
167,AAVE/USDT:USDT,2024-09-15 21:30:00+00:00,first_buy,force_exit,143.74,144.52,144.72295283845014,145.33419240103476,143.73,0,144.47,13096.6,0,False,144.31800000000325,144.47142857143288,145.56760000000014,-0.19231115,-0.003324548885045874,False,1,7120.8,144.72,145.44800000000282,145.60285714286172,147.68331304498332,144.69,146.0705435138002,145.95,147.39560000000034,1,145.95
