,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),close (exit),sma-25 (exit),nlp-enter-short (exit),nlp-enter-long (exit),low (exit),short_kdj (exit),long_jcrosk (exit),imit-exit-short (exit),sma-05 (exit),ema-26 (exit),ema-12 (exit),high (exit),sma-07 (exit),open (exit),volume (exit),mean-grad-hist (exit),imit-enter-short (exit)
1217,STMX/USDT:USDT,2022-05-13 04:45:00+00:00,first_buy,long-exit-profit,0.00889,0.00893,0.008678463418213682,0.00843878908840509,0.008780000000000001,1,0.00885,26777030.0,0,False,0.008822000000000593,0.008802857142856429,0.008323599999999933,0.50055972,0.00815117086303527,go_long,go_long,go_long,go_long,0.00893,0.008372799999999932,go_long,go_long,0.00884,False,0,go_long,0.008850000000000594,0.008717161353873116,0.008475175081856565,0.009000000000000001,0.008828571428570714,0.00885,20376171.0,1,go_long
1229,STMX/USDT:USDT,2022-05-24 05:00:00+00:00,first_buy,long-exit-profit,0.0099,0.00992,0.009789040648544429,0.00977696403185283,0.00987,0,0.009880000000000002,7434457.0,0,False,0.009810000000000613,0.00980285714285642,0.009695599999999964,0.3740187,0.006091173264425544,go_long,go_long,go_long,go_long,0.00995,0.009724799999999964,go_long,go_long,0.00991,False,0,go_long,0.009890000000000614,0.009833455138898673,0.009800963676142688,0.00996,0.009848571428570705,0.00992,10403731.0,1,go_long
1228,STMX/USDT:USDT,2022-05-24 03:15:00+00:00,first_buy,long-exit-profit,0.009760000000000001,0.0098,0.009727800819774257,0.009754122727189308,0.00974,1,0.00978,9642584.0,0,False,0.009770000000000615,0.009767142857142133,0.009703199999999962,0.62930736,0.010247421290366076,go_long,go_long,go_long,go_long,0.0099,0.009685199999999963,go_long,go_long,0.00978,False,0,go_long,0.009794000000000611,0.009772502584643416,0.009768721154401057,0.00991,0.009788571428570704,0.00978,13526644.0,0,go_long
1227,STMX/USDT:USDT,2022-05-23 22:15:00+00:00,first_buy,long-exit-profit,0.009890000000000001,0.0099,0.009918265365871256,0.010005048798399068,0.009760000000000001,1,0.00978,10974963.0,0,False,0.009914000000000613,0.00992142857142785,0.010024399999999963,0.31055067,0.005057237461298177,go_long,go_long,go_long,go_long,0.00983,0.009721999999999963,go_long,go_long,0.00966,False,0,go_long,0.009662000000000613,0.009671385398267895,0.009746452215708235,0.009890000000000001,0.00967285714285642,0.009680000000000001,33293224.0,0,go_long
1225,STMX/USDT:USDT,2022-05-17 21:00:00+00:00,first_buy,long-exit-profit,0.010190000000000001,0.010190000000000001,0.010005172647333364,0.009971139842391456,0.01007,1,0.01007,22387532.0,1,False,0.010094000000000596,0.0100685714285707,0.009924799999999944,0.42557942,0.006930445300226611,go_long,go_long,go_long,go_long,0.01016,0.009943999999999942,go_long,go_long,0.010110000000000001,False,0,go_long,0.010128000000000597,0.010054385431770918,0.010003522838864324,0.01016,0.010124285714284986,0.010110000000000001,8661614.0,1,go_long
1223,STMX/USDT:USDT,2022-05-17 13:00:00+00:00,first_buy,long-exit-profit,0.010280000000000001,0.01034,0.010069236477055413,0.00997858646766726,0.01021,0,0.01033,27971136.0,0,False,0.010154000000000591,0.010109999999999272,0.009927599999999943,0.29297976,0.0047713913992983754,go_long,go_long,go_long,go_long,0.01038,0.009975999999999942,go_long,go_long,0.010140000000000001,False,0,go_long,0.010294000000000591,0.010156783682731341,0.010042166009109432,0.01041,0.010231428571427845,0.010220000000000002,23152268.0,1,go_long
1220,STMX/USDT:USDT,2022-05-14 04:45:00+00:00,first_buy,long-exit-profit,0.00931,0.00931,0.009377037129368571,0.009316876138830234,0.009160000000000001,1,0.00918,8634001.0,0,False,0.009348000000000595,0.00939142857142786,0.009317199999999939,0.41140548,0.0066991831697714044,go_long,go_long,go_long,go_long,0.009260000000000001,0.009343599999999938,go_long,go_long,0.009170000000000001,False,0,go_long,0.009208000000000596,0.009300862036031135,0.009290590868469992,0.00931,0.009247142857142147,0.00919,8743447.0,0,go_long
1218,STMX/USDT:USDT,2022-05-13 07:30:00+00:00,first_buy,long-exit-profit,0.00915,0.009210000000000001,0.009110936634857476,0.008868681234045652,0.009080000000000001,1,0.00918,28111674.0,0,False,0.009188000000000595,0.009199999999999289,0.008894799999999932,0.27233204,0.004434750673949464,go_long,go_long,go_long,go_long,0.00922,0.009121599999999935,go_long,go_long,0.009030000000000002,False,0,go_long,0.009128000000000597,0.00911355784706844,0.009015350041861188,0.009250000000000001,0.009139999999999284,0.009040000000000001,26499486.0,0,go_long
1216,STMX/USDT:USDT,2022-05-13 03:30:00+00:00,first_buy,long-exit-profit,0.00875,0.008870000000000001,0.008482419220860547,0.008257491673307076,0.008700000000000001,1,0.00876,46448357.0,0,False,0.008692000000000593,0.008639999999999285,0.008107199999999934,0.7158683,0.011657669582413028,go_long,go_long,go_long,go_long,0.00888,0.008275999999999933,go_long,go_long,0.00876,False,0,go_long,0.008804000000000593,0.008647274948797986,0.008405892215477497,0.0089,0.008775714285713571,0.008790000000000001,17970136.0,1,go_long
1215,STMX/USDT:USDT,2022-05-12 13:45:00+00:00,first_buy,long-exit-profit,0.0076100000000000004,0.007680000000000001,0.007480355357144375,0.007499594439504689,0.007260000000000001,1,0.007390000000000001,131107669.0,1,False,0.007502000000000593,0.007461428571427858,0.0074587999999999365,0.2913935,0.004745254745254746,go_long,go_long,go_long,go_long,0.007450000000000001,0.007445999999999937,go_long,go_long,0.00725,False,0,go_long,0.007458000000000592,0.007456112415470233,0.007484288785583581,0.007560000000000001,0.007469999999999287,0.007330000000000001,93788438.0,1,go_long
