,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,volume (exit),low (exit),sma-07 (exit),ema-12 (exit),open (exit),mean-grad-hist (exit),sma-05 (exit),close (exit),long_jcrosk (exit),ema-26 (exit),sma-25 (exit),high (exit),short_kdj (exit)
367,XLM/USDT:USDT,2024-08-08 12:30:00+00:00,second_buy,force_exit,0.10092000000000001,0.10097,0.10141500056471267,0.10152988469563358,0.10009000000000001,1,0.10031000000000001,15578783.0,0,False,0.101136000000003,0.10138714285714201,0.10168000000000092,4.25709098,0.06952836276825528,2000111.0,0.09365000000000001,0.09364714285714235,0.09434342232226993,0.09399,0,0.09370200000000263,0.09376000000000001,0,0.09379836192723846,0.0940800000000011,0.094,False
2054,QTUM/USDT:USDT,2024-10-01 15:00:00+00:00,first_buy,force_exit,2.609,2.613,2.638921245738781,2.658560079492152,2.5700000000000003,1,2.578,99452.2,0,False,2.6135999999995927,2.6217142857144085,2.6785999999999035,-4.63241001,-0.07571348309491345,17529.3,2.388,2.387142857142981,2.4120671180632627,2.403,1,2.389999999999593,2.388,0,2.387888528565297,2.387359999999904,2.403,False
1240,DOT/USDT:USDT,2024-09-30 18:30:00+00:00,first_buy,force_exit,4.523,4.524,4.536413035462803,4.56121690435416,4.496,1,4.502,569376.3,1,False,4.533200000000163,4.530428571428866,4.561279999999744,-4.8909836,-0.07982045660600753,133574.9,4.15,4.154000000000294,4.189702503421709,4.168,1,4.153800000000163,4.15,0,4.1606508204738955,4.171839999999744,4.168,False
1888,XRP/USDT:USDT,2024-09-29 16:30:00+00:00,second_buy,force_exit,0.6574,0.6592,0.6464694310561786,0.6380513377506134,0.6515000000000001,1,0.6529,38293969.3,1,False,0.655779999999987,0.652614285714302,0.634703999999995,5.20973855,0.08507553769366895,4953211.3,0.5964,0.5958428571428749,0.6016588995430545,0.5985,0,0.5965799999999875,0.5966,0,0.598122235395875,0.6020119999999958,0.5986,False
2070,API3/USDT:USDT,2024-09-19 06:45:00+00:00,second_buy,force_exit,1.5934,1.5949,1.5910111167992813,1.5871350094249521,1.5877,1,1.5901,69198.3,0,False,1.5905200000000288,1.5923571428571661,1.5918720000000084,8.07914997,0.13209540263998823,24196.0,1.3745,1.3752857142857382,1.3927502940030627,1.3811,1,1.375400000000025,1.3751,0,1.3775473817053874,1.3801120000000093,1.3819,False
987,BAKE/USDT:USDT,2024-09-27 14:30:00+00:00,second_buy,force_exit,0.2831,0.2861,0.2833212224639279,0.2835189044749551,0.28250000000000003,0,0.2854,950193.0,0,False,0.2828599999999857,0.28322857142859137,0.28420800000000673,11.27527111,0.18473178171870416,209033.0,0.2326,0.23290000000002017,0.2359354423702712,0.23370000000000002,1,0.23269999999998564,0.2326,0,0.23352370106823356,0.23424800000000678,0.2338,False
1099,COMP/USDT:USDT,2024-09-18 18:30:00+00:00,first_buy,force_exit,42.29,42.69,41.90540375084569,41.792014050255865,42.27,0,42.63,4814.81,1,False,42.087999999999944,41.97428571428264,41.67999999999828,-0.45262032,-0.0073726858758306575,1007.358,42.56,42.57857142856822,43.05456841987115,42.68,1,42.582,42.57,0,42.65481876969892,42.75839999999831,42.68,False
1750,ALGO/USDT:USDT,2024-09-25 11:30:00+00:00,second_buy,force_exit,0.14100000000000001,0.14100000000000001,0.1409177928560783,0.14054122916782869,0.1401,1,0.1408,775781.4,0,False,0.1410799999999839,0.14092857142857257,0.1407040000000194,6.98921513,0.1140440693225723,1271399.9,0.12440000000000001,0.12444285714285834,0.12538216119534445,0.12480000000000001,0,0.12447999999998378,0.1247,0,0.12456217511439947,0.12474000000001934,0.125,False
590,FTM/USDT:USDT,2024-09-19 00:00:00+00:00,second_buy,force_exit,0.643,0.6511,0.6387064727769659,0.6251360064838182,0.6391,0,0.6499,9447972.0,0,False,0.6429799999999798,0.6418714285714321,0.6266840000000116,-1.61876665,-0.026520246105352488,4230576.0,0.6671,0.673542857142858,0.681335080896696,0.675,1,0.6736799999999784,0.6679,1,0.6744349272515603,0.6783040000000115,0.6751,False
229,STMX/USDT:USDT,2024-09-01 09:00:00+00:00,second_buy,force_exit,0.0063100000000000005,0.00634,0.006294908281029354,0.006289064520761301,0.006280000000000001,1,0.0063100000000000005,98629119.0,0,False,0.0063140000000011225,0.006308571428570886,0.006286800000000008,4.72034761,0.07702354753237764,27020363.0,0.00583,0.005801428571428044,0.005881142028516887,0.005840000000000001,0,0.005806000000001174,0.005840000000000001,0,0.005826286888335768,0.005845599999999995,0.00587,False
2107,APE/USDT:USDT,2024-09-09 19:45:00+00:00,second_buy,force_exit,0.8027000000000001,0.8116,0.7911669448006857,0.7744178923863162,0.8013,0,0.8104,2177264.0,0,False,0.8036799999999765,0.8001142857142656,0.7676080000000277,9.69893392,0.1597341652280777,653132.0,0.6796,0.6841285714285517,0.6995381732972885,0.6848000000000001,1,0.6833799999999792,0.6803,1,0.6876092107784944,0.6949600000000271,0.6848000000000001,False
1570,LTC/USDT:USDT,2024-09-30 23:00:00+00:00,first_buy,force_exit,67.04,67.2,67.19872340562156,67.22964693779583,66.99,1,67.0,7452.241,0,False,67.131999999998,67.18571428571727,67.2268000000018,-3.46614045,-0.05648279540376434,7561.502,63.34,63.25571428571727,63.69200232944438,63.46,0,63.295999999998074,63.36,0,63.310424793735464,63.44360000000177,63.46,False
85,LINK/USDT:USDT,2024-09-15 21:30:00+00:00,second_buy,force_exit,10.932,10.978,11.036247518476001,11.085345588227419,10.931000000000001,1,10.945,93874.57,0,False,10.99440000000032,11.018857142856783,11.09739999999989,-0.23861655,-0.0038970078542942864,75911.59,11.006,11.008999999999643,11.124293844996119,11.061,0,11.012200000000325,11.008,0,11.030792085351994,11.073199999999908,11.061,False
775,1000SHIB/USDT:USDT,2024-09-27 06:00:00+00:00,second_buy,force_exit,0.019128,0.019244999999999998,0.01899632527306344,0.018890504766515902,0.019067,0,0.019126999999999998,533830511.0,0,False,0.01901659999999994,0.019004142857142813,0.018928560000000108,8.7240494,0.1423661727805388,181669599.0,0.016377,0.016284142857142813,0.016435967247733333,0.016423999999999998,0,0.016312999999999973,0.016397,0,0.016306780338087173,0.016299360000000106,0.016458999999999998,False
1681,ETH/USDT:USDT,2024-09-30 23:30:00+00:00,first_buy,force_exit,2607.09,2608.56,2604.8266370262736,2605.0209650233223,2598.31,1,2600.74,14516.463,0,False,2603.865999999977,2605.5585714285075,2601.086399999989,-3.67813479,-0.061428341459844195,12964.279,2446.85,2449.512857142796,2474.3326505453347,2452.28,0,2448.529999999975,2446.85,0,2455.314044659892,2472.161199999989,2453.83,False
1042,EGLD/USDT:USDT,2024-09-18 09:30:00+00:00,first_buy,force_exit,25.975,26.07,26.078642502592718,26.017345818037324,25.904,1,25.99,3390.5,0,False,26.097800000003225,26.113857142858958,26.07616000000157,-2.16956796,-0.03624415651238394,1949.5,25.219,25.233142857144664,25.483424620428533,25.328,1,25.23180000000324,25.219,1,25.277537458628505,25.348080000001588,25.328,False
2220,GAS/USDT:USDT,2024-10-01 15:00:00+00:00,first_buy,force_exit,3.939,3.949,3.9813210554359357,4.018297538187683,3.871,1,3.8890000000000002,149361.1,0,False,3.938799999999997,3.953285714285696,4.040560000000066,-1.83942667,-0.030103881302572032,19340.8,3.779,3.7525714285714105,3.7661812456651824,3.792,0,3.7551999999999977,3.779,0,3.752691877861793,3.7398800000000665,3.798,False
703,DYDX/USDT:USDT,2024-09-24 17:15:00+00:00,second_buy,force_exit,0.988,0.994,0.9835752505105377,0.9793075995767461,0.987,0,0.99,1272148.2,0,False,0.9896000000000184,0.9862857142858389,0.9783599999999589,5.71642319,0.09328129800409396,586780.5,0.899,0.9035714285715539,0.9197467066311014,0.906,1,0.902400000000019,0.899,0,0.9070694693917652,0.9151599999999591,0.906,False
2159,LQTY/USDT:USDT,2024-09-13 21:00:00+00:00,second_buy,force_exit,0.9254,0.9258000000000001,0.9082564999646016,0.8882648301639078,0.918,1,0.9189,1113481.4,0,False,0.9177599999999732,0.9168000000000054,0.8860760000000139,7.36836187,0.12034037841685766,84460.4,0.8064,0.8037428571428613,0.8144035995002809,0.8108000000000001,0,0.8051199999999719,0.8064,0,0.8053727623872803,0.8066880000000141,0.8124,False
2216,CTSI/USDT:USDT,2024-09-30 03:00:00+00:00,second_buy,force_exit,0.1399,0.1403,0.14092476182175745,0.14176531116963942,0.1394,0,0.1395,383085.0,0,False,0.13987999999999845,0.1403142857142809,0.1424680000000027,7.04299731,0.11494142685139816,328815.0,0.12290000000000001,0.12244285714285229,0.12354025174023205,0.1231,0,0.12263999999999853,0.1233,0,0.12245452569789517,0.12244000000000264,0.12350000000000001,False
2167,LEVER/USDT:USDT,2024-08-25 07:00:00+00:00,second_buy,force_exit,0.0022216,0.0022309,0.00223225562746459,0.0022418872111796373,0.0022168,0,0.0022225,18365325.0,0,False,0.0022260400000000315,0.0022297428571428812,0.0022386320000000117,8.41620278,0.13732492367872476,16258201.0,0.0019302,0.0019262857142857473,0.0019541847753600174,0.0019366,0,0.0019271800000000305,0.0019318,0,0.0019315686657832584,0.0019384720000000144,0.0019376999999999999,False
153,MTL/USDT:USDT,2024-09-20 03:45:00+00:00,second_buy,force_exit,0.9924000000000001,0.9956,0.983812860033628,0.9779480108128741,0.9922000000000001,0,0.9948,53650.0,0,False,0.9892999999999532,0.9863714285714726,0.9745680000000128,3.19613905,0.05271702713986229,34288.0,0.9437000000000001,0.9447571428571863,0.9551769907036276,0.9472,0,0.9446199999999504,0.9446,0,0.946892198657433,0.9499800000000126,0.9477000000000001,False
2210,NMR/USDT:USDT,2024-09-20 08:00:00+00:00,first_buy,force_exit,15.45,15.549,15.482744069814618,15.401164922171827,15.45,1,15.505,2550.4,0,False,15.490599999999862,15.498142857142811,15.404200000000037,-4.95528438,-0.08186497401093189,1574.6,14.278,14.285714285714253,14.49120734307491,14.341,1,14.279599999999837,14.278,0,14.317296378084345,14.375640000000026,14.342,False
2176,MASK/USDT:USDT,2024-09-20 04:00:00+00:00,second_buy,force_exit,2.2969,2.375,2.290129389816478,2.275838710188898,2.2961,0,2.3746,750248.0,0,False,2.304180000000182,2.293942857142934,2.26986399999999,0.62798918,0.010592152960070732,283419.0,2.3425000000000002,2.344542857142927,2.3329711406870626,2.351,0,2.3430200000001817,2.3502,0,2.3434127125696453,2.333011999999992,2.367,False
2205,COTI/USDT:USDT,2024-09-13 15:45:00+00:00,second_buy,force_exit,0.10004,0.10076,0.09926813788084951,0.09958545952344097,0.09906000000000001,0,0.09908,8555395.0,0,False,0.09923999999999306,0.09911571428571977,0.09969560000000152,-0.9874022,-0.016114176821524835,1213966.0,0.10102000000000001,0.10130857142857695,0.1027555973701227,0.10198000000000002,1,0.10141799999999312,0.10103000000000001,1,0.10145635204752723,0.10153880000000148,0.10198000000000002,False
1806,BCH/USDT:USDT,2024-10-01 13:30:00+00:00,first_buy,force_exit,340.18,340.28,342.20021231417326,343.1029481506184,338.63,1,339.07,4179.343,0,False,341.35200000000253,341.86714285712844,343.85280000000193,-3.99247067,-0.06535002912889484,1053.108,317.42,317.2371428571286,319.9769377867795,318.41,0,317.33800000000264,317.42,0,317.7591322571895,319.060000000002,318.41,False
2185,IOTX/USDT:USDT,2024-09-30 03:00:00+00:00,second_buy,force_exit,0.043250000000000004,0.04333,0.04340211227019441,0.043603602016978806,0.0429,1,0.04292000000000001,1679882.0,0,False,0.043107999999999216,0.043292857142857175,0.04368079999999966,3.33221461,0.05437188112404182,1160923.0,0.040530000000000004,0.04044428571428571,0.04089705535549597,0.04068,0,0.04047799999999921,0.04055,0,0.04057496613591438,0.040754799999999654,0.04068,False
1625,BNB/USDT:USDT,2024-09-30 02:00:00+00:00,first_buy,force_exit,585.26,585.26,589.1322184643657,592.8424371562362,581.0,1,582.17,26791.15,0,False,585.28799999999,586.2399999999922,594.960799999992,-3.63147588,-0.06231595636958332,4160.38,546.97,547.151428571421,549.5559346446465,548.51,1,547.4099999999902,546.98,0,547.2525680964719,547.8403999999919,548.51,False
1300,ETC/USDT:USDT,2024-09-30 02:45:00+00:00,first_buy,force_exit,20.054,20.076,20.2039413625654,20.3316014387874,19.962,0,20.016,30654.69,0,False,20.071399999998526,20.141428571428825,20.401519999999877,-5.09250755,-0.08306548078924678,30166.82,18.382,18.380285714286,18.47744631863798,18.457,1,18.390799999998542,18.395,0,18.380172643313067,18.407079999999887,18.457,False
2149,ZRX/USDT:USDT,2024-09-19 20:30:00+00:00,second_buy,force_exit,0.31270000000000003,0.31320000000000003,0.3136125757260295,0.3128282031998958,0.3123,0,0.3125,134753.6,0,False,0.31293999999996497,0.3132428571428438,0.31405200000001066,1.26092665,0.020579572968272397,236998.5,0.3063,0.3060142857142729,0.30977525468067163,0.30770000000000003,0,0.30615999999996496,0.3063,0,0.30670906629537387,0.3075680000000108,0.3078,False
422,UNI/USDT:USDT,2024-09-30 00:30:00+00:00,first_buy,force_exit,7.459,7.48,7.443511744250275,7.454797604832589,7.395,1,7.401,108951.0,0,False,7.430000000000069,7.429000000000373,7.470719999999988,-4.44409662,-0.07497394222907597,45915.0,6.859,6.882285714286094,6.97547184771825,6.902,1,6.879600000000066,6.8629999999999995,0,6.903418993519771,6.9547199999999885,6.902,False
1386,SXP/USDT:USDT,2024-09-19 14:00:00+00:00,second_buy,force_exit,0.2718,0.29410000000000003,0.24842306545702444,0.23727671373782408,0.2707,0,0.292,95958353.6,0,False,0.25775999999998955,0.25051428571424406,0.2347159999999921,12.32192403,0.20107690269621117,472058.9,0.22890000000000002,0.22814285714281496,0.23087822575957148,0.22940000000000002,0,0.228399999999989,0.22920000000000001,0,0.22875015419239542,0.22939999999999214,0.22970000000000002,False
