,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),close_date,close (exit),nlp-enter-long (exit),volume (exit),open (exit),low (exit),sma-07 (exit),ema-26 (exit),sma-05 (exit),mean-grad-hist (exit),imit-enter-short (exit),imit-exit-short (exit),short_kdj (exit),long_jcrosk (exit),ema-12 (exit),nlp-enter-short (exit),nlp-exit-short (exit),high (exit),sma-25 (exit)
53,LINK/USDT:USDT,2024-11-23 13:15:00+00:00,second_buy,force_exit,17.41,17.498,17.149124062011143,17.00700110484847,17.333,1,17.363,491746.1,1,False,17.331400000000194,17.236571428571185,17.00067999999982,-2.86717751,-0.04683167063354625,go_short,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,18.206,go_short,150001.75,18.115,18.088,18.036999999999743,18.05866817037405,18.042600000000178,0,go_short,go_short,False,0,18.04655920103494,go_short,go_short,18.212,18.07719999999983
229,OGN/USDT:USDT,2024-11-29 11:45:00+00:00,second_buy,force_exit,0.1302,0.1306,0.12894787862067972,0.1279030142754348,0.13,1,0.1305,516976.0,1,False,0.12994000000001188,0.12957142857142875,0.1272600000000003,-0.546093,-0.008912360636498569,go_short,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,0.13140000000000002,go_short,249905.0,0.1313,0.1312,0.13065714285714303,0.13077408972797447,0.1306800000000119,0,go_short,go_short,False,0,0.13067396417235586,go_short,go_short,0.13140000000000002,0.13109600000000032
164,STMX/USDT:USDT,2024-11-20 14:15:00+00:00,first_buy,force_exit,0.00683,0.006860000000000001,0.006802913413083072,0.00682242213884463,0.006810000000000001,0,0.00685,106739623.0,0,False,0.006806000000001202,0.006785714285713734,0.0068355999999999886,10.16363944,0.16550477034595662,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.00799,go_long,9662234.0,0.008,0.007970000000000001,0.007951428571428026,0.007933737917747695,0.0079680000000012,0,go_long,go_long,False,0,0.007889072844397107,go_long,go_long,0.008,0.007891999999999993
62,MTL/USDT:USDT,2021-05-19 14:45:00+00:00,second_buy,stop_loss,2.1541,2.1616,2.160202226254135,2.4412294869825546,2.0802,0,2.0961,47194.0,0,False,1.9465399999999877,1.8653571428571492,2.6151079999999935,-24.55659818,-0.4043828416872609,go_short,go_short,go_short,go_short,go_short,2021-05-19 16:45:00+00:00,2.5068,go_short,207893.0,2.3627000000000002,2.3627000000000002,2.3658428571428636,2.318503129475181,2.398239999999988,0,go_short,go_short,False,0,2.404828192135922,go_short,go_short,2.5403000000000002,2.366019999999993
405,1000SHIB/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,0.010672,0.01072,0.011325731891816746,0.012182053853873599,0.009215,1,0.009256,2646230763.0,1,False,0.010484199999999997,0.010782857142857169,0.012416559999999964,-24.20760925,-0.39421267936969634,go_long,go_long,go_long,go_long,go_long,2021-05-19 13:00:00+00:00,0.007409,go_long,4504280764.0,0.009257,0.0063,0.010045428571428597,0.01072315775461417,0.009903399999999998,1,go_long,go_long,False,0,0.01182849430914222,go_long,go_long,0.01,0.012192519999999962
121,STMX/USDT:USDT,2021-05-18 05:15:00+00:00,first_buy,stop_loss,0.03658,0.03662,0.03584922652851927,0.0354651805059355,0.03638,0,0.03653,2912283.0,0,False,0.03614800000000005,0.035944285714285436,0.035317599999999866,-24.21813478,-0.3945900363433551,go_long,go_long,go_long,go_long,go_long,2021-05-19 12:45:00+00:00,0.02347,go_long,37011770.0,0.027240000000000004,0.023370000000000002,0.027465714285713958,0.028366842841991632,0.02675000000000005,1,go_long,go_long,False,1,0.02992018942574661,go_long,go_long,0.027260000000000003,0.030335999999999867
404,1000SHIB/USDT:USDT,2021-05-14 15:15:00+00:00,first_buy,stop_loss,0.019693,0.019948999999999998,0.019991896321674685,0.020146367677691217,0.019587999999999998,0,0.019856,360841120.0,0,False,0.019885199999999964,0.019900000000000004,0.02021255999999998,-23.58464674,-0.3841365447659806,go_long,go_long,go_long,go_long,go_long,2021-05-19 04:45:00+00:00,0.012494,go_long,1847365483.0,0.012662,0.012100000000000001,0.013635714285714312,0.013852710373146634,0.013397999999999998,1,go_long,go_long,False,0,0.014513965113104708,go_long,go_long,0.013253,0.01472723999999996
123,STMX/USDT:USDT,2021-06-11 23:00:00+00:00,first_buy,stop_loss,0.02212,0.0223,0.022121616301318446,0.022404871672715952,0.022090000000000002,0,0.02221,9270945.0,0,False,0.022038000000000092,0.02201142857142821,0.02220159999999988,-24.35587901,-0.3966409026101886,go_long,go_long,go_long,go_long,go_long,2021-06-22 00:00:00+00:00,0.0137,go_long,20558331.0,0.013880000000000002,0.013590000000000001,0.014074285714285312,0.014318669926281889,0.013918000000000097,1,go_long,go_long,False,1,0.01474855052008637,go_long,go_long,0.014,0.014889199999999873
174,OGN/USDT:USDT,2021-05-19 13:30:00+00:00,second_buy,stop_loss,0.37310000000000004,0.5373,0.692260216161016,0.8195000651933707,0.3504,1,0.48310000000000003,371274.0,0,False,0.5612200000000026,0.6421571428571505,0.8716520000000056,-24.2379396,-0.3956382929056034,go_short,go_short,go_short,go_short,go_short,2021-05-19 13:45:00+00:00,0.5542,go_short,237556.0,0.4867,0.4323,0.601385714285722,0.671020182905475,0.5062600000000026,0,go_short,go_short,False,0,0.7998482085123803,go_short,go_short,0.6211,0.8548680000000057
403,1000SHIB/USDT:USDT,2021-05-12 07:00:00+00:00,first_buy,stop_loss,0.02765,0.0279,0.027516175155345518,0.0284657103382207,0.027186,0,0.027274999999999997,385263439.0,0,False,0.027434399999999977,0.027271999999999984,0.028602799999999998,-24.25913854,-0.3951832753722962,go_long,go_long,go_long,go_long,go_long,2021-05-12 17:45:00+00:00,0.022466,go_long,2722351333.0,0.025672999999999998,0.021588,0.025145714285714264,0.025627574003815927,0.024881399999999984,1,go_long,go_long,False,1,0.02661416043264656,go_long,go_long,0.025876,0.02687355999999999
