,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),sma-05 (exit),volume (exit),ema-26 (exit),high (exit),imit-enter-short (exit),short_kdj (exit),nlp-enter-long (exit),open (exit),imit-exit-short (exit),nlp-enter-short (exit),ema-12 (exit),low (exit),long_jcrosk (exit),nlp-exit-short (exit),close (exit),sma-25 (exit),mean-grad-hist (exit),sma-07 (exit)
724,EGLD/USDT:USDT,2024-11-06 05:45:00+00:00,first_buy,force_exit,24.786,24.817,24.673877283449162,24.3686085003939,24.648,1,24.72,4742.2,0,False,24.823000000003784,24.852000000001336,24.312840000001696,42.40130968,0.7140079616433838,go_long,go_long,go_long,go_long,go_long,42.472600000003794,10620.8,42.33204210010245,42.878,go_long,False,go_long,42.639,go_long,go_long,41.91224535359867,42.598,0,go_long,42.738,42.10036000000172,0,42.40585714285837
788,STORJ/USDT:USDT,2024-11-19 07:15:00+00:00,second_buy,force_exit,0.5274,0.529,0.5199124716471935,0.5167985220532013,0.5224,1,0.5234,1841848.0,1,False,0.5251000000000003,0.5219142857143291,0.5169680000000032,-12.920957,-0.21120763467810552,go_short,go_short,go_short,go_short,go_short,0.6308999999999988,541093.0,0.6282125800099143,0.6371,go_short,False,go_short,0.6325000000000001,go_short,go_short,0.6238034970793125,0.6323000000000001,0,go_short,0.6347,0.6239880000000029,0,0.6298142857143277
561,1000SHIB/USDT:USDT,2024-11-10 07:30:00+00:00,second_buy,force_exit,0.022473,0.022494,0.02243968348764005,0.022139538905101258,0.022331999999999998,0,0.022414,235088826.0,0,False,0.02233699999999999,0.022386000000000007,0.022461640000000095,-9.61539543,-0.1568874197086603,go_short,go_short,go_short,go_short,go_short,0.026077400000000018,132056546.0,0.02606737917761297,0.026261,go_short,False,go_short,0.026241999999999998,go_short,go_short,0.026020353495079945,0.026128,0,go_short,0.026168999999999998,0.026042680000000113,0,0.026079714285714352
607,TRB/USDT:USDT,2024-11-02 08:45:00+00:00,first_buy,force_exit,57.874,57.919,58.08165299340823,58.217297418179484,57.717,1,57.777,2072.3,0,False,57.98000000000341,58.03157142857246,58.25255999999963,15.60190237,0.26976212492550894,go_long,go_long,go_long,go_long,go_long,73.69760000000329,6680.8,73.7360765729477,74.237,go_long,False,go_long,74.024,go_long,go_long,73.61837776651141,74.007,0,go_long,74.207,73.72023999999945,0,73.67628571428659
112,MTL/USDT:USDT,2024-11-23 12:45:00+00:00,second_buy,force_exit,1.3811,1.3925,1.3810662493112376,1.3690677554415263,1.3768,1,1.3786,185117.0,0,False,1.3833999999999516,1.3864285714286158,1.3772920000000135,-7.04206815,-0.11620164692805587,go_short,go_short,go_short,go_short,go_short,1.5377599999999532,48132.0,1.533078315721175,1.5442,go_short,False,go_short,1.542,go_short,go_short,1.524581048003169,1.5386000000000002,0,go_short,1.5405,1.5277480000000139,0,1.5348857142857593
750,COMP/USDT:USDT,2024-11-10 21:00:00+00:00,first_buy,force_exit,48.52,48.74,49.55668925080691,49.938028875226415,48.01,1,48.05,6832.487,0,False,48.93000000000073,49.278571428568696,50.21959999999847,29.3366198,0.4780044377674851,go_long,go_long,go_long,go_long,go_long,70.98000000000057,3177.853,71.01287021066081,71.51,go_long,False,go_long,71.08,go_long,go_long,71.01288740088587,71.02,0,go_long,71.51,71.05079999999853,0,70.94857142856868
825,ETC/USDT:USDT,2024-11-06 20:00:00+00:00,first_buy,force_exit,19.181,19.236,19.178486320028007,19.153205968325338,19.166,0,19.216,34622.0,0,False,19.198999999998648,19.203428571428848,19.1311999999999,40.30267707,0.6568538433734854,go_long,go_long,go_long,go_long,go_long,31.907399999998677,42454.86,31.866357876071174,32.152,go_long,False,go_long,31.993,go_long,go_long,31.8095984977159,31.953,0,go_long,32.135,31.85335999999995,0,31.862714285714638
183,STMX/USDT:USDT,2024-11-20 14:15:00+00:00,second_buy,force_exit,0.00683,0.006860000000000001,0.006802913413083072,0.00682242213884463,0.006810000000000001,0,0.00685,106739623.0,0,False,0.006806000000001202,0.006785714285713734,0.0068355999999999886,-10.42945352,-0.17017329512675777,go_short,go_short,go_short,go_short,go_short,0.0079680000000012,9662234.0,0.007933737917747695,0.008,go_short,False,go_short,0.008,go_short,go_short,0.007889072844397107,0.007970000000000001,0,go_short,0.00799,0.007891999999999993,0,0.007951428571428026
393,AAVE/USDT:USDT,2024-11-15 13:00:00+00:00,first_buy,force_exit,159.16,159.95,159.93071705837053,159.29502143346687,158.91,1,159.12,8679.9,0,False,160.10200000000333,160.04571428571896,159.36520000000053,11.78362351,0.24660322729892867,go_long,go_long,go_long,go_long,go_long,198.36000000000314,3322.7,198.6935173966872,199.85,go_long,False,go_long,199.15,go_long,go_long,198.96383321519994,198.94,0,go_long,199.85,199.2572000000003,0,198.3100000000049
844,SXP/USDT:USDT,2024-11-12 08:45:00+00:00,second_buy,force_exit,0.3855,0.38730000000000003,0.3951871829052829,0.3986417377970865,0.38170000000000004,0,0.38420000000000004,6230048.8,0,False,0.3886599999999988,0.3913142857142459,0.41199999999999437,-5.45886994,-0.0890816055011092,go_short,go_short,go_short,go_short,go_short,0.4181999999999987,859760.5,0.41662671410870894,0.4212,go_short,False,go_short,0.42110000000000003,go_short,go_short,0.4136375974387787,0.4194,0,go_short,0.4207,0.4142999999999939,0,0.41748571428567377
