,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short_kdj (exit),long-large-rl (exit),open (exit),ema-26 (exit),short-large-rl (exit),long_jcrosk (exit),sma-07 (exit),sma-25 (exit),short-small-rl (exit),close (exit),mean-grad-hist (exit),sma-05 (exit),long-bid-rl (exit),long-small-rl (exit),short-bid-rl (exit),sma-compare (exit),low (exit),volume (exit),ema-12 (exit),high (exit)
936,APT/USDT:USDT,2024-11-11 23:00:00+00:00,second_buy,force_exit,12.475,13.358,12.509969066330825,12.304970802718648,12.457,0,13.356,493632.0,0,False,12.599399999999752,12.53157142857138,12.323679999999937,2.76519038,0.3458996698830744,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,9.075,9.007940061809038,go_long,1,9.026142857142725,8.95603999999993,go_long,9.022,1,9.040199999999786,go_short,go_long,go_short,0,9.018,46154.0,8.979994435689413,9.085
122,AAVE/USDT:USDT,2024-12-11 23:00:00+00:00,second_buy,force_exit,301.08,306.6,297.3683011535187,293.04893444529745,300.38,0,305.87,97836.0,0,False,300.1779999999956,299.4757142857123,291.37279999999663,0.30116983,0.04928095290504157,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,291.93,292.26998095389496,go_long,0,292.5642857142845,290.8523999999972,go_long,293.02,1,292.591999999995,go_short,go_long,go_short,0,291.57,6806.0,291.28759828010607,293.15
847,BCH/USDT:USDT,2024-12-05 13:45:00+00:00,first_buy,force_exit,626.64,631.95,618.904755717761,612.6730354504454,625.62,0,627.18,26240.0,0,False,623.0659999999997,620.2971428571661,615.1520000000029,-1.78864764,-0.2846226153585185,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,False,go_long,451.07,451.69572493971845,go_long,0,452.1342857143113,448.3504000000025,go_long,456.88,0,452.34,do_nothing,go_long,do_nothing,0,451.01,67491.0,449.0094833788522,456.88
335,ALGO/USDT:USDT,2025-01-01 20:30:00+00:00,second_buy,force_exit,0.3788,0.3846,0.3717082479754163,0.36272462480801,0.3774,1,0.38120000000000004,24478.0,0,False,0.3775399999999923,0.37668571428571435,0.3610239999999935,0.3035485,0.03981293924952206,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.3699,0.3685381131073663,go_long,1,0.3679285714285712,0.3680679999999931,do_nothing,0.36710000000000004,1,0.368559999999992,go_short,go_long,go_short,0,0.36710000000000004,2380.0,0.3687066971066833,0.3699
909,ADA/USDT:USDT,2024-11-22 22:30:00+00:00,second_buy,force_exit,1.0155,1.044,0.990258447020769,0.9713684871681509,1.0134,0,1.0309,196121.0,0,False,0.9987399999999841,0.9929142857142782,0.9774040000000249,0.52956451,0.05139065483321422,0,do_nothing,go_long,go_long,go_long,go_short,go_short,False,go_long,0.9923000000000001,0.9939462062681687,go_long,1,0.9938428571428531,0.9911080000000233,go_long,0.9929,1,0.9945399999999847,go_short,do_nothing,go_short,0,0.991,7245.0,0.994294051152676,0.9944000000000001
192,BNB/USDT:USDT,2024-09-23 17:15:00+00:00,second_buy,force_exit,606.7,610.6,601.4655559512626,597.7004772585634,605.4,0,610.05,713371.0,0,False,606.1100000000081,603.6999999999956,596.0440000000012,-0.94925742,-0.11126553016716952,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,694.8,693.2692679855601,go_long,1,693.4714285714232,692.150000000002,go_long,694.05,1,693.9900000000068,go_short,go_long,go_short,0,693.8,16788.0,692.8842471039069,695.05
336,BCH/USDT:USDT,2019-12-27 15:15:00+00:00,first_buy,roi,190.95,192.85,191.2258492292983,191.07443019943022,190.95,0,192.75,2086.0,0,False,191.32999999999998,191.46428571428572,190.942,9.24645,0.958465658854764,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,False,go_long,380.55,380.57788474706905,go_long,0,379.47142857142916,381.34799999999944,go_long,380.55,0,378.97000000000065,do_nothing,go_long,do_nothing,1,380.55,0.0,380.80620106403956,380.55
178,BNB/USDT:USDT,2022-01-21 22:00:00+00:00,second_buy,short-exit-profit,394.412,394.412,406.2105123248623,412.0208107737368,378.726,1,388.143,5102761.0,0,False,402.2428000000015,404.2742857142851,414.75315999999924,3.42983676,0.4022884027524099,1,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,241.711,251.23481573290815,go_long,1,246.92242857142838,263.92707999999925,go_long,231.539,1,243.05480000000497,go_short,go_long,go_short,1,231.263,2576001.0,260.03319312900464,242.633
333,ALGO/USDT:USDT,2024-12-01 11:30:00+00:00,second_buy,short-exit-profit,0.49299000000000004,0.51446,0.46545863264501913,0.4523982277578181,0.48926000000000003,0,0.50719,153106.0,0,False,0.47707399999999145,0.4696600000000007,0.44514559999999403,2.03528283,0.4014898608998404,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.3136,0.32725349461985687,go_long,0,0.3231428571428574,0.33989199999999387,do_nothing,0.3095,1,0.3175999999999931,go_short,go_long,go_short,1,0.3089,42752.0,0.33487963385536484,0.31670000000000004
42,AAVE/USDT:USDT,2021-05-18 02:15:00+00:00,second_buy,short-exit-profit,614.86,618.44,599.2019477849095,585.5172592266617,607.741,1,610.344,12117.0,1,False,610.0609999999965,608.4445714285724,583.5303999999975,2.40606425,0.39413313827834984,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,376.015,416.43116607205786,go_long,0,408.035571428573,441.5557199999974,go_long,369.509,1,397.5765999999968,go_short,go_long,go_short,1,352.384,61033.0,439.0781028449059,388.892
43,AAVE/USDT:USDT,2021-05-20 01:15:00+00:00,second_buy,short-exit-profit,369.494,391.331,410.35621744558745,434.4755767082462,366.0,0,376.944,25750.0,0,False,390.96539999999675,399.2610000000016,438.08191999999735,3.06921196,0.404531098643293,1,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,238.121,252.15049868110015,go_long,0,249.72742857142995,266.6833599999972,go_long,225.087,1,245.40399999999636,go_short,go_long,go_short,1,223.231,33063.0,265.37885450478495,238.121
48,AAVE/USDT:USDT,2021-06-14 13:45:00+00:00,second_buy,short-exit-profit,322.991,329.621,318.41126409725496,315.86474709318884,322.991,0,329.354,11004.0,0,False,320.9895999999966,318.5765714285732,314.69871999999674,2.58572684,0.3936768645896943,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,200.91,205.98781425276528,go_long,0,205.02242857142977,211.01603999999665,go_long,197.947,1,202.5679999999976,go_short,go_long,go_short,1,197.533,25237.0,209.44313799506727,201.257
322,ALGO/USDT:USDT,2024-03-27 01:30:00+00:00,second_buy,short-exit-profit,0.2866,0.2907,0.2832709465267225,0.2812538951441988,0.2866,0,0.2901,14195.0,0,False,0.28527999999999165,0.2835142857142878,0.2801439999999955,2.27768577,0.3937764655847557,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.17930000000000001,0.1841839675878703,go_long,0,0.18292857142857333,0.18793199999999552,do_nothing,0.1777,1,0.18153999999999143,go_short,go_long,go_short,1,0.1764,58393.0,0.1865600865733519,0.181
