,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),sma-07 (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),sma-compare (exit),close (exit),short-bid-rl (exit),low (exit),ema-26 (exit),sma-25 (exit),open (exit),short-small-rl (exit),long_jcrosk (exit),high (exit),long-large-rl (exit),short-large-rl (exit),long-small-rl (exit),ema-12 (exit),long-bid-rl (exit),short_kdj (exit)
30,ATOM/USDT:USDT,2024-11-23 01:00:00+00:00,first_buy,force_exit,7.726,7.763,7.509674971565625,7.40739484511368,7.639,0,7.648,22358.0,1,False,7.597600000000355,7.556857142857377,7.382720000000113,-1.2806158,-0.16725538809471352,0,go_long,go_short,go_long,go_long,go_long,go_long,6.513714285714494,1600.0,6.525000000000338,1,0,6.51,go_long,6.51,6.520432239489998,6.5168800000000875,6.553,go_short,1,6.557,go_long,go_long,go_long,6.529577250757326,go_long,False
25,ADA/USDT:USDT,2024-11-23 00:30:00+00:00,second_buy,force_exit,1.0493,1.0881,1.0208850661550233,0.9973591390083195,1.0418,0,1.0789,245691.0,0,False,1.028579999999987,1.0254857142857097,0.9947960000000249,0.99481572,0.09235870260911998,0,do_nothing,go_long,go_long,go_long,go_short,go_short,0.9938428571428561,7245.0,0.9945399999999875,1,0,0.9929,go_short,0.991,0.9939462062681687,0.9911080000000233,0.9923000000000001,go_long,1,0.9944000000000001,go_long,go_long,do_nothing,0.994294051152676,go_short,False
3,BTC/USDT:USDT,2024-11-21 01:00:00+00:00,first_buy,force_exit,94806.6,94874.0,94367.03443377887,94191.875168558,94584.8,0,94653.3,1420726.0,0,False,94564.52000000024,94396.84285714339,94117.0519999999,-0.12636444,-0.01333689035979709,0,go_long,go_long,go_long,go_long,go_long,go_long,94898.01428571482,688395.0,94941.9400000005,1,0,94792.7,go_long,94788.1,94787.46074320821,94491.34799999988,95026.3,go_long,0,95090.0,go_long,go_long,go_long,94607.04341345772,go_long,False
10,BCH/USDT:USDT,2024-12-05 13:45:00+00:00,first_buy,force_exit,626.64,631.95,618.904755717761,612.6730354504454,625.62,0,627.18,26240.0,0,False,623.066,620.2971428571625,615.1520000000023,-1.78864764,-0.2846226153585185,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,452.1342857143077,67491.0,452.3400000000003,0,0,456.88,do_nothing,451.01,451.69572493971845,448.3504000000019,451.07,go_long,0,456.88,go_long,go_long,go_long,449.0094833788522,do_nothing,False
21,ADA/USDT:USDT,2024-02-29 11:00:00+00:00,second_buy,short-exit-profit,0.6946,0.7078,0.6919521825095646,0.6821786346298432,0.6944,0,0.7029000000000001,73567.0,0,False,0.6932599999999898,0.6930999999999986,0.6845280000000217,2.9996152,0.4275406262021668,0,do_nothing,go_long,go_long,go_long,go_short,go_short,0.46702857142856785,909906.0,0.4609399999999896,1,1,0.42610000000000003,go_short,0.3951,0.46861037133979794,0.48617600000002165,0.4504,go_long,0,0.4546,go_long,go_long,do_nothing,0.48149462082051947,go_short,False
18,ADA/USDT:USDT,2022-05-13 05:30:00+00:00,second_buy,short-exit-profit,0.57657,0.6078300000000001,0.5486094427353579,0.5261429354252022,0.57657,0,0.5958300000000001,20569.0,0,False,0.5608059999999915,0.5556728571428582,0.5186116000000238,2.3642474,0.3968698037989693,0,do_nothing,go_long,go_long,go_long,go_short,go_short,0.36662714285714165,174931.0,0.36457799999999435,1,1,0.35919,go_short,0.35504,0.3679065593308364,0.3718076000000225,0.36494000000000004,go_long,0,0.36501000000000006,go_long,go_long,do_nothing,0.37169523655372344,go_short,False
16,ADA/USDT:USDT,2022-05-08 02:30:00+00:00,second_buy,short-exit-profit,0.7406100000000001,0.74514,0.7519878692399229,0.7587407483089494,0.738,1,0.7418,20282.0,0,False,0.7472899999999922,0.7492628571428597,0.7598284000000234,2.9992711,0.40461905301527945,1,do_nothing,go_long,go_long,go_long,go_short,go_short,0.47754714285714395,23132.0,0.47050199999999187,1,1,0.44098000000000004,go_short,0.44076000000000004,0.48726902558046975,0.5087660000000238,0.4781,go_long,0,0.48021,go_long,go_long,do_nothing,0.504617957547844,go_short,False
15,ADA/USDT:USDT,2021-12-04 05:30:00+00:00,second_buy,short-exit-profit,1.29768,1.4645000000000001,1.4275025963056374,1.481215261466712,1.17029,1,1.23083,562959.0,0,False,1.3871999999999913,1.4172842857142887,1.4962324000000173,4.8913767,0.3975150986403545,1,do_nothing,go_long,go_long,go_long,go_short,go_short,0.7512900000000026,22450.0,0.7499019999999923,1,1,0.7407,go_short,0.7405,0.753840209101727,0.7612004000000233,0.7486200000000001,go_long,0,0.7515700000000001,go_long,go_long,do_nothing,0.7600960081736654,go_short,False
8,BCH/USDT:USDT,2022-05-10 00:00:00+00:00,first_buy,stop_loss,222.2,222.9,225.90532320348777,229.36130207034276,214.65,1,217.25,117391.0,0,False,223.43000000000066,225.10000000001835,228.42199999999838,-3.4303716,-0.39417352833501906,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,137.05714285716095,80778.0,135.9400000000011,1,1,135.8,do_nothing,134.2,137.43670271864616,139.24799999999814,135.05,go_long,0,136.75,go_long,go_long,go_long,139.5215127643226,do_nothing,False
28,ATOM/USDT:USDT,2023-12-08 16:45:00+00:00,first_buy,stop_loss,10.631,10.686,10.422850767142362,10.296297106926072,10.589,0,10.661,8737.0,0,False,10.541000000000327,10.484714285714427,10.268280000000097,-5.12482212,-0.47986713071350806,0,go_long,go_short,go_long,go_long,go_long,go_long,6.907714285714527,35892.0,6.875800000000353,1,1,6.734,go_long,6.612,6.931750024372025,7.0180000000000575,6.879,go_short,0,6.88,go_long,go_long,go_long,6.987033382989803,go_long,False
