,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),long-small-rl (exit),sma-05 (exit),sma-25 (exit),long_jcrosk (exit),sma-07 (exit),open (exit),close (exit),short-large-rl (exit),low (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-compare (exit),long-bid-rl (exit),volume (exit),ema-26 (exit),ema-12 (exit),short_kdj (exit),short-small-rl (exit),long-large-rl (exit),high (exit)
365,IOTA/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,0.12140000000000001,0.12190000000000001,0.12497776702781488,0.127335581220359,0.1057,1,0.1145,34767922.0,0,False,0.12275999999999036,0.12417142857140503,0.12875600000000442,3.210385,0.05228067414657505,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,0.12215999999999091,0.12178400000000453,0,0.12202857142854738,0.12250000000000001,0.12250000000000001,go_long,0.1223,0,go_long,0,go_long,897156.0,0.12200694046339604,0.12267408606475844,False,go_long,go_long,0.1228
164,STORJ/USDT:USDT,2024-07-21 00:30:00+00:00,first_buy,force_exit,0.42310000000000003,0.4238,0.41922686808266885,0.4181025115485686,0.4212,0,0.4228,292096.0,1,False,0.4207199999999946,0.4196857142857574,0.41784400000000266,-6.17142292,-0.10051777390295366,0,go_long,do_nothing,go_long,go_long,go_long,go_long,go_long,0.3755599999999954,0.3793440000000022,0,0.3752285714286145,0.3779,0.37620000000000003,go_long,0.37570000000000003,0,go_long,0,go_long,120914.0,0.3768178498713397,0.38148896350461486,False,do_nothing,go_long,0.3779
285,RUNE/USDT:USDT,2024-09-26 11:00:00+00:00,first_buy,force_exit,5.608,5.65,5.401639596937231,5.303738544305246,5.585,0,5.629,877884.0,0,False,5.48120000000003,5.4292857142856965,5.283480000000134,-10.75402303,-0.19085592023893677,0,go_long,go_short,go_long,go_long,do_nothing,do_nothing,go_long,4.576800000000024,4.626040000000138,0,4.573857142857123,4.594,4.572,go_long,4.57,0,do_nothing,0,do_nothing,55509.0,4.588937986824615,4.643195857834766,False,go_short,go_long,4.594
222,ALGO/USDT:USDT,2024-06-18 01:30:00+00:00,first_buy,force_exit,0.1423,0.1423,0.1436205646832649,0.14512165473993494,0.13620000000000002,1,0.1396,25719770.9,0,False,0.14213999999998342,0.14284285714285846,0.1458440000000195,-7.69303886,-0.12529056792887516,1,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,0.12447999999998378,0.12474000000001934,0,0.12444285714285834,0.12480000000000001,0.1247,do_nothing,0.12440000000000001,0,go_long,0,go_long,1271399.9,0.12456217511439947,0.12538216119534445,False,go_long,do_nothing,0.125
31,OGN/USDT:USDT,2024-08-21 22:30:00+00:00,first_buy,force_exit,0.0847,0.0847,0.08403076036035183,0.08340678926830385,0.08410000000000001,1,0.08420000000000001,879553.0,1,False,0.08422000000001112,0.08425714285714184,0.08342400000000028,-2.69710428,-0.04394810329544112,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,0.0808000000000114,0.08131200000000041,0,0.08082857142857088,0.081,0.08070000000000001,go_long,0.08070000000000001,1,go_long,1,go_long,449472.0,0.08099115483042556,0.08190411969415871,False,go_long,go_long,0.081
250,MKR/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,2059.8,2073.4,2110.752141024032,2150.463313913096,1668.0,1,1909.4,8385.83,0,False,2075.520000000012,2102.9285714285475,2166.031999999996,-14.31568444,-0.23411116842821925,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,1480.580000000004,1494.923999999995,0,1482.985714285687,1488.7,1483.9,go_long,1483.9,0,do_nothing,1,do_nothing,210.793,1487.1816944387715,1497.6321752914246,False,go_long,go_long,1489.8
142,COMP/USDT:USDT,2024-08-23 07:45:00+00:00,second_buy,force_exit,51.53,52.04,51.300291355541056,51.027887417862715,51.49,0,52.0,7928.659,0,False,51.60399999999989,51.48571428571123,50.82479999999836,11.24651571,0.18362650035041891,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,42.582,42.75839999999831,0,42.57857142856822,42.68,42.57,go_long,42.56,1,go_short,0,go_short,1007.358,42.65481876969892,43.05456841987115,False,do_nothing,go_long,42.68
178,DOT/USDT:USDT,2024-07-05 03:00:00+00:00,first_buy,force_exit,5.32,5.333,5.348111735245335,5.48158112861345,4.968,1,5.028,3269107.2,0,False,5.274800000000127,5.295714285714593,5.535959999999746,-11.06927685,-0.18027274527186496,1,go_long,go_short,go_long,go_long,go_long,go_long,go_long,4.153800000000163,4.171839999999744,0,4.154000000000294,4.168,4.15,go_long,4.15,1,go_long,1,go_long,133574.9,4.1606508204738955,4.189702503421709,False,go_short,go_long,4.168
330,MINA/USDT:USDT,2024-08-23 16:00:00+00:00,second_buy,force_exit,0.5018,0.5037,0.4944218364390485,0.4895560744974856,0.4974,0,0.4989,816540.0,0,False,0.49689999999997275,0.4960000000000103,0.4892079999999857,-1.44953686,-0.023839132120958697,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,0.5140599999999718,0.5194679999999862,1,0.5143857142857259,0.5156000000000001,0.5128,go_long,0.5122,0,go_short,1,go_short,256081.0,0.5159290325743778,0.5219599311335928,False,do_nothing,go_long,0.5156000000000001
43,XLM/USDT:USDT,2024-04-13 20:15:00+00:00,first_buy,force_exit,0.10341,0.10423,0.10663860991951453,0.10903008388673674,0.08875000000000001,1,0.09744000000000001,110390637.0,0,False,0.10518400000000312,0.10646285714285673,0.10991480000000083,-3.65251591,-0.05953469295616498,1,go_long,go_short,do_nothing,do_nothing,go_long,go_long,go_long,0.09370200000000263,0.0940800000000011,0,0.09364714285714235,0.09399,0.09376000000000001,do_nothing,0.09365000000000001,0,go_long,0,go_long,2000111.0,0.09379836192723846,0.09434342232226993,False,go_short,do_nothing,0.094
