,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),mean-grad-hist (exit),sma-05 (exit),close (exit),long-bid-rl (exit),short-bid-rl (exit),high (exit),low (exit),long-small-rl (exit),ema-26 (exit),volume (exit),short-small-rl (exit),long_jcrosk (exit),sma-compare (exit),open (exit),short-large-rl (exit),ema-12 (exit),short_kdj (exit),long-large-rl (exit),sma-25 (exit),sma-07 (exit)
444,IOTA/USDT:USDT,2024-11-29 15:15:00+00:00,second_buy,force_exit,0.2581,0.26380000000000003,0.2483953810252652,0.2428431063113993,0.2579,0,0.2604,21963571.4,0,False,0.2533799999999875,0.25022857142855487,0.24172800000000216,-2.26784145,-0.03701820099669562,0,do_nothing,go_long,do_nothing,do_nothing,go_long,go_long,0,0.26747999999998756,0.2697,go_long,go_long,0.2702,0.26830000000000004,do_nothing,0.2649681618233316,5396266.7,go_long,0,0,0.2692,do_nothing,0.25962981819204073,False,do_nothing,0.2611720000000023,0.26652857142855496
392,SUSHI/USDT:USDT,2024-11-23 14:00:00+00:00,first_buy,force_exit,1.0312,1.0356,0.9779996626107503,0.9575263317689363,1.0043,0,1.0079,4740795.0,0,False,0.9924999999998265,0.9906142857143719,0.9544840000001189,10.09412556,0.16676657932264205,0,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,0,1.174799999999827,1.1814,go_long,go_long,1.1821,1.1762,go_short,1.1766181573307997,133673.0,do_nothing,0,0,1.181,do_nothing,1.1747882433936963,False,do_nothing,1.1795960000001193,1.174785714285799
153,DOT/USDT:USDT,2024-11-23 15:45:00+00:00,first_buy,force_exit,8.852,8.938,8.380225025215909,8.11443896290711,8.714,0,8.882,5038632.2,0,False,8.549600000000328,8.456142857143233,8.051519999999684,-1.1885518,-0.01937421777254169,0,go_long,go_long,go_short,go_short,go_long,go_long,0,8.680400000000326,8.748,go_long,go_long,8.754,8.72,go_long,8.676660121444288,355860.5,go_long,0,0,8.724,go_short,8.676063528771257,False,go_short,8.69507999999968,8.674857142857524
362,COTI/USDT:USDT,2024-11-23 00:45:00+00:00,first_buy,force_exit,0.15519000000000002,0.15569000000000002,0.13713189802291398,0.1275488746170944,0.14650000000000002,1,0.14895,61203207.0,1,False,0.14474399999999285,0.14203428571429103,0.12410600000000149,-0.41362968,-0.0067489619072287205,0,go_long,go_long,go_short,go_short,go_long,go_long,0,0.14735599999999288,0.14875000000000002,go_long,go_long,0.14879,0.14792000000000002,go_long,0.14810268718259634,1564625.0,go_long,0,1,0.14806000000000002,go_short,0.14819385346245093,False,go_short,0.14923440000000138,0.1475628571428624
169,LTC/USDT:USDT,2024-11-14 06:30:00+00:00,first_buy,force_exit,84.42,84.78,81.36691324910117,79.22383202547844,83.44,1,83.91,93896.078,0,False,83.2639999999986,82.54000000000306,78.14200000000127,12.62559832,0.20563015018966704,0,go_long,go_long,go_short,go_short,go_long,go_long,0,101.91399999999838,102.06,go_long,go_long,102.24,101.84,go_long,101.53145857400236,22893.365,go_long,0,0,102.16,go_short,100.68999748500165,False,go_short,100.9048000000013,101.75714285714616
86,TRB/USDT:USDT,2024-11-13 03:45:00+00:00,first_buy,force_exit,71.737,72.35,73.6099419962337,74.6118049586223,71.402,1,71.442,46278.4,0,False,72.6974000000031,73.0515714285724,75.20623999999957,1.69952233,0.029705096673918845,1,go_short,go_short,go_short,go_short,go_long,go_long,0,73.69760000000329,74.207,go_long,go_long,74.237,74.007,go_short,73.7360765729477,6680.8,go_short,0,0,74.024,go_short,73.61837776651141,False,go_short,73.72023999999945,73.67628571428659
416,YFI/USDT:USDT,2024-11-10 09:00:00+00:00,first_buy,force_exit,6915.0,6917.0,6048.900406313662,5827.76424337847,6405.0,0,6534.0,1479.157,1,False,6219.799999999954,6093.571428571396,5770.760000000009,10.2639265,0.17431104357358948,0,go_long,go_long,go_short,go_short,go_long,go_long,0,7647.799999999954,7736.0,go_long,go_long,7740.0,7675.0,go_long,7649.470191508155,20.425,go_long,0,0,7681.0,go_short,7607.006542323701,False,go_short,7619.800000000009,7647.285714285681
198,ALGO/USDT:USDT,2024-11-29 20:00:00+00:00,first_buy,force_exit,0.4183,0.4242,0.40725955106191175,0.3967936065962138,0.4169,0,0.42350000000000004,27743555.9,0,False,0.41153999999999435,0.41010000000000185,0.3979840000000125,-0.8892892,-0.014490705326794131,0,go_long,go_long,go_short,go_short,go_long,go_long,0,0.41387999999999436,0.418,go_long,go_long,0.42350000000000004,0.4166,go_long,0.4089119278216176,24383003.0,go_long,0,0,0.4234,go_short,0.39836445055204983,False,go_short,0.39988800000001246,0.41200000000000186
239,ADA/USDT:USDT,2024-11-23 15:30:00+00:00,first_buy,force_exit,1.1424,1.1496,1.1086265334258287,1.0974811088276186,1.1161,0,1.1315,43240869.0,0,False,1.1219000000000041,1.115257142857148,1.0908399999999971,-4.37746698,-0.07157788590526791,0,go_short,do_nothing,go_short,go_short,go_long,go_long,0,1.0497800000000046,1.0556,go_long,go_long,1.0561,1.0487,go_short,1.0511785234867421,6778285.0,do_nothing,0,0,1.0515,go_short,1.0550862252251993,False,go_short,1.059227999999998,1.0487857142857198
323,APE/USDT:USDT,2024-11-16 13:45:00+00:00,first_buy,force_exit,1.3008,1.3062,1.207647801645216,1.1849593445909288,1.2268,1,1.2286,24364181.0,1,False,1.2284599999999837,1.2137142857142644,1.1812000000000262,8.79373229,0.14591408777249792,0,go_long,go_short,go_short,go_short,go_long,go_long,0,1.4144399999999846,1.4215,go_long,go_long,1.4226,1.4171,go_long,1.4102955928273362,589891.0,go_short,0,0,1.4207,go_short,1.4028990468888591,False,go_short,1.4075960000000245,1.4136714285714098
31,INJ/USDT:USDT,2024-11-23 01:45:00+00:00,first_buy,force_exit,28.04,28.371,26.97674510684701,26.179521371375667,27.661,1,28.033,131339.4,0,False,27.650200000000307,27.34285714285701,25.86760000000008,4.39639496,0.07461132244815617,0,go_long,go_long,go_short,go_short,go_long,go_long,0,30.00920000000035,30.277,go_long,go_long,30.28,30.161,go_long,30.074823752040132,54045.1,go_long,0,1,30.186,go_short,30.00966478724565,False,go_short,30.04664000000009,30.023857142856976
267,MKR/USDT:USDT,2024-11-25 13:30:00+00:00,first_buy,force_exit,1913.4,1932.8,1851.399985345204,1818.8912630206496,1888.4,0,1922.6,3018.964,0,False,1873.8000000000025,1859.6285714285489,1811.1319999999957,-3.58375406,-0.060069426920431775,0,go_long,go_long,go_short,go_short,go_long,go_long,0,1801.1199999999997,1813.6,go_long,go_long,1814.4,1804.4,go_long,1803.1690538945597,304.047,go_long,0,0,1805.6,go_short,1804.4571692185707,False,go_short,1805.655999999996,1799.914285714263
126,BAKE/USDT:USDT,2024-10-18 08:15:00+00:00,second_buy,force_exit,0.2908,0.31010000000000004,0.2919420339122046,0.288667678533095,0.2907,1,0.294,30776065.0,0,False,0.29263999999998636,0.29287142857144843,0.29137600000000696,-5.21524978,-0.08539780423499375,0,do_nothing,go_long,do_nothing,do_nothing,go_long,go_long,0,0.32157999999998466,0.323,go_long,go_long,0.32320000000000004,0.32180000000000003,do_nothing,0.3222875777122668,241578.0,go_long,0,1,0.3226,do_nothing,0.32295847053493926,False,do_nothing,0.3242960000000068,0.32165714285716396
290,QTUM/USDT:USDT,2024-11-23 01:45:00+00:00,first_buy,force_exit,3.846,3.852,3.6404787837078847,3.5422669385610512,3.71,1,3.734,402569.1,0,False,3.7561999999996942,3.6920000000001068,3.5056799999999213,1.16835313,0.019059955714396774,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,0,3.8003999999996894,3.823,go_long,go_long,3.826,3.815,go_long,3.7935217969830552,22733.3,do_nothing,0,0,3.8200000000000003,do_nothing,3.7759260008186093,False,do_nothing,3.7810799999999216,3.7978571428572536
168,LTC/USDT:USDT,2024-07-05 00:45:00+00:00,first_buy,long-exit-profit,63.65,63.88,65.19520448740055,66.36533390260932,60.91,1,61.99,381402.596,0,False,64.02399999999815,64.69142857143211,66.74440000000142,20.30874532,0.3309795433397065,1,go_long,go_long,go_short,go_short,go_long,go_long,1,82.6979999999986,84.42,go_long,go_long,84.62,82.4,go_long,80.90453383984685,146673.748,go_long,0,0,82.63,go_short,78.84893858751673,False,go_short,77.80160000000127,81.93142857143164
289,QTUM/USDT:USDT,2024-11-14 09:45:00+00:00,first_buy,long-exit-profit,3.0,3.002,2.836613321577009,2.782555850342004,2.857,1,2.866,1057978.5,0,False,2.8743999999996928,2.8701428571429584,2.763839999999925,20.68946312,0.3369963400368211,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,0,3.7235999999996943,3.846,go_long,go_long,3.857,3.76,go_long,3.6234749262002275,365086.0,do_nothing,0,0,3.7720000000000002,do_nothing,3.5269282936459354,False,do_nothing,3.491159999999921,3.6594285714286783
360,COTI/USDT:USDT,2024-11-03 02:45:00+00:00,first_buy,long-exit-profit,0.08556000000000001,0.08563000000000001,0.08578427152639431,0.08619232522724905,0.08345000000000001,1,0.08402000000000001,5700901.0,0,False,0.08538199999999278,0.0856428571428625,0.08640920000000149,21.43246232,0.34944010348421295,1,go_long,go_long,go_short,go_short,go_long,go_long,0,0.11085999999999288,0.11417000000000001,go_long,go_long,0.1144,0.1107,go_long,0.10922417806347705,7306542.0,go_long,0,0,0.11091000000000001,go_short,0.10795124888047274,False,go_short,0.10740840000000151,0.10992285714286247
358,COTI/USDT:USDT,2024-08-03 19:00:00+00:00,first_buy,long-exit-profit,0.08635000000000001,0.08639000000000001,0.08657908336511491,0.0885986536636917,0.08226000000000001,1,0.08359000000000001,19120330.0,0,False,0.08551999999999337,0.08577571428571917,0.08935200000000178,21.75377129,0.3545996337303277,1,go_long,go_long,go_short,go_short,go_long,go_long,0,0.11028399999999308,0.11396,go_long,go_long,0.11418,0.10990000000000001,go_long,0.10793387855702326,26947774.0,go_long,0,0,0.11026000000000001,go_short,0.10499133916837501,False,go_short,0.10351760000000151,0.10996857142857694
288,QTUM/USDT:USDT,2024-07-04 23:45:00+00:00,first_buy,long-exit-profit,2.187,2.2,2.2212776906469336,2.2370131768287984,2.145,1,2.164,303704.5,0,False,2.2071999999996703,2.219571428571552,2.239719999999923,22.2330903,0.3626787100935224,1,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,0,2.8747999999996927,3.0,go_long,go_long,3.01,2.814,go_long,2.831270289136465,705195.4,do_nothing,0,0,2.819,do_nothing,2.775880318369364,False,do_nothing,2.756319999999925,2.863857142857244
174,ALGO/USDT:USDT,2022-06-13 07:30:00+00:00,first_buy,long-exit-profit,0.30910000000000004,0.31070000000000003,0.3082175939433413,0.31156863262428774,0.3048,1,0.305,2571222.5,0,False,0.3067599999999971,0.3064142857142845,0.3085600000000084,21.45799397,0.34949674189641255,0,go_long,go_long,go_short,go_short,go_long,go_long,0,0.40897999999999674,0.4217,go_long,go_long,0.4223,0.41300000000000003,go_long,0.4043022049595563,17346516.6,go_long,0,0,0.4131,go_short,0.39841459029674947,False,go_short,0.39692000000000927,0.40584285714285867
356,COTI/USDT:USDT,2024-06-24 09:45:00+00:00,first_buy,long-exit-profit,0.08898,0.08901,0.08903351136496601,0.08940873174390034,0.08599000000000001,1,0.08786000000000001,8625357.0,0,False,0.0892699999999931,0.08908000000000509,0.08929880000000204,20.59042305,0.335531182060212,0,go_long,go_long,go_short,go_short,go_long,go_long,0,0.11661799999999314,0.11826,go_long,go_long,0.1187,0.11644000000000002,go_long,0.11593662623247909,22381771.0,go_long,0,0,0.11685000000000001,go_short,0.11440546141256552,False,go_short,0.11456800000000186,0.11648714285714769
177,ALGO/USDT:USDT,2022-12-16 22:30:00+00:00,first_buy,long-exit-profit,0.2001,0.20020000000000002,0.20113564710265502,0.20183273119683603,0.1996,1,0.1998,1381290.6,0,False,0.20035999999999618,0.2009000000000017,0.2015040000000096,20.07815371,0.3270060877552734,1,go_long,go_long,go_short,go_short,go_long,go_long,0,0.26351999999999676,0.26780000000000004,go_long,go_long,0.26880000000000004,0.2629,go_long,0.2605568980010196,7619985.4,go_long,0,0,0.2639,go_short,0.2580568921951094,False,go_short,0.2566680000000098,0.2617857142857157
352,COTI/USDT:USDT,2024-03-05 20:00:00+00:00,first_buy,long-exit-profit,0.18656,0.18732000000000001,0.18941694181940788,0.1934336607234135,0.13761,1,0.16477,97665535.0,0,False,0.18733399999999356,0.19008571428571752,0.19444760000000183,20.64415854,0.33675278034672407,1,go_long,go_long,go_short,go_short,go_long,go_long,1,0.21758799999999345,0.22057000000000002,go_long,go_long,0.22281,0.21646,go_long,0.21389090018680967,11647172.0,go_long,0,0,0.21667000000000003,go_short,0.20903907772574837,False,go_short,0.2075824000000019,0.21713857142857476
181,ALGO/USDT:USDT,2023-06-10 04:30:00+00:00,first_buy,long-exit-profit,0.1164,0.1164,0.11524101552461079,0.11874283969574147,0.09,1,0.0964,108735504.0,0,False,0.11263999999999666,0.11440000000000052,0.12030000000000975,19.92718724,0.32452353989348365,1,go_long,go_long,go_short,go_short,go_long,go_long,0,0.12729999999999625,0.1278,go_long,go_long,0.1279,0.127,go_long,0.1266681998273902,3165813.7,go_long,0,0,0.1272,go_short,0.12599993116046043,False,go_short,0.12590800000000993,0.12691428571428637
183,ALGO/USDT:USDT,2023-08-17 21:30:00+00:00,first_buy,long-exit-profit,0.1003,0.10110000000000001,0.10142753622367111,0.10181136995869373,0.1,1,0.1004,10868930.1,0,False,0.10103999999999629,0.10135714285714303,0.10171600000000991,19.9876846,0.32550675121654143,1,go_long,go_long,go_short,go_short,go_long,go_long,1,0.13389999999999577,0.1345,go_long,go_long,0.1351,0.1337,go_long,0.13295326248376432,9849830.6,go_long,0,0,0.1343,go_short,0.1314891228074556,False,go_short,0.1311400000000099,0.13360000000000025
276,QTUM/USDT:USDT,2023-03-12 22:30:00+00:00,first_buy,long-exit-profit,2.596,2.668,2.5844018054701254,2.5542458499034764,2.594,0,2.656,332407.2,0,False,2.604199999999697,2.5975714285715417,2.5439199999999396,22.81807444,0.37315477934846714,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,0,3.4843999999997037,3.659,go_long,go_long,3.6870000000000003,3.47,go_long,3.432883747809934,1797628.1,do_nothing,0,0,3.483,do_nothing,3.371289546613473,False,do_nothing,3.361319999999941,3.453285714285827
185,ALGO/USDT:USDT,2023-12-08 16:00:00+00:00,first_buy,long-exit-profit,0.1804,0.1824,0.1781487992019851,0.17528920421236452,0.18030000000000002,0,0.1819,13759494.6,0,False,0.1796599999999954,0.17899999999999983,0.17494000000001006,20.82272862,0.33914334283020686,0,go_long,go_long,go_short,go_short,go_long,go_long,0,0.23789999999999503,0.2454,go_long,go_long,0.2503,0.2417,go_long,0.23377585966756664,42744809.3,go_long,1,0,0.2417,go_short,0.22808848841379795,False,go_short,0.22792000000001014,0.23541428571428594
350,COTI/USDT:USDT,2024-02-24 18:15:00+00:00,first_buy,long-exit-profit,0.15012,0.15380000000000002,0.13933045942117914,0.1377646189504336,0.1495,0,0.15173,141192086.0,0,False,0.14309599999999362,0.1390828571428602,0.13742160000000214,30.91177744,0.5038087446040607,0,go_long,go_long,go_short,go_short,go_long,go_long,0,0.19918199999999361,0.22684,go_long,go_long,0.24382,0.19766,go_long,0.19267979317342812,387191622.0,go_long,0,0,0.19802000000000003,go_short,0.18076293200953217,False,go_short,0.18019400000000224,0.195660000000003
187,ALGO/USDT:USDT,2024-01-03 12:15:00+00:00,first_buy,long-exit-profit,0.2194,0.21960000000000002,0.21954485273933966,0.22358221856955948,0.16340000000000002,1,0.18760000000000002,93164428.6,0,False,0.2153199999999938,0.21910000000000013,0.22547200000001005,20.77729346,0.33832986019685285,1,go_long,go_long,go_short,go_short,go_long,go_long,0,0.25015999999999255,0.2574,go_long,go_long,0.2575,0.2539,go_long,0.24860261713938892,9078630.7,go_long,0,0,0.2541,go_short,0.24599422568298288,False,go_short,0.24535600000001045,0.24889999999999976
349,COTI/USDT:USDT,2024-02-23 19:15:00+00:00,first_buy,long-exit-profit,0.11861000000000001,0.11889000000000001,0.10818382445481511,0.10355959987746285,0.113,1,0.11319000000000001,94228312.0,0,False,0.11425599999999356,0.11123142857143156,0.10114800000000215,20.1206159,0.3276422099375635,0,go_long,go_long,go_short,go_short,go_long,go_long,0,0.1384759999999936,0.15012,go_long,go_long,0.1563,0.14242000000000002,go_long,0.13707599749775717,327827332.0,go_long,0,0,0.14244,go_short,0.1366473884664683,False,go_short,0.13684720000000217,0.13595857142857445
189,ALGO/USDT:USDT,2024-04-12 18:45:00+00:00,first_buy,long-exit-profit,0.2049,0.2053,0.20814403813708976,0.215358893199382,0.16870000000000002,1,0.18430000000000002,60235017.1,1,False,0.20209999999999226,0.20470000000000077,0.21749600000001149,19.89498091,0.3240228144136939,1,go_long,go_long,go_short,go_short,go_long,go_long,0,0.22759999999999253,0.2449,go_long,go_long,0.24760000000000001,0.2313,go_long,0.21894827360704178,84897773.3,go_long,0,0,0.2336,go_short,0.20991759341073596,False,go_short,0.2068400000000116,0.22187142857142936
348,COTI/USDT:USDT,2024-02-09 09:00:00+00:00,first_buy,long-exit-profit,0.08537,0.08858,0.08365123705221639,0.08216968102752496,0.08493,0,0.08777,162184467.0,0,False,0.08406599999999338,0.08352571428571742,0.08303320000000224,21.20617751,0.3453460751568936,0,go_long,go_long,go_short,go_short,go_long,go_long,0,0.11246999999999356,0.11865,go_long,go_long,0.1213,0.11545000000000001,go_long,0.10727361071932695,134961338.0,go_long,0,0,0.11592000000000001,go_short,0.10278916786765989,False,go_short,0.10045680000000216,0.1096842857142887
