,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-large-rl (exit),volume (exit),sma-07 (exit),open (exit),short-small-rl (exit),low (exit),long-small-rl (exit),sma-compare (exit),long-large-rl (exit),long_jcrosk (exit),short-bid-rl (exit),sma-05 (exit),close (exit),ema-12 (exit),sma-25 (exit),short_kdj (exit),mean-grad-hist (exit),high (exit),long-bid-rl (exit),ema-26 (exit)
414,NEO/USDT:USDT,2024-11-23 08:30:00+00:00,first_buy,force_exit,14.981,14.997,14.649420715106643,14.479190438931012,14.638,1,14.676,94413.99,1,False,14.743800000000439,14.719428571427903,14.47876000000029,3.44264327,0.056058873906706,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,17627.68,15.492999999999332,15.591,do_nothing,15.555,do_nothing,0,go_long,0,go_long,15.515200000000396,15.579,15.37023205325245,15.395120000000295,False,0,15.614,go_long,15.47127791289976
71,INJ/USDT:USDT,2024-11-23 01:45:00+00:00,first_buy,force_exit,28.04,28.371,26.97674510684701,26.179521371375667,27.661,1,28.033,131339.4,0,False,27.650200000000307,27.34285714285701,25.86760000000008,4.39639496,0.07461132244815617,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,54045.1,30.023857142856976,30.186,do_nothing,30.161,do_nothing,1,go_long,0,go_long,30.00920000000035,30.277,30.00966478724565,30.04664000000009,False,0,30.28,go_long,30.074823752040132
338,NMR/USDT:USDT,2024-11-28 19:45:00+00:00,second_buy,force_exit,20.551,21.971,20.175755825283222,19.649965560237998,20.426,0,21.79,122410.7,0,False,20.672999999999877,20.43600000000003,19.407040000000006,3.76540948,0.06175215538489084,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,5679.5,20.369000000000035,20.41,do_nothing,20.376,do_nothing,1,go_long,0,go_short,20.348199999999885,20.415,20.424259461331246,20.50412000000001,False,0,20.451,go_short,20.41068170109912
172,TRB/USDT:USDT,2024-11-13 03:45:00+00:00,first_buy,force_exit,71.737,72.35,73.6099419962337,74.6118049586223,71.402,1,71.442,46278.4,0,False,72.6974000000031,73.0515714285724,75.20623999999957,1.69952233,0.029705096673918845,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,6680.8,73.67628571428659,74.024,do_nothing,74.007,do_nothing,0,go_long,0,go_long,73.69760000000329,74.207,73.61837776651141,73.72023999999945,False,0,74.237,go_long,73.7360765729477
388,ATOM/USDT:USDT,2024-11-23 15:30:00+00:00,second_buy,force_exit,8.396,8.747,8.266710808814455,8.117525413625474,8.391,0,8.739,1792149.46,0,False,8.383399999999725,8.308285714285345,8.06224000000051,1.05225982,0.01719206516243766,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,86392.93,8.523857142856782,8.557,do_nothing,8.555,do_nothing,0,go_long,0,go_short,8.532199999999746,8.583,8.501382146861182,8.542880000000515,False,0,8.586,go_short,8.52748290229866
104,1000SHIB/USDT:USDT,2024-11-10 13:00:00+00:00,second_buy,force_exit,0.024058,0.024723,0.023375950019621457,0.02299701738787305,0.023923999999999997,0,0.024156,1994163229.0,0,False,0.023598599999999977,0.023491714285714286,0.02291092000000009,-4.51220642,-0.07364067670462641,0,go_short,do_nothing,go_long,go_long,go_short,go_short,go_long,132056546.0,0.026079714285714352,0.026241999999999998,do_nothing,0.026128,go_short,0,go_long,0,go_short,0.026077400000000018,0.026168999999999998,0.026020353495079945,0.026042680000000113,False,0,0.026261,go_short,0.02606737917761297
31,AAVE/USDT:USDT,2024-11-27 15:30:00+00:00,second_buy,force_exit,199.3,201.98,196.20168457854683,194.24173019937538,198.7,0,201.15,78623.3,0,False,197.9900000000031,197.04285714286198,193.2836000000003,0.33272187,0.005519180129669813,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,3322.7,198.3100000000049,199.15,do_nothing,198.94,do_nothing,0,go_long,0,go_short,198.36000000000314,199.85,198.96383321519994,199.2572000000003,False,0,199.85,go_short,198.6935173966872
221,OP/USDT:USDT,2024-11-21 14:30:00+00:00,first_buy,force_exit,2.1675,2.2224,1.9678420313597036,1.8534530138549978,2.1421,0,2.2067,18196065.1,0,False,2.1060000000000345,2.0333000000000507,1.798160000000005,4.70743018,0.07665874745334847,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,556705.8,2.373528571428628,2.3819,do_nothing,2.3794,do_nothing,0,go_long,0,go_long,2.3758400000000295,2.3903,2.3731390863041915,2.3781440000000065,False,0,2.391,go_long,2.3760527774868545
360,MINA/USDT:USDT,2024-11-23 07:30:00+00:00,second_buy,force_exit,0.7335,0.74,0.723689572223176,0.7147835412894802,0.7324,0,0.7365,713898.0,0,False,0.7292199999999729,0.727785714285728,0.7162199999999851,-4.98358248,-0.08158445184649636,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,454464.0,0.7880000000000135,0.7941,do_nothing,0.7937000000000001,do_nothing,0,go_long,0,go_short,0.7894399999999735,0.7981,0.7849066903887453,0.7869399999999862,False,0,0.7998000000000001,go_short,0.7886987504923295
258,ALGO/USDT:USDT,2024-11-29 02:15:00+00:00,second_buy,force_exit,0.34590000000000004,0.357,0.33759545654400436,0.32677977861519397,0.3446,0,0.35660000000000003,29583509.1,0,False,0.3432199999999944,0.3429142857142874,0.32298800000001215,-10.69485662,-0.1745418973473989,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,24383003.0,0.41200000000000186,0.4234,do_nothing,0.4166,go_long,0,go_long,0,go_short,0.41387999999999436,0.418,0.39836445055204983,0.39988800000001246,False,0,0.42350000000000004,go_short,0.4089119278216176
287,BCH/USDT:USDT,2024-11-21 05:00:00+00:00,second_buy,force_exit,482.55,497.76,462.17319750084476,452.68935807864216,480.16,0,497.18,83295.154,0,False,474.3239999999999,467.37571428569584,448.96280000000183,-2.664892,-0.04361834253932978,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,3117.811,515.1714285714107,516.37,do_nothing,515.46,do_nothing,0,go_long,0,go_short,515.0620000000002,519.2,514.2910803147898,515.1280000000017,False,0,519.24,go_short,515.3092827843346
