,pair,open_date,enter_reason,exit_reason,close_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-small-rl (exit),short_kdj (exit),low (exit),sma-05 (exit),sma-25 (exit),ema-26 (exit),mean-grad-hist (exit),short-bid-rl (exit),open (exit),high (exit),short-large-rl (exit),close (exit),long-small-rl (exit),ema-12 (exit),sma-07 (exit),volume (exit),sma-compare (exit),long-large-rl (exit),long-bid-rl (exit),long_jcrosk (exit)
241,BSV/USDT:USDT,2024-09-28 05:15:00+00:00,first_buy,force_exit,2024-10-02 00:00:00+00:00,52.74,52.74,52.837567665416124,52.93028775411349,52.52,1,52.52,2049.0,0,False,52.7280000000012,52.774285714286755,52.95239999999987,-1.38650885,-0.14643447788071956,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,do_nothing,False,45.06,45.05400000000135,45.18359999999985,45.12885248048868,1,go_long,45.17,45.17,go_long,45.06,do_nothing,45.45718616855414,45.06857142857247,4944.0,1,go_long,go_long,0
176,ASTR/USDT:USDT,2024-09-19 10:30:00+00:00,second_buy,force_exit,2024-10-02 00:00:00+00:00,0.0635,0.06467,0.06344761971325646,0.06338207150584749,0.0635,0,0.06425,30043.0,0,False,0.06345799999999875,0.06340571428571387,0.06343400000000043,0.33716974,0.035042023282691924,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.062150000000000004,0.06215399999999893,0.0627836000000004,0.0623625887202938,0,go_short,0.06223000000000001,0.062240000000000004,go_long,0.062150000000000004,go_short,0.0629079850068999,0.062192857142856876,386.0,1,go_long,go_short,0
218,AXS/USDT:USDT,2024-09-25 22:00:00+00:00,first_buy,force_exit,2024-10-02 00:00:00+00:00,5.228,5.233,5.201027454844238,5.191325445543553,5.215,1,5.215,3196.0,0,False,5.213799999999964,5.207714285714391,5.185440000000013,-1.01043671,-0.10195308332750384,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,do_nothing,False,4.69,4.68899999999997,4.717440000000018,4.69668461689346,0,go_long,4.703,4.71,go_long,4.692,do_nothing,4.738854749445141,4.687857142857242,8478.0,0,go_long,go_long,0
223,BNB/USDT:USDT,2024-07-13 22:15:00+00:00,second_buy,force_exit,2024-10-02 00:00:00+00:00,528.8,529.0,529.2186797298185,529.9768237451442,528.5,1,529.0,8554.0,0,False,528.9099999999963,529.0785714285737,529.6720000000001,-0.31003345,-0.03261386905785111,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,547.0,547.310000000001,547.7820000000006,547.1926211377954,1,go_short,548.3,548.3,go_long,547.0,do_nothing,549.470487968708,547.0499999999967,98651.0,0,go_long,go_short,0
56,AR/USDT:USDT,2024-09-27 22:00:00+00:00,first_buy,force_exit,2024-10-02 00:00:00+00:00,23.423,23.491,23.56853263601889,23.641191251041178,23.42,0,23.491,974.0,0,False,23.51579999999972,23.526285714285653,23.646680000000032,-1.65833356,-0.17681404575615642,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,do_nothing,False,19.323,19.40959999999969,19.59684000000004,19.47859124511228,1,go_long,19.407,19.407,go_long,19.363,do_nothing,19.77998505127111,19.427142857142776,6743.0,1,go_long,go_long,0
234,BSV/USDT:USDT,2024-07-13 22:15:00+00:00,first_buy,roi,2024-07-20 21:45:00+00:00,39.49,39.55,39.4479178858127,39.486914034867596,39.49,0,39.55,966.0,0,False,39.41400000000114,39.42857142857229,39.47439999999975,2.02840692,0.20530704553804857,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,do_nothing,False,47.49,47.5960000000012,47.59919999999978,47.56862854559421,1,go_long,47.49,47.49,go_long,47.49,do_nothing,47.54308831540962,47.59285714285786,0.0,0,go_long,go_long,0
144,ASTR/USDT:USDT,2024-08-02 18:15:00+00:00,second_buy,roi,2024-08-02 21:00:00+00:00,0.0626,0.0626,0.06350226471201349,0.06467115747908073,0.062310000000000004,0,0.06239000000000001,2527.0,0,False,0.06286399999999853,0.06294285714285709,0.06511040000000065,0.0217995,0.0023287253957975903,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06269000000000001,0.06257399999999855,0.06294040000000063,0.06265514684969055,0,go_short,0.06269000000000001,0.06269000000000001,go_long,0.06269000000000001,go_short,0.06341393199683236,0.0624628571428571,0.0,0,go_long,go_short,1
145,ASTR/USDT:USDT,2024-08-02 21:15:00+00:00,second_buy,roi,2024-08-03 19:45:00+00:00,0.062200000000000005,0.062200000000000005,0.06258512425743047,0.0633240111081781,0.062200000000000005,1,0.062200000000000005,1675.0,0,False,0.06251999999999855,0.062451428571428526,0.06282240000000062,0.4553275,0.046109509882170926,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.058260000000000006,0.05843999999999853,0.06006240000000065,0.058961564198636914,0,go_short,0.058260000000000006,0.058260000000000006,go_long,0.058260000000000006,go_short,0.059855724077899755,0.05859857142857139,0.0,1,go_long,go_short,0
146,ASTR/USDT:USDT,2024-08-03 20:00:00+00:00,second_buy,roi,2024-08-04 21:00:00+00:00,0.058550000000000005,0.05881000000000001,0.058821323552692775,0.05972196673879607,0.058050000000000004,0,0.058050000000000004,19668.0,0,False,0.05829599999999853,0.05843714285714281,0.05990320000000064,0.27196873,0.027553638614931673,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.05634,0.05674399999999853,0.05600360000000068,0.05637718247106271,1,go_short,0.05634,0.05634,go_long,0.05634,go_short,0.05652952727379591,0.056791428571428486,0.0,0,go_long,go_short,0
147,ASTR/USDT:USDT,2024-08-04 21:15:00+00:00,second_buy,roi,2024-08-05 22:00:00+00:00,0.05639,0.056420000000000005,0.05638376978320691,0.05652141414240362,0.05625,1,0.056420000000000005,16196.0,0,False,0.056673999999998524,0.056707142857142775,0.055980000000000675,0.58404829,0.0609106835576382,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.05296000000000001,0.052925999999998544,0.053222000000000665,0.052897923477164537,0,go_short,0.05296000000000001,0.05296000000000001,go_long,0.05296000000000001,go_short,0.052752710120477816,0.05287142857142848,0.0,0,go_long,go_short,0
