,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),open (exit),close (exit),low (exit),short-small-rl (exit),long-large-rl (exit),short-bid-rl (exit),high (exit),long-bid-rl (exit),long_jcrosk (exit),sma-compare (exit),mean-grad-hist (exit),sma-25 (exit),short_kdj (exit),ema-26 (exit),short-large-rl (exit),long-small-rl (exit),volume (exit),sma-07 (exit),sma-05 (exit),ema-12 (exit)
8353,DMAIL/USDT:USDT,2025-01-07 01:00:00+00:00,first_buy,force_exit,0.26130000000000003,0.26780000000000004,0.26140405279495255,0.2571320178591372,0.26130000000000003,0,0.2654,2204.0,0,False,0.2608799999999987,0.260428571428574,0.25763199999999725,-3.96968124,-0.1784236549542672,0,go_long,go_long,go_long,go_long,go_long,go_long,0.2175,0.21710000000000002,0.21710000000000002,go_long,go_long,go_long,0.2185,go_long,0,0,0,0.21423999999999707,False,0.2142648708886714,go_long,go_long,1215.0,0.21388571428571687,0.21423999999999915,0.21446639435589618
6862,BSV/USDT:USDT,2025-01-07 03:45:00+00:00,first_buy,force_exit,58.46,58.5,58.64675557742019,58.62744144072815,58.45,1,58.48,3075.0,0,False,58.54800000000201,58.62714285713954,58.56999999999695,-0.47672102,-0.02146020075814596,0,go_long,go_long,go_long,go_long,go_long,go_long,56.9,57.4,56.77,go_long,go_long,go_long,57.52,go_long,0,0,0,56.719599999996966,False,56.91601583994368,go_long,go_long,33132.0,56.8042857142824,56.86200000000199,56.820094559040264
6561,BNB/USDT:USDT,2025-01-06 17:45:00+00:00,first_buy,force_exit,727.75,728.45,726.2154333942077,722.8571239294846,721.55,1,724.6,259602.0,0,False,729.2000000000077,729.9285714285658,721.6580000000021,-0.91778964,-0.04222495934571093,0,go_long,go_long,go_long,go_long,go_long,go_long,694.8,694.05,693.8,go_long,go_long,go_long,695.05,go_long,1,0,1,692.150000000002,False,693.2692679855601,go_long,go_long,16788.0,693.4714285714232,693.9900000000068,692.8842471039069
6319,BLUR/USDT:USDT,2025-01-08 17:00:00+00:00,first_buy,force_exit,0.2311,0.2311,0.23235778566416604,0.23392596508891608,0.22740000000000002,1,0.2278,72691.0,0,False,0.23139999999999344,0.231814285714281,0.2340240000000018,-0.15420288,-0.007047322462342225,1,go_long,go_long,go_long,go_long,go_long,go_long,0.2291,0.2281,0.228,go_long,go_long,go_long,0.2291,go_long,1,0,1,0.22616800000000162,False,0.2272429280173349,go_long,go_long,1470.0,0.22748571428570927,0.2278399999999931,0.22672506804644865
6194,BLAST/USDT:USDT,2025-01-07 11:15:00+00:00,first_buy,force_exit,0.009625,0.009625,0.009700987362004327,0.009719110264992602,0.009524999999999999,1,0.009607,6070.0,0,False,0.009695000000000096,0.00970128571428565,0.009714560000000058,-1.8426818,-0.08302548074332307,1,go_long,go_long,go_long,go_long,go_long,go_long,0.008867,0.008867,0.008867,go_long,go_long,go_long,0.008867,go_long,0,0,1,0.00883272000000005,False,0.008859884634228442,go_long,go_long,0.0,0.008867571428571332,0.008871800000000086,0.008860871712221382
6154,BIGTIME/USDT:USDT,2025-01-07 11:45:00+00:00,first_buy,force_exit,0.14872000000000002,0.14872000000000002,0.14914113159243497,0.1496301743182753,0.14727,1,0.1474,1422.0,0,False,0.14881600000001224,0.14891857142856796,0.14968239999999822,-2.161582,-0.14655056514574671,1,go_long,go_long,go_long,go_long,go_long,go_long,0.127,0.12634,0.12634,go_long,go_long,go_long,0.12735000000000002,go_long,1,0,1,0.1256671999999982,False,0.12613560767269497,go_long,go_long,120.0,0.1262528571428536,0.12644800000001233,0.12594349001439184
6077,BICO/USDT:USDT,2025-01-08 03:15:00+00:00,first_buy,force_exit,0.2943,0.2943,0.29739063824109024,0.29976401173927764,0.2909,1,0.2909,32931.0,0,False,0.2969400000000704,0.2972000000000487,0.29870000000001035,-1.22932459,-0.05504189863076079,1,go_long,go_long,go_long,go_long,go_long,go_long,0.2775,0.2775,0.2775,go_long,go_long,go_long,0.2775,go_long,0,0,1,0.2742760000000101,False,0.27588686029015186,go_long,go_long,0.0,0.2763000000000489,0.2771800000000703,0.27504120536281046
5800,BEL/USDT:USDT,2025-01-08 17:15:00+00:00,first_buy,force_exit,0.5367000000000001,0.5388000000000001,0.544019089426026,0.5468424871258912,0.5272,1,0.528,8529.0,0,False,0.542859999999989,0.5434999999999964,0.5467679999999929,-0.00530003,-0.0002448149469303092,1,go_long,go_long,go_long,go_long,go_long,go_long,0.5294,0.528,0.528,go_long,go_long,go_long,0.5313,go_long,0,0,1,0.5247599999999929,False,0.5263686093307234,go_long,go_long,26833.0,0.5264428571428532,0.5275999999999879,0.5253626843246437
5545,BEER/USDT:USDT,2025-01-06 22:00:00+00:00,first_buy,force_exit,1.0339e-05,1.0834e-05,1.0358708197482057e-05,1.037004393001576e-05,1.0257e-05,0,1.0575000000000001e-05,300799.0,0,False,1.0343599999999189e-05,1.034142857142893e-05,1.0398040000000177e-05,-2.71505716,-0.12155758641994398,0,go_long,go_long,go_long,go_long,go_long,go_long,9.334e-06,9.32e-06,9.32e-06,go_long,go_long,go_long,9.334e-06,go_long,0,0,0,9.126920000000175e-06,False,9.189184349928871e-06,go_long,go_long,3901.0,9.198285714286071e-06,9.21739999999918e-06,9.14605519391638e-06
5461,BEAMX/USDT:USDT,2025-01-08 03:15:00+00:00,first_buy,force_exit,0.02476,0.024780000000000003,0.02490635239650715,0.025076746194136156,0.0244,1,0.0245,3325.0,0,False,0.02484599999999964,0.0248657142857145,0.025027600000000042,-1.29858525,-0.05876196775096081,1,go_long,go_long,go_long,go_long,go_long,go_long,0.02347,0.023200000000000002,0.023200000000000002,go_long,go_long,go_long,0.023510000000000003,go_long,1,0,1,0.023064000000000043,False,0.0232483559748583,go_long,go_long,577.0,0.0232942857142859,0.023323999999999668,0.023118603487468234
