,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,sma-05 (exit),short-small-rl (exit),short_kdj (exit),close (exit),long_jcrosk (exit),ema-26 (exit),sma-07 (exit),sma-25 (exit),mean-grad-hist (exit),low (exit),high (exit),open (exit),volume (exit),sma-compare (exit),long-small-rl (exit),long-large-rl (exit),ema-12 (exit),long-bid-rl (exit),short-bid-rl (exit),short-large-rl (exit)
4028,HOOK/USDT:USDT,2024-11-24 08:45:00+00:00,first_buy,force_exit,0.5345,0.5364,0.4974616326033601,0.48900641888442115,0.5113,0,0.5218,7898190.4,0,False,0.5024599999999642,0.49768571428569064,0.4885480000000021,5.98406948,0.09752228008452545,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.5712999999999644,go_long,False,0.5748,0,0.5725395249172154,0.5711857142856908,0.574920000000002,0,0.5728,0.5752,0.5734,173654.4,0,go_long,go_long,0.573942930702463,go_long,go_long,go_long
262,1000SHIB/USDT:USDT,2024-11-24 12:45:00+00:00,first_buy,force_exit,0.025338,0.025348,0.025600560082247578,0.026032816676964297,0.024288,1,0.024401,1798129530.0,0,False,0.025259400000000033,0.02535585714285721,0.026236000000000096,4.14718565,0.06755077004302054,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.026077400000000018,go_long,False,0.026168999999999998,0,0.02606737917761297,0.026079714285714352,0.026042680000000113,0,0.026128,0.026261,0.026241999999999998,132056546.0,0,go_long,go_long,0.026020353495079945,go_long,go_long,go_long
410,TRB/USDT:USDT,2024-11-24 12:45:00+00:00,first_buy,force_exit,70.163,70.174,70.83160489662535,72.14869862856285,66.268,1,66.821,155618.2,0,False,69.89540000000281,70.1638571428579,72.79475999999968,6.35373879,0.10547922033945696,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,73.69760000000294,go_long,False,74.207,0,73.7360765729477,73.67628571428646,73.72023999999959,0,74.007,74.237,74.024,6680.8,0,go_long,go_long,73.61837776651141,go_long,go_long,go_long
489,LPT/USDT:USDT,2024-11-24 12:45:00+00:00,first_buy,force_exit,12.157,12.158,12.364977782197808,12.616347626275859,11.528,1,11.61,160118.5,0,False,12.155199999999835,12.236999999999933,12.737439999999767,15.86802913,0.26255236998481135,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,14.599799999999822,go_long,False,14.704,0,14.61558393443412,14.591857142857075,14.614439999999776,0,14.639,14.73,14.641,19013.9,0,go_long,go_long,14.619036249700196,go_long,go_long,go_long
2527,COTI/USDT:USDT,2024-11-26 11:45:00+00:00,second_buy,force_exit,0.12556,0.12652000000000002,0.13015922775440636,0.13314617767796755,0.12468000000000001,1,0.12518,9638808.0,0,False,0.12760199999999283,0.12899714285714806,0.13462480000000143,-11.61319134,-0.1896260459147975,1,do_nothing,do_nothing,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,0.14735599999999288,do_nothing,False,0.14875000000000002,0,0.14810268718259634,0.1475628571428624,0.14923440000000138,0,0.14792000000000002,0.14879,0.14806000000000002,1564625.0,1,do_nothing,go_short,0.14819385346245093,go_short,go_short,go_short
606,STORJ/USDT:USDT,2024-11-12 11:00:00+00:00,first_buy,force_exit,0.4773,0.48210000000000003,0.4977208156759021,0.5034691184595059,0.45780000000000004,1,0.47850000000000004,7147009.0,1,False,0.4874799999999964,0.4944857142857564,0.506404000000003,19.47878978,0.3177801403367744,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.6308999999999945,go_long,False,0.6347,0,0.6282125800099143,0.6298142857143267,0.6239880000000029,0,0.6323000000000001,0.6371,0.6325000000000001,541093.0,0,go_long,go_long,0.6238034970793125,go_long,go_long,go_long
1476,IOTX/USDT:USDT,2024-11-24 12:45:00+00:00,first_buy,force_exit,0.04456,0.044590000000000005,0.045531782111621615,0.04637976460407157,0.04306,1,0.04342,36820939.0,0,False,0.04472199999999908,0.044864285714285676,0.04690719999999987,7.20786566,0.11744866654256853,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.04854199999999913,go_long,False,0.048720000000000006,0,0.048654496049352944,0.0485871428571429,0.04882239999999988,0,0.04854000000000001,0.048720000000000006,0.048620000000000003,1762411.0,1,go_long,go_long,0.04881849911521462,go_long,go_long,go_long
94,XLM/USDT:USDT,2024-11-23 14:45:00+00:00,first_buy,force_exit,0.46423000000000003,0.46584000000000003,0.44579649332314425,0.4413183434121237,0.44822000000000006,0,0.45202000000000003,119154025.0,0,False,0.4485600000000023,0.4458514285714283,0.4424152000000012,10.72651823,0.1756035447066817,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.5313120000000028,go_long,False,0.53357,0,0.5287956447236979,0.530142857142858,0.5286320000000009,0,0.52881,0.53435,0.5319900000000001,13575448.0,0,go_long,go_long,0.5278491754849318,go_long,go_long,go_long
724,SXP/USDT:USDT,2024-11-14 03:15:00+00:00,first_buy,force_exit,0.3201,0.32120000000000004,0.32540345613058214,0.3302490987377081,0.3156,1,0.316,3214604.2,0,False,0.3211599999999876,0.32351428571424373,0.33156399999999164,19.52850987,0.31806978115696055,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.41819999999998736,go_long,False,0.4207,0,0.41662671410870894,0.4174857142856717,0.4142999999999916,0,0.4194,0.4212,0.42110000000000003,859760.5,0,go_long,go_long,0.4136375974387787,go_long,go_long,go_long
1399,MASK/USDT:USDT,2024-11-12 10:45:00+00:00,first_buy,force_exit,3.6249000000000002,3.6606,3.3005783686610917,3.235343437088456,3.2468,1,3.3058,10668445.0,0,False,3.352420000000168,3.300257142857215,3.227871999999992,7.69994809,0.12930725478608923,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,3.7425000000001667,go_long,False,3.7696,0,3.726859067663984,3.72905714285721,3.712515999999996,0,3.7617000000000003,3.7874,3.7686,238586.0,0,go_long,go_long,3.7041466264990017,go_long,go_long,go_long
804,BNB/USDT:USDT,2024-11-26 18:30:00+00:00,first_buy,force_exit,613.65,613.9,615.3441406348038,618.0936831673429,603.78,1,605.02,62785.54,0,False,614.3859999999878,615.4371428571355,617.0763999999922,4.71186483,0.07780168709014036,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,654.6839999999875,go_long,False,654.46,0,655.9655222991971,655.6314285714208,657.4015999999922,1,653.5,654.8,654.4,9619.73,1,go_long,go_long,656.5131159834813,go_long,go_long,go_long
1307,LEVER/USDT:USDT,2024-11-26 11:30:00+00:00,first_buy,force_exit,0.0021681,0.0021709,0.0021944480554055078,0.0022411562532161436,0.0021016,1,0.0021042,128061266.0,0,False,0.002156160000000016,0.00217191428571431,0.0022662120000000127,7.56120161,0.12312633036364606,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.0023546600000000167,go_long,False,0.0023707,0,0.002360633143982166,0.002356042857142883,0.002367184000000015,0,0.0023585,0.0023723,0.0023607,23061163.0,1,go_long,go_long,0.0023608275019622285,go_long,go_long,go_long
884,ETH/USDT:USDT,2024-11-11 19:15:00+00:00,first_buy,force_exit,3325.61,3349.58,3292.4265793579584,3258.179042143886,3302.21,1,3314.54,143936.296,1,False,3308.0079999999625,3307.9557142856675,3241.8975999999807,4.19346882,0.07021742215268899,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,3577.8479999999663,go_long,False,3589.57,0,3584.7068378881304,3578.164285714248,3598.0955999999805,0,3579.14,3589.6,3584.93,10967.928,1,go_long,go_long,3589.68479819551,go_long,go_long,go_long
1260,APT/USDT:USDT,2024-11-26 08:30:00+00:00,first_buy,force_exit,11.5908,11.6024,11.79640816252063,11.890003443165753,11.466,1,11.4806,1109661.4,0,False,11.703440000000118,11.75010000000004,11.921639999999982,8.65725569,0.14213529289626647,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,13.088060000000107,go_long,False,13.1662,0,13.078116854440268,13.084900000000037,13.057963999999991,0,13.1103,13.1762,13.1441,129808.1,0,go_long,go_long,13.058340219481416,go_long,go_long,go_long
