,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),long-small-rl (exit),long_jcrosk (exit),long-large-rl (exit),volume (exit),sma-compare (exit),high (exit),close (exit),low (exit),mean-grad-hist (exit),sma-25 (exit),short-bid-rl (exit),short-large-rl (exit),short_kdj (exit),ema-12 (exit),sma-07 (exit),open (exit),ema-26 (exit),long-bid-rl (exit),sma-05 (exit)
381,NEO/USDT:USDT,2024-06-17 10:00:00+00:00,first_buy,force_exit,11.945,13.326,12.059658571772024,12.199093223644002,11.664,1,11.782,1165153.67,0,False,11.982600000000385,12.004428571427693,12.21884000000029,17.22018681,0.2807422030225767,1,go_long,go_short,go_short,go_short,go_long,go_long,2024-11-29 20:15:00+00:00,go_short,go_long,0,go_short,17627.68,0,15.614,15.579,15.555,0,15.39512000000033,go_long,go_short,False,15.37023205325245,15.492999999999236,15.591,15.47127791289976,go_long,15.515200000000352
359,ATOM/USDT:USDT,2024-11-22 15:45:00+00:00,first_buy,force_exit,7.187,7.482,7.0649280149317875,6.931499076677742,7.147,0,7.378,2752237.09,0,False,7.169199999999739,7.108285714285264,6.907200000000473,9.78552801,0.159444855860583,0,go_long,go_long,do_nothing,do_nothing,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,go_long,0,do_nothing,86392.93,0,8.586,8.583,8.555,0,8.54288000000048,go_long,do_nothing,False,8.501382146861182,8.523857142856702,8.557,8.52748290229866,go_long,8.532199999999758
137,APE/USDT:USDT,2024-10-20 12:30:00+00:00,first_buy,force_exit,1.3864,1.4488,1.3581965832063672,1.295464029880291,1.38,0,1.4372,67144666.0,0,False,1.3750599999999809,1.3716857142856949,1.3136840000000265,-1.39313759,-0.02305489863858233,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-11-29 20:15:00+00:00,do_nothing,go_long,0,do_nothing,589891.0,0,1.4226,1.4215,1.4171,0,1.4075960000000245,go_long,do_nothing,False,1.4028990468888591,1.4136714285714098,1.4207,1.4102955928273362,go_long,1.4144399999999846
54,DYDX/USDT:USDT,2024-08-24 09:15:00+00:00,first_buy,force_exit,1.19,1.235,1.1800790069988032,1.1734950261105648,1.189,0,1.218,5178608.8,0,False,1.1850000000000187,1.1815714285715557,1.169519999999957,19.61877467,0.31990610515079465,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-11-29 20:15:00+00:00,do_nothing,go_long,0,do_nothing,123379.9,0,1.643,1.642,1.6360000000000001,0,1.6322799999999582,go_long,do_nothing,False,1.6280628533917174,1.6304285714286972,1.639,1.6317140057001107,go_long,1.632200000000021
336,ARK/USDT:USDT,2024-10-16 06:45:00+00:00,first_buy,force_exit,0.5827,0.5884,0.5575615171628546,0.5488599865762105,0.5685,0,0.5776,17604689.0,0,False,0.5649600000000116,0.5605142857142803,0.5486440000000035,17.29516443,0.28224922884026044,0,go_long,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_short,go_long,0,go_long,78868.0,0,0.7316,0.7315,0.7298,0,0.7258040000000036,go_long,go_long,False,0.7247570625890247,0.7272999999999955,0.7298,0.7273244043577552,go_long,0.7286400000000113
81,LPT/USDT:USDT,2024-11-10 17:45:00+00:00,first_buy,force_exit,12.563,12.635,12.277835165961942,12.129002985256864,12.488,0,12.579,36999.5,0,False,12.378799999999858,12.299285714285592,12.183679999999752,9.82853229,0.16264334327912686,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,do_nothing,go_long,0,go_long,19013.9,0,14.73,14.704,14.639,0,14.614439999999776,go_long,go_long,False,14.619036249700196,14.591857142857075,14.641,14.61558393443412,go_long,14.599799999999822
27,STMX/USDT:USDT,2024-07-28 03:15:00+00:00,first_buy,force_exit,0.01072,0.010740000000000001,0.010128406950357178,0.009995723868882147,0.009930000000000001,1,0.010020000000000001,2007742384.0,1,False,0.010272000000001159,0.01020857142857084,0.009937200000000018,-12.91780552,-0.21037475228211688,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-11-29 20:15:00+00:00,do_nothing,go_long,0,go_short,9662234.0,0,0.008,0.00799,0.007970000000000001,0,0.007891999999999993,go_long,go_short,False,0.007889072844397107,0.007951428571428026,0.008,0.007933737917747695,go_long,0.0079680000000012
325,CTSI/USDT:USDT,2024-11-25 09:30:00+00:00,first_buy,force_exit,0.196,0.197,0.19318370677210953,0.19211075636982305,0.1957,0,0.1963,1590910.0,0,False,0.19431999999999852,0.193442857142852,0.19228400000000292,0.73537754,0.01199503143250939,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-11-29 20:15:00+00:00,do_nothing,go_long,0,go_short,447532.0,0,0.19970000000000002,0.1995,0.19890000000000002,0,0.19883200000000287,go_long,go_short,False,0.19827144815228648,0.19864285714285201,0.19940000000000002,0.1988831467615759,go_long,0.1986799999999986
103,BAL/USDT:USDT,2024-11-21 13:30:00+00:00,first_buy,force_exit,2.41,2.4130000000000003,2.3223196491019475,2.282271957353033,2.392,0,2.4130000000000003,69284.2,0,False,2.3745999999998495,2.3447142857144665,2.272160000000112,9.05865269,0.14765171408990485,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,go_long,0,go_long,7608.4,0,2.782,2.782,2.775,0,2.7866000000001128,go_long,go_long,False,2.777663503785406,2.7690000000001764,2.779,2.7750757590831205,go_long,2.76919999999985
154,LQTY/USDT:USDT,2024-11-27 15:45:00+00:00,first_buy,force_exit,1.4652,1.4655,1.4466265107582086,1.4341564119353412,1.4485000000000001,0,1.4572,255905.6,0,False,1.4548599999999652,1.4481571428571516,1.4363600000000147,2.40621961,0.039233417456712535,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-11-29 20:15:00+00:00,do_nothing,go_long,0,go_short,50473.2,0,1.5209000000000001,1.5202,1.5128,0,1.5176520000000147,go_long,go_short,False,1.5138827624898528,1.5106428571428658,1.5134,1.5121583331626338,go_long,1.5120999999999656
298,COTI/USDT:USDT,2024-11-22 20:45:00+00:00,second_buy,force_exit,0.11353,0.11526000000000002,0.1101806069875266,0.10844848403577803,0.11166000000000001,0,0.11498000000000001,18099827.0,0,False,0.11119599999999288,0.11039000000000529,0.10831840000000151,-17.91470742,-0.29281747665495994,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,go_short,go_short,0,go_short,1564625.0,1,0.14879,0.14875000000000002,0.14792000000000002,0,0.14923440000000138,go_short,go_short,False,0.14819385346245093,0.1475628571428624,0.14806000000000002,0.14810268718259634,go_short,0.14735599999999288
119,BNB/USDT:USDT,2024-06-05 01:00:00+00:00,first_buy,force_exit,690.33,698.9,685.1518337450613,678.7120308983273,689.61,0,695.26,78675.6,0,False,689.0299999999897,687.3671428571363,677.677999999992,-3.84345139,-0.0690309480169894,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,go_long,0,go_long,9619.73,1,654.8,654.46,653.5,1,657.4015999999922,go_long,go_long,False,656.5131159834813,655.6314285714208,654.4,655.9655222991971,go_long,654.6839999999875
324,CTSI/USDT:USDT,2024-08-23 14:30:00+00:00,first_buy,long-exit-profit,0.1421,0.1426,0.14131908442446414,0.14099165343968761,0.1408,0,0.1416,1812056.0,0,False,0.14141999999999832,0.14137142857142365,0.14105200000000306,22.54890041,0.36799142090691134,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-11-25 09:15:00+00:00,do_nothing,go_long,0,go_short,1005979.0,0,0.1966,0.1961,0.1942,0,0.19208800000000292,go_long,go_short,False,0.1917756168794089,0.19281428571428058,0.1943,0.19261710800340218,go_long,0.1933599999999985
319,CTSI/USDT:USDT,2024-01-21 15:45:00+00:00,first_buy,long-exit-profit,0.2887,0.2969,0.24397384320356358,0.22115135965731006,0.2781,0,0.2879,114434068.0,0,False,0.2645799999999964,0.2550285714285668,0.21036000000000354,23.40391805,0.3811381310721099,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-02-28 16:30:00+00:00,do_nothing,go_long,0,go_short,2716202.0,0,0.40440000000000004,0.40390000000000004,0.3947,0,0.3862760000000036,go_long,go_short,False,0.3853772173688789,0.3928714285714236,0.3961,0.39095057347627915,go_long,0.3958199999999965
318,CTSI/USDT:USDT,2023-12-22 22:45:00+00:00,first_buy,long-exit-profit,0.20600000000000002,0.20600000000000002,0.20218446096599146,0.2002778872653237,0.203,1,0.20320000000000002,2775382.0,1,False,0.2034599999999967,0.2033571428571381,0.2000000000000035,24.79650718,0.40501045472695085,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-01-21 15:30:00+00:00,do_nothing,go_long,0,go_short,163311342.0,0,0.2914,0.2886,0.2584,0,0.20620800000000356,go_long,go_short,False,0.21581146842989488,0.24501428571428105,0.2587,0.23598726924057514,go_long,0.2546599999999964
317,CTSI/USDT:USDT,2023-10-25 16:30:00+00:00,first_buy,long-exit-profit,0.1497,0.14980000000000002,0.14768642830223208,0.1467683426861238,0.1466,1,0.1466,2795400.0,1,False,0.14849999999999683,0.14825714285713948,0.14652800000000277,22.66135968,0.3691862271249948,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2023-12-22 22:30:00+00:00,do_nothing,go_long,0,go_short,5058701.0,0,0.2071,0.2061,0.2034,0,0.19976400000000352,go_long,go_short,False,0.20004411824654958,0.2031571428571381,0.20350000000000001,0.20199981750526264,go_long,0.2033999999999967
323,CTSI/USDT:USDT,2024-08-05 06:30:00+00:00,first_buy,long-exit-profit,0.1096,0.1101,0.11036479738089378,0.11335134691273943,0.1004,1,0.1038,13932080.0,0,False,0.1095599999999973,0.10995714285713777,0.11286000000000294,22.68044613,0.3696153136434698,1,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-08-23 14:15:00+00:00,do_nothing,go_long,0,go_short,1115495.0,0,0.14250000000000002,0.1421,0.1413,0,0.14101600000000306,go_long,go_short,False,0.14094298571486263,0.14129999999999507,0.1413,0.1412680088652758,go_long,0.1413399999999983
99,BAL/USDT:USDT,2023-11-10 06:00:00+00:00,first_buy,long-exit-profit,3.999,4.026,3.9723503957283275,3.941653002114696,3.981,0,4.016,36426.9,0,False,3.990599999999843,3.98057142857161,3.9504000000001454,22.23928585,0.36395648952248216,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-07 13:45:00+00:00,go_long,go_long,0,go_long,28240.9,0,5.716,5.713,5.684,0,5.6470800000001455,go_long,go_long,False,5.64871598611875,5.6807142857144415,5.6850000000000005,5.670523538535989,go_long,5.684399999999852
98,BAL/USDT:USDT,2023-10-19 01:45:00+00:00,first_buy,long-exit-profit,2.9699999999999998,2.9699999999999998,2.9588258124889593,2.9655414296663456,2.89,1,2.91,105300.3,1,False,2.9559999999998343,2.9588571428573123,2.964960000000141,22.39391899,0.3660865233604556,1,go_long,go_long,go_long,go_long,go_long,go_long,2023-11-10 05:45:00+00:00,go_long,go_long,0,go_long,26330.9,0,4.003,4.0,3.965,0,3.947280000000145,go_long,go_long,False,3.9357052422838716,3.972857142857324,3.979,3.964414104042569,go_long,3.9779999999998426
102,BAL/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,long-exit-profit,1.826,1.835,1.8695237225715187,1.9133773265473009,1.6019999999999999,1,1.7149999999999999,716004.9,0,False,1.8351999999998643,1.8567142857144445,1.9265200000001061,22.59687574,0.3682780277397624,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-21 13:15:00+00:00,go_long,go_long,1,go_long,166014.8,0,2.417,2.409,2.3529999999999998,0,2.265960000000112,go_long,go_long,False,2.2718137139412757,2.3207142857144665,2.357,2.3058323125750286,go_long,2.3501999999998495
