,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,open (exit),volume (exit),ema-12 (exit),sma-25 (exit),long_jcrosk (exit),sma-05 (exit),mean-grad-hist (exit),long-large-rl (exit),close (exit),short-small-rl (exit),high (exit),long-bid-rl (exit),short-bid-rl (exit),short-large-rl (exit),short_kdj (exit),low (exit),ema-26 (exit),long-small-rl (exit),sma-compare (exit),sma-07 (exit)
2782,NEO/USDT:USDT,2024-11-24 06:45:00+00:00,first_buy,force_exit,15.808,15.982,15.411725776950318,15.184082778188264,15.609,0,15.891,239353.11,0,False,15.52760000000048,15.44471428571362,15.150760000000322,-1.47022352,-0.023943268050838712,0,go_long,go_short,go_short,go_short,go_long,go_long,2024-11-29 20:15:00+00:00,15.591,17627.68,15.37023205325245,15.39512000000033,0,15.515200000000442,0,go_short,15.579,go_short,15.614,go_long,go_long,go_short,False,15.555,15.47127791289976,go_long,0,15.492999999999332
374,STMX/USDT:USDT,2024-11-19 08:30:00+00:00,first_buy,force_exit,0.008620000000000001,0.00909,0.007569461139490941,0.007064988738013026,0.008570000000000001,0,0.00905,3108942804.0,0,False,0.008244000000001188,0.007789999999999448,0.006823999999999989,-7.18260593,-0.11696762627345242,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.008,9662234.0,0.007889072844397107,0.007891999999999993,0,0.0079680000000012,0,go_long,0.00799,do_nothing,0.008,go_long,go_long,go_long,False,0.007970000000000001,0.007933737917747695,go_long,0,0.007951428571428026
635,DYDX/USDT:USDT,2024-11-27 23:15:00+00:00,first_buy,force_exit,1.682,1.683,1.6434383244588127,1.6232676514727074,1.6440000000000001,1,1.646,1568966.0,1,False,1.6578000000000217,1.6512857142858397,1.6271999999999582,-0.36880355,-0.0060134606891173075,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,1.639,123379.9,1.6280628533917174,1.6322799999999582,0,1.632200000000021,0,go_long,1.642,do_nothing,1.643,go_long,go_long,go_long,False,1.6360000000000001,1.6317140057001107,go_long,0,1.6304285714286972
2523,ATOM/USDT:USDT,2024-11-24 02:45:00+00:00,first_buy,force_exit,9.14,9.329,8.810941487829222,8.586397396987417,9.125,0,9.283,1000518.63,0,False,8.982199999999736,8.93428571428528,8.488360000000508,-4.83028851,-0.07876018148118664,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,8.557,86392.93,8.501382146861182,8.542880000000515,0,8.532199999999758,0,go_long,8.583,go_long,8.586,go_long,go_long,go_long,False,8.555,8.52748290229866,go_long,0,8.523857142856718
2269,ARK/USDT:USDT,2024-11-26 05:30:00+00:00,first_buy,force_exit,0.7344,0.739,0.7226167037404272,0.7128236253189578,0.7316,0,0.7348,1662881.0,0,False,0.7294800000000103,0.7265285714285666,0.709336000000003,-0.46489002,-0.007616018904619612,0,go_long,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.7298,78868.0,0.7247570625890247,0.7258040000000036,0,0.7286400000000113,0,go_long,0.7315,go_short,0.7316,go_long,go_long,go_long,False,0.7298,0.7273244043577552,go_long,0,0.7272999999999955
884,LPT/USDT:USDT,2024-11-28 22:30:00+00:00,first_buy,force_exit,15.382,15.407,15.13843015470768,14.966256428880929,15.238,0,15.317,39481.9,0,False,15.248799999999823,15.20071428571421,14.963639999999776,-2.60402247,-0.04245138787452756,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,14.641,19013.9,14.619036249700196,14.614439999999776,0,14.599799999999822,0,go_long,14.704,do_nothing,14.73,go_long,go_long,go_long,False,14.639,14.61558393443412,go_long,0,14.591857142857075
1279,BNB/USDT:USDT,2024-11-12 00:00:00+00:00,first_buy,force_exit,653.71,666.51,644.0217700729434,639.2357605740476,652.0,0,660.53,114289.23,0,False,648.3899999999892,644.2128571428501,638.9531999999922,-1.16394876,-0.0195598143246244,0,go_long,go_long,do_nothing,do_nothing,go_long,go_long,2024-11-29 20:15:00+00:00,654.4,9619.73,656.5131159834813,657.4015999999918,0,654.6839999999877,1,do_nothing,654.46,go_long,654.8,go_long,go_long,do_nothing,False,653.5,655.9655222991971,go_long,1,655.631428571421
1390,ADA/USDT:USDT,2024-11-26 11:00:00+00:00,second_buy,force_exit,0.9233,0.9275,0.937570117602305,0.9497775928193937,0.9113,1,0.9127000000000001,30913487.0,0,False,0.9298200000000051,0.9344571428571476,0.9558759999999954,-9.6059688,-0.15726077672754543,1,go_long,go_short,do_nothing,do_nothing,go_short,go_short,2024-11-29 20:15:00+00:00,1.0515,6778285.0,1.0550862252251993,1.0592279999999956,0,1.0497800000000053,0,do_nothing,1.0556,go_short,1.0561,go_short,go_short,do_nothing,False,1.0487,1.0511785234867421,go_long,0,1.0487857142857189
1703,LQTY/USDT:USDT,2024-11-27 23:15:00+00:00,first_buy,force_exit,1.7187999999999999,1.7187999999999999,1.6241211979328902,1.5742378805582666,1.6295000000000002,1,1.6338,1326931.2,1,False,1.6651199999999649,1.6506714285714368,1.5621440000000144,-4.42645529,-0.0721625890988843,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-11-29 20:15:00+00:00,1.5134,50473.2,1.5138827624898528,1.5176520000000147,0,1.5120999999999656,0,go_short,1.5202,do_nothing,1.5209000000000001,go_long,go_long,go_short,False,1.5128,1.5121583331626338,go_long,0,1.5106428571428658
1910,COTI/USDT:USDT,2024-11-22 21:15:00+00:00,second_buy,force_exit,0.11828000000000001,0.12888000000000002,0.1133733339969865,0.11028068933108542,0.11825000000000001,0,0.12408000000000001,101239335.0,1,False,0.11629199999999289,0.11404857142857672,0.1095868000000015,-12.06855503,-0.19707251243572504,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2024-11-29 20:15:00+00:00,0.14806000000000002,1564625.0,0.14819385346245093,0.14923440000000138,0,0.14735599999999288,0,do_nothing,0.14875000000000002,go_short,0.14879,go_short,go_short,do_nothing,False,0.14792000000000002,0.14810268718259634,go_short,1,0.1475628571428624
2166,GAS/USDT:USDT,2024-11-24 15:45:00+00:00,second_buy,force_exit,5.557,5.5809999999999995,5.670340174258452,5.768661020082656,5.466,0,5.524,197099.9,1,False,5.5899999999999865,5.600285714285714,5.843960000000069,-4.9965315,-0.08159879781501403,1,go_short,go_short,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,5.968,20790.7,5.893397419614037,5.898560000000072,0,5.930599999999982,0,go_long,5.965,go_short,5.975,go_short,go_short,go_long,False,5.958,5.9222171528412275,go_short,0,5.926000000000002
2113,CTSI/USDT:USDT,2024-11-29 17:15:00+00:00,first_buy,force_exit,0.20140000000000002,0.2015,0.1989851705715404,0.19737332510586705,0.1996,1,0.2001,1677387.0,1,False,0.20011999999999852,0.199442857142852,0.1972720000000028,-0.3058776,-0.0049905117371384245,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-11-29 20:15:00+00:00,0.19940000000000002,447532.0,0.19827144815228648,0.19883200000000287,0,0.1986799999999986,0,go_short,0.1995,do_nothing,0.19970000000000002,go_long,go_long,go_short,False,0.19890000000000002,0.1988831467615759,go_long,0,0.19864285714285201
1106,BAL/USDT:USDT,2024-11-27 15:15:00+00:00,first_buy,force_exit,2.762,2.769,2.7273364145666354,2.699202015852765,2.7439999999999998,0,2.761,81452.0,0,False,2.7417999999998015,2.7375714285715764,2.6972400000001837,0.30682695,0.005002618317835709,0,go_long,go_long,do_nothing,do_nothing,go_long,go_long,2024-11-29 20:15:00+00:00,2.779,7608.4,2.777663503785406,2.7866000000001856,0,2.7691999999998047,0,do_nothing,2.782,go_long,2.782,go_long,go_long,do_nothing,False,2.775,2.7750757590831205,go_long,0,2.769000000000144
1570,APE/USDT:USDT,2024-11-24 04:15:00+00:00,first_buy,force_exit,1.3946,1.3949,1.3572792065512422,1.3350483448216455,1.3739,0,1.3883,3221686.0,1,False,1.3751599999999828,1.3650999999999793,1.3296040000000258,1.14324404,0.01869821511934909,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-11-29 20:15:00+00:00,1.4207,589891.0,1.4028990468888591,1.4075960000000245,0,1.4144399999999846,0,do_nothing,1.4215,do_nothing,1.4226,go_long,go_long,do_nothing,False,1.4171,1.4102955928273362,go_long,0,1.4136714285714098
1685,LQTY/USDT:USDT,2024-09-09 21:45:00+00:00,first_buy,long-exit-profit,0.7966000000000001,0.7979,0.7876514662083534,0.7779664274514834,0.7891,1,0.7909,151481.6,1,False,0.7916999999999728,0.7893428571428631,0.7780560000000142,2.21825378,0.0361583654324366,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-09-10 18:45:00+00:00,0.8157000000000001,191132.2,0.806269390608957,0.8047240000000134,0,0.8151599999999728,1,go_short,0.8205,do_nothing,0.8216,go_long,go_long,go_short,False,0.8131,0.8112594966434739,go_long,0,0.8152000000000059
1684,LQTY/USDT:USDT,2024-09-09 16:45:00+00:00,first_buy,long-exit-profit,0.7591,0.7727,0.7508055828495624,0.7463803648331581,0.7588,0,0.7703,759662.2,0,False,0.7550799999999723,0.7502571428571488,0.7469120000000139,1.93688292,0.03154066641805061,0,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-09-09 21:30:00+00:00,0.7954,401888.2,0.776931741647602,0.7760360000000142,0,0.7902799999999727,0,go_short,0.7966000000000001,do_nothing,0.8034,go_long,go_long,go_short,False,0.7934,0.7870608237007812,go_long,0,0.7893714285714346
