,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),short_kdj (exit),low (exit),close (exit),long_jcrosk (exit),long-large-rl (exit),ema-12 (exit),ema-26 (exit),long-bid-rl (exit),short-large-rl (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-07 (exit),open (exit),sma-25 (exit),volume (exit),sma-compare (exit),sma-05 (exit),long-small-rl (exit),high (exit)
1436,BTC/USDT:USDT,2024-11-10 11:15:00+00:00,second_buy,force_exit,79547.9,80089.7,79342.7556605131,78951.69686198597,79547.9,0,79785.7,4846375.0,0,False,79480.06000000032,79457.41428571481,79176.5239999998,-1.37653811,-0.1727023455392986,0,go_short,go_short,go_long,go_long,go_short,go_short,2025-01-12 16:15:00+00:00,go_short,False,94788.1,94792.7,0,go_long,94607.04341345772,94787.46074320821,go_short,go_long,1,go_short,94898.01428571479,95026.3,94491.34799999988,688395.0,0,94941.94000000044,go_short,95090.0
1027,ATOM/USDT:USDT,2024-12-04 14:15:00+00:00,first_buy,force_exit,10.617,10.622,10.462810539891544,10.31937447932639,10.401,1,10.41,10663.0,0,False,10.526400000000331,10.522428571428746,10.341040000000104,-4.01590558,-0.3852774115349742,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,do_nothing,False,6.51,6.51,1,go_long,6.529577250757326,6.520432239489998,go_long,go_long,1,go_long,6.513714285714445,6.553,6.5168800000000875,1600.0,0,6.525000000000316,do_nothing,6.557
649,ARPA/USDT:USDT,2025-01-10 09:30:00+00:00,first_buy,force_exit,0.047240000000000004,0.04725000000000001,0.0468570508881563,0.046579837427237376,0.047220000000000005,0,0.047220000000000005,117.0,0,False,0.046981999999998414,0.046932857142858,0.04656439999999851,-0.1782864,-0.018855419405916972,0,go_short,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,False,0.04648,0.04648,1,go_long,0.04640466515086107,0.046507397410195064,go_long,go_long,1,go_long,0.0465385714285723,0.04669,0.046365999999998506,600.0,0,0.046545999999998436,go_short,0.0468
1261,AUCTION/USDT:USDT,2025-01-10 20:00:00+00:00,first_buy,force_exit,15.754,15.754,15.615895282354366,15.562308041226773,15.754,1,15.754,160.0,0,False,15.657199999999914,15.664571428571445,15.482440000000087,-0.22434276,-0.02371023669741456,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,do_nothing,False,15.419,15.419,1,go_long,15.365658579929287,15.39808785006756,go_long,go_long,1,go_long,15.415571428571445,15.526,15.33176000000009,2326.0,0,15.420999999999916,do_nothing,15.526
1352,BBL/USDT:USDT,2025-01-08 02:00:00+00:00,first_buy,force_exit,0.004517,0.004521,0.004492541937571034,0.004515132377315834,0.004471,0,0.004521,1582.0,0,False,0.004490200000000339,0.004487857142857947,0.00449380000000003,-1.36773718,-0.13647058680318103,0,go_short,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,False,0.003947,0.003947,0,go_long,0.003964981911772786,0.003950952890056669,go_long,go_long,1,go_long,0.003946714285715089,0.003965,0.003962560000000031,3460.0,0,0.003949400000000338,go_short,0.003977
338,AMP/USDT:USDT,2025-01-10 20:00:00+00:00,first_buy,force_exit,0.007069,0.007150999999999999,0.0069180084992390084,0.006904227358733923,0.007069,0,0.007083,134.0,1,False,0.006955400000000068,0.006935714285714291,0.006859839999999991,-0.11672275,-0.0165445720567741,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,False,0.006947,0.006947,0,go_long,0.006933983486276666,0.006935276035673545,go_long,go_long,0,go_long,0.006937714285714288,0.006947,0.0069401199999999915,0.0,1,0.0069284000000000515,do_nothing,0.006947
376,ARKM/USDT:USDT,2025-01-08 07:00:00+00:00,first_buy,force_exit,1.3988,1.4001000000000001,1.4168414234411482,1.4410295589839968,1.3787,1,1.3811,14042.0,0,False,1.40418000000003,1.4123000000000137,1.4418639999999925,-0.1436239,-0.01486273859560786,1,go_short,go_short,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_short,False,1.3644,1.3644,0,go_long,1.3573279779769112,1.3608047710573485,go_long,go_long,1,go_long,1.3622714285714408,1.3706,1.3537359999999907,1167.0,0,1.3639600000000318,go_short,1.3767
876,ASTR/USDT:USDT,2025-01-06 18:45:00+00:00,first_buy,force_exit,0.06806000000000001,0.06816000000000001,0.06805844291640752,0.06793457800747132,0.06806000000000001,0,0.06811,842.0,0,False,0.067856,0.06786000000000121,0.06802960000000033,-1.03785122,-0.1090855381177962,1,go_short,go_short,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_short,False,0.06094000000000001,0.06099,0,go_long,0.06082711014767742,0.06079191203546674,go_long,go_long,0,go_long,0.060662857142858406,0.061090000000000005,0.06075160000000036,2606.0,0,0.06082600000000034,go_short,0.06117
1428,BLAST/USDT:USDT,2025-01-07 14:15:00+00:00,first_buy,force_exit,0.009979,0.01004,0.00988530922501788,0.009813736655107583,0.009940000000000001,1,0.010003999999999999,338.0,0,False,0.009980800000000097,0.009996999999999928,0.009769600000000055,-1.154519,-0.11541735558547328,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,False,0.008867,0.008867,0,go_long,0.008860871712221382,0.008859884634228442,go_long,go_long,1,go_long,0.008867571428571332,0.008867,0.00883272000000005,0.0,0,0.008871800000000086,do_nothing,0.008867
1383,BEER/USDT:USDT,2025-01-08 02:30:00+00:00,first_buy,force_exit,9.479e-06,9.528000000000001e-06,9.540706193791069e-06,9.604866872582831e-06,9.387e-06,0,9.513e-06,67546.0,0,False,9.50959999999919e-06,9.52071428571464e-06,9.603360000000177e-06,-0.22542198,-0.022561869016739625,1,go_short,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,False,9.32e-06,9.32e-06,0,go_long,9.14605519391638e-06,9.189184349928871e-06,go_long,go_long,0,go_long,9.198285714286071e-06,9.334e-06,9.126920000000175e-06,3901.0,0,9.21739999999918e-06,go_short,9.334e-06
