,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),close_date,ema-12 (exit),high (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),close (exit),sma-25 (exit),short-small-rl (exit),ema-26 (exit),sma-compare (exit),low (exit),short_kdj (exit),long-small-rl (exit),open (exit),long_jcrosk (exit),sma-07 (exit)
1857,DMAIL/USDT:USDT,2025-01-06 21:30:00+00:00,first_buy,force_exit,0.2685,0.276,0.2525617756136994,0.2460363566155623,0.26030000000000003,0,0.2606,23169.0,0,False,0.2594199999999987,0.25611428571428824,0.24680399999999728,-2.16577875,-0.16329417310941555,0,go_long,go_long,2025-01-12 16:30:00+00:00,0.21446639435589618,0.2185,1215.0,0.21423999999999915,0,0.21710000000000002,0.21423999999999707,go_long,0.2142648708886714,0,0.21710000000000002,False,go_long,0.2175,0,0.21388571428571687
247,AEVO/USDT:USDT,2025-01-07 22:00:00+00:00,first_buy,force_exit,0.3593,0.3597,0.3616356334399379,0.3672949089641369,0.35660000000000003,1,0.3568,36878.0,1,False,0.3603799999999897,0.36019999999999086,0.3656199999999956,-1.18444992,-0.0899836235795718,0,go_long,go_long,2025-01-12 16:00:00+00:00,0.3242771894389586,0.3259,60.0,0.3244199999999899,0,0.3255,0.32378399999999535,go_long,0.3244368091110833,0,0.3249,False,go_long,0.3251,0,0.32441428571427616
1244,BEER/USDT:USDT,2025-01-08 04:30:00+00:00,first_buy,force_exit,9.353e-06,9.368e-06,9.428715624134036e-06,9.51034693491697e-06,9.286e-06,1,9.299e-06,5154.0,0,False,9.379999999999189e-06,9.398000000000356e-06,9.504560000000177e-06,-0.01069726,-0.000803648593432742,1,go_long,go_long,2025-01-12 16:15:00+00:00,9.14605519391638e-06,9.334e-06,3901.0,9.21739999999918e-06,0,9.32e-06,9.126920000000175e-06,go_long,9.189184349928871e-06,0,9.32e-06,False,go_long,9.334e-06,0,9.198285714286071e-06
231,ADA/USDT:USDT,2024-11-23 15:30:00+00:00,first_buy,force_exit,1.143,1.1499,1.1085639408153454,1.0973846760541204,1.1173,0,1.1318,220565.0,0,False,1.1218599999999852,1.1151714285714223,1.0906560000000238,-1.5682952,-0.13845249836766274,0,go_long,go_long,2025-01-12 16:00:00+00:00,0.994294051152676,0.9944000000000001,7245.0,0.9945399999999861,1,0.9929,0.9911080000000222,go_long,0.9939462062681687,0,0.991,False,go_long,0.9923000000000001,1,0.9938428571428541
1307,BEL/USDT:USDT,2025-01-08 03:15:00+00:00,first_buy,force_exit,0.5645,0.5650000000000001,0.5666170864068193,0.5704004756790437,0.5553,1,0.5594,5715.0,0,False,0.5659199999999888,0.5657285714285681,0.568283999999993,-0.75144195,-0.05829389244517722,0,go_long,go_long,2025-01-12 16:15:00+00:00,0.5253626843246437,0.5313,26833.0,0.5275999999999879,1,0.528,0.5247599999999929,go_long,0.5263686093307234,0,0.528,False,go_long,0.5294,0,0.5264428571428532
1376,BICO/USDT:USDT,2025-01-07 19:30:00+00:00,first_buy,force_exit,0.3033,0.3033,0.30820502607161143,0.31436867569230303,0.3019,0,0.3019,1635.0,0,False,0.3047200000000705,0.3059142857143347,0.31597600000001047,-1.17679341,-0.08715200457013214,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.27504120536281046,0.2775,0.0,0.2771800000000703,1,0.2775,0.2742760000000101,go_long,0.27588686029015186,0,0.2775,False,go_long,0.2775,0,0.2763000000000489
194,ACH/USDT:USDT,2025-01-07 15:45:00+00:00,first_buy,force_exit,0.025,0.025,0.025706505048329407,0.02599406735891086,0.023059,1,0.024768,194681.0,0,False,0.02544359999999981,0.025657142857142285,0.026059400000001235,-1.07387687,-0.08061075080455025,1,go_long,go_long,2025-01-12 16:00:00+00:00,0.022575740025105047,0.02273,6505.0,0.022595199999999805,0,0.022706999999999998,0.022521080000001244,go_long,0.02257521584461011,0,0.022626999999999998,False,go_long,0.022652,0,0.022573142857142275
1209,BEAMX/USDT:USDT,2025-01-07 18:45:00+00:00,first_buy,force_exit,0.025390000000000003,0.02544,0.02581316046351423,0.026285667211206287,0.02525,1,0.025330000000000002,1626.0,0,False,0.02558999999999964,0.02565857142857164,0.02637560000000004,-1.11245225,-0.08781832549118206,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.023118603487468234,0.023510000000000003,577.0,0.023323999999999668,1,0.023200000000000002,0.023064000000000043,go_long,0.0232483559748583,0,0.023200000000000002,False,go_long,0.02347,1,0.0232942857142859
1392,BIGTIME/USDT:USDT,2025-01-08 03:15:00+00:00,first_buy,force_exit,0.13342,0.13342,0.13410978743313082,0.1351900328302248,0.13136,1,0.132,6243.0,0,False,0.13369800000001228,0.13391999999999651,0.1348379999999982,-0.6423145,-0.04853803533833791,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.12594349001439184,0.12735000000000002,120.0,0.12644800000001233,1,0.12634,0.1256671999999982,go_long,0.12613560767269497,0,0.12634,False,go_long,0.127,1,0.1262528571428536
1445,BLUR/USDT:USDT,2025-01-08 01:45:00+00:00,first_buy,force_exit,0.2449,0.2449,0.2465340866376846,0.248726732191886,0.2436,1,0.24380000000000002,30347.0,0,False,0.24617999999999368,0.24644285714285233,0.24730400000000163,-0.98281975,-0.07319228536940714,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.22672506804644865,0.2291,1470.0,0.2278399999999931,1,0.2281,0.22616800000000162,go_long,0.2272429280173349,0,0.228,False,go_long,0.2291,1,0.22748571428570927
