,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),imit-enter-short (exit),mean-grad-hist (exit),short_kdj (exit),nlp-enter-long (exit),imit-exit-short (exit),high (exit),short-large-rl (exit),sma-05 (exit),sma-25 (exit),sma-compare (exit),long-large-rl (exit),long-bid-rl (exit),long-small-rl (exit),short-bid-rl (exit),sma-07 (exit),close (exit),ema-12 (exit),volume (exit),nlp-enter-short (exit),short-small-rl (exit),ema-26 (exit),nlp-exit-short (exit),open (exit),long_jcrosk (exit),low (exit)
131,STMX/USDT:USDT,2021-03-25 10:30:00+00:00,first_buy,long-exit-profit,0.053,0.05356,0.05317852162553568,0.05327580165807634,0.052770000000000004,0,0.053320000000000006,4251016.0,0,False,0.053128000000000106,0.05302000000000002,0.05350000000000006,0.29175601,0.00475243635533545,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,go_long,0,False,go_long,go_long,0.05425000000000001,do_nothing,0.05288600000000006,0.05199040000000005,0,do_nothing,go_long,go_long,go_long,0.05251285714285715,0.053610000000000005,0.05221143330726897,12940183.0,go_long,go_long,0.052457324657870466,go_long,0.05249,0,0.05201000000000001
130,STMX/USDT:USDT,2021-03-24 22:30:00+00:00,first_buy,long-exit-profit,0.054450000000000005,0.054540000000000005,0.05528103706957367,0.05664396842844729,0.04977,1,0.051750000000000004,37535380.0,0,False,0.05500200000000009,0.05519142857142857,0.05720520000000006,1.40447385,0.022879728966685487,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,go_long,1,False,go_long,go_long,0.054150000000000004,do_nothing,0.0542360000000001,0.05681360000000006,1,do_nothing,go_long,go_long,go_long,0.0548257142857143,0.05314000000000001,0.05638441521152527,17633158.0,go_long,go_long,0.054951646751177724,go_long,0.051750000000000004,0,0.05133000000000001
132,STMX/USDT:USDT,2021-03-28 12:45:00+00:00,first_buy,long-exit-profit,0.05512,0.056,0.05616674737094999,0.0563647300616504,0.055,1,0.055740000000000005,5282657.0,0,False,0.055970000000000054,0.05611857142857139,0.05645520000000001,0.31768456,0.005174128781746461,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,go_long,0,False,go_long,go_long,0.05616,do_nothing,0.05567400000000004,0.05610920000000004,1,do_nothing,go_long,go_long,go_long,0.05572999999999996,0.05611000000000001,0.056015313903988076,4082604.0,go_long,go_long,0.05581429389013035,go_long,0.05532,0,0.05525000000000001
133,STMX/USDT:USDT,2021-04-02 19:15:00+00:00,first_buy,long-exit-profit,0.07847000000000001,0.07855000000000001,0.07834695225213589,0.07733680104663972,0.07691,0,0.07712000000000001,12040272.0,1,False,0.07797800000000002,0.0778442857142857,0.07881359999999998,1.6304393,0.02658285086689907,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,go_long,0,False,go_long,go_long,0.07945,do_nothing,0.07755200000000001,0.07957159999999999,1,do_nothing,go_long,go_long,go_long,0.07776285714285712,0.07937000000000001,0.07744007110637613,18158636.0,go_long,go_long,0.0780843558672148,go_long,0.07716,0,0.07680000000000001
134,STMX/USDT:USDT,2021-04-03 23:45:00+00:00,first_buy,long-exit-profit,0.07493000000000001,0.075,0.07266463640752836,0.07341866240077735,0.07098,0,0.0721,18179500.0,0,False,0.07259399999999999,0.07202714285714278,0.07322559999999997,0.58311753,0.009505343803622338,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,go_long,0,False,go_long,go_long,0.07385000000000001,do_nothing,0.072644,0.07312759999999997,0,do_nothing,go_long,go_long,go_long,0.07252857142857135,0.07296000000000001,0.07314346288737215,16340042.0,go_long,go_long,0.07245451572982262,go_long,0.07194,0,0.07078000000000001
136,STMX/USDT:USDT,2021-04-14 14:15:00+00:00,first_buy,long-exit-profit,0.06183,0.061970000000000004,0.06227563531384507,0.06296784745897187,0.05906,1,0.05947,17887293.0,0,False,0.06187600000000011,0.062121428571428265,0.06291919999999991,1.19697552,0.01949690894668179,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,go_long,1,False,go_long,go_long,0.061090000000000005,do_nothing,0.061508000000000104,0.06276319999999991,1,do_nothing,go_long,go_long,go_long,0.061781428571428265,0.060790000000000004,0.06280652542497395,18262202.0,go_long,go_long,0.06204707603479198,go_long,0.059430000000000004,0,0.058550000000000005
515,ETC/USDT:USDT,2020-05-05 04:15:00+00:00,second_buy,roi,7.267,7.414,7.2791146527575545,7.258938229941758,7.267,0,7.414,250686.07,0,False,7.285200000000008,7.277999999999959,7.256599999999976,15.45249617,0.25230952542657475,0,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,go_short,go_short,go_short,1,False,go_short,go_short,7.071,go_long,6.989800000000007,7.074839999999978,1,go_long,go_long,go_long,go_long,7.0129999999999555,6.642,7.063290380552045,530399.29,go_short,go_long,7.0141397622041675,go_short,7.062,0,6.639
89,LINK/USDT:USDT,2020-12-22 08:30:00+00:00,second_buy,roi,12.011,12.023,12.137899017728515,12.233355336005957,11.809,1,11.88,611002.87,0,False,12.049200000000187,12.097857142857126,12.286600000000032,15.28943717,0.24966626719246587,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,1,False,go_short,go_short,11.162,do_nothing,11.078200000000175,11.63984000000004,1,do_nothing,go_long,go_long,go_long,11.248999999999981,10.466,11.57883155815218,1136838.33,go_short,go_long,11.342624419224919,go_short,11.063,0,10.452
549,SXP/USDT:USDT,2020-07-31 19:15:00+00:00,second_buy,roi,1.8187000000000002,1.8246,1.7565301836378788,1.6867769695799668,1.7816,1,1.807,968715.7,1,False,1.8133999999999997,1.803814285714289,1.6577800000000014,16.0112175,0.26172502267821174,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,1,False,go_short,go_short,1.673,do_nothing,1.657200000000001,1.6532040000000012,0,do_nothing,go_long,go_long,go_long,1.6569714285714314,1.6434000000000002,1.6646911334857504,432846.4,go_short,go_long,1.656211102832375,go_short,1.6417000000000002,0,1.635
827,XRP/USDT:USDT,2020-05-30 11:15:00+00:00,second_buy,roi,0.2046,0.20650000000000002,0.20188361326362558,0.20072296913624532,0.2044,0,0.20570000000000002,8590324.5,0,False,0.20267999999999992,0.20201428571428587,0.20076000000000033,15.32896792,0.25015287368730665,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,1,False,go_short,go_short,0.2144,do_nothing,0.21397999999999984,0.21350400000000053,0,do_nothing,go_long,go_long,go_long,0.21402857142857154,0.21330000000000002,0.21339420808465595,3804799.1,go_short,go_long,0.21389070688237646,go_short,0.2144,1,0.213
