,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,sma-25 (exit),nlp-exit-short (exit),close (exit),short-large-rl (exit),nlp-enter-long (exit),low (exit),ema-12 (exit),mean-grad-hist (exit),imit-enter-short (exit),sma-05 (exit),imit-exit-short (exit),short_kdj (exit),short-bid-rl (exit),long_jcrosk (exit),open (exit),short-small-rl (exit),volume (exit),long-large-rl (exit),sma-07 (exit),nlp-enter-short (exit),long-small-rl (exit),high (exit),long-bid-rl (exit),sma-compare (exit),ema-26 (exit)
448,BTC/USDT:USDT,2024-11-11 21:30:00+00:00,second_buy,force_exit,87173.8,88452.0,86570.78168942181,85432.24129253166,87115.0,0,88262.0,9225248.0,0,False,87212.80000000002,87047.3142857149,85389.27599999982,-0.53368819,-0.06053237387681153,0,go_short,go_short,go_short,go_short,go_long,go_long,go_short,go_short,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,94491.34799999991,go_short,94792.7,go_short,go_short,94788.1,94607.04341345772,1,go_short,94941.94000000016,go_short,False,go_long,0,95026.3,go_long,688395.0,go_short,94898.01428571487,go_short,go_long,95090.0,go_long,0,94787.46074320821
259,BBL/USDT:USDT,2025-01-10 06:30:00+00:00,first_buy,force_exit,0.004195,0.004195,0.004209743523006175,0.004233180012202092,0.004129,1,0.004169,46233.0,0,False,0.004210400000000339,0.004207428571429378,0.004222400000000032,-0.48026014,-0.05437565843257954,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,0.003962560000000031,go_long,0.003947,go_long,go_long,0.003947,0.003964981911772786,1,go_long,0.003949400000000338,go_long,False,go_long,0,0.003965,go_long,3460.0,go_long,0.003946714285715089,go_long,go_long,0.003977,go_long,0,0.003950952890056669
20,ADA/USDT:USDT,2022-01-22 00:00:00+00:00,second_buy,force_exit,1.12362,1.12474,1.1425527916539195,1.1616404943828487,1.11526,0,1.1197,13620.0,1,False,1.1284939999999917,1.1315957142857085,1.1682288000000234,2.14725384,0.19208250609859187,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,go_short,go_long,go_long,go_short,2025-01-12 16:00:00+00:00,0.9911080000000233,go_short,0.9929,go_short,go_short,0.991,0.994294051152676,1,go_short,0.9945399999999847,go_short,False,go_long,1,0.9923000000000001,go_long,7245.0,go_short,0.9938428571428531,go_short,go_long,0.9944000000000001,go_long,0,0.9939462062681687
104,AMP/USDT:USDT,2025-01-08 05:00:00+00:00,first_buy,force_exit,0.007245,0.007251,0.007312322647498332,0.007346203892542654,0.007188,1,0.007251,426.0,0,False,0.007285400000000069,0.007300714285714297,0.0073301999999999925,-0.3127067,-0.04314242586580661,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,0.0069401199999999915,go_long,0.006947,go_long,go_long,0.006947,0.006933983486276666,0,go_long,0.0069284000000000515,go_long,False,go_long,0,0.006947,go_long,0.0,go_long,0.006937714285714288,go_long,go_long,0.006947,go_long,1,0.006935276035673545
108,BAKE/USDT:USDT,2021-10-14 04:15:00+00:00,second_buy,force_exit,2.195,2.299,2.0607257325840527,1.9968876533927817,2.195,0,2.235,363357.0,1,False,2.119400000000032,2.082714285714297,1.9715199999999982,8.03709559,0.9003067066618992,0,go_short,go_short,go_short,go_short,go_long,go_long,go_short,go_short,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0.2335920000000014,go_short,0.2354,go_short,go_short,0.2354,0.23411929950677524,1,go_short,0.23530000000003742,go_short,False,go_long,1,0.2359,go_long,25393.0,go_short,0.234957142857156,go_short,go_long,0.23600000000000002,go_long,0,0.23469523049827148
428,BLAST/USDT:USDT,2025-01-07 18:00:00+00:00,first_buy,force_exit,0.009182,0.009182,0.009373027734984595,0.009522695714639337,0.009182,0,0.009182,2.0,0,False,0.009251600000000092,0.009277428571428497,0.009629240000000054,-0.3080173,-0.03723584675447015,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,0.00883272000000005,go_long,0.008867,go_long,go_long,0.008867,0.008860871712221382,1,go_long,0.008871800000000086,go_long,False,go_long,0,0.008867,go_long,0.0,go_long,0.008867571428571332,go_long,go_long,0.008867,go_long,0,0.008859884634228442
435,BSV/USDT:USDT,2020-01-14 23:30:00+00:00,second_buy,force_exit,426.51,462.0,371.3784928342293,342.47487639580123,417.86,0,452.99,59722.0,0,False,395.9399999999997,376.26571428571464,343.6096,8.06362829,0.8968555544433323,0,go_short,go_short,go_short,go_short,go_long,go_long,go_short,go_short,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,56.719599999996966,go_short,57.4,go_short,go_short,56.77,56.820094559040264,0,go_short,56.86200000000199,go_short,False,go_long,0,56.9,go_long,33132.0,go_short,56.8042857142824,go_short,go_long,57.52,go_long,0,56.91601583994368
386,BEER/USDT:USDT,2025-01-07 15:15:00+00:00,first_buy,force_exit,1.0106000000000001e-05,1.0161000000000001e-05,1.0103658564872813e-05,1.0182333598223883e-05,9.704e-06,1,9.804000000000001e-06,118643.0,1,False,1.006559999999919e-05,1.0092285714286068e-05,1.0197720000000175e-05,-0.46345666,-0.05246684416495737,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,9.126920000000175e-06,go_long,9.32e-06,go_long,go_long,9.32e-06,9.14605519391638e-06,0,go_long,9.21739999999918e-06,go_long,False,go_long,0,9.334e-06,go_long,3901.0,go_long,9.198285714286071e-06,go_long,go_long,9.334e-06,go_long,0,9.189184349928871e-06
220,BBL/USDT:USDT,2024-11-03 14:45:00+00:00,first_buy,long-exit-profit,0.004069,0.004078,0.0040648019688332366,0.004080435373875807,0.003971,1,0.003972,90924.0,0,False,0.004056000000000345,0.004064285714286521,0.004076960000000002,1.13821491,0.13192321273892274,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-05 17:30:00+00:00,0.004039840000000004,go_long,0.004569,go_long,go_long,0.004403,0.004110031227449532,1,go_long,0.004433600000000348,go_long,False,go_long,0,0.004443,go_long,23908.0,go_long,0.004325428571429379,go_long,go_long,0.004569,go_long,0,0.0042514685946207
222,BBL/USDT:USDT,2024-11-06 19:30:00+00:00,first_buy,long-exit-profit,0.004699,0.004704,0.004474317696071233,0.0043956086250683535,0.004646,0,0.004667,4517.0,0,False,0.004570800000000352,0.004512142857143666,0.004367640000000005,1.17109255,0.1355025946840817,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-09 11:45:00+00:00,0.0049198800000000015,go_long,0.0053100000000000005,go_long,go_long,0.00521,0.00494695605012664,1,go_long,0.005242800000000351,go_long,False,go_long,0,0.005246,go_long,12927.0,go_long,0.0052031428571436755,go_long,go_long,0.0053100000000000005,go_long,0,0.00513162083975778
