,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,volume (exit),sma-07 (exit),low (exit),mean-grad-hist (exit),imit-exit-short (exit),nlp-enter-short (exit),nlp-enter-long (exit),high (exit),ema-12 (exit),sma-25 (exit),long-small-rl (exit),open (exit),nlp-exit-short (exit),imit-enter-short (exit),short-large-rl (exit),long-bid-rl (exit),ema-26 (exit),long-large-rl (exit),short-bid-rl (exit),long_jcrosk (exit),sma-05 (exit),close (exit),short_kdj (exit),sma-compare (exit),short-small-rl (exit)
655,UNI/USDT:USDT,2024-11-29 04:30:00+00:00,second_buy,force_exit,12.592,12.606,12.641147521097633,12.668587727045246,12.563,1,12.574,61578.0,0,False,12.613000000000095,12.636285714286029,12.703519999999896,-0.29771074,-0.005925098392491425,1,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2024-11-29 20:15:00+00:00,97544.0,12.692857142857457,12.619,1,go_short,go_short,go_short,12.701,12.723388584081336,12.763559999999895,go_long,12.681000000000001,go_short,go_short,do_nothing,go_long,12.70448748752051,do_nothing,go_long,1,12.68240000000009,12.625,False,1,go_long
850,INJ/USDT:USDT,2024-11-29 15:30:00+00:00,second_buy,force_exit,30.093,30.107,29.789741605655543,29.735084936599865,29.782,0,29.826,71821.7,1,False,29.916800000000347,29.853999999999825,29.73812000000008,-1.0162,-0.017052524931556647,0,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2024-11-29 20:15:00+00:00,54045.1,30.023857142856976,30.161,0,go_short,go_short,go_short,30.28,30.00966478724565,30.04664000000009,go_long,30.186,go_short,go_short,do_nothing,go_long,30.074823752040132,do_nothing,go_long,0,30.00920000000035,30.277,False,1,go_long
0,LINK/USDT:USDT,2021-02-24 00:15:00+00:00,second_buy,roi,25.987,26.182,25.427005497797307,25.008978632478634,25.26,0,25.289,390485.31,0,False,25.630600000000005,25.616571428571426,24.972240000000003,1.7308609,0.02831063800799115,0,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2021-02-26 00:30:00+00:00,544148.31,25.26714285714285,24.415,1,go_short,go_short,go_short,25.367,26.218708033072687,26.405319999999996,go_long,25.233,go_short,go_short,do_nothing,go_long,25.57329510516465,do_nothing,go_long,0,25.063200000000013,24.504,False,1,go_long
1895,EOS/USDT:USDT,2022-02-20 15:00:00+00:00,second_buy,roi,2.188,2.193,2.1953651502943923,2.200598393654025,2.18,1,2.19,430047.5,0,False,2.1912000000000145,2.193285714285616,2.197640000000011,0.75616474,0.012338163618400951,1,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-02-22 15:15:00+00:00,745022.8,2.134714285714186,2.143,0,go_short,go_short,go_short,2.156,2.120097428705733,2.1200000000000108,do_nothing,2.155,go_short,go_short,do_nothing,go_long,2.1316123345830174,do_nothing,go_long,0,2.1384000000000123,2.154,False,0,do_nothing
1896,EOS/USDT:USDT,2022-02-23 19:30:00+00:00,second_buy,roi,2.162,2.165,2.1728691911081803,2.1838839962664807,2.152,1,2.154,362746.6,1,False,2.1594000000000113,2.162428571428472,2.18912000000001,1.32967863,0.021747812810686575,1,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-02-25 19:45:00+00:00,306325.2,2.0904285714284714,2.087,0,go_short,go_short,go_short,2.1,2.093652659887155,2.0997600000000096,do_nothing,2.098,go_short,go_short,do_nothing,go_long,2.094355833711835,do_nothing,go_long,0,2.0930000000000133,2.092,False,0,do_nothing
1897,EOS/USDT:USDT,2022-02-26 04:00:00+00:00,second_buy,roi,2.187,2.192,2.1845179055037622,2.1677371565124863,2.187,1,2.187,230188.1,0,False,2.1862000000000132,2.1892857142856146,2.167400000000009,1.91441635,0.031294217170989,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-02-28 04:15:00+00:00,363993.6,2.100999999999901,2.1,0,go_short,go_short,go_short,2.117,2.100729773940753,2.0929200000000083,do_nothing,2.102,go_short,go_short,do_nothing,go_long,2.0994632385514653,do_nothing,go_long,0,2.101600000000014,2.112,False,0,do_nothing
1898,EOS/USDT:USDT,2022-02-28 20:15:00+00:00,second_buy,roi,2.18,2.19,2.172433540146741,2.1613057182077915,2.177,0,2.185,542898.8,0,False,2.175400000000014,2.1728571428570445,2.1670800000000088,0.00572681,9.369961658291176e-05,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-03-03 02:30:00+00:00,171954.7,2.2012857142856155,2.19,1,go_short,go_short,go_short,2.198,2.206983430907191,2.208320000000009,do_nothing,2.191,go_short,go_short,do_nothing,go_long,2.2033770969615083,do_nothing,go_long,0,2.199800000000016,2.195,False,1,do_nothing
1899,EOS/USDT:USDT,2022-03-04 22:00:00+00:00,second_buy,roi,2.014,2.017,2.0182266504154454,2.0357976701411302,2.008,0,2.01,294043.8,0,False,2.008600000000018,2.0087142857141864,2.0400400000000083,-0.0210383,-0.0003435178102823482,1,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-03-06 23:00:00+00:00,483652.9,2.013857142857044,2.012,1,go_short,go_short,go_short,2.016,2.0083057888982494,2.007440000000009,do_nothing,2.013,go_short,go_short,do_nothing,go_long,2.0105792597227174,do_nothing,go_long,1,2.014800000000018,2.014,False,0,do_nothing
1900,EOS/USDT:USDT,2022-03-06 23:15:00+00:00,second_buy,roi,2.014,2.017,2.0087978351499918,2.0076164712020828,1.994,1,1.999,885953.7,0,False,2.0120000000000178,2.0121428571427584,2.0068400000000093,0.82356719,0.01344001300293097,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-03-08 23:30:00+00:00,572161.2,1.955285714285615,1.9580000000000002,0,go_short,go_short,go_short,1.9649999999999999,1.9605422240149823,1.9636800000000088,do_nothing,1.959,go_short,go_short,do_nothing,go_long,1.9575895872842877,do_nothing,go_long,0,1.9572000000000187,1.964,False,0,do_nothing
1901,EOS/USDT:USDT,2022-03-09 23:15:00+00:00,second_buy,roi,2.053,2.059,2.0530089814625025,2.0547023388460812,2.051,0,2.057,217818.7,0,False,2.0536000000000163,2.052714285714185,2.0559600000000087,1.80219973,0.029429770561378788,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-03-11 23:30:00+00:00,452209.2,1.9829999999998993,1.972,1,go_short,go_short,go_short,1.984,1.9681346823948398,1.9595200000000097,do_nothing,1.9809999999999999,go_short,go_short,do_nothing,go_long,1.9744636706671232,do_nothing,go_long,0,1.9824000000000193,1.983,False,0,do_nothing
