,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,high (exit),sma-07 (exit),short-small-rl (exit),long_jcrosk (exit),sma-25 (exit),ema-26 (exit),short_kdj (exit),open (exit),volume (exit),close (exit),mean-grad-hist (exit),sma-compare (exit),low (exit),sma-05 (exit),long-large-rl (exit),ema-12 (exit),long-small-rl (exit),short-large-rl (exit)
467,API3/USDT:USDT,2024-11-19 10:15:00+00:00,first_buy,force_exit,1.7892000000000001,1.8009,1.8011954772238001,1.8124921938140919,1.7862,0,1.8005,61855.1,0,False,1.7908400000000113,1.7938714285714479,1.8145840000000089,9.42743501,0.15382934402972362,1,go_short,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,2.0886,2.073000000000014,go_long,0,2.0671440000000088,2.0709074182122613,False,2.078,61747.4,2.0885,0,0,2.0757,2.0745800000000094,go_short,2.062827786844721,go_short,go_short
50,AAVE/USDT:USDT,2024-11-12 08:30:00+00:00,first_buy,force_exit,189.03,190.93,189.5102076348151,189.80677399335383,188.78,0,189.41,15551.3,0,False,189.6460000000032,189.6157142857193,190.38520000000014,2.62707611,0.04618643257733063,0,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,199.85,198.31000000000515,go_long,0,199.25719999999987,198.6935173966872,False,199.15,3322.7,199.85,0,0,198.94,198.36000000000297,go_short,198.96383321519994,go_long,go_short
95,DYDX/USDT:USDT,2024-11-19 10:15:00+00:00,first_buy,force_exit,1.256,1.26,1.2631840117166007,1.2693461478012618,1.252,0,1.259,324955.3,0,False,1.2598000000000211,1.262000000000125,1.2657599999999576,18.17035876,0.2960565905512597,1,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,1.643,1.6304285714286972,go_short,0,1.6322799999999582,1.6317140057001107,False,1.639,123379.9,1.642,0,0,1.6360000000000001,1.632200000000021,go_short,1.6280628533917174,go_short,go_short
555,MASK/USDT:USDT,2024-11-25 13:00:00+00:00,first_buy,force_exit,3.3004,3.3273,3.3100618225607943,3.304289201323268,3.2946,1,3.3084,195748.0,1,False,3.3104800000001644,3.312614285714354,3.300499999999995,8.04835603,0.1350192565212364,0,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,3.7874,3.72905714285721,go_long,0,3.712515999999996,3.726859067663984,False,3.7686,238586.0,3.7696,0,0,3.7617000000000003,3.7425000000001667,go_short,3.7041466264990017,go_long,go_short
357,XRP/USDT:USDT,2024-11-23 01:15:00+00:00,first_buy,force_exit,1.5823,1.635,1.5294834474039318,1.494488777113542,1.5817999999999999,0,1.5987,108695195.7,0,False,1.5769199999999919,1.545871428571445,1.4777959999999961,5.0938247,0.08311345475652757,0,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,1.7443,1.722942857142874,go_long,0,1.7138919999999953,1.7181598147953028,False,1.7269999999999999,22939623.3,1.7397,0,0,1.7186,1.729059999999991,go_short,1.705280657905886,go_long,go_short
61,LDO/USDT:USDT,2024-11-29 12:15:00+00:00,first_buy,force_exit,1.7109999999999999,1.7205,1.7155665237637772,1.7179102772308574,1.7061000000000002,0,1.7173,335461.0,0,False,1.7135000000000242,1.7129428571428869,1.7206920000000039,1.2679065,0.021074837112572964,0,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,1.7577,1.741600000000029,go_long,0,1.7385000000000042,1.7415643695564982,False,1.7486000000000002,279231.0,1.7568000000000001,0,0,1.746,1.7412000000000245,go_short,1.7371344832486588,go_long,go_short
127,1000SHIB/USDT:USDT,2024-11-12 08:30:00+00:00,second_buy,force_exit,0.028790000000000003,0.029078999999999997,0.028850684616610504,0.02848163246585096,0.0286,1,0.028683999999999998,639728951.0,0,False,0.028929800000000033,0.0289957142857143,0.028315720000000103,5.78399119,0.09440928745605924,0,do_nothing,go_short,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,0.026261,0.026079714285714352,go_short,0,0.026042680000000113,0.02606737917761297,False,0.026241999999999998,132056546.0,0.026168999999999998,0,0,0.026128,0.026077400000000018,do_nothing,0.026020353495079945,do_nothing,do_nothing
333,ALGO/USDT:USDT,2024-11-24 02:45:00+00:00,first_buy,force_exit,0.2972,0.3093,0.29525600971049787,0.29359763692086055,0.2959,0,0.30870000000000003,20073887.5,0,False,0.2966399999999919,0.29494285714285934,0.2919120000000122,21.46297548,0.34955969790117697,0,go_short,do_nothing,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,0.42350000000000004,0.4120000000000029,do_nothing,0,0.39988800000001246,0.4089119278216176,False,0.4234,24383003.0,0.418,0,0,0.4166,0.41387999999999153,do_nothing,0.39836445055204983,go_short,do_nothing
149,OP/USDT:USDT,2024-11-25 12:15:00+00:00,first_buy,force_exit,2.2731,2.2866,2.280594193564837,2.2532780270942627,2.259,1,2.2683,1913930.9,0,False,2.2892600000000316,2.3045285714286257,2.243056000000006,3.06264395,0.04995721001099478,0,go_short,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,2.391,2.373528571428628,go_long,0,2.3781440000000065,2.3760527774868545,False,2.3819,556705.8,2.3903,0,0,2.3794,2.3758400000000295,go_short,2.3731390863041915,go_short,go_short
506,RUNE/USDT:USDT,2024-11-22 23:45:00+00:00,first_buy,force_exit,5.348,5.427,5.331921954564307,5.30285018432825,5.347,0,5.418,258227.0,0,False,5.349200000000012,5.348714285714259,5.2866400000001645,5.16711681,0.08661288726374802,0,go_long,do_nothing,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,5.932,5.904999999999987,do_nothing,0,5.828320000000158,5.8842562972793235,False,5.912,337501.0,5.917,1,0,5.864,5.899400000000016,do_nothing,5.8274948102090125,go_long,do_nothing
449,QTUM/USDT:USDT,2024-11-18 07:45:00+00:00,first_buy,force_exit,3.117,3.149,3.0954036448049673,3.0597803135124955,3.109,1,3.133,95250.5,1,False,3.1205999999996843,3.112714285714394,3.0614799999999116,13.02712352,0.21301954235048592,0,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,3.826,3.7978571428572536,go_long,0,3.7810799999999123,3.7935217969830552,False,3.8200000000000003,22733.3,3.823,0,0,3.815,3.800399999999678,go_short,3.7759260008186093,go_long,go_short
270,DOT/USDT:USDT,2024-11-24 02:45:00+00:00,first_buy,force_exit,9.375,9.503,9.345055531214703,9.100456922280092,9.366,1,9.48,1407529.2,0,False,9.447800000000257,9.47771428571463,8.996199999999703,-4.90467514,-0.08075842834644259,0,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,8.754,8.674857142857492,go_short,0,8.695079999999697,8.676660121444288,False,8.724,355860.5,8.748,0,0,8.72,8.680400000000258,go_short,8.676063528771257,go_short,go_short
383,ADA/USDT:USDT,2024-11-22 23:45:00+00:00,first_buy,force_exit,0.994,1.0063,1.0010245636469548,0.9838838582846955,0.994,1,1.0035,26836078.0,0,False,1.0113400000000061,1.0150142857142896,0.9855759999999951,2.83781382,0.046312967583275605,0,go_short,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,1.0561,1.0487857142857189,go_long,0,1.0592279999999956,1.0511785234867421,False,1.0515,6778285.0,1.0556,0,0,1.0487,1.0497800000000053,go_short,1.0550862252251993,go_short,go_short
21,XLM/USDT:USDT,2024-11-25 10:30:00+00:00,first_buy,force_exit,0.53498,0.5367000000000001,0.5345695221254011,0.5314228984627083,0.527,1,0.53002,43799844.0,0,False,0.5378100000000011,0.5382028571428592,0.5310264000000015,0.21435984,0.0035128022490538177,0,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,0.53435,0.5301428571428598,go_short,0,0.5286320000000011,0.5287956447236979,False,0.5319900000000001,13575448.0,0.53357,0,0,0.52881,0.5313120000000018,go_short,0.5278491754849318,go_short,go_short
