,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long_jcrosk (exit),long-small-rl (exit),high (exit),volume (exit),short-bid-rl (exit),sma-05 (exit),short-large-rl (exit),short-small-rl (exit),ema-26 (exit),short_kdj (exit),sma-25 (exit),mean-grad-hist (exit),sma-07 (exit),long-large-rl (exit),close (exit),ema-12 (exit),sma-compare (exit),long-bid-rl (exit),open (exit),low (exit)
539,GAS/USDT:USDT,2024-11-24 03:30:00+00:00,first_buy,force_exit,5.467,5.493,5.36167229346678,5.302168639800526,5.421,0,5.445,114315.8,1,False,5.407999999999987,5.390857142857143,5.273440000000067,5.6675384,0.09285905393022008,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,go_long,5.975,20790.7,go_long,5.930599999999982,go_long,go_long,5.9222171528412275,False,5.898560000000072,0,5.926000000000002,go_long,5.965,5.893397419614037,0,go_long,5.968,5.958
99,BAKE/USDT:USDT,2024-08-11 02:00:00+00:00,first_buy,force_exit,0.32680000000000003,0.34700000000000003,0.3172593421796221,0.31417324034666017,0.3206,1,0.322,15287428.0,1,False,0.32111999999998636,0.31942857142859077,0.31276400000000665,-1.49636855,-0.024426439587635032,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,0.32320000000000004,241578.0,go_long,0.32157999999998466,go_long,do_nothing,0.3222875777122668,False,0.3242960000000068,0,0.32165714285716396,go_long,0.323,0.32295847053493926,1,go_long,0.3226,0.32180000000000003
416,RUNE/USDT:USDT,2024-09-26 11:00:00+00:00,first_buy,force_exit,5.608,5.65,5.401639596937231,5.303738544305246,5.585,0,5.629,877884.0,0,False,5.48120000000003,5.4292857142856965,5.283480000000134,1.68605399,0.02992307017906591,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,5.932,337501.0,go_long,5.899400000000004,go_long,go_long,5.8842562972793235,False,5.828320000000153,1,5.904999999999995,go_long,5.917,5.8274948102090125,0,go_long,5.912,5.864
62,OP/USDT:USDT,2024-11-25 16:15:00+00:00,first_buy,force_exit,2.4056,2.4348,2.2957200455356874,2.274708874113236,2.3295,0,2.365,11257811.4,0,False,2.3122000000000313,2.2854428571429115,2.284188000000006,0.43543201,0.007100085168750808,0,do_nothing,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,2.391,556705.8,go_long,2.3758400000000295,go_long,go_short,2.3760527774868545,False,2.3781440000000065,0,2.373528571428628,go_long,2.3903,2.3731390863041915,0,go_long,2.3819,2.3794
247,ALGO/USDT:USDT,2024-11-29 11:00:00+00:00,second_buy,force_exit,0.3583,0.3709,0.3508859488290227,0.34616358766246536,0.358,0,0.3634,41255327.3,0,False,0.35597999999998436,0.3531571428571446,0.3436920000000195,-9.3652772,-0.15282618887462035,0,do_nothing,go_short,go_short,go_short,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,0,do_nothing,0.42350000000000004,24383003.0,do_nothing,0.4138799999999844,go_short,go_short,0.4089119278216176,False,0.3998880000000199,0,0.41200000000000186,go_short,0.418,0.39836445055204983,0,do_nothing,0.4234,0.4166
435,APT/USDT:USDT,2024-11-11 13:45:00+00:00,first_buy,force_exit,11.7936,11.8869,11.380820294762637,11.194732686288615,11.5702,0,11.746,1109650.8,1,False,11.552400000000102,11.47392857142861,11.070431999999968,6.50192993,0.10639065304757296,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,13.1762,129808.1,go_long,13.088060000000107,go_long,go_long,13.078116854440268,False,13.057963999999991,0,13.084900000000037,go_long,13.1662,13.058340219481416,0,go_long,13.1441,13.1103
484,MASK/USDT:USDT,2024-10-29 16:45:00+00:00,first_buy,force_exit,2.6825,2.8573,2.4417805998023105,2.3820491411368505,2.6757,0,2.7656,11115929.0,1,False,2.508680000000171,2.447714285714358,2.342491999999989,20.98287706,0.34451109114008854,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,3.7874,238586.0,go_long,3.7425000000001667,go_long,go_long,3.726859067663984,False,3.712515999999996,0,3.72905714285721,go_long,3.7696,3.7041466264990017,0,go_long,3.7686,3.7617000000000003
40,DYDX/USDT:USDT,2024-06-18 01:45:00+00:00,first_buy,force_exit,1.361,1.361,1.3803925361628742,1.4063528138567074,1.175,1,1.236,7846646.1,1,False,1.358600000000018,1.3761428571429875,1.4169199999999558,17.57492538,0.2862779270760383,1,do_nothing,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,1.643,123379.9,go_long,1.632200000000021,go_long,go_short,1.6317140057001107,False,1.6322799999999582,0,1.6304285714286972,go_long,1.642,1.6280628533917174,0,go_long,1.639,1.6360000000000001
335,QTUM/USDT:USDT,2024-11-16 13:45:00+00:00,first_buy,force_exit,3.069,3.129,3.014732384481635,2.9764823383554893,3.068,0,3.091,578928.5,0,False,3.0403999999996287,3.023428571428684,2.9700799999999146,14.0099283,0.22861101911143075,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,3.826,22733.3,go_long,3.800399999999621,go_long,go_long,3.7935217969830552,False,3.7810799999999123,0,3.7978571428572616,go_long,3.823,3.7759260008186093,0,go_long,3.8200000000000003,3.815
213,ETH/USDT:USDT,2024-02-28 17:30:00+00:00,first_buy,force_exit,3492.02,3502.07,3396.804895887588,3367.1013548262063,3432.68,1,3435.02,350625.056,1,False,3425.5679999999716,3405.2657142856756,3356.706799999986,-2.88548994,-0.04936063588630905,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,go_long,3589.6,10967.928,go_long,3577.8479999999663,go_long,go_long,3584.7068378881304,False,3598.0955999999805,0,3578.164285714248,go_long,3589.57,3589.68479819551,1,go_long,3584.93,3579.14
