,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-large-rl (exit),ema-12 (exit),ema-26 (exit),high (exit),sma-05 (exit),sma-compare (exit),sma-07 (exit),long-large-rl (exit),long-small-rl (exit),low (exit),long_jcrosk (exit),sma-25 (exit),mean-grad-hist (exit),short-bid-rl (exit),close (exit),short_kdj (exit),long-bid-rl (exit),volume (exit),short-small-rl (exit),open (exit)
355,NEO/USDT:USDT,2024-11-23 08:15:00+00:00,second_buy,force_exit,14.771,14.996,14.644588117853306,14.463445674045492,14.771,0,14.985,200749.54,0,False,14.738800000000392,14.730571428570665,14.47408000000033,-2.37388046,-0.03878191457699258,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,go_short,15.37023205325245,15.47127791289976,15.614,15.515200000000352,0,15.492999999999236,go_short,go_short,15.555,0,15.39512000000033,0,go_short,15.579,False,go_short,17627.68,go_short,15.591
149,EOS/USDT:USDT,2024-11-24 10:00:00+00:00,first_buy,force_exit,0.886,0.921,0.8662576190426913,0.8493132967708727,0.885,0,0.899,21479671.2,0,False,0.8728000000000364,0.8701428571428431,0.85107999999999,2.44804094,0.03990202879189663,0,go_long,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,0.8995429216686637,0.9212513659077926,0.9470000000000001,0.9324000000000364,0,0.9304285714285567,go_long,go_long,0.936,0,0.89755999999999,1,go_long,0.9390000000000001,False,go_long,3246353.1,go_short,0.9400000000000001
86,BAKE/USDT:USDT,2024-08-11 02:00:00+00:00,first_buy,force_exit,0.32680000000000003,0.34700000000000003,0.3172593421796221,0.31417324034666017,0.3206,1,0.322,15287428.0,1,False,0.32111999999998636,0.31942857142859077,0.31276400000000665,-1.49636855,-0.024426439587635032,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,0.32295847053493926,0.3222875777122668,0.32320000000000004,0.32157999999998466,1,0.32165714285716396,go_long,do_nothing,0.32180000000000003,0,0.3242960000000068,0,go_long,0.323,False,go_long,241578.0,do_nothing,0.3226
188,QTUM/USDT:USDT,2024-11-16 13:45:00+00:00,first_buy,force_exit,3.069,3.129,3.014732384481635,2.9764823383554893,3.068,0,3.091,578928.5,0,False,3.0403999999996287,3.023428571428684,2.9700799999999146,14.0099283,0.22861101911143075,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,3.7759260008186093,3.7935217969830552,3.826,3.800399999999621,0,3.7978571428572616,go_long,do_nothing,3.815,0,3.7810799999999123,0,go_long,3.823,False,go_long,22733.3,go_long,3.8200000000000003
49,OP/USDT:USDT,2024-11-25 16:15:00+00:00,first_buy,force_exit,2.4056,2.4348,2.2957200455356874,2.274708874113236,2.3295,0,2.365,11257811.4,0,False,2.3122000000000313,2.2854428571429115,2.284188000000006,0.43543201,0.007100085168750808,0,do_nothing,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,2.3731390863041915,2.3760527774868545,2.391,2.3758400000000295,0,2.373528571428628,go_long,do_nothing,2.3794,0,2.3781440000000065,0,go_long,2.3903,False,go_long,556705.8,go_short,2.3819
236,RUNE/USDT:USDT,2024-09-26 11:00:00+00:00,first_buy,force_exit,5.608,5.65,5.401639596937231,5.303738544305246,5.585,0,5.629,877884.0,0,False,5.48120000000003,5.4292857142856965,5.283480000000134,1.68605399,0.02992307017906591,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,5.8274948102090125,5.8842562972793235,5.932,5.899400000000004,0,5.904999999999995,go_long,do_nothing,5.864,0,5.828320000000153,1,go_long,5.917,False,go_long,337501.0,go_long,5.912
255,APT/USDT:USDT,2024-11-11 13:45:00+00:00,first_buy,force_exit,11.7936,11.8869,11.380820294762637,11.194732686288615,11.5702,0,11.746,1109650.8,1,False,11.552400000000102,11.47392857142861,11.070431999999968,6.50192993,0.10639065304757296,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,13.058340219481416,13.078116854440268,13.1762,13.088060000000107,0,13.084900000000037,go_long,do_nothing,13.1103,0,13.057963999999991,0,go_long,13.1662,False,go_long,129808.1,go_long,13.1441
27,DYDX/USDT:USDT,2024-06-18 01:45:00+00:00,first_buy,force_exit,1.361,1.361,1.3803925361628742,1.4063528138567074,1.175,1,1.236,7846646.1,1,False,1.358600000000018,1.3761428571429875,1.4169199999999558,17.57492538,0.2862779270760383,1,do_nothing,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,1.6280628533917174,1.6317140057001107,1.643,1.632200000000021,0,1.6304285714286972,go_long,do_nothing,1.6360000000000001,0,1.6322799999999582,0,go_long,1.642,False,go_long,123379.9,go_short,1.639
272,LQTY/USDT:USDT,2024-11-24 22:30:00+00:00,first_buy,force_exit,1.3762,1.3954,1.357584184465674,1.34109004644226,1.3745,0,1.3816,169718.7,1,False,1.367579999999967,1.3643857142857239,1.3412640000000138,5.92291471,0.09645752333578042,0,go_long,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,1.5138827624898528,1.5121583331626338,1.5209000000000001,1.5120999999999656,0,1.5106428571428658,go_long,go_long,1.5128,0,1.5176520000000147,0,go_long,1.5202,False,go_long,50473.2,go_short,1.5134
291,LEVER/USDT:USDT,2024-08-22 23:45:00+00:00,second_buy,force_exit,0.0021291,0.0021455,0.002096211964267449,0.0020644203253822302,0.0021279,1,0.0021291,75775043.0,1,False,0.0021225800000000327,0.002119785714285737,0.00205633600000001,-5.3693457,-0.08760963072335254,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,go_short,0.0023608275019622285,0.002360633143982166,0.0023723,0.0023546600000000167,1,0.002356042857142883,go_short,go_short,0.0023585,0,0.002367184000000015,0,go_short,0.0023707,False,go_short,23061163.0,go_short,0.0023607
122,EGLD/USDT:USDT,2024-11-12 08:15:00+00:00,second_buy,force_exit,33.794,34.002,33.38873960668991,33.208771421646084,33.684,0,33.905,12787.9,0,False,33.653800000003415,33.50871428571598,33.16712000000154,-15.62472414,-0.25620957101466624,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,go_short,41.91224535359867,42.33204210010245,42.878,42.47260000000343,0,42.40585714285876,go_short,go_short,42.598,0,42.10036000000157,0,go_short,42.738,False,go_short,10620.8,go_short,42.639
323,MASK/USDT:USDT,2024-10-29 16:45:00+00:00,first_buy,force_exit,2.6825,2.8573,2.4417805998023105,2.3820491411368505,2.6757,0,2.7656,11115929.0,1,False,2.508680000000171,2.447714285714358,2.342491999999989,20.98287706,0.34451109114008854,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,3.7041466264990017,3.726859067663984,3.7874,3.7425000000001667,0,3.72905714285721,go_long,do_nothing,3.7617000000000003,0,3.712515999999996,0,go_long,3.7696,False,go_long,238586.0,go_long,3.7686
307,MASK/USDT:USDT,2022-05-12 07:15:00+00:00,first_buy,long-exit-profit,1.404,1.419,1.4360804576652564,1.5279264119989506,1.296,1,1.31,603113.0,1,False,1.4058000000001207,1.414142857142927,1.5404399999999732,24.44672811,0.40528220717218394,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2022-05-13 05:15:00+00:00,go_long,1.714679146808754,1.7728487716725814,1.862,1.8068000000001212,0,1.8045714285714989,go_long,do_nothing,1.791,0,1.6935999999999718,1,go_long,1.843,False,go_long,239001.0,go_long,1.808
169,QTUM/USDT:USDT,2021-09-26 08:00:00+00:00,first_buy,long-exit-profit,8.923,8.963,9.158649585822317,9.27154884231196,8.761,1,8.882,321644.9,0,False,9.077999999999696,9.13671428571433,9.268679999999975,25.72177213,0.4192355052713628,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-10-02 01:15:00+00:00,go_long,11.71498433201595,11.926145695701994,12.639,12.1513999999997,0,11.993428571428629,go_long,do_nothing,12.249,0,11.619519999999982,0,go_long,12.613,False,go_long,664861.5,go_long,12.285
170,QTUM/USDT:USDT,2021-10-02 01:30:00+00:00,first_buy,long-exit-profit,12.612,12.642,11.986277127132457,11.759578085199953,12.28,1,12.317,341132.9,1,False,12.3231999999997,12.095142857142914,11.652199999999983,24.8619022,0.4115947058898661,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-11-01 07:45:00+00:00,go_long,15.636251222945853,16.128816170147946,17.7,16.753799999999707,0,16.36342857142865,go_long,do_nothing,16.615,0,15.341199999999981,0,go_long,17.663,False,go_long,1832140.2,go_long,16.74
173,QTUM/USDT:USDT,2022-01-21 12:45:00+00:00,first_buy,long-exit-profit,6.652,6.652,6.703879878722206,6.748861539086427,6.468,1,6.5440000000000005,322326.1,0,False,6.6695999999996785,6.691714285714375,6.7512799999999595,23.99092651,0.3937497975216993,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2022-03-30 07:30:00+00:00,go_long,8.627857560637548,8.740306144765462,9.088,8.808999999999665,0,8.80157142857152,go_long,do_nothing,8.774000000000001,0,8.603199999999951,0,go_long,9.003,False,go_long,584734.3,go_long,8.783
176,QTUM/USDT:USDT,2022-05-12 05:15:00+00:00,first_buy,long-exit-profit,3.348,3.355,3.548504860773234,3.735269761753359,3.179,1,3.192,443847.8,1,False,3.3809999999996547,3.4507142857143838,3.8289999999999407,24.88727378,0.4056758329520313,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2022-05-23 11:45:00+00:00,go_long,4.311286080125511,4.3666236078095935,4.53,4.407399999999659,0,4.39285714285724,go_long,do_nothing,4.395,0,4.304039999999935,0,go_long,4.5,False,go_long,478091.3,go_long,4.409
178,QTUM/USDT:USDT,2022-06-13 07:45:00+00:00,first_buy,long-exit-profit,2.793,2.799,2.799644754155201,2.8633670943412333,2.705,1,2.717,252915.4,1,False,2.772199999999657,2.7798571428572436,2.8394799999999365,24.39726563,0.3988364054534894,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2022-07-27 17:45:00+00:00,go_long,3.67696310795996,3.7175085559149625,3.8,3.7401999999996463,0,3.7375714285715245,go_long,do_nothing,3.743,0,3.6639599999999404,0,go_long,3.792,False,go_long,475460.2,go_long,3.748
180,QTUM/USDT:USDT,2022-11-08 19:45:00+00:00,first_buy,long-exit-profit,2.346,2.454,2.5573349503370424,2.63012530253572,2.177,1,2.44,622502.4,0,False,2.471999999999629,2.4998571428572354,2.66203999999993,24.63458214,0.40216447038478026,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2023-02-20 05:45:00+00:00,go_long,3.3157322508079794,3.3624121034972143,3.536,3.3859999999996284,0,3.3914285714286945,go_long,do_nothing,3.364,0,3.2987599999999326,0,go_long,3.473,False,go_long,1702349.1,go_long,3.371
182,QTUM/USDT:USDT,2023-06-10 04:30:00+00:00,first_buy,long-exit-profit,2.2439999999999998,2.2439999999999998,2.2134279131742693,2.2626283579265927,1.838,1,1.9300000000000002,1458201.5,0,False,2.180799999999599,2.2044285714286933,2.2828399999999225,26.19804004,0.427556179874898,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2023-06-30 11:45:00+00:00,go_long,2.567204810030194,2.644736674409399,2.798,2.696999999999602,0,2.6814285714286954,go_long,do_nothing,2.657,0,2.5421999999999185,0,go_long,2.774,False,go_long,1759684.2,go_long,2.66
183,QTUM/USDT:USDT,2023-06-30 12:00:00+00:00,first_buy,long-exit-profit,2.773,2.775,2.659392570654107,2.580004453731661,2.734,1,2.74,921185.7,0,False,2.707799999999602,2.6962857142858385,2.5545199999999184,24.99542488,0.40851927016872874,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-03-02 03:00:00+00:00,go_long,3.9772443578044365,4.032868395802563,4.131,4.074599999999613,0,4.059285714285858,go_long,do_nothing,4.065,0,3.9656399999999,0,go_long,4.128,False,go_long,126000.4,go_long,4.075
184,QTUM/USDT:USDT,2024-03-02 03:15:00+00:00,first_buy,long-exit-profit,4.129,4.129,4.043350181063707,3.9864114424115153,4.086,1,4.101,91769.7,0,False,4.084599999999613,4.074000000000143,3.9739999999999003,24.86724286,0.4065533281216476,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-03-04 08:30:00+00:00,go_long,4.680302907884446,5.0308024708223735,5.845,5.4553999999996075,0,5.274142857142999,go_long,do_nothing,5.504,0,4.511919999999901,0,go_long,5.802,False,go_long,3221012.2,go_long,5.587
187,QTUM/USDT:USDT,2024-07-04 23:45:00+00:00,first_buy,long-exit-profit,2.187,2.2,2.2212776906469336,2.2370131768287984,2.145,1,2.164,303704.5,0,False,2.207199999999602,2.21957142857156,2.239719999999914,24.1787507,0.3944174200357946,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-11-16 13:30:00+00:00,go_long,2.9673209254239286,3.0008655452964774,3.075,3.0227999999996285,0,3.010000000000112,go_long,do_nothing,3.016,0,2.962319999999915,0,go_long,3.069,False,go_long,368841.3,go_long,3.03
319,MASK/USDT:USDT,2023-06-10 04:30:00+00:00,first_buy,long-exit-profit,3.9050000000000002,3.9050000000000002,3.8551602232664957,3.9604343378555638,3.03,1,3.355,8677265.0,0,False,3.776400000000148,3.819000000000106,4.001199999999994,24.36433811,0.4032872404793073,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-01-07 01:00:00+00:00,go_long,4.651033491142024,4.784232506562205,5.025,4.853200000000158,0,4.826714285714396,go_long,do_nothing,4.889,0,4.675879999999983,0,go_long,4.962,False,go_long,5088231.0,go_long,4.918
190,RUNE/USDT:USDT,2020-09-17 12:15:00+00:00,first_buy,long-exit-profit,0.4872,0.4944,0.4895842431967586,0.500876928350219,0.4722,0,0.486,1168948.0,0,False,0.48657999999999857,0.48714285714285804,0.49766400000000016,550.23390667,8.991288528499988,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-03-02 01:30:00+00:00,go_long,5.1259816034234245,5.25475432562397,5.3833,5.367859999999984,0,5.3271142857142975,go_long,do_nothing,5.3833,0,5.064875999999995,1,go_long,5.3833,False,go_long,0.0,go_long,5.3833
191,RUNE/USDT:USDT,2021-03-02 02:15:00+00:00,first_buy,long-exit-profit,5.3799,5.3907,5.292377518163634,5.172750879108419,5.2546,1,5.2985,108237.0,0,False,5.366339999999984,5.367757142857154,5.129839999999994,23.14742769,0.396463752033614,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-03-31 12:45:00+00:00,go_long,7.4111404532256655,7.49483381516609,7.6799,7.598780000000008,0,7.55144285714289,go_long,do_nothing,7.6125,0,7.416904000000016,0,go_long,7.678,False,go_long,96242.0,go_long,7.6362
192,RUNE/USDT:USDT,2021-03-31 13:00:00+00:00,first_buy,long-exit-profit,7.6747,7.85,7.545490151294384,7.441730049283024,7.6629000000000005,0,7.8241,221099.0,0,False,7.656920000000008,7.613514285714318,7.4245400000000155,22.55023415,0.41131921188759496,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-04-09 04:15:00+00:00,go_long,10.620275313125694,10.82803380828222,11.2627,10.956760000000013,0,10.898485714285778,go_long,do_nothing,10.9376,0,10.574028000000025,0,go_long,11.255700000000001,False,go_long,181351.0,go_long,10.9664
