,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,long-bid-rl (exit),volume (exit),sma-compare (exit),long_jcrosk (exit),sma-07 (exit),close (exit),long-large-rl (exit),nlp-exit-short (exit),short-bid-rl (exit),sma-25 (exit),imit-exit-short (exit),open (exit),ema-12 (exit),nlp-enter-long (exit),low (exit),imit-enter-short (exit),short-large-rl (exit),high (exit),short_kdj (exit),nlp-enter-short (exit),sma-05 (exit),short-small-rl (exit),ema-26 (exit),long-small-rl (exit),mean-grad-hist (exit)
646,BLAST/USDT:USDT,2024-06-26 22:00:00+00:00,first_buy,force_exit,0.02569,0.02749,0.024373545894552696,0.022793518518518522,0.02562,0,0.0274,216194.0,0,False,0.025328000000000007,0.024950000000000007,0.022846400000000003,-5.55905306,-0.6765959503459503,0,go_long,go_long,go_long,go_long,go_short,do_nothing,go_short,go_short,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,0.0,0,0,0.008867571428571332,0.008867,go_short,go_long,go_long,0.00883272000000005,go_long,0.008867,0.008860871712221382,go_long,0.008867,go_long,go_short,0.008867,False,go_long,0.008871800000000086,do_nothing,0.008859884634228442,go_short,1
268,BBL/USDT:USDT,2024-08-08 20:15:00+00:00,first_buy,force_exit,0.01668,0.01759,0.016029377407262558,0.015444994936899745,0.016640000000000002,0,0.017490000000000002,20932.0,0,False,0.016562000000000323,0.01632714285714367,0.015238799999999997,-6.97056626,-0.780681695685227,0,go_long,go_long,go_long,go_long,go_short,go_short,go_short,go_short,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,3460.0,0,0,0.003946714285715089,0.003947,go_short,go_long,go_long,0.003962560000000031,go_long,0.003965,0.003964981911772786,go_long,0.003947,go_long,go_short,0.003977,False,go_long,0.003949400000000338,go_short,0.003950952890056669,go_short,1
251,AMP/USDT:USDT,2024-12-14 16:45:00+00:00,first_buy,force_exit,0.009930000000000001,0.011438,0.009637366795118205,0.009516552940847007,0.009929,0,0.010688999999999999,36089.0,0,False,0.009758400000000077,0.009633142857142877,0.00942388,-2.66215717,-0.24804119309155684,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_short,go_short,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,0.0,1,0,0.006937714285714288,0.006947,go_short,go_long,go_long,0.0069401199999999915,go_long,0.006947,0.006933983486276666,go_long,0.006947,go_long,go_short,0.006947,False,go_long,0.0069284000000000515,do_nothing,0.006935276035673545,do_nothing,0
194,ADA/USDT:USDT,2024-12-20 12:30:00+00:00,second_buy,force_exit,0.7763,0.8097000000000001,0.7990719001178724,0.8251828435138086,0.7728,0,0.8094,232460.0,0,False,0.7806999999999888,0.7852999999999951,0.8333200000000232,-1.82732385,-0.2260166814534787,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2025-01-12 16:00:00+00:00,go_short,7245.0,0,1,0.9938428571428531,0.9929,go_short,go_short,go_short,0.9911080000000233,go_short,0.9923000000000001,0.994294051152676,go_short,0.991,go_short,go_short,0.9944000000000001,False,go_short,0.9945399999999847,go_short,0.9939462062681687,go_long,1
615,BCH/USDT:USDT,2024-12-20 12:30:00+00:00,second_buy,force_exit,396.13,406.61,403.16922217368074,413.3678884196886,394.11,0,405.63,50300.0,0,False,396.8319999999997,398.2185714285956,415.9720000000026,-0.98075023,-0.12095657704917968,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2025-01-12 16:15:00+00:00,go_short,67491.0,0,0,452.1342857143113,456.88,do_nothing,go_short,go_short,448.3504000000025,go_short,451.07,449.0094833788522,go_short,451.01,go_short,do_nothing,456.88,False,go_short,452.34,go_short,451.69572493971845,go_short,0
645,BEER/USDT:USDT,2024-11-21 06:00:00+00:00,first_buy,force_exit,4e-05,4e-05,3.832028164586443e-05,3.72035534067894e-05,3.9136e-05,0,3.99e-05,371854.0,0,False,3.921959999999919e-05,3.897814285714329e-05,3.681116000000017e-05,-6.82590305,-0.7768380002317118,0,go_long,go_long,go_long,go_long,go_short,go_short,go_short,go_short,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,go_long,3901.0,0,0,9.198285714286071e-06,9.32e-06,go_short,go_long,go_long,9.126920000000175e-06,go_long,9.334e-06,9.14605519391638e-06,go_long,9.32e-06,go_long,go_short,9.334e-06,False,go_long,9.21739999999918e-06,go_short,9.189184349928871e-06,go_short,0
345,BCH/USDT:USDT,2021-01-27 14:45:00+00:00,second_buy,liquidation,379.75,379.9,386.9178378678337,393.2624083126839,370.3,1,371.7,36015.0,0,False,381.88999999999703,385.5500000000031,392.9039999999994,-6.9725908,-0.9406429070580014,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2021-02-14 02:15:00+00:00,go_short,33870.0,0,0,694.06428571429,704.4,do_nothing,go_short,go_short,666.9019999999997,go_short,693.1,667.4564928178108,go_short,693.1,go_short,do_nothing,704.75,False,go_short,695.0099999999992,go_short,685.4647548072729,go_short,0
384,BCH/USDT:USDT,2021-04-25 21:00:00+00:00,second_buy,liquidation,770.0,770.0,771.6527115869792,777.8612507273125,745.0,1,746.55,22391.0,1,False,766.2499999999991,768.1428571428617,784.3479999999996,-7.0187348,-0.9406561200375632,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2021-05-05 21:45:00+00:00,go_short,26461.0,0,0,1371.0142857142907,1398.25,do_nothing,go_short,go_short,1319.9879999999998,go_short,1375.45,1316.6884836410175,go_short,1364.2,go_short,do_nothing,1402.4,False,go_short,1378.179999999997,go_short,1355.1609353309598,go_short,0
353,BCH/USDT:USDT,2021-02-20 23:00:00+00:00,second_buy,liquidation,649.15,1580.8,690.7323191337251,701.8011186261015,649.15,1,670.45,41805.0,0,False,681.7999999999995,687.2928571428611,705.0239999999998,-6.2941705,-0.9406495925606108,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2021-02-21 05:00:00+00:00,go_short,528.0,0,0,683.9214285714324,687.05,do_nothing,go_short,go_short,682.038,go_short,683.25,686.736274691496,go_short,680.25,go_short,do_nothing,688.4,False,go_short,682.4899999999994,go_short,684.578919067819,go_short,0
3,ADA/USDT:USDT,2020-11-15 22:15:00+00:00,second_buy,liquidation,0.10042000000000001,0.10042000000000001,0.10087876425925069,0.10155224040612466,0.09861,1,0.09861,33.0,0,False,0.1005280000000001,0.10080571428571437,0.10162399999999995,-8.4151791,-0.9417002272420322,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2020-12-29 00:15:00+00:00,go_short,7754.0,0,0,0.17694428571428392,0.18788000000000002,go_short,go_short,go_short,0.17360080000000025,go_short,0.17889000000000002,0.17403071187722038,go_short,0.17889000000000002,go_short,go_short,0.18888000000000002,False,go_short,0.17816799999999938,go_short,0.17688749446794413,go_long,0
270,BCH/USDT:USDT,2020-01-03 02:00:00+00:00,second_buy,liquidation,193.7,193.7,193.8522794669369,194.82310281792311,191.1,1,192.15,6574.0,0,False,193.16999999999982,193.55714285714285,194.3240000000001,-9.03323,-0.940678519872278,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2020-01-14 15:45:00+00:00,go_short,9919.0,0,0,324.09285714285727,331.45,do_nothing,go_short,go_short,297.79800000000006,go_short,330.05,303.23174007115574,go_short,326.4,go_short,do_nothing,334.0,False,go_short,329.4300000000004,go_short,315.44587052721727,go_short,1
547,BCH/USDT:USDT,2023-08-17 21:45:00+00:00,second_buy,liquidation,196.95,197.8,196.49003507805958,200.8574317531795,161.4,1,164.75,3160697.0,0,False,193.2700000000039,196.37857142859306,201.99999999999872,-7.48084253,-0.9079516048330842,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2024-02-29 04:15:00+00:00,go_short,78844.0,0,0,300.3000000000212,303.05,do_nothing,go_short,go_short,297.7559999999987,go_short,300.1,298.62573598909387,go_short,299.4,go_short,do_nothing,303.15,False,go_short,300.00000000000307,go_short,299.6175844104263,go_short,0
28,ADA/USDT:USDT,2021-01-27 18:45:00+00:00,second_buy,liquidation,0.31010000000000004,0.31010000000000004,0.31444879850555546,0.3165510096141448,0.3089,1,0.3089,78.0,0,False,0.312607999999999,0.3144257142857122,0.315232800000001,-8.6658672,-0.9414318922686442,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2021-02-06 18:30:00+00:00,go_short,2667.0,0,0,0.5575185714285691,0.58648,go_short,go_short,go_short,0.5475720000000007,go_short,0.5598500000000001,0.5503459733384817,go_short,0.5598500000000001,go_short,go_short,0.58648,False,go_short,0.5606019999999983,go_short,0.5559875409918784,go_long,0
372,BCH/USDT:USDT,2021-02-28 14:15:00+00:00,second_buy,liquidation,446.7,448.55,452.96938374397723,456.42402992281575,439.0,1,440.6,12214.0,0,False,449.52999999999975,451.1642857142897,457.6660000000002,-8.3306346,-0.9406625576507132,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2021-04-15 16:00:00+00:00,go_short,25440.0,0,0,832.7071428571475,841.0,do_nothing,go_short,go_short,820.6599999999995,go_short,837.7,824.0664324384309,go_short,835.7,go_short,do_nothing,843.7,False,go_short,834.0299999999983,go_short,829.3348282041447,go_short,0
552,BCH/USDT:USDT,2024-02-29 21:45:00+00:00,second_buy,liquidation,302.35,303.25,305.8824656286584,307.71920537752834,297.55,1,299.7,336243.0,0,False,304.6600000000031,305.95000000002125,307.95199999999863,-5.31664233,-0.8874377679330154,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2024-03-28 11:15:00+00:00,go_short,124544.0,0,0,566.9357142857352,576.0,do_nothing,go_short,go_short,555.1979999999988,go_short,570.05,557.4779009717048,go_short,567.85,go_short,do_nothing,576.95,False,go_short,568.2300000000027,go_short,565.0461649018496,go_short,0
411,BCH/USDT:USDT,2021-07-20 08:45:00+00:00,second_buy,liquidation,393.3,393.3,393.4488667176207,396.36875709741213,388.3,1,389.0,11702.0,0,False,393.29999999999825,393.67857142858264,394.10800000000125,-7.312854,-0.94065460989131,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2021-09-05 23:15:00+00:00,go_short,11800.0,0,0,746.335714285724,750.45,do_nothing,go_short,go_short,739.092000000001,go_short,748.8,739.3628478325185,go_short,747.45,go_short,do_nothing,751.25,False,go_short,746.7400000000014,go_short,744.4247449372228,go_short,0
433,BCH/USDT:USDT,2021-09-21 04:15:00+00:00,second_buy,roi,538.8,539.55,538.7482304773154,539.2947230103553,536.1,1,536.1,1211.0,0,False,539.8300000000025,540.6500000000132,537.8860000000008,0.021434,0.004004004004004004,0,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2021-09-21 17:15:00+00:00,go_short,3941.0,1,0,540.8214285714419,536.5,do_nothing,go_short,go_short,543.8440000000007,go_short,539.8,542.3744671885626,go_short,536.5,go_short,do_nothing,539.85,False,go_short,539.6900000000021,go_short,540.9616082854361,go_short,1
434,BCH/USDT:USDT,2021-09-21 17:30:00+00:00,second_buy,roi,536.55,536.55,539.6367454722921,541.6319140634838,530.0,1,532.35,6217.0,0,False,537.760000000002,539.1857142857275,543.2340000000007,0.1867075,0.035035035035035036,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2021-09-21 20:30:00+00:00,go_short,1813.0,1,0,524.2428571428704,518.5,do_nothing,go_short,go_short,533.4720000000008,go_short,519.65,531.807162036696,go_short,518.0,go_short,do_nothing,521.7,False,go_short,523.590000000002,go_short,526.4586676219668,go_short,1
432,BCH/USDT:USDT,2021-09-21 00:00:00+00:00,second_buy,roi,540.1,542.7,542.5941984553165,544.7762167153545,539.0,1,542.15,2524.0,0,False,539.7200000000025,542.3285714285845,544.1800000000006,0.0266865,0.004923640809734257,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2021-09-21 04:00:00+00:00,go_short,3176.0,0,0,541.407142857156,537.9,do_nothing,go_short,go_short,538.2320000000007,go_short,538.25,539.5503008511837,go_short,536.85,go_short,do_nothing,539.05,False,go_short,541.2500000000026,go_short,539.2297269277364,go_short,1
