,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,ema-12 (exit),sma-25 (exit),short-bid-rl (exit),sma-05 (exit),close (exit),long-bid-rl (exit),long_jcrosk (exit),short_kdj (exit),ema-26 (exit),short-large-rl (exit),low (exit),sma-07 (exit),mean-grad-hist (exit),long-large-rl (exit),long-small-rl (exit),short-small-rl (exit),sma-compare (exit),high (exit),volume (exit),open (exit)
4580,VELO/USDT:USDT,2025-02-08 15:45:00+00:00,second_buy,force_exit,0.018928999999999998,0.018972,0.01907634433180088,0.019016796031706834,0.018764,1,0.018829,1295060.0,0,False,0.019085000000000223,0.01918728571428559,0.01899891999999991,-3.56175587,-0.01593877589780285,0,go_short,go_short,go_short,go_short,go_short,go_short,2025-02-12 13:00:00+00:00,0.01925767240849028,0.01924567999999991,go_short,0.019288000000000204,0.019112999999999998,go_short,0,False,0.01925910290474545,go_short,0.019112999999999998,0.019296285714285537,1,go_short,go_short,go_short,0,0.019317,860650.0,0.019244
1993,CORE/USDT:USDT,2025-02-03 22:15:00+00:00,first_buy,force_exit,0.5607,0.5648000000000001,0.5414349103112314,0.531349844489242,0.5571,0,0.558,79383.2,0,False,0.5497600000000012,0.545014285714317,0.5316399999999892,-6.19525556,-0.02765964342506857,0,go_short,go_short,go_long,go_long,go_long,go_long,2025-02-12 12:30:00+00:00,0.5398869864694138,0.5390199999999885,go_long,0.5403800000000002,0.5418000000000001,go_long,0,False,0.5396020467166794,go_long,0.5404,0.5398000000000306,0,go_long,go_short,go_short,0,0.5437000000000001,29272.2,0.5404
4382,SUI/USDT:USDT,2025-02-04 19:30:00+00:00,first_buy,force_exit,3.8743,3.899,3.7579951954636575,3.68675554707878,3.8363,0,3.8577,4222870.0,0,False,3.802540000000023,3.7741571428571694,3.6985520000000163,-29.7050048,-0.15384985597910397,0,go_short,go_long,go_long,go_long,go_long,go_long,2025-02-12 13:00:00+00:00,3.2808530135232266,3.2770440000000165,go_long,3.289700000000015,3.2699,go_long,0,False,3.2839237258742187,go_long,3.2683,3.2907714285714555,1,go_long,go_short,go_long,0,3.2966,627830.0,3.2915
1767,CETUS/USDT:USDT,2025-02-03 22:30:00+00:00,first_buy,force_exit,0.17284000000000002,0.17587000000000003,0.16798409422838814,0.16398748317306086,0.17176000000000002,0,0.17526000000000003,174966.0,0,False,0.17026999999999998,0.16885000000000244,0.1643640000000007,-57.42616324,-0.2563315236740762,0,go_short,go_long,go_long,go_long,go_long,go_long,2025-02-12 12:30:00+00:00,0.13020710010212858,0.13004360000000056,go_long,0.13045399999999976,0.13077,go_long,1,False,0.1301333349212213,go_long,0.13019,0.13016142857143112,0,go_long,go_short,go_long,0,0.13165000000000002,88288.0,0.13029000000000002
2682,MANEKI/USDT:USDT,2025-02-12 03:30:00+00:00,second_buy,force_exit,0.0017200000000000002,0.001736,0.001759401138929703,0.0017779011624854384,0.0017189999999999998,1,0.0017339999999999999,3601300.0,0,False,0.0017437999999999892,0.0017499999999999473,0.0017822000000000471,-2.1276971,-0.00951412773788783,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2025-02-12 12:45:00+00:00,0.0017454179237827944,0.0017407600000000467,go_short,0.001751399999999988,0.0017469999999999999,go_short,0,False,0.00174740979228117,do_nothing,0.001743,0.0017501428571428043,1,do_nothing,go_short,go_short,0,0.001749,704100.0,0.001749
2434,IOST/USDT:USDT,2025-02-03 02:15:00+00:00,second_buy,force_exit,0.0043219999999999995,0.004438999999999999,0.004722415340779131,0.004873915965646175,0.003927,1,0.004429,205728736.0,0,False,0.0045960000000006655,0.004652714285713909,0.004912119999999792,-24.05276003,-0.1090485450067114,1,go_short,go_short,go_short,go_short,go_short,go_short,2025-02-12 12:45:00+00:00,0.004849547785969874,0.004841799999999798,go_short,0.004893400000000667,0.004912,go_short,0,False,0.004870872272687192,go_short,0.004896,0.004880571428571055,0,go_short,go_short,go_short,0,0.0049169999999999995,2513300.0,0.004907
2160,ETH/USDT:USDT,2025-02-03 22:45:00+00:00,first_buy,force_exit,2912.21,2921.18,2793.9570107884356,2745.5102458781753,2871.33,0,2883.19,57630.07,0,False,2839.801999999955,2803.871428571428,2741.4059999999927,-17.92827124,-0.08874278083413006,0,go_long,go_long,go_long,go_long,go_long,go_long,2025-02-12 12:45:00+00:00,2621.6536019658797,2621.9775999999924,go_long,2630.5099999999534,2634.61,go_long,0,False,2626.9727378248285,go_long,2624.25,2628.798571428562,0,go_long,go_long,go_long,0,2636.53,4677.45,2629.62
937,ATOM/USDT:USDT,2025-02-11 07:15:00+00:00,first_buy,force_exit,4.971,4.971,4.910215511756187,4.870396681033751,4.948,1,4.955,23367.5,0,False,4.942799999999417,4.93457142857149,4.849840000000141,-12.46808441,-0.05573723950686458,0,go_short,go_short,go_long,go_long,go_long,go_long,2025-02-12 12:15:00+00:00,4.6491997787696615,4.640280000000139,go_long,4.661599999999419,4.687,go_long,0,False,4.650534027434514,go_long,4.665,4.65257142857149,0,go_long,go_short,go_short,0,4.687,47983.0,4.665
3779,SAGA/USDT:USDT,2025-02-07 22:15:00+00:00,second_buy,force_exit,0.657,0.6575000000000001,0.6706507656131241,0.6847998018203664,0.6427,0,0.649,131189.7,0,False,0.6576800000000015,0.6600571428571398,0.6905799999999924,-20.3535736,-0.0907832022907848,1,go_short,go_short,go_short,go_short,go_short,go_short,2025-02-12 12:45:00+00:00,0.7033636117850789,0.7020679999999926,go_short,0.7055,0.707,go_short,0,False,0.7039253253809683,go_short,0.7024,0.7046714285714245,0,go_short,go_short,go_short,0,0.7081000000000001,5363.2,0.7077
2056,COS/USDT:USDT,2025-02-05 06:30:00+00:00,first_buy,force_exit,0.005253,0.005255999999999999,0.005033308614455811,0.004970520245951346,0.005155,0,0.00521,26837410.0,0,False,0.0050820000000000465,0.005052142857142789,0.004944880000000061,-18.42325792,-0.08209624346774566,0,go_short,go_short,go_long,go_long,go_long,go_long,2025-02-12 12:30:00+00:00,0.004772507210677474,0.0047704800000000595,go_long,0.004784800000000045,0.004797,go_long,0,False,0.0047769805121999215,go_long,0.004797,0.004776714285714216,0,go_long,go_short,go_short,0,0.0048200000000000005,256610.0,0.0048000000000000004
1553,BRETT/USDT:USDT,2025-02-03 22:15:00+00:00,first_buy,force_exit,0.06361,0.06475,0.06118685178162908,0.059571352331672926,0.06338,0,0.06354,17150860.0,0,False,0.061990000000001586,0.06151714285714184,0.059888000000000184,-66.59638259,-0.2974587086215499,0,go_long,go_short,go_long,go_long,go_long,go_long,2025-02-12 12:30:00+00:00,0.04330360871207346,0.04303360000000016,go_long,0.044084000000001546,0.04474,go_long,1,False,0.04366220564995128,go_long,0.04415,0.043894285714284775,0,go_long,go_long,go_short,0,0.045180000000000005,6332490.0,0.0442
1347,AXS/USDT:USDT,2025-02-03 05:15:00+00:00,second_buy,force_exit,3.584,3.643,3.7147418715523224,3.887428049156349,3.584,0,3.627,30246.8,0,False,3.6335999999992112,3.663571428570362,3.9066399999999835,-47.37950355,-0.2143619144236102,1,go_long,go_short,go_short,go_short,go_short,go_short,2025-02-12 12:15:00+00:00,4.324350666692573,4.318199999999983,go_short,4.350399999999216,4.354,go_short,0,False,4.339324919391738,go_short,4.332,4.350571428570362,1,go_short,go_long,go_short,0,4.36,4401.1,4.341
4168,SC/USDT:USDT,2025-02-03 02:15:00+00:00,second_buy,force_exit,0.003698,0.003748,0.00402370098140145,0.004186915304425397,0.0032159999999999997,1,0.003629,140460790.0,0,False,0.0039034000000000477,0.003959000000000125,0.0042259200000000765,-21.04565112,-0.09541588984961814,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2025-02-12 12:45:00+00:00,0.003948533775840489,0.0039437200000000845,go_short,0.003967200000000068,0.003973,go_short,0,False,0.003956655013601744,do_nothing,0.003964,0.003962714285714411,1,do_nothing,go_short,go_short,0,0.003975,807320.0,0.003974
756,ARPA/USDT:USDT,2025-02-04 01:30:00+00:00,first_buy,force_exit,0.041420000000000005,0.042170000000000006,0.04054258680541078,0.03995691161815854,0.04127,0,0.04213,2730730.0,0,False,0.04086999999999918,0.04066285714285683,0.039797599999999995,-25.7703975,-0.1150803197132758,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2025-02-12 12:15:00+00:00,0.03666105935005128,0.03657080000000003,go_long,0.03662399999999923,0.036890000000000006,go_long,0,False,0.036663249989352095,go_long,0.036590000000000004,0.03667999999999973,0,go_long,go_long,do_nothing,0,0.036980000000000006,439180.0,0.036590000000000004
514,APE/USDT:USDT,2025-02-02 16:45:00+00:00,first_buy,force_exit,0.8498,0.8524,0.8638895171482617,0.8733064617923997,0.8355,1,0.839,901394.3,0,False,0.8566399999998884,0.8598142857142849,0.873912000000091,-32.17846369,-0.1433946054819475,1,go_short,do_nothing,go_long,go_long,go_long,go_long,2025-02-12 12:15:00+00:00,0.7125887178629667,0.7121920000000901,go_long,0.7158799999998882,0.72,go_long,0,False,0.7143721310928944,go_long,0.7153,0.7141714285714291,0,go_long,go_short,do_nothing,0,0.7208,176966.5,0.7158
3481,PEOPLE/USDT:USDT,2025-02-03 03:00:00+00:00,second_buy,force_exit,0.01701,0.017060000000000002,0.01865346869647039,0.020145947367806224,0.016390000000000002,0,0.01668,17549386.0,1,False,0.017177999999999742,0.01799428571428671,0.02043800000000027,-49.30074943,-0.22322612498289973,1,go_short,go_short,go_long,go_long,go_short,go_short,2025-02-12 12:45:00+00:00,0.020370225573411335,0.020358400000000273,go_short,0.02041199999999969,0.0204,go_short,0,False,0.020395651738816734,go_long,0.020300000000000002,0.020415714285715408,1,go_long,go_short,go_short,0,0.020470000000000002,2448982.0,0.020440000000000003
