,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),long-small-rl (exit),volume (exit),open (exit),sma-25 (exit),mean-grad-hist (exit),short_kdj (exit),long-large-rl (exit),long_jcrosk (exit),low (exit),sma-05 (exit),ema-12 (exit),high (exit),sma-compare (exit),ema-26 (exit),short-large-rl (exit),long-bid-rl (exit),close (exit),sma-07 (exit),short-bid-rl (exit)
631,XMR/USDT:USDT,2024-02-27 02:30:00+00:00,second_buy,force_exit,138.97,145.25,136.44786606816558,134.61746862943698,138.44,0,141.77,4958.63,1,False,137.64199999999724,137.21000000000225,133.97119999999967,7.11307142,0.030438510569238745,0,go_short,go_short,go_long,do_nothing,go_long,go_long,2024-02-28 00:00:00+00:00,go_short,go_short,898.46,139.09,137.6659999999997,1,False,go_long,1,137.1,139.0179999999972,137.9241084096331,139.31,0,138.70772060728848,do_nothing,go_long,137.36,139.22428571428813,go_long
498,IOST/USDT:USDT,2023-12-14 17:30:00+00:00,first_buy,force_exit,0.011821,0.011890999999999999,0.012237755519419604,0.012115884577533088,0.011134999999999999,1,0.011482,206224231.0,0,False,0.012085200000000759,0.012306857142856635,0.012126839999999788,-35.78877219,-0.152243290118211,0,go_long,go_short,do_nothing,go_short,go_short,go_short,2024-02-28 00:00:00+00:00,go_short,go_long,289041.0,0.010251,0.010249479999999818,1,False,do_nothing,0,0.010241,0.010251400000000655,0.010239258899912939,0.010261,0,0.01025539581543808,go_short,go_short,0.010256999999999999,0.010260428571428056,go_short
277,CRO/USDT:USDT,2024-02-10 05:15:00+00:00,first_buy,force_exit,0.08925000000000001,0.08932000000000001,0.08905615129716936,0.08881853970897527,0.08925000000000001,1,0.08926,2076.0,1,False,0.08926199999999633,0.08922714285714073,0.08864239999999994,30.2996141,0.1296804306633585,0,go_long,do_nothing,go_short,go_long,go_short,go_short,2024-02-28 00:00:00+00:00,do_nothing,go_long,72944.0,0.10366,0.10339679999999998,0,False,go_short,0,0.10351,0.10342999999999607,0.10324371742114394,0.10383,0,0.1033781013878134,go_long,go_short,0.10374000000000001,0.10324142857142647,go_short
211,CETUS/USDT:USDT,2024-02-05 14:15:00+00:00,second_buy,force_exit,0.14704,0.15021,0.14772735804347042,0.14382769230769235,0.14703000000000002,0,0.14902,6329608.0,0,False,0.15012200000000003,0.1501671428571429,0.14463440000000005,64.00314702,0.27935256382083645,0,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-02-28 00:00:00+00:00,do_nothing,go_short,53979.0,0.1073,0.10702279999999996,1,False,do_nothing,0,0.10724,0.10749800000000112,0.10737608167502086,0.10768000000000001,0,0.10744824503744309,do_nothing,go_long,0.10742000000000002,0.10773714285714268,go_long
477,GMX/USDT:USDT,2024-02-24 08:30:00+00:00,second_buy,force_exit,49.385,50.595,49.30211618197407,48.5288036253892,49.325,0,50.375,6648.47,0,False,49.78699999999971,49.646428571428594,48.248199999999976,-7.18178012,-0.030558686039241403,0,go_short,go_short,do_nothing,go_long,do_nothing,go_long,2024-02-28 00:00:00+00:00,go_short,go_short,322.67,51.93,52.21159999999997,1,False,do_nothing,0,51.895,52.14699999999967,52.23995088305853,52.06,0,52.20125838203178,go_long,do_nothing,52.04,52.272857142857156,go_long
459,ETH/USDT:USDT,2024-01-03 12:15:00+00:00,first_buy,force_exit,2309.41,2310.2,2325.6214781836397,2348.796204262079,2044.0,1,2181.79,382746.25,0,False,2301.203999999924,2319.591428571433,2360.1444000000047,101.40035659,0.4642933441461714,1,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,2024-02-28 00:00:00+00:00,do_nothing,do_nothing,1954.5,3242.98,3247.3611999999976,1,False,do_nothing,0,3239.1,3246.0279999999193,3248.3891881966306,3245.54,0,3248.755990288962,do_nothing,go_short,3244.39,3250.807142857142,go_short
335,CTC/USDT:USDT,2024-02-22 00:15:00+00:00,second_buy,force_exit,0.5744,0.5950500000000001,0.570022032582246,0.5650284341112277,0.57415,0,0.5838500000000001,508152.0,0,False,0.5747400000000092,0.5729928571428541,0.5624460000000016,15.467372,0.06613104497835164,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-02-28 00:00:00+00:00,do_nothing,go_long,10885.0,0.5434500000000001,0.5425780000000014,1,False,do_nothing,0,0.54335,0.543860000000009,0.5427096640406769,0.5447500000000001,0,0.5434447211253616,do_nothing,go_long,0.54415,0.5439285714285672,go_long
440,ENS/USDT:USDT,2024-02-07 05:15:00+00:00,first_buy,force_exit,21.426,21.447,21.953747663285004,22.271005514506925,20.715,0,21.301,558658.8,0,False,21.53219999999984,21.727142857143285,22.501999999999775,7.01084527,0.030165450424954977,1,go_long,go_long,do_nothing,do_nothing,go_short,go_short,2024-02-28 00:00:00+00:00,go_long,go_long,641.8,22.19,22.201719999999824,1,False,do_nothing,0,22.174,22.228399999999837,22.1916290782717,22.227,0,22.22905656068795,do_nothing,go_short,22.202,22.248714285714733,go_short
341,CYBER/USDT:USDT,2024-02-21 10:00:00+00:00,first_buy,force_exit,8.482,8.509,8.574871520106404,8.675200812194577,8.372,1,8.424,30074.7,0,False,8.523000000000026,8.55800000000002,8.692919999999996,10.8562418,0.04631079923922573,1,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,2024-02-28 00:00:00+00:00,do_nothing,do_nothing,2306.8,8.868,8.86307999999999,1,False,do_nothing,0,8.845,8.877000000000013,8.8738088730079,8.878,0,8.877034587054196,go_short,go_short,8.869,8.890000000000036,do_nothing
419,EGLD/USDT:USDT,2024-02-13 03:45:00+00:00,second_buy,force_exit,58.7,59.66,58.4232775041734,58.19297049441939,58.6,0,59.52,6601.56,0,False,58.57400000000082,58.38285714285518,58.20120000000075,-0.84021547,-0.003604758675383195,0,go_short,go_short,do_nothing,go_short,do_nothing,go_long,2024-02-28 00:00:00+00:00,go_short,go_short,419.26,60.23,60.19280000000075,1,False,do_nothing,0,60.09,60.26200000000087,60.1658555931344,60.29,0,60.24160672572021,go_short,do_nothing,60.29,60.297142857141004,go_long
33,ARB/USDT:USDT,2024-02-12 17:15:00+00:00,second_buy,force_exit,2.0264,2.0509,1.9970179905880807,1.973730517034719,2.0258,0,2.0405,2861273.5,0,False,2.014059999999991,2.012228571428539,1.9614960000000001,17.80269532,0.07620773505721974,0,go_long,go_long,do_nothing,do_nothing,do_nothing,go_long,2024-02-28 00:00:00+00:00,go_long,go_long,133143.1,1.896,1.8942880000000009,1,False,do_nothing,0,1.8936000000000002,1.8994599999999888,1.899122114772304,1.8995000000000002,0,1.8989891970081842,do_nothing,do_nothing,1.8995000000000002,1.9019714285713967,go_long
56,AXL/USDT:USDT,2024-01-10 13:00:00+00:00,first_buy,force_exit,1.0224,1.0231,1.0270972758819186,1.0346075698399344,0.9906,1,1.0038,71237.0,0,False,1.0222200000000021,1.0234285714285714,1.037071999999999,106.11074387,0.46115041937088463,1,go_short,do_nothing,do_nothing,go_short,go_short,do_nothing,2024-02-28 00:00:00+00:00,do_nothing,go_short,37903.0,1.4522,1.4753680000000013,0,False,do_nothing,0,1.4489,1.45222000000001,1.4675615955512138,1.4606,1,1.4610295336909684,go_short,go_short,1.4563000000000001,1.45372857142857,do_nothing
54,AVAX/USDT:USDT,2024-01-19 15:30:00+00:00,first_buy,force_exit,32.69,32.965,33.150927966539896,33.31773611985812,32.475,1,32.545,64307.8,0,False,32.91299999999934,33.09214285714368,33.43520000000044,42.13348431,0.18476128840103995,1,go_long,go_long,go_long,do_nothing,go_short,go_short,2024-02-28 00:00:00+00:00,go_long,go_long,4996.3,39.255,39.19920000000048,1,False,go_long,0,39.215,39.2789999999995,39.22916618238551,39.315,0,39.27071605569917,do_nothing,go_short,39.295,39.29571428571495,go_short
112,BAND/USDT:USDT,2024-01-19 01:30:00+00:00,first_buy,force_exit,1.552,1.552,1.5538747855001915,1.566212341457491,1.52,1,1.524,89930.0,1,False,1.5466000000000193,1.5509999999999415,1.5600400000000159,96.13363769,0.4189946672823045,1,go_long,go_long,go_long,go_short,go_short,do_nothing,2024-02-28 00:00:00+00:00,go_long,go_long,1288.8,2.193,2.1882000000000144,1,False,go_long,0,2.187,2.1912000000000074,2.1901898037303633,2.193,0,2.191499031416667,go_short,go_short,2.19,2.1924285714285072,do_nothing
383,EDU/USDT:USDT,2024-02-23 16:15:00+00:00,first_buy,force_exit,0.8181,0.8226,0.8256255783033308,0.8283908117834867,0.8017000000000001,1,0.8025,488364.9,0,False,0.821419999999993,0.8261714285714172,0.8289199999999987,3.79857162,0.016133380708132715,1,go_short,go_long,go_short,go_short,go_short,do_nothing,2024-02-28 00:00:00+00:00,go_long,go_short,8905.8,0.8215,0.8255719999999975,1,False,go_short,0,0.8195,0.821979999999994,0.825928647597096,0.8233,1,0.8235685527843,go_short,go_short,0.8221,0.8227571428571309,do_nothing
374,DASH/USDT:USDT,2024-01-03 12:15:00+00:00,second_buy,force_exit,32.2,32.2,32.192877051437854,32.70456245096261,23.0,1,27.76,103536.09,0,False,31.67399999999588,32.15285714285818,32.98840000000048,-30.77833353,-0.13452599193377293,1,do_nothing,go_long,do_nothing,go_long,go_long,go_long,2024-02-28 00:00:00+00:00,go_long,do_nothing,81.67,32.15,32.190800000000465,1,False,do_nothing,0,32.09,32.14399999999604,32.158626411040906,32.16,1,32.16980934111767,go_long,go_long,32.12,32.17285714285838,go_long
254,COMP/USDT:USDT,2024-02-23 16:45:00+00:00,first_buy,force_exit,65.07,66.12,64.39281770081959,62.381506146018715,63.83,1,65.51,34333.99,0,False,67.0059999999997,66.22857142857865,61.373999999999604,64.83605366,0.27541047073815256,0,go_long,go_long,do_nothing,go_long,go_short,go_short,2024-02-28 00:00:00+00:00,go_long,go_long,3785.63,84.05,83.10279999999959,0,False,do_nothing,0,83.92,83.64799999999967,82.98286750289702,84.5,0,83.5148047930579,go_long,go_short,84.0,83.59857142857852,go_short
