,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),ema-12 (exit),mean-grad-hist (exit),sma-compare (exit),sma-07 (exit),low (exit),short_kdj (exit),sma-05 (exit),volume (exit),sma-25 (exit),long-large-rl (exit),open (exit),close (exit),ema-26 (exit),high (exit),short-large-rl (exit),long_jcrosk (exit),short-small-rl (exit),long-small-rl (exit)
337,IOTA/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,0.12140000000000001,0.12190000000000001,0.12497776702781488,0.127335581220359,0.1057,1,0.1145,34767922.0,0,False,0.12275999999999036,0.12417142857140503,0.12875600000000442,3.210385,0.05228067414657505,1,go_long,go_long,go_long,go_long,0.12267408606475844,0,0,0.12202857142854738,0.1223,False,0.12215999999999091,897156.0,0.12178400000000453,go_long,0.12250000000000001,0.12250000000000001,0.12200694046339604,0.1228,go_long,0,go_long,go_long
301,MINA/USDT:USDT,2024-06-24 09:45:00+00:00,first_buy,force_exit,0.5076,0.5082,0.5105063436642301,0.5139027763465547,0.4854,1,0.5016,4910874.0,0,False,0.5107999999999742,0.5102571428571553,0.5135079999999865,0.16210195,0.002645758682610436,0,go_long,do_nothing,go_long,go_long,0.5219599311335928,0,1,0.5143857142857259,0.5122,False,0.5140599999999718,256081.0,0.5194679999999862,go_long,0.5156000000000001,0.5128,0.5159290325743778,0.5156000000000001,go_long,1,do_nothing,go_long
295,GAS/USDT:USDT,2024-07-14 18:30:00+00:00,first_buy,force_exit,3.952,3.995,3.841454954336995,3.793515152865254,3.878,1,3.885,1827950.7,1,False,3.8786000000000085,3.858428571428552,3.7918000000000642,-1.70814252,-0.02797688453739409,0,go_long,do_nothing,go_long,go_long,3.7661812456651824,0,0,3.7525714285714105,3.779,False,3.7551999999999977,19340.8,3.7398800000000665,go_long,3.792,3.779,3.752691877861793,3.798,go_long,0,do_nothing,go_long
45,UNI/USDT:USDT,2024-09-27 14:45:00+00:00,first_buy,force_exit,7.499,7.515,7.4558742935434354,7.435400190787091,7.453,0,7.493,180627.0,0,False,7.462800000000077,7.458428571428942,7.436719999999988,-5.21018773,-0.0868423442881198,0,go_long,go_long,go_long,go_long,6.97547184771825,1,1,6.882285714286094,6.859,False,6.879600000000066,45915.0,6.9547199999999885,go_long,6.902,6.8629999999999995,6.903418993519771,6.902,go_long,0,go_long,go_long
49,INJ/USDT:USDT,2024-08-23 22:30:00+00:00,first_buy,force_exit,22.236,22.364,21.98334606258509,21.72369831788847,22.144,1,22.238,55267.3,0,False,22.149000000000253,22.081999999999862,21.704360000000097,-4.63629945,-0.07714663212504551,0,go_long,go_long,go_long,go_long,21.032754279883534,1,0,20.712000000000014,20.655,False,20.725800000000238,35008.5,20.825000000000138,go_long,20.806,20.678,20.759589541491767,20.807,go_long,1,go_long,go_long
289,CTSI/USDT:USDT,2024-08-23 17:45:00+00:00,first_buy,force_exit,0.1459,0.1464,0.14319926224099538,0.14225030673755854,0.1454,0,0.1461,928398.0,1,False,0.1439599999999983,0.14335714285713794,0.1419680000000031,-10.00151293,-0.16321774912386178,0,go_long,go_long,go_long,go_long,0.12354025174023205,0,0,0.12244285714285229,0.12290000000000001,False,0.12263999999999853,328815.0,0.12244000000000264,go_long,0.1231,0.1233,0.12245452569789517,0.12350000000000001,go_long,0,go_long,go_long
277,NMR/USDT:USDT,2024-08-23 22:15:00+00:00,second_buy,force_exit,18.273,19.387,17.85490118803777,17.533941469712712,18.273,0,19.233,230444.9,0,False,18.1387999999998,17.93828571428561,17.40152,15.37159184,0.25803397559043895,0,go_short,go_short,go_short,go_short,14.49120734307491,1,1,14.285714285714253,14.278,False,14.279599999999837,1574.6,14.375640000000026,go_short,14.341,14.278,14.317296378084345,14.342,go_short,0,go_short,go_short
62,DYDX/USDT:USDT,2024-06-18 01:45:00+00:00,first_buy,force_exit,1.361,1.361,1.3803925361628742,1.4063528138567074,1.175,1,1.236,7846646.1,1,False,1.358600000000018,1.3761428571429875,1.4169199999999558,-18.18889959,-0.2962789518494901,1,go_long,go_long,go_long,go_long,0.9197467066311014,1,1,0.9035714285715539,0.899,False,0.902400000000019,586780.5,0.9151599999999591,go_long,0.906,0.899,0.9070694693917652,0.906,go_long,0,go_long,go_long
71,OP/USDT:USDT,2024-06-24 09:45:00+00:00,first_buy,force_exit,1.6844000000000001,1.6844000000000001,1.6920212706592228,1.6995350575231847,1.5954000000000002,1,1.6618,8041631.5,0,False,1.6905400000000324,1.6918714285714667,1.6975599999999964,-1.21548905,-0.019802127500509213,1,go_long,do_nothing,go_long,go_long,1.6746994152093082,0,1,1.6604000000000396,1.6609,False,1.6596000000000182,320225.1,1.6642000000000037,go_long,1.667,1.6622,1.6613898120499762,1.6676000000000002,go_long,0,do_nothing,go_long
267,APE/USDT:USDT,2024-08-24 15:30:00+00:00,first_buy,force_exit,0.7572,0.7685000000000001,0.7437792529384555,0.73496312933452,0.7539,0,0.7608,3327753.0,0,False,0.7503799999999756,0.7459142857142659,0.7352880000000266,-6.58418306,-0.10807054177420897,0,go_long,do_nothing,go_long,go_long,0.6995381732972885,1,1,0.6841285714285517,0.6796,False,0.6833799999999792,653132.0,0.6949600000000271,go_long,0.6848000000000001,0.6803,0.6876092107784944,0.6848000000000001,go_long,1,do_nothing,go_long
