,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),mean-grad-hist (exit),ema-26 (exit),imit-exit-short (exit),ema-12 (exit),volume (exit),sma-05 (exit),sma-25 (exit),open (exit),nlp-exit-short (exit),high (exit),close (exit),nlp-enter-long (exit),nlp-enter-short (exit),long_jcrosk (exit),low (exit),short_kdj (exit),imit-enter-short (exit),sma-07 (exit)
450,ATOM/USDT:USDT,2024-09-30 03:15:00+00:00,first_buy,force_exit,4.933,4.9350000000000005,4.9693442091102105,5.000831023565598,4.872,1,4.915,5652.0,1,False,4.9436000000003615,4.9532857142859426,5.0114800000001,-0.48744382,-0.09921696477931198,go_long,go_long,go_long,go_long,go_long,1,4.439694479048966,go_long,4.4649556222527975,376.0,4.439600000000363,4.4379600000001,4.447,go_long,4.447,4.436,go_long,go_long,0,4.436,False,go_long,4.433000000000223
251,BNB/USDT:USDT,2024-09-04 01:15:00+00:00,first_buy,force_exit,515.25,515.25,518.8026891047979,521.1796708275567,500.8,1,508.25,1871190.0,0,False,517.490000000006,518.0714285714254,522.1160000000016,0.62824928,0.07266788914264558,go_long,go_long,go_long,go_long,go_long,1,547.1926211377954,go_long,549.470487968708,98651.0,547.3100000000088,547.7820000000017,548.3,go_long,548.3,547.0,go_long,go_long,0,547.0,False,go_long,547.049999999994
176,BAKE/USDT:USDT,2024-09-26 16:45:00+00:00,second_buy,force_exit,0.281,0.2813,0.27778640733510773,0.2757874246111179,0.2803,0,0.2807,214559.0,0,False,0.27944000000004077,0.27901428571429815,0.2753120000000006,1.5319471,0.17354996860336402,go_short,go_short,go_short,go_short,go_short,1,0.2333457379854922,go_short,0.23571809223367762,312.0,0.23262000000004085,0.23398800000000058,0.2335,go_short,0.2336,0.2326,go_short,go_short,0,0.2326,False,go_short,0.2328428571428701
295,ALGO/USDT:USDT,2024-09-24 23:00:00+00:00,second_buy,force_exit,0.13903000000000001,0.13959000000000002,0.1373287293631018,0.13630078926942057,0.13877,0,0.13921,22551.0,0,False,0.13810399999999326,0.1376228571428575,0.13603919999999298,0.88060724,0.10551191333054782,go_short,go_short,go_short,go_short,go_short,1,0.12451853577680086,go_short,0.12534342253868264,5789.0,0.12444599999999348,0.12469039999999298,0.12479000000000001,go_short,0.12493000000000001,0.12466,go_short,go_short,0,0.12447000000000001,False,go_short,0.1244085714285718
343,BCH/USDT:USDT,2024-09-30 03:15:00+00:00,first_buy,force_exit,344.57,345.05,348.0200203245099,349.8756867700023,341.04,1,343.51,121122.0,0,False,345.90399999999823,346.8800000000179,351.4424000000023,-0.53741476,-0.07813451538565055,go_long,go_long,go_long,go_long,go_long,0,317.83687207540476,go_long,320.00913100382917,1257.0,317.46599999999796,319.07560000000257,318.11,go_long,318.12,317.97,go_long,go_long,0,317.91,False,go_long,317.40000000001754
380,ADA/USDT:USDT,2024-09-24 17:30:00+00:00,second_buy,force_exit,0.378,0.3798,0.37506030923041195,0.37279583018171825,0.3779,0,0.3796,3651.0,0,False,0.3773999999999871,0.3761571428571374,0.3725080000000229,0.56239177,0.07407299009535852,go_short,go_short,go_short,go_short,go_short,0,0.3515798571766604,go_short,0.354358434117166,1029.0,0.3511399999999874,0.35288800000002285,0.35250000000000004,go_short,0.3527,0.3517,go_short,go_short,0,0.3517,False,go_short,0.3507285714285651
95,AAVE/USDT:USDT,2024-09-28 09:15:00+00:00,first_buy,force_exit,165.44,165.45,165.86851132234833,166.80673182105218,164.18,1,164.73,60891.0,0,False,165.36799999999752,165.58428571428473,166.85839999999772,-1.02528289,-0.12435605310127254,go_long,go_long,go_long,go_long,go_long,1,146.09233655612493,go_long,147.69053002533605,5571.0,145.48399999999737,147.38799999999773,145.87,go_long,145.87,144.71,go_long,go_long,0,144.7,False,go_long,145.64714285714203
206,BAL/USDT:USDT,2024-09-20 05:00:00+00:00,second_buy,force_exit,1.99,1.99,1.9502145348971167,1.93610205672151,1.984,0,1.99,1285.0,1,False,1.9755999999999705,1.9574285714286284,1.929720000000201,-0.7048629,-0.07886971478520774,go_short,go_short,go_short,go_short,go_short,1,2.1673268698141457,go_short,2.1726307249323917,2789.0,2.1547999999999674,2.1800400000002016,2.158,go_short,2.158,2.15,go_short,go_short,0,2.15,False,go_short,2.1592857142857644
42,BTC/USDT:USDT,2024-09-30 09:30:00+00:00,first_buy,force_exit,64063.4,64090.2,64288.78712577788,64470.400562019546,63670.0,1,63960.6,6833954.0,0,False,64153.340000000164,64245.771428572036,64409.4159999998,-0.33344097,-0.05208008388555193,go_long,go_long,go_long,go_long,go_long,0,60890.67315842185,go_long,61258.75132857363,798844.0,60780.50000000021,61255.39199999979,60958.1,go_long,60958.1,60780.0,go_long,go_long,0,60778.8,False,go_long,60765.300000000614
411,APT/USDT:USDT,2024-09-20 12:15:00+00:00,second_buy,force_exit,7.128,7.461,7.171507878176087,7.105087599033744,7.128,0,7.375,576322.0,0,False,7.176399999999729,7.190714285714264,7.136039999999922,-0.1860671,-0.021051285473275616,go_short,go_short,go_long,go_short,go_short,0,7.572581248131973,go_short,7.638764801616031,32073.0,7.546799999999735,7.622639999999928,7.57,go_short,7.57,7.5440000000000005,go_long,go_short,0,7.54,False,go_short,7.5395714285714
