,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),volume (exit),ema-12 (exit),mean-grad-hist (exit),sma-07 (exit),imit-enter-short (exit),nlp-exit-short (exit),close (exit),imit-exit-short (exit),long_jcrosk (exit),nlp-enter-short (exit),sma-05 (exit),ema-26 (exit),open (exit),short_kdj (exit),nlp-enter-long (exit),high (exit),sma-25 (exit),low (exit)
498,ATOM/USDT:USDT,2025-01-07 06:45:00+00:00,second_buy,force_exit,7.683,7.747,7.547793289408425,7.490892828372934,7.642,1,7.644,6672.0,1,False,7.626200000000338,7.5930000000002105,7.4489200000000855,1.15578943,0.15101767084928552,go_short,go_short,go_short,go_short,go_short,1600.0,6.529577250757326,1,6.513714285714494,go_short,go_short,6.51,go_short,1,go_short,6.525000000000338,6.520432239489998,6.553,False,go_short,6.557,6.5168800000000875,6.51
220,BAL/USDT:USDT,2024-12-11 17:30:00+00:00,second_buy,force_exit,3.792,3.83,3.6897820489922366,3.5632682507398274,3.792,1,3.8200000000000003,853.0,0,False,3.7673999999999745,3.7582857142857606,3.5314800000001982,2.47257089,0.3451658070365013,go_short,go_short,go_long,go_short,go_short,443.0,2.4822989784736924,1,2.488714285714336,go_short,go_short,2.493,go_short,1,go_short,2.4925999999999755,2.486472903493029,2.493,False,go_long,2.493,2.4781200000002075,2.493
44,BTC/USDT:USDT,2024-12-20 12:00:00+00:00,first_buy,force_exit,93133.2,93394.5,94300.139277158,95297.18554905406,92595.6,1,92715.0,7175807.0,0,False,93582.40000000045,93938.25714285766,95709.7839999999,0.15130108,0.016302640357000492,go_long,go_long,go_long,go_long,go_long,688395.0,94607.04341345772,1,94898.01428571482,go_long,go_long,94792.7,go_long,0,go_long,94941.9400000005,94787.46074320821,95026.3,False,go_long,95090.0,94491.34799999988,94788.1
100,AAVE/USDT:USDT,2024-12-18 20:15:00+00:00,first_buy,force_exit,357.21,359.87,365.92766566113454,368.1436422385369,335.04,1,352.17,388957.0,0,False,363.27399999999676,366.40285714285534,368.41239999999823,-1.23463887,-0.17516480593851572,go_long,go_long,go_long,go_long,go_long,6806.0,291.28759828010607,1,292.5642857142847,go_long,go_long,293.02,go_long,0,go_long,292.5919999999964,292.26998095389496,291.93,False,go_long,293.15,290.8523999999987,291.57
454,APT/USDT:USDT,2024-12-12 03:15:00+00:00,second_buy,force_exit,13.838,13.989,13.586439779330597,13.296611447063082,13.838,0,13.953,206473.0,0,False,13.77579999999979,13.751714285714206,13.199839999999936,2.50024716,0.3588171913849333,go_short,go_short,go_short,go_short,go_short,46154.0,8.979994435689413,1,9.026142857142725,go_short,go_short,9.022,go_short,1,go_short,9.040199999999786,9.007940061809038,9.075,False,go_short,9.085,8.95603999999993,9.018
418,ADA/USDT:USDT,2025-01-08 17:00:00+00:00,second_buy,force_exit,0.9579000000000001,0.9593,0.9664507469750977,0.9740883178358957,0.9466,1,0.9471,58556.0,0,False,0.9621799999999887,0.9629857142857114,0.9765560000000234,-0.48470088,-0.05128274665110095,go_short,go_short,go_short,go_short,go_short,7245.0,0.994294051152676,1,0.9938428571428561,go_short,go_short,0.9929,go_short,1,go_short,0.9945399999999875,0.9939462062681687,0.9923000000000001,False,go_short,0.9944000000000001,0.9911080000000233,0.991
269,BNB/USDT:USDT,2025-01-07 15:00:00+00:00,first_buy,force_exit,722.6,722.85,722.984388246821,724.8843882878194,713.8,1,716.2,646272.0,0,False,721.9800000000072,722.7214285714227,725.3160000000021,-0.22860626,-0.031887445143518864,go_long,go_long,go_long,go_long,go_long,16788.0,692.8842471039069,1,693.4714285714228,go_long,go_long,694.05,go_long,1,go_long,693.9900000000067,693.2692679855601,694.8,False,go_long,695.05,692.1500000000024,693.8
186,BAKE/USDT:USDT,2024-12-12 03:00:00+00:00,second_buy,force_exit,0.355,0.35850000000000004,0.34782988342300836,0.3448131434190516,0.3536,0,0.358,309398.0,0,False,0.35012000000003907,0.3486000000000124,0.34423600000000115,2.56447876,0.34847280220425897,go_short,go_short,go_short,go_short,go_short,25393.0,0.23411929950677524,1,0.234957142857156,go_short,go_short,0.2354,go_short,1,go_short,0.23530000000003742,0.23469523049827148,0.2359,False,go_short,0.23600000000000002,0.2335920000000014,0.2354
375,BCH/USDT:USDT,2025-01-05 14:15:00+00:00,first_buy,force_exit,466.92,467.88,468.2751016295108,469.2996436365943,464.36,1,465.26,55118.0,0,False,468.15999999999923,468.3742857143069,468.74040000000207,-0.09776717,-0.02100916356546721,go_long,go_long,go_long,go_long,go_long,67491.0,449.0094833788522,0,452.1342857143077,go_long,go_long,456.88,go_long,0,go_long,452.3400000000003,451.69572493971845,451.07,False,go_long,456.88,448.3504000000019,451.01
324,ALGO/USDT:USDT,2025-01-03 11:30:00+00:00,second_buy,force_exit,0.4189,0.42160000000000003,0.41433149287455096,0.410524856333075,0.4182,0,0.4214,4812.0,0,False,0.41773999999999367,0.4161999999999989,0.40855999999999176,0.55075822,0.1307350081881739,go_short,go_short,go_short,go_short,go_short,2380.0,0.3687066971066833,1,0.3679285714285702,go_short,go_short,0.36710000000000004,go_short,1,go_short,0.36855999999999345,0.3685381131073663,0.3699,False,go_short,0.3699,0.3680679999999914,0.36710000000000004
