,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),mean-grad-hist (exit),ema-12 (exit),long-large-rl (exit),sma-05 (exit),sma-07 (exit),long-bid-rl (exit),short-bid-rl (exit),volume (exit),high (exit),short_kdj (exit),short-large-rl (exit),short-small-rl (exit),open (exit),long-small-rl (exit),sma-compare (exit),close (exit),long_jcrosk (exit),low (exit),sma-25 (exit),ema-26 (exit)
148,NEAR/USDT:USDT,2024-08-24 19:15:00+00:00,first_buy,force_exit,5.141,5.197,5.0850119745328035,5.028747432007814,5.128,0,5.182,523887.0,0,False,5.1109999999998355,5.100142857142897,5.017719999999968,18.26256474,0.32000281373687434,0,go_long,go_long,go_long,go_long,go_long,go_long,0,6.888418091135194,go_long,6.898399999999819,6.886000000000062,go_long,go_long,521204.0,6.983,False,go_long,go_long,6.953,go_long,0,6.982,0,6.941,6.886079999999967,6.894001497613801
111,XRP/USDT:USDT,2024-11-22 00:30:00+00:00,first_buy,force_exit,1.2856,1.2926,1.2282761967799418,1.2018797100452667,1.2653,0,1.2730000000000001,85117322.7,0,False,1.2486799999999907,1.2359714285714458,1.2039439999999972,22.02457531,0.359335384636007,0,go_long,go_long,go_long,go_long,go_long,go_long,0,1.705280657905886,go_long,1.729059999999991,1.7229428571428744,go_long,go_long,22939623.3,1.7443,False,go_long,go_long,1.7269999999999999,go_long,0,1.7397,0,1.7186,1.7138919999999953,1.7181598147953028
115,MKR/USDT:USDT,2024-11-07 19:00:00+00:00,first_buy,force_exit,1641.8,1651.7,1569.39335231384,1520.2338935310836,1623.4,1,1631.9,3749.225,0,False,1610.4800000000027,1595.3285714285487,1501.1679999999956,6.06608963,0.10036435063091108,0,go_long,go_long,go_long,go_long,go_long,go_long,0,1804.4571692185707,go_long,1801.1199999999997,1799.914285714263,go_long,go_long,304.047,1814.4,False,go_long,go_long,1805.6,go_long,0,1813.6,0,1804.4,1805.655999999996,1803.1690538945597
100,ALGO/USDT:USDT,2024-11-23 05:45:00+00:00,first_buy,force_exit,0.30910000000000004,0.3183,0.291753838238204,0.28156841808322564,0.3068,0,0.3109,46964756.4,0,False,0.2977999999999948,0.2928285714285727,0.28197200000001194,20.78039439,0.3384951174195123,0,go_long,do_nothing,go_long,go_long,go_long,go_long,0,0.39836445055204983,go_long,0.41387999999999436,0.41200000000000186,go_long,go_long,24383003.0,0.42350000000000004,False,go_long,do_nothing,0.4234,go_long,0,0.418,0,0.4166,0.39988800000001246,0.4089119278216176
32,LDO/USDT:USDT,2024-08-24 17:00:00+00:00,first_buy,force_exit,1.3441,1.3446,1.3234287157055884,1.3163111416869517,1.3376000000000001,0,1.343,546688.0,0,False,1.3299600000000287,1.324542857142878,1.313832000000006,16.95574023,0.2802604493513584,0,go_long,go_long,go_long,go_long,go_long,go_long,0,1.7371344832486588,go_long,1.7412000000000245,1.741600000000029,go_long,go_long,279231.0,1.7577,False,go_long,go_long,1.7486000000000002,go_long,0,1.7568000000000001,0,1.746,1.7385000000000042,1.7415643695564982
119,QTUM/USDT:USDT,2024-11-23 01:45:00+00:00,first_buy,force_exit,3.846,3.852,3.6404787837078847,3.5422669385610512,3.71,1,3.734,402569.1,0,False,3.7561999999996942,3.6920000000001068,3.5056799999999213,1.16835313,0.019059955714396774,0,go_long,do_nothing,go_long,go_long,go_long,go_long,0,3.7759260008186093,go_long,3.8003999999996894,3.7978571428572536,go_long,go_long,22733.3,3.826,False,go_long,do_nothing,3.8200000000000003,go_long,0,3.823,0,3.815,3.7810799999999216,3.7935217969830552
123,LQTY/USDT:USDT,2024-11-24 04:00:00+00:00,first_buy,force_exit,1.333,1.3379,1.3215767919981065,1.3104206232109155,1.3312,0,1.337,38594.5,0,False,1.3280799999999666,1.326142857142867,1.3066480000000142,8.13013853,0.13261786202360068,0,go_long,go_long,go_long,go_long,go_long,go_long,0,1.5138827624898528,go_long,1.5120999999999656,1.5106428571428658,go_long,go_long,50473.2,1.5209000000000001,False,go_long,go_long,1.5134,go_long,0,1.5202,0,1.5128,1.5176520000000147,1.5121583331626338
26,INJ/USDT:USDT,2024-08-23 22:30:00+00:00,first_buy,force_exit,22.236,22.364,21.98334606258509,21.72369831788847,22.144,1,22.238,55267.3,0,False,22.149000000000253,22.081999999999862,21.704360000000097,20.17198113,0.33565571513493797,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,0,30.00966478724565,go_long,30.00920000000035,30.023857142856976,do_nothing,do_nothing,54045.1,30.28,False,go_long,go_long,30.186,go_long,1,30.277,0,30.161,30.04664000000009,30.074823752040132
22,OGN/USDT:USDT,2024-11-23 14:00:00+00:00,first_buy,force_exit,0.1177,0.11800000000000001,0.11576120780426298,0.11471104201384764,0.11720000000000001,0,0.1173,960898.0,1,False,0.11684000000001174,0.11642857142857155,0.11454400000000035,7.06811713,0.1150985783364398,0,go_long,go_long,go_long,go_long,go_long,go_long,0,0.13067396417235586,go_long,0.1306800000000119,0.13065714285714303,go_long,go_long,249905.0,0.13140000000000002,False,go_long,go_long,0.1313,go_long,0,0.13140000000000002,0,0.1312,0.13109600000000032,0.13077408972797447
127,MASK/USDT:USDT,2024-10-29 17:30:00+00:00,first_buy,force_exit,3.023,3.0922,2.6640362213640763,2.509528640464527,2.9383,0,3.0718,9505003.0,0,False,2.887260000000171,2.7459571428572143,2.417591999999989,12.29035025,0.21033568504004677,0,go_long,do_nothing,go_long,go_long,go_long,go_long,0,3.7041466264990017,go_long,3.7425000000001667,3.72905714285721,go_long,go_long,238586.0,3.7874,False,go_long,do_nothing,3.7686,go_long,0,3.7696,0,3.7617000000000003,3.712515999999996,3.726859067663984
