,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-large-rl (exit),long_jcrosk (exit),ema-12 (exit),short-small-rl (exit),low (exit),mean-grad-hist (exit),close (exit),open (exit),high (exit),long-bid-rl (exit),sma-25 (exit),volume (exit),short_kdj (exit),long-large-rl (exit),ema-26 (exit),sma-compare (exit),sma-05 (exit),long-small-rl (exit),sma-07 (exit),short-bid-rl (exit)
499,IOTA/USDT:USDT,2024-11-29 15:30:00+00:00,second_buy,force_exit,0.2604,0.27190000000000003,0.2519345531752244,0.24495843176981416,0.2604,0,0.27140000000000003,42803563.6,0,False,0.25791999999998755,0.25451428571426915,0.24334000000000217,0.3071566,0.0050127504070024325,0,do_nothing,go_long,do_nothing,do_nothing,go_short,go_short,do_nothing,0,0.25962981819204073,go_long,0.26830000000000004,0,0.2697,0.2692,0.2702,go_short,0.2611720000000023,5396266.7,False,do_nothing,0.2649681618233316,0,0.26747999999998756,do_nothing,0.26652857142855496,go_short
246,ADA/USDT:USDT,2024-11-23 00:45:00+00:00,first_buy,force_exit,1.0785,1.1575,1.0365537143781751,1.0067262987659198,1.0767,0,1.1218,130450154.0,0,False,1.0541400000000052,1.0391571428571478,1.0007799999999976,-3.87828747,-0.06395257147998033,0,go_short,do_nothing,go_short,go_short,go_long,go_long,go_short,0,1.0550862252251993,do_nothing,1.0487,0,1.0556,1.0515,1.0561,go_long,1.059227999999998,6778285.0,False,go_short,1.0511785234867421,0,1.0497800000000046,go_short,1.0487857142857198,go_long
446,SUSHI/USDT:USDT,2024-11-23 18:30:00+00:00,first_buy,force_exit,1.1951,1.2413,1.0982730997747212,1.0464464905821438,1.1726,0,1.2191,9721665.0,0,False,1.1494599999998263,1.1125571428572287,1.0353960000001188,-2.14757076,-0.03520264721741463,0,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,do_nothing,0,1.1747882433936963,do_nothing,1.1762,0,1.1814,1.181,1.1821,go_long,1.1795960000001193,133673.0,False,do_nothing,1.1766181573307997,0,1.174799999999827,go_short,1.174785714285799,go_long
159,LTC/USDT:USDT,2024-11-23 05:30:00+00:00,first_buy,force_exit,105.06,105.15,101.62680110204333,98.95819362569254,102.56,1,103.1,132666.172,0,False,102.9419999999985,102.51428571428903,98.48000000000133,-0.9751213,-0.015881483224614093,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,100.68999748500165,go_long,101.84,0,102.06,102.16,102.24,do_nothing,100.9048000000013,22893.365,False,go_short,101.53145857400236,0,101.91399999999838,go_long,101.75714285714616,do_nothing
36,INJ/USDT:USDT,2024-11-26 18:15:00+00:00,first_buy,force_exit,30.552,30.65,29.64852030215669,29.01818975893755,29.722,1,29.902,365240.7,1,False,30.077200000000353,30.029285714285574,28.84812000000008,0.5643465,0.009428750665329586,0,go_long,go_long,go_short,go_short,go_long,go_long,go_short,0,30.00966478724565,go_long,30.161,0,30.277,30.186,30.28,go_long,30.04664000000009,54045.1,False,go_short,30.074823752040132,1,30.00920000000035,go_long,30.023857142856976,go_long
382,LQTY/USDT:USDT,2024-11-27 23:00:00+00:00,first_buy,force_exit,1.6767,1.7195,1.6223614157388702,1.569472911002928,1.6617000000000002,0,1.7195,790268.3,0,False,1.6644799999999649,1.6446142857142938,1.5556560000000144,-7.22051688,-0.11788508667569836,0,go_short,go_short,do_nothing,do_nothing,go_long,go_long,do_nothing,0,1.5138827624898528,go_short,1.5128,0,1.5202,1.5134,1.5209000000000001,go_long,1.5176520000000147,50473.2,False,do_nothing,1.5121583331626338,0,1.5120999999999656,go_short,1.5106428571428658,go_long
351,APE/USDT:USDT,2024-11-16 13:45:00+00:00,first_buy,force_exit,1.3008,1.3062,1.207647801645216,1.1849593445909288,1.2268,1,1.2286,24364181.0,1,False,1.2284599999999837,1.2137142857142644,1.1812000000000262,8.79373229,0.14591408777249792,0,go_long,go_short,go_short,go_short,go_short,go_short,go_short,0,1.4028990468888591,go_short,1.4171,0,1.4215,1.4207,1.4226,go_short,1.4075960000000245,589891.0,False,go_short,1.4102955928273362,0,1.4144399999999846,go_long,1.4136714285714098,go_short
190,ALGO/USDT:USDT,2024-11-29 12:45:00+00:00,first_buy,force_exit,0.374,0.38180000000000003,0.36250736352427926,0.3547949175991428,0.37160000000000004,0,0.3733,48722453.7,0,False,0.3678199999999944,0.3661714285714303,0.35146000000001215,7.23061298,0.11777293159559434,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,0.39836445055204983,go_long,0.4166,0,0.418,0.4234,0.42350000000000004,do_nothing,0.39988800000001246,24383003.0,False,go_short,0.4089119278216176,0,0.41387999999999436,go_long,0.41200000000000186,do_nothing
314,QTUM/USDT:USDT,2024-11-23 01:15:00+00:00,first_buy,force_exit,3.769,3.834,3.583015821872996,3.5014025571376104,3.738,0,3.773,869635.6,1,False,3.6527999999996945,3.610714285714393,3.470359999999921,0.53788933,0.008793710282752347,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,3.7759260008186093,do_nothing,3.815,0,3.823,3.8200000000000003,3.826,go_short,3.7810799999999216,22733.3,False,do_nothing,3.7935217969830552,0,3.8003999999996894,go_long,3.7978571428572536,go_short
281,MKR/USDT:USDT,2024-11-25 14:15:00+00:00,first_buy,force_exit,1977.2,1980.5,1896.8936643124562,1849.2269056900702,1950.8,0,1973.4,2341.623,0,False,1946.4800000000027,1917.1999999999773,1835.7319999999954,-5.15702576,-0.08421906461117018,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,1804.4571692185707,go_long,1804.4,0,1813.6,1805.6,1814.4,do_nothing,1805.655999999996,304.047,False,go_short,1803.1690538945597,0,1801.1199999999997,go_long,1799.914285714263,do_nothing
