,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),volume (exit),close (exit),ema-12 (exit),sma-25 (exit),short-bid-rl (exit),ema-26 (exit),short_kdj (exit),sma-07 (exit),sma-compare (exit),long-small-rl (exit),short-large-rl (exit),open (exit),high (exit),mean-grad-hist (exit),long_jcrosk (exit),long-bid-rl (exit),short-small-rl (exit),sma-05 (exit),long-large-rl (exit),low (exit)
855,IOTA/USDT:USDT,2024-11-29 15:30:00+00:00,second_buy,force_exit,0.2604,0.27190000000000003,0.2519345531752244,0.24495843176981416,0.2604,0,0.27140000000000003,42803563.6,0,False,0.2579199999999918,0.25451428571426105,0.24334000000000444,0.3071566,0.0050127504070024325,0,do_nothing,go_long,do_nothing,do_nothing,go_short,go_short,5396266.7,0.2697,0.25962981819204073,0.26117200000000457,go_short,0.2649681618233316,False,0.26652857142854686,0,do_nothing,do_nothing,0.2692,0.2702,0,0,go_short,go_long,0.26747999999999184,do_nothing,0.26830000000000004
206,DOT/USDT:USDT,2024-11-23 15:30:00+00:00,first_buy,force_exit,8.529,8.95,8.2889932116188,8.05303407993968,8.517,0,8.852,8002350.3,0,False,8.420800000000193,8.344857142857453,8.00627999999974,-0.9813448,-0.01605081363033386,0,go_long,go_long,go_short,go_short,go_long,go_long,355860.5,8.748,8.676063528771257,8.695079999999733,go_long,8.676660121444288,False,8.674857142857459,0,go_long,go_short,8.724,8.754,0,0,go_long,go_long,8.680400000000189,go_short,8.72
399,ADA/USDT:USDT,2024-11-23 00:45:00+00:00,first_buy,force_exit,1.0785,1.1575,1.0365537143781751,1.0067262987659198,1.0767,0,1.1218,130450154.0,0,False,1.0541400000000074,1.0391571428571458,1.000779999999993,-3.87828747,-0.06395257147998033,0,go_short,do_nothing,go_short,go_short,go_long,go_long,6778285.0,1.0556,1.0550862252251993,1.0592279999999934,go_long,1.0511785234867421,False,1.0487857142857178,0,go_short,go_short,1.0515,1.0561,0,0,go_long,do_nothing,1.0497800000000068,go_short,1.0487
744,SUSHI/USDT:USDT,2024-11-23 18:30:00+00:00,first_buy,force_exit,1.1951,1.2413,1.0982730997747212,1.0464464905821438,1.1726,0,1.2191,9721665.0,0,False,1.149459999999724,1.1125571428572614,1.0353960000001097,-2.14757076,-0.03520264721741463,0,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,133673.0,1.1814,1.1747882433936963,1.1795960000001102,go_long,1.1766181573307997,False,1.1747857142858316,0,go_short,do_nothing,1.181,1.1821,0,0,go_long,do_nothing,1.1747999999997247,do_nothing,1.1762
296,ALGO/USDT:USDT,2024-11-29 12:45:00+00:00,first_buy,force_exit,0.374,0.38180000000000003,0.36250736352427926,0.3547949175991428,0.37160000000000004,0,0.3733,48722453.7,0,False,0.3678199999999844,0.3661714285714303,0.35146000000001953,7.23061298,0.11777293159559434,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,24383003.0,0.418,0.39836445055204983,0.3998880000000199,do_nothing,0.4089119278216176,False,0.41200000000000186,0,go_long,go_short,0.4234,0.42350000000000004,0,0,do_nothing,go_long,0.4138799999999844,go_short,0.4166
36,INJ/USDT:USDT,2024-11-26 18:15:00+00:00,first_buy,force_exit,30.552,30.65,29.64852030215669,29.01818975893755,29.722,1,29.902,365240.7,1,False,30.077200000000353,30.029285714285574,28.84812000000008,0.5643465,0.009428750665329586,0,go_long,go_long,go_short,go_short,go_long,go_long,54045.1,30.277,30.00966478724565,30.04664000000009,go_long,30.074823752040132,False,30.023857142856976,1,go_long,go_short,30.186,30.28,0,0,go_long,go_long,30.00920000000035,go_short,30.161
603,LQTY/USDT:USDT,2024-11-27 23:00:00+00:00,first_buy,force_exit,1.6767,1.7195,1.6223614157388702,1.569472911002928,1.6617000000000002,0,1.7195,790268.3,0,False,1.6644799999999649,1.6446142857142938,1.5556560000000144,-7.22051688,-0.11788508667569836,0,go_short,go_short,do_nothing,do_nothing,go_long,go_long,50473.2,1.5202,1.5138827624898528,1.5176520000000147,go_long,1.5121583331626338,False,1.5106428571428658,0,go_short,do_nothing,1.5134,1.5209000000000001,0,0,go_long,go_short,1.5120999999999656,do_nothing,1.5128
572,APE/USDT:USDT,2024-11-16 13:45:00+00:00,first_buy,force_exit,1.3008,1.3062,1.207647801645216,1.1849593445909288,1.2268,1,1.2286,24364181.0,1,False,1.2284599999999837,1.2137142857142644,1.1812000000000262,8.79373229,0.14591408777249792,0,go_long,go_short,go_short,go_short,go_short,go_short,589891.0,1.4215,1.4028990468888591,1.4075960000000245,go_short,1.4102955928273362,False,1.4136714285714098,0,go_long,go_short,1.4207,1.4226,0,0,go_short,go_short,1.4144399999999846,go_short,1.4171
159,TRB/USDT:USDT,2024-11-10 10:30:00+00:00,first_buy,force_exit,84.222,94.7,78.3407710278606,70.40069622161748,83.725,0,94.384,823172.4,0,False,84.4884000000028,83.18285714285791,66.70055999999973,-12.55445512,-0.2215423852764478,0,go_short,go_short,go_short,go_short,go_short,go_short,6680.8,74.207,73.61837776651141,73.72023999999959,go_short,73.7360765729477,False,73.67628571428646,0,go_short,go_short,74.024,74.237,0,0,go_short,go_short,73.69760000000294,go_short,74.007
524,QTUM/USDT:USDT,2024-11-23 01:15:00+00:00,first_buy,force_exit,3.769,3.834,3.583015821872996,3.5014025571376104,3.738,0,3.773,869635.6,1,False,3.652799999999626,3.610714285714401,3.470359999999912,0.53788933,0.008793710282752347,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,22733.3,3.823,3.7759260008186093,3.7810799999999123,go_short,3.7935217969830552,False,3.7978571428572616,0,go_long,do_nothing,3.8200000000000003,3.826,0,0,go_short,do_nothing,3.800399999999621,do_nothing,3.815
244,LTC/USDT:USDT,2024-11-23 05:30:00+00:00,first_buy,force_exit,105.06,105.15,101.62680110204333,98.95819362569254,102.56,1,103.1,132666.172,0,False,102.94199999999805,102.5142857142889,98.48000000000177,-0.9751213,-0.015881483224614093,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,22893.365,102.06,100.68999748500165,100.90480000000174,do_nothing,101.53145857400236,False,101.75714285714604,0,go_long,go_short,102.16,102.24,0,0,do_nothing,go_long,101.91399999999793,go_short,101.84
