,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),sma-05 (exit),long-small-rl (exit),close (exit),low (exit),short_kdj (exit),mean-grad-hist (exit),short-bid-rl (exit),open (exit),volume (exit),long-large-rl (exit),short-small-rl (exit),long_jcrosk (exit),sma-07 (exit),ema-12 (exit),short-large-rl (exit),long-bid-rl (exit),sma-compare (exit),ema-26 (exit),high (exit),sma-25 (exit)
437,YFI/USDT:USDT,2024-11-10 08:45:00+00:00,first_buy,force_exit,5970.0,6989.0,5960.7004801888725,5771.265382848748,5969.0,0,6916.0,1871.439,0,False,6071.999999999954,5986.999999999966,5726.880000000009,6.08845822,0.10994894873745198,0,go_long,go_long,go_short,go_short,go_long,go_long,7647.799999999954,go_long,7736.0,7675.0,False,0,go_long,7681.0,20.425,go_short,go_long,0,7647.285714285681,7607.006542323701,go_short,go_long,0,7649.470191508155,7740.0,7619.800000000009
45,STMX/USDT:USDT,2024-11-19 08:00:00+00:00,first_buy,force_exit,0.00816,0.008490000000000001,0.007056685393173298,0.006767482864018393,0.008010000000000001,0,0.00826,2409056385.0,0,False,0.007368000000001188,0.0071071428571423045,0.006642799999999989,-2.13703477,-0.03480047503865512,0,go_short,go_long,do_nothing,do_nothing,go_long,go_long,0.0079680000000012,go_short,0.00799,0.007970000000000001,False,0,go_long,0.008,9662234.0,do_nothing,go_long,0,0.007951428571428026,0.007889072844397107,do_nothing,go_long,0,0.007933737917747695,0.008,0.007891999999999993
373,NEO/USDT:USDT,2024-11-23 08:30:00+00:00,first_buy,force_exit,14.981,14.997,14.649420715106643,14.479190438931012,14.638,1,14.676,94413.99,1,False,14.743800000000439,14.719428571427903,14.47876000000029,3.44264327,0.056058873906706,0,go_long,go_long,do_nothing,do_nothing,go_long,go_long,15.515200000000396,go_long,15.579,15.555,False,0,go_long,15.591,17627.68,do_nothing,go_long,0,15.492999999999332,15.37023205325245,do_nothing,go_long,0,15.47127791289976,15.614,15.395120000000295
409,FIL/USDT:USDT,2024-11-23 15:45:00+00:00,second_buy,force_exit,5.377,5.454,5.305617715027987,5.244531899863415,5.37,0,5.376,2507983.4,0,False,5.334199999998142,5.326571428571769,5.235040000000505,-7.66191788,-0.1251433836457594,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,6.028399999998145,go_short,6.055,6.03,False,0,go_short,6.043,305869.3,do_nothing,go_short,0,6.020714285714626,5.985045064811823,do_nothing,go_short,0,6.016549942920249,6.057,6.008640000000498
153,TRB/USDT:USDT,2024-11-13 03:45:00+00:00,first_buy,force_exit,71.737,72.35,73.6099419962337,74.6118049586223,71.402,1,71.442,46278.4,0,False,72.6974000000031,73.0515714285724,75.20623999999957,1.69952233,0.029705096673918845,1,go_short,go_short,go_short,go_short,go_long,go_long,73.69760000000329,go_short,74.207,74.007,False,0,go_long,74.024,6680.8,go_short,go_short,0,73.67628571428659,73.61837776651141,go_short,go_long,0,73.7360765729477,74.237,73.72023999999945
312,LQTY/USDT:USDT,2024-11-27 22:15:00+00:00,first_buy,force_exit,1.6304,1.65,1.5796469048672412,1.5391749956653205,1.6153,0,1.6381999999999999,1230023.6,0,False,1.6071999999999647,1.595171428571437,1.5295680000000145,-4.57563223,-0.0745977092694968,0,go_short,go_short,do_nothing,do_nothing,go_long,go_long,1.5120999999999656,go_short,1.5202,1.5128,False,0,go_long,1.5134,50473.2,do_nothing,go_short,0,1.5106428571428658,1.5138827624898528,do_nothing,go_long,0,1.5121583331626338,1.5209000000000001,1.5176520000000147
347,IOTX/USDT:USDT,2024-09-21 14:45:00+00:00,first_buy,force_exit,0.04338,0.043500000000000004,0.042243346830131735,0.0412934268775155,0.04302,1,0.04324,11989006.0,0,False,0.042877999999999125,0.04272000000000007,0.040986799999999664,6.40322229,0.10430313049245832,0,go_short,go_long,do_nothing,do_nothing,go_long,go_long,0.04854199999999913,go_short,0.048720000000000006,0.04854000000000001,False,0,go_long,0.048620000000000003,1762411.0,do_nothing,go_long,0,0.0485871428571429,0.04881849911521462,do_nothing,go_long,1,0.048654496049352944,0.048720000000000006,0.04882239999999988
85,INJ/USDT:USDT,2024-11-23 01:45:00+00:00,first_buy,force_exit,28.04,28.371,26.97674510684701,26.179521371375667,27.661,1,28.033,131339.4,0,False,27.650200000000307,27.34285714285701,25.86760000000008,4.39639496,0.07461132244815617,0,go_long,go_long,go_short,go_short,go_long,go_long,30.00920000000035,go_long,30.277,30.161,False,0,go_long,30.186,54045.1,go_short,go_long,0,30.023857142856976,30.00966478724565,go_short,go_long,1,30.074823752040132,30.28,30.04664000000009
209,BAL/USDT:USDT,2024-11-10 10:00:00+00:00,first_buy,force_exit,2.237,2.252,2.206333376028065,2.182875479466564,2.231,0,2.242,153123.3,1,False,2.2193999999998226,2.2128571428572816,2.1810000000001852,14.20962756,0.23192649367669707,0,go_short,go_long,do_nothing,do_nothing,go_long,go_long,2.7691999999998274,go_short,2.782,2.775,False,0,go_long,2.779,7608.4,do_nothing,go_long,0,2.769000000000144,2.777663503785406,do_nothing,go_long,0,2.7750757590831205,2.782,2.7866000000001856
282,QTUM/USDT:USDT,2024-11-22 06:00:00+00:00,first_buy,force_exit,3.458,3.46,3.4073004780561864,3.363317363357925,3.437,1,3.443,57079.1,0,False,3.435199999999692,3.4312857142858197,3.35287999999992,6.43493364,0.10489456110044372,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,3.8003999999996894,go_long,3.823,3.815,False,0,go_long,3.8200000000000003,22733.3,do_nothing,do_nothing,0,3.7978571428572536,3.7759260008186093,do_nothing,go_long,0,3.7935217969830552,3.826,3.7810799999999216
