,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,low (exit),short-bid-rl (exit),sma-05 (exit),sma-07 (exit),mean-grad-hist (exit),sma-compare (exit),open (exit),short_kdj (exit),short-small-rl (exit),ema-12 (exit),close (exit),long-small-rl (exit),short-large-rl (exit),high (exit),sma-25 (exit),long_jcrosk (exit),long-bid-rl (exit),long-large-rl (exit),ema-26 (exit),volume (exit)
3291,BEAMX/USDT:USDT,2025-01-09 20:45:00+00:00,second_buy,force_exit,0.022410000000000003,0.022480000000000003,0.022711167593143417,0.02291817653665971,0.022250000000000002,0,0.022410000000000003,1220.0,0,False,0.022485999999999628,0.022592857142857338,0.023009600000000057,-0.2358864,-0.03513728013728014,1,go_long,do_nothing,go_long,go_long,go_short,go_short,2025-01-12 16:15:00+00:00,0.023200000000000002,go_short,0.023323999999999668,0.0232942857142859,1,0,0.02347,False,do_nothing,0.023118603487468234,0.023200000000000002,go_long,go_long,0.023510000000000003,0.023064000000000043,1,go_short,go_long,0.0232483559748583,577.0
1725,AAVE/USDT:USDT,2025-01-09 20:15:00+00:00,second_buy,force_exit,277.51,279.12,281.142250341939,282.7078510734765,274.8,1,276.0,74140.0,0,False,278.8559999999973,280.2885714285711,282.9739999999985,-0.5244027,-0.06337868584318888,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2025-01-12 16:00:00+00:00,291.57,go_short,292.591999999997,292.5642857142853,1,0,291.93,False,do_nothing,291.28759828010607,293.02,do_nothing,go_long,293.15,290.8523999999985,0,go_short,go_long,292.26998095389496,6806.0
2456,APT/USDT:USDT,2024-12-21 06:15:00+00:00,first_buy,force_exit,10.844,10.927,10.527984285824617,10.474312908519513,10.719,0,10.908,149849.0,0,False,10.672599999999779,10.573857142857035,10.369039999999949,-1.37768674,-0.18024915259710167,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,9.018,go_long,9.040199999999786,9.026142857142725,1,0,9.075,False,do_nothing,8.979994435689413,9.022,do_nothing,go_long,9.085,8.95603999999993,1,go_long,go_long,9.007940061809038,46154.0
2161,APT/USDT:USDT,2024-03-06 00:15:00+00:00,first_buy,roi,13.686,13.855,13.41647580040184,13.269715265182487,13.333,1,13.333,147231.0,0,False,13.568399999999844,13.523428571428623,13.275759999999941,0.0,0.0,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-03-06 04:15:00+00:00,12.928,go_long,13.108999999999844,13.071857142857194,0,0,12.994,False,do_nothing,13.208985900132294,13.319,do_nothing,go_long,13.343,13.29455999999994,0,go_long,go_long,13.173975379134259,80661.0
2162,APT/USDT:USDT,2024-03-06 04:30:00+00:00,first_buy,roi,13.312,13.404,13.189056090036681,13.213653611233605,13.272,0,13.272,89186.0,0,False,13.181599999999843,13.106285714285764,13.29799999999994,0.3426498,0.04295704295704296,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-03-06 06:00:00+00:00,13.643,go_long,13.607999999999844,13.523428571428619,0,0,13.706,False,do_nothing,13.350840838725182,13.755,do_nothing,go_long,13.798,13.328839999999936,0,go_long,go_long,13.453090971679524,75893.0
2163,APT/USDT:USDT,2024-03-06 06:15:00+00:00,first_buy,roi,13.746,14.133,13.551384668344213,13.40574151733813,13.694,0,14.092,380762.0,0,False,13.753999999999845,13.640571428571475,13.344639999999936,-0.00417934,-0.000494114042363705,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-03-06 08:45:00+00:00,14.0,go_long,14.263199999999847,14.30228571428576,1,0,14.153,False,do_nothing,13.888433006503075,14.169,do_nothing,go_long,14.202,13.738959999999933,0,go_long,go_long,14.14520044832924,254151.0
2164,APT/USDT:USDT,2024-03-06 09:00:00+00:00,first_buy,roi,14.178,14.212,14.131784994740126,13.900993524539883,14.048,1,14.058,226082.0,0,False,14.180799999999845,14.251142857142904,13.780039999999934,-0.14015153,-0.01659808882584329,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-03-14 11:15:00+00:00,13.904,go_long,14.047399999999792,14.001285714285757,1,0,14.215,False,do_nothing,13.621457209828462,14.028,do_nothing,go_long,14.28,13.49731999999995,0,go_long,go_long,13.843352384199298,110055.0
2165,APT/USDT:USDT,2024-03-14 11:30:00+00:00,first_buy,roi,14.036,14.498,13.897452017399406,13.66394186095228,14.009,1,14.195,204161.0,1,False,14.080399999999793,14.047714285714326,13.540919999999948,-0.00454579,-0.0005336116693984715,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-03-14 22:00:00+00:00,14.073,go_long,14.09299999999979,14.063285714285755,0,0,14.124,False,do_nothing,13.948690431739976,14.135,do_nothing,go_long,14.165,13.928159999999943,0,go_long,go_long,14.041206568321348,7955.0
2166,APT/USDT:USDT,2024-03-14 22:15:00+00:00,first_buy,roi,14.133,14.254,14.07286709627191,13.970787436796273,14.133,0,14.247,27017.0,0,False,14.144399999999791,14.099857142857184,13.954439999999945,0.05533464,0.006463607950909761,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-03-15 00:45:00+00:00,14.4,go_long,14.393999999999798,14.381857142857184,0,0,14.407,False,do_nothing,14.186917370104213,14.561,do_nothing,go_long,14.724,14.16279999999994,0,go_long,go_long,14.327445183388882,66850.0
2167,APT/USDT:USDT,2024-03-15 01:00:00+00:00,first_buy,roi,14.548,14.654,14.356453616713669,14.211293861207604,14.388,0,14.516,68524.0,0,False,14.417199999999799,14.412714285714328,14.191479999999942,-0.00526168,-0.0006036038280767508,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-03-15 22:00:00+00:00,13.978,go_long,13.994399999999796,13.884000000000041,0,0,14.042,False,do_nothing,13.529245237359829,14.28,do_nothing,go_long,14.28,13.414399999999944,0,go_long,go_long,13.80028776245694,44995.0
