,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long-large-rl (exit),short-bid-rl (exit),volume (exit),open (exit),low (exit),short-large-rl (exit),sma-compare (exit),short-small-rl (exit),mean-grad-hist (exit),long-small-rl (exit),ema-12 (exit),sma-05 (exit),long-bid-rl (exit),high (exit),long_jcrosk (exit),ema-26 (exit),sma-07 (exit),close (exit),sma-25 (exit),short_kdj (exit)
137,NEO/USDT:USDT,2022-10-13 07:15:00+00:00,first_buy,force_exit,7.714,7.715,7.766497655813715,7.831216695874272,7.609,1,7.631,63871.37,0,False,7.721000000000385,7.753857142856353,7.836080000000263,46.21452994,0.7534379019709633,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,go_long,17627.68,15.591,15.555,go_long,0,do_nothing,0,do_nothing,15.37023205325245,15.515200000000352,go_long,15.614,0,15.47127791289976,15.492999999999236,15.579,15.39512000000033,False
21,INJ/USDT:USDT,2022-08-28 23:30:00+00:00,first_buy,force_exit,1.542,1.5430000000000001,1.553908280002689,1.5658111616715615,1.506,1,1.5110000000000001,115335.7,1,False,1.5430000000000006,1.548142857142859,1.5699600000000011,984.7052151,16.06443094921931,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,go_long,54045.1,30.186,30.161,go_long,1,do_nothing,0,do_nothing,30.00966478724565,30.00920000000035,go_long,30.28,0,30.074823752040132,30.023857142856976,30.277,30.04664000000009,False
33,1000SHIB/USDT:USDT,2024-03-05 01:00:00+00:00,second_buy,force_exit,0.041440000000000005,0.0442,0.03776468019588173,0.03550678334617601,0.041353,0,0.042767,5596215605.0,1,False,0.03965400000000004,0.038456142857142835,0.035186600000000026,26.56495366,0.43357609257199,0,go_short,do_nothing,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,go_long,go_short,132056546.0,0.026241999999999998,0.026128,go_long,0,do_nothing,0,go_short,0.026020353495079945,0.026077400000000018,go_short,0.026261,0,0.02606737917761297,0.026079714285714352,0.026168999999999998,0.026042680000000113,False
19,AAVE/USDT:USDT,2024-11-09 06:30:00+00:00,second_buy,force_exit,188.87,192.91,186.44817980626522,184.5108722363217,188.87,0,191.04,38960.5,0,False,188.51800000000202,187.57285714286243,184.0072000000004,-2.28767071,-0.03995395046097305,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,go_long,go_short,3322.7,199.15,198.94,go_long,0,do_nothing,0,do_nothing,198.96383321519994,198.3600000000017,go_short,199.85,0,198.6935173966872,198.3100000000054,199.85,199.2572,False
106,MINA/USDT:USDT,2023-12-26 20:15:00+00:00,second_buy,force_exit,1.2802,1.3885,1.2308550241689926,1.1994944395149028,1.2742,0,1.3685,20518222.0,0,False,1.2661599999999966,1.2410142857142874,1.186947999999998,32.59231469,0.5418561098168669,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,go_long,go_short,454464.0,0.7941,0.7937000000000001,go_long,0,do_nothing,0,do_nothing,0.7849066903887453,0.7894399999999735,go_short,0.7998000000000001,0,0.7886987504923295,0.7880000000000135,0.7981,0.7869399999999862,False
103,NMR/USDT:USDT,2024-03-09 20:30:00+00:00,second_buy,force_exit,45.08,47.5,43.76443501782496,43.1888200058585,44.71,0,47.17,127376.4,0,False,44.239999999999824,43.88571428571442,42.92880000000005,35.51225115,0.579577378761355,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,go_long,go_short,5679.5,20.41,20.376,go_long,1,do_nothing,0,do_nothing,20.424259461331246,20.348199999999885,go_short,20.451,0,20.41068170109912,20.369000000000035,20.415,20.50412000000001,False
45,TRB/USDT:USDT,2022-05-28 17:30:00+00:00,first_buy,force_exit,8.93,8.98,8.926783981604364,8.907296023287271,8.88,1,8.92,24552.4,1,False,8.935999999999954,8.932857142857017,8.918400000000336,717.34891981,11.801467089165364,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,go_long,6680.8,74.024,74.007,go_long,0,do_nothing,0,do_nothing,73.61837776651141,73.69760000000294,go_long,74.237,0,73.7360765729477,73.67628571428646,74.207,73.72023999999959,False
49,OP/USDT:USDT,2022-06-18 17:45:00+00:00,first_buy,force_exit,0.44780000000000003,0.44830000000000003,0.45166494917389693,0.4577284464433025,0.431,1,0.43870000000000003,7149998.9,0,False,0.44778000000000057,0.45037142857143175,0.4576720000000005,181.79595925,2.960576981719798,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,go_long,556705.8,2.3819,2.3794,go_long,0,do_nothing,0,do_nothing,2.3731390863041915,2.3758400000000295,go_long,2.391,0,2.3760527774868545,2.373528571428628,2.3903,2.3781440000000065,False
126,ATOM/USDT:USDT,2022-09-09 08:30:00+00:00,second_buy,force_exit,14.502,17.339,14.564011564625643,14.273929355667581,14.498,0,16.458,7370416.86,0,False,14.763399999999994,14.582571428571242,14.173160000000498,32.45134142,0.530575470131943,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,go_long,go_short,86392.93,8.557,8.555,go_long,0,do_nothing,0,do_nothing,8.501382146861182,8.532199999999758,go_short,8.586,0,8.52748290229866,8.523857142856702,8.583,8.54288000000048,False
97,SOL/USDT:USDT,2022-12-29 20:45:00+00:00,first_buy,force_exit,8.518,8.594,8.817250875561314,9.063642972788081,7.777,1,8.148,13556306.0,0,False,8.579999999997264,8.683714285714018,9.170920000000335,1484.36762273,26.00229248263178,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,go_long,64567.0,241.27,241.1,go_long,1,do_nothing,0,do_nothing,241.930250739189,241.15999999999434,go_long,242.12,0,241.54313983859268,241.41142857142648,242.03,242.44199999999987,False
