,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),sma-07 (exit),mean-grad-hist (exit),long-small-rl (exit),sma-05 (exit),sma-25 (exit),long-bid-rl (exit),long-large-rl (exit),ema-12 (exit),short-large-rl (exit),low (exit),short-small-rl (exit),volume (exit),high (exit),short_kdj (exit),long_jcrosk (exit),sma-compare (exit),ema-26 (exit),close (exit),short-bid-rl (exit),open (exit)
506,BEAMX/USDT:USDT,2025-01-12 08:45:00+00:00,second_buy,force_exit,0.02262,0.02262,0.022761489177887798,0.022847504271262784,0.02261,1,0.02261,63.0,1,False,0.022713999999999665,0.02270714285714304,0.02286360000000005,-0.250288,-0.027751278083577594,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.0232942857142859,1,go_long,0.023323999999999668,0.023064000000000043,go_short,do_nothing,0.023118603487468234,do_nothing,0.023200000000000002,do_nothing,577.0,0.023510000000000003,False,1,0,0.0232483559748583,0.023200000000000002,go_short,0.02347
61,AAVE/USDT:USDT,2024-12-12 11:00:00+00:00,first_buy,force_exit,363.61,369.3,357.97732477211736,351.0674530100325,360.23,0,368.75,104116.0,0,False,359.20000000000033,358.76428571428426,354.87440000000134,-1.57426925,-0.2134901519624458,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,292.5642857142851,1,do_nothing,292.59199999999976,290.8524000000016,go_short,go_long,291.28759828010607,go_long,291.57,do_nothing,6806.0,293.15,False,0,0,292.26998095389496,293.02,go_short,291.93
295,ATOM/USDT:USDT,2024-12-19 18:30:00+00:00,first_buy,force_exit,6.87,6.985,7.163733247269931,7.2801649209902175,6.726,1,6.984,26229.0,0,False,7.041400000000067,7.130857142857255,7.313439999999946,-0.52074307,-0.07453049386143942,1,do_nothing,do_nothing,go_long,go_long,do_nothing,do_nothing,6.513714285714385,1,do_nothing,6.525000000000048,6.516879999999946,do_nothing,go_long,6.529577250757326,go_long,6.51,do_nothing,1600.0,6.557,False,1,0,6.520432239489998,6.51,do_nothing,6.553
196,ACH/USDT:USDT,2025-01-03 23:30:00+00:00,first_buy,force_exit,0.027756,0.027847,0.02786489852272905,0.027788498533108177,0.027756,1,0.027818,2141.0,1,False,0.02785799999999991,0.02785757142857145,0.027884640000000155,-1.73107163,-0.1828053135301681,0,do_nothing,do_nothing,go_long,go_long,do_nothing,do_nothing,0.022573142857142847,0,do_nothing,0.022595199999999937,0.022521080000000162,do_nothing,go_long,0.022575740025105047,go_long,0.022626999999999998,do_nothing,6505.0,0.02273,False,0,0,0.02257521584461011,0.022706999999999998,do_nothing,0.022652
101,ACH/USDT:USDT,2024-04-12 18:45:00+00:00,first_buy,long-exit-profit,0.029140000000000003,0.02917,0.02967715488975535,0.031011935534541867,0.02355,1,0.025890000000000003,1148607.0,0,False,0.02863000000000015,0.02909285714285703,0.03142920000000015,3.11105883,0.3305732877161448,1,do_nothing,do_nothing,go_long,go_long,do_nothing,do_nothing,0.033749999999999926,0,do_nothing,0.03398200000000008,0.03313120000000017,do_nothing,go_long,0.03309883055172825,go_long,0.033960000000000004,do_nothing,76080.0,0.034730000000000004,False,1,0,0.03361829424485615,0.0345,do_nothing,0.034120000000000004
97,ACH/USDT:USDT,2024-03-07 18:45:00+00:00,first_buy,long-exit-profit,0.036140000000000005,0.036140000000000005,0.03317706806008648,0.03170684694713069,0.03501,1,0.035530000000000006,335877.0,1,False,0.03484000000000018,0.03394142857142859,0.031126000000000084,3.13391419,0.333963054217912,0,do_nothing,do_nothing,go_long,go_long,do_nothing,do_nothing,0.04473428571428572,0,do_nothing,0.045630000000000184,0.041952000000000086,do_nothing,go_long,0.04266775613606256,go_long,0.04648,do_nothing,130868.0,0.047900000000000005,False,0,0,0.044062829939891364,0.04764,do_nothing,0.04673
96,ACH/USDT:USDT,2024-02-25 23:00:00+00:00,first_buy,long-exit-profit,0.026420000000000003,0.02646,0.026380850714023258,0.026472801071666704,0.026340000000000002,0,0.026340000000000002,2841.0,0,False,0.026382000000000034,0.02634857142857149,0.026471200000000104,3.40819276,0.35528716629392815,0,do_nothing,do_nothing,go_long,go_long,do_nothing,do_nothing,0.033257142857142874,0,do_nothing,0.03416200000000018,0.030888000000000086,do_nothing,go_long,0.03140099470290115,go_long,0.03504,do_nothing,373295.0,0.036480000000000005,False,0,0,0.032749262252829474,0.03613,do_nothing,0.03518
59,AAVE/USDT:USDT,2024-11-29 09:30:00+00:00,first_buy,long-exit-profit,197.95,198.29,197.68071879558119,198.2348553508688,197.94,0,197.98,1896.0,0,False,197.7680000000008,197.5342857142849,198.0780000000015,2.64128713,0.3329945080159618,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,257.74142857142743,0,do_nothing,258.44400000000013,254.7232000000016,go_short,go_long,255.46678631309192,go_long,257.36,do_nothing,54338.0,265.81,False,0,0,258.025040956768,265.64,go_short,260.62
54,AAVE/USDT:USDT,2024-07-29 12:15:00+00:00,first_buy,long-exit-profit,103.0,103.17,102.76015136460161,102.44108558613003,102.56,1,102.56,8985.0,1,False,102.67000000000007,102.79857142857138,102.55400000000104,3.01187158,0.3254654202668221,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,134.05999999999997,0,do_nothing,134.6260000000005,132.37840000000105,go_short,go_long,132.34739050989316,go_long,133.92,do_nothing,139376.0,137.49,False,1,0,133.75699733543877,136.73,go_short,136.38
293,ATOM/USDT:USDT,2024-11-22 12:15:00+00:00,first_buy,long-exit-profit,6.95,6.96,6.767051700954251,6.689592980062147,6.834,0,6.898,18850.0,1,False,6.8346000000000675,6.794714285714416,6.662599999999972,2.23852849,0.32480641943387045,0,do_nothing,do_nothing,go_long,go_long,do_nothing,do_nothing,8.881571428571556,0,do_nothing,8.897200000000062,8.437319999999973,do_nothing,go_long,8.531981159613844,go_long,8.913,do_nothing,111807.0,9.537,False,0,0,8.727974552581065,9.143,do_nothing,8.918
