,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),open (exit),short-bid-rl (exit),sma-compare (exit),long_jcrosk (exit),sma-07 (exit),mean-grad-hist (exit),long-large-rl (exit),ema-12 (exit),short-large-rl (exit),close (exit),volume (exit),short_kdj (exit),sma-05 (exit),short-small-rl (exit),ema-26 (exit),sma-25 (exit),high (exit),low (exit),long-bid-rl (exit),long-small-rl (exit)
85,BEAMX/USDT:USDT,2024-12-19 18:15:00+00:00,second_buy,force_exit,0.026330000000000003,0.026390000000000004,0.027160287875332402,0.027747096442069172,0.025840000000000002,1,0.026050000000000004,6312.0,0,False,0.026769999999999666,0.026990000000000187,0.02795040000000003,0.86884065,0.11150132825132825,1,go_long,do_nothing,go_long,go_long,go_short,go_short,0.02347,go_short,0,1,0.0232942857142859,1,go_long,0.023118603487468234,go_long,0.023200000000000002,577.0,False,0.023323999999999668,do_nothing,0.0232483559748583,0.023064000000000043,0.023510000000000003,0.023200000000000002,go_short,go_long
44,APT/USDT:USDT,2025-01-01 08:30:00+00:00,first_buy,force_exit,8.673,8.673,8.680113152960912,8.697682771057956,8.58,1,8.619,105167.0,0,False,8.66699999999979,8.674571428571307,8.698439999999943,0.36010898,0.04176816797506453,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,9.075,go_long,0,1,9.026142857142725,1,go_long,8.979994435689413,go_long,9.022,46154.0,False,9.040199999999786,do_nothing,9.007940061809038,8.95603999999993,9.085,9.018,go_long,do_nothing
25,AAVE/USDT:USDT,2024-12-12 03:00:00+00:00,second_buy,force_exit,317.78,329.38,309.97128480509286,303.59982222306445,316.9,0,326.29,243992.0,1,False,315.4059999999956,312.58428571428374,303.0571999999966,0.71534917,0.1096141253459932,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,291.93,go_short,0,0,292.5642857142845,1,go_long,291.28759828010607,go_long,293.02,6806.0,False,292.591999999995,do_nothing,292.26998095389496,290.8523999999972,293.15,291.57,go_short,do_nothing
41,APT/USDT:USDT,2024-08-12 12:00:00+00:00,first_buy,long-exit-profit,6.515,6.672,6.309578200912579,6.145847064784109,6.515,0,6.657,238326.0,0,False,6.442599999999738,6.395285714285665,6.075399999999933,2.84369477,0.3277252914129385,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,8.782,go_long,0,1,8.666571428571398,0,go_long,8.516634625196126,go_long,8.94,452102.0,False,8.735599999999735,do_nothing,8.626043585598849,8.445599999999926,9.051,8.772,go_long,do_nothing
40,APT/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,long-exit-profit,5.142,5.142,5.240602258172879,5.311062855329677,4.542,1,4.842,1371717.0,0,False,5.173799999999749,5.220285714285663,5.3610799999999275,3.14786899,0.34168415247666845,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,6.4,go_long,0,0,6.316714285714236,0,go_long,6.104954829966837,go_long,6.513,193329.0,False,6.365399999999738,do_nothing,6.2464106010785025,6.042119999999931,6.518,6.375,go_long,do_nothing
35,APT/USDT:USDT,2024-02-28 11:00:00+00:00,first_buy,long-exit-profit,12.121,12.322,11.088369009258209,10.648271254764978,11.797,0,11.926,706994.0,0,False,11.64119999999983,11.31771428571436,10.452919999999951,2.75244678,0.3297631539524469,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,16.064,go_long,0,0,15.936142857142894,0,go_long,15.435487028545504,go_long,16.397,244443.0,False,15.984799999999803,do_nothing,15.79852874350354,15.326119999999944,16.58,15.902,go_long,do_nothing
34,APT/USDT:USDT,2023-12-09 02:00:00+00:00,first_buy,long-exit-profit,8.8,8.8,8.606818492469763,8.543769542044211,8.644,1,8.648,25136.0,1,False,8.67639999999991,8.642000000000042,8.517279999999982,3.05929218,0.3530771654408438,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,11.592,go_long,0,1,11.063857142857216,0,go_long,10.546052955146177,go_long,12.131,1880509.0,False,11.39099999999983,do_nothing,10.936072465486975,10.37987999999995,12.484,11.563,go_long,do_nothing
33,APT/USDT:USDT,2023-10-25 01:30:00+00:00,first_buy,long-exit-profit,6.471,6.557,6.3453969579000296,6.2799215792325045,6.465,0,6.548,311663.0,0,False,6.405199999999894,6.366428571428619,6.250239999999983,3.01356427,0.32840493458021164,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,8.692,go_long,0,0,8.636714285714328,0,go_long,8.53543110540775,go_long,8.808,14753.0,False,8.657799999999911,do_nothing,8.599330945646084,8.511519999999983,8.808,8.687,go_long,do_nothing
32,APT/USDT:USDT,2023-08-17 21:45:00+00:00,first_buy,long-exit-profit,6.133,6.133,5.993651958028627,6.117229221797653,4.878,1,4.905,1361504.0,0,False,5.906399999999892,5.993571428571429,6.163439999999995,3.03734623,0.32459477086884014,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,6.426,go_long,0,0,6.3232857142857615,0,go_long,6.258475305571105,go_long,6.472,498173.0,False,6.344999999999894,do_nothing,6.30856004115458,6.237159999999983,6.558,6.426,go_long,do_nothing
30,APT/USDT:USDT,2023-06-10 04:30:00+00:00,first_buy,long-exit-profit,6.961,6.961,6.854909835061861,7.067125531487044,5.327,1,5.801,2860221.0,0,False,6.719799999999911,6.801714285714259,7.149960000000002,3.01200313,0.3243569049525845,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,7.668,go_long,0,1,7.585714285714263,0,go_long,7.499997219260638,go_long,7.697,19852.0,False,7.634799999999913,do_nothing,7.56518145985006,7.484800000000002,7.746,7.657,go_long,do_nothing
