,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long-bid-rl (exit),sma-25 (exit),ema-12 (exit),sma-07 (exit),low (exit),long_jcrosk (exit),mean-grad-hist (exit),long-small-rl (exit),open (exit),long-large-rl (exit),sma-compare (exit),short-small-rl (exit),short_kdj (exit),short-bid-rl (exit),volume (exit),sma-05 (exit),short-large-rl (exit),ema-26 (exit),close (exit),high (exit)
2504,HOOK/USDT:USDT,2024-11-24 08:45:00+00:00,first_buy,force_exit,0.5345,0.5364,0.4974616326033601,0.48900641888442115,0.5113,0,0.5218,7898190.4,0,False,0.5024599999999642,0.49768571428569064,0.4885480000000021,5.98406948,0.09752228008452545,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,0.574920000000002,0.573942930702463,0.5711857142856908,0.5728,0,0,go_long,0.5734,go_long,0,go_long,False,go_long,173654.4,0.5712999999999644,go_long,0.5725395249172154,0.5748,0.5752
2436,CTSI/USDT:USDT,2024-11-24 01:15:00+00:00,second_buy,force_exit,0.1822,0.1834,0.18051609418863881,0.17880934665586748,0.1819,0,0.18330000000000002,1294002.0,0,False,0.18147999999999845,0.1808285714285665,0.17878800000000294,-5.37231572,-0.08788689128424504,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,go_short,0.19883200000000287,0.19827144815228648,0.19864285714285201,0.19890000000000002,0,0,do_nothing,0.19940000000000002,go_short,0,do_nothing,False,go_short,447532.0,0.1986799999999986,go_short,0.1988831467615759,0.1995,0.19970000000000002
375,1000SHIB/USDT:USDT,2024-11-24 12:45:00+00:00,first_buy,force_exit,0.025338,0.025348,0.025600560082247578,0.026032816676964297,0.024288,1,0.024401,1798129530.0,0,False,0.025259400000000033,0.02535585714285721,0.026236000000000096,4.14718565,0.06755077004302054,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,0.026042680000000113,0.026020353495079945,0.026079714285714352,0.026128,0,0,go_long,0.026241999999999998,go_long,0,go_long,False,go_long,132056546.0,0.026077400000000018,go_long,0.02606737917761297,0.026168999999999998,0.026261
1384,XRP/USDT:USDT,2024-11-29 07:30:00+00:00,first_buy,force_exit,1.626,1.6475,1.5926902152549443,1.5710939611662733,1.6232,0,1.6239,100481925.9,1,False,1.6121199999999873,1.6033285714285879,1.5712719999999942,4.22822111,0.06899585179940802,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,1.7138919999999942,1.705280657905886,1.722942857142874,1.7186,0,0,go_long,1.7269999999999999,go_long,0,go_long,False,go_long,22939623.3,1.7290599999999874,go_long,1.7181598147953028,1.7397,1.7443
704,LPT/USDT:USDT,2024-11-28 01:15:00+00:00,first_buy,force_exit,14.53,14.538,14.086797908587636,13.912075158316254,14.125,0,14.23,73593.8,0,False,14.17239999999983,14.174857142857075,13.866319999999778,1.88627511,0.030796233298153577,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,14.614439999999776,14.619036249700196,14.591857142857075,14.639,0,0,go_long,14.641,go_long,0,go_long,False,go_long,19013.9,14.599799999999822,go_long,14.61558393443412,14.704,14.73
1960,MASK/USDT:USDT,2024-11-27 07:15:00+00:00,first_buy,force_exit,3.5011,3.5165,3.3902542974551713,3.3550859535204647,3.451,0,3.4944,1436381.0,0,False,3.4391600000001707,3.4079857142857817,3.3346639999999947,4.48646905,0.07545254931595995,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,3.712515999999996,3.7041466264990017,3.72905714285721,3.7617000000000003,0,0,go_long,3.7686,go_long,0,go_long,False,go_long,238586.0,3.7425000000001667,go_long,3.726859067663984,3.7696,3.7874
866,STORJ/USDT:USDT,2024-11-24 03:45:00+00:00,first_buy,force_exit,0.5833,0.5868,0.5747257957658296,0.5662361643885395,0.5799000000000001,0,0.5863,782047.0,0,False,0.5802199999999955,0.5778714285714704,0.5642680000000031,4.80210988,0.0786898762471552,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,0.6239880000000029,0.6238034970793125,0.6298142857143267,0.6323000000000001,0,0,go_long,0.6325000000000001,go_long,0,go_long,False,go_long,541093.0,0.6308999999999945,go_long,0.6282125800099143,0.6347,0.6371
1519,ADA/USDT:USDT,2024-11-22 22:30:00+00:00,first_buy,force_exit,1.0168,1.044,0.9905838840502004,0.9715092525392155,1.0129,0,1.0314,81911854.0,0,False,0.9993000000000073,0.99344285714286,0.9773839999999929,1.09702464,0.018009562636415066,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,1.0592279999999934,1.0550862252251993,1.0487857142857178,1.0487,0,0,go_long,1.0515,go_long,0,go_long,False,go_long,6778285.0,1.0497800000000068,go_long,1.0511785234867421,1.0556,1.0561
1134,BNB/USDT:USDT,2024-11-12 10:45:00+00:00,first_buy,force_exit,631.15,632.4,640.50736907441,645.0783528114802,618.18,1,621.8,99544.14,0,False,634.1419999999893,638.4057142857067,647.5323999999925,2.37576079,0.04241137866477611,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,657.4015999999922,656.5131159834813,655.6314285714208,653.5,0,1,go_long,654.4,go_long,1,go_long,False,go_long,9619.73,654.6839999999875,go_long,655.9655222991971,654.46,654.8
1677,CRV/USDT:USDT,2024-11-25 10:30:00+00:00,first_buy,force_exit,0.549,0.55,0.5359161789871612,0.5268408146816873,0.537,1,0.541,6228569.1,0,False,0.540399999999984,0.5390000000000328,0.5274399999999946,-0.4206549,-0.006850460767714289,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,go_long,0.5252799999999945,0.5256158671028616,0.5354285714286037,0.536,0,1,go_long,0.537,go_long,0,go_long,False,go_long,1704592.3,0.5363999999999851,go_long,0.5330420792704192,0.538,0.539
