,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,sma-25 (exit),sma-05 (exit),short-small-rl (exit),long_jcrosk (exit),sma-07 (exit),volume (exit),open (exit),short-large-rl (exit),short_kdj (exit),long-bid-rl (exit),close (exit),short-bid-rl (exit),ema-12 (exit),long-large-rl (exit),ema-26 (exit),long-small-rl (exit),high (exit),sma-compare (exit),mean-grad-hist (exit),low (exit)
4132,NEO/USDT:USDT,2024-11-23 08:30:00+00:00,first_buy,force_exit,14.981,14.997,14.649420715106643,14.479190438931012,14.638,1,14.676,94413.99,1,False,14.743800000000395,14.719428571427807,14.478760000000328,3.44264327,0.056058873906706,0,go_long,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,15.39512000000033,15.515200000000352,go_short,0,15.492999999999236,17627.68,15.591,go_long,False,go_long,15.579,go_long,15.37023205325245,go_long,15.47127791289976,go_long,15.614,0,0,15.555
356,BNB/USDT:USDT,2024-09-02 05:45:00+00:00,first_buy,force_exit,507.75,509.36,510.612511537441,512.2690785294114,505.39,1,508.15,26911.79,0,False,508.6259999999899,509.89571428570713,512.3067999999919,16.67660491,0.27321238750098337,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,657.4015999999922,654.6839999999875,go_long,0,655.6314285714208,9619.73,654.4,go_long,False,go_long,654.46,go_long,656.5131159834813,go_long,655.9655222991971,go_long,654.8,1,1,653.5
1584,QTUM/USDT:USDT,2024-11-16 13:45:00+00:00,first_buy,force_exit,3.069,3.129,3.014732384481635,2.9764823383554893,3.068,0,3.091,578928.5,0,False,3.0403999999996287,3.023428571428684,2.9700799999999146,14.0099283,0.22861101911143075,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,3.7810799999999123,3.800399999999621,go_short,0,3.7978571428572616,22733.3,3.8200000000000003,go_long,False,go_long,3.823,go_long,3.7759260008186093,go_long,3.7935217969830552,go_short,3.826,0,0,3.815
147,INJ/USDT:USDT,2024-11-27 20:30:00+00:00,first_buy,force_exit,31.415,31.522,30.531988101954543,30.103186954109546,31.157,0,31.264,129684.2,0,False,30.960400000000334,30.775571428571286,29.944560000000067,-2.04269835,-0.03435577904076738,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,30.04664000000009,30.00920000000035,do_nothing,0,30.023857142856976,54045.1,30.186,go_long,False,go_long,30.277,go_long,30.00966478724565,go_long,30.074823752040132,do_nothing,30.28,1,0,30.161
1752,RUNE/USDT:USDT,2024-11-11 21:45:00+00:00,first_buy,force_exit,6.67,6.673,6.564461396258125,6.497378237546011,6.617,0,6.636,260917.0,0,False,6.59420000000001,6.585857142857122,6.511120000000163,-6.94654961,-0.11619466211238363,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,5.828320000000153,5.899400000000004,go_short,0,5.904999999999995,337501.0,5.912,go_long,False,go_long,5.917,go_long,5.8274948102090125,go_long,5.8842562972793235,go_short,5.932,0,1,5.864
95,STMX/USDT:USDT,2024-11-19 08:00:00+00:00,first_buy,force_exit,0.00816,0.008490000000000001,0.007056685393173298,0.006767482864018393,0.008010000000000001,0,0.00826,2409056385.0,0,False,0.007368000000001188,0.0071071428571423045,0.006642799999999989,-2.13703477,-0.03480047503865512,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.007891999999999993,0.0079680000000012,do_nothing,0,0.007951428571428026,9662234.0,0.008,go_long,False,go_long,0.00799,go_long,0.007889072844397107,go_long,0.007933737917747695,go_long,0.008,0,0,0.007970000000000001
294,LPT/USDT:USDT,2024-11-12 14:00:00+00:00,first_buy,force_exit,11.124,11.293,11.374557371668839,11.653492260758597,10.936,0,11.25,47724.3,0,False,11.220999999999858,11.248285714285604,11.73831999999975,18.27252245,0.30048178077066967,1,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,14.614439999999776,14.599799999999822,do_nothing,0,14.591857142857075,19013.9,14.641,go_long,False,go_long,14.704,go_long,14.619036249700196,go_long,14.61558393443412,go_long,14.73,0,0,14.639
3909,SUSHI/USDT:USDT,2024-11-23 18:30:00+00:00,first_buy,force_exit,1.1951,1.2413,1.0982730997747212,1.0464464905821438,1.1726,0,1.2191,9721665.0,0,False,1.149459999999724,1.1125571428572614,1.0353960000001097,-2.14757076,-0.03520264721741463,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,1.1795960000001102,1.1747999999997247,go_short,0,1.1747857142858316,133673.0,1.181,go_long,False,go_long,1.1814,go_long,1.1747882433936963,go_long,1.1766181573307997,go_short,1.1821,0,0,1.1762
1791,LQTY/USDT:USDT,2024-11-27 23:15:00+00:00,first_buy,force_exit,1.7187999999999999,1.7187999999999999,1.6241211979328902,1.5742378805582666,1.6295000000000002,1,1.6338,1326931.2,1,False,1.6651199999999649,1.6506714285714368,1.5621440000000144,-4.42645529,-0.0721625890988843,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,1.5176520000000147,1.5120999999999656,do_nothing,0,1.5106428571428658,50473.2,1.5134,go_long,False,go_long,1.5202,go_long,1.5138827624898528,go_long,1.5121583331626338,go_long,1.5209000000000001,0,0,1.5128
4040,ATOM/USDT:USDT,2024-11-22 12:00:00+00:00,first_buy,force_exit,6.831,6.952,6.744482279755698,6.673160120957791,6.823,0,6.945,634138.01,0,False,6.79839999999974,6.763857142856693,6.650720000000475,14.22507288,0.2317327785452601,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,8.54288000000048,8.532199999999758,go_long,0,8.523857142856702,86392.93,8.557,go_long,False,go_long,8.583,go_long,8.501382146861182,go_long,8.52748290229866,go_long,8.586,0,0,8.555
1641,API3/USDT:USDT,2024-11-14 14:30:00+00:00,first_buy,force_exit,1.9324,2.0413,1.7985064507072233,1.7765307161460355,1.8774000000000002,0,1.8977,9598081.8,0,False,1.8173400000000135,1.7983714285714474,1.7789400000000108,5.85358465,0.09536688078027764,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,2.0671440000000088,2.0745800000000094,go_short,0,2.073000000000014,61747.4,2.078,go_long,False,go_long,2.0885,go_long,2.062827786844721,go_long,2.0709074182122613,go_short,2.0886,0,0,2.0757
