,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,low (exit),volume (exit),long-large-rl (exit),short-large-rl (exit),ema-26 (exit),open (exit),ema-12 (exit),sma-compare (exit),sma-25 (exit),close (exit),high (exit),long_jcrosk (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-07 (exit),sma-05 (exit),long-small-rl (exit),short_kdj (exit),long-bid-rl (exit),short-small-rl (exit)
249,ARK/USDT:USDT,2023-11-10 22:30:00+00:00,first_buy,force_exit,1.8126,1.85,1.7676055262853616,1.7310739710671095,1.8104,0,1.8468,2079003.0,0,False,1.7988200000000032,1.7853285714285747,1.7185479999999984,-37.26370347,-0.6110253820789467,0,go_long,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.7298,78868.0,go_long,go_long,0.7273244043577552,0.7298,0.7247570625890247,0,0.7258040000000036,0.7315,0.7316,0,0,go_long,0.7272999999999955,0.7286400000000113,go_long,False,go_long,go_short
70,BAL/USDT:USDT,2023-04-14 03:45:00+00:00,first_buy,force_exit,7.583,7.632,7.51223421035693,7.412901729830261,7.578,1,7.5969999999999995,34123.2,0,False,7.569799999999743,7.55971428571445,7.377640000000165,-43.05859958,-0.7079589202765635,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,2.775,7608.4,go_long,go_long,2.7750757590831205,2.779,2.777663503785406,0,2.7866000000001674,2.782,2.782,0,0,go_long,2.769000000000144,2.769199999999782,go_long,False,go_long,go_long
171,BNB/USDT:USDT,2024-06-06 13:45:00+00:00,first_buy,force_exit,712.87,718.24,708.996930819187,706.7003046333865,710.8,0,716.12,61779.15,0,False,710.3779999999897,708.6899999999935,707.1155999999916,-5.47265124,-0.09542932246840756,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,653.5,9619.73,go_long,go_long,655.9655222991971,654.4,656.5131159834813,1,657.4015999999918,654.46,654.8,0,1,go_long,655.6314285714208,654.6839999999872,go_long,False,go_long,go_long
195,COTI/USDT:USDT,2024-11-23 00:30:00+00:00,second_buy,force_exit,0.14569000000000001,0.156,0.13498315220889834,0.12583678458646197,0.14442000000000002,0,0.15519000000000002,78109032.0,0,False,0.14186199999999285,0.1386057142857196,0.12248080000000149,2.61678741,0.0427309083241664,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,0.14792000000000002,1564625.0,go_short,go_short,0.14810268718259634,0.14806000000000002,0.14819385346245093,1,0.14923440000000138,0.14875000000000002,0.14879,0,0,go_short,0.1475628571428624,0.14735599999999288,go_short,False,go_short,go_short
36,LPT/USDT:USDT,2024-03-14 23:30:00+00:00,first_buy,force_exit,27.237,27.392,26.737303233815133,25.902943634093823,27.057,1,27.17,141076.8,0,False,27.037599999999713,26.977285714285422,26.289319999999734,-28.10372245,-0.4696966373874394,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,14.639,19013.9,go_long,go_long,14.61558393443412,14.641,14.619036249700196,0,14.614439999999776,14.704,14.73,0,0,go_long,14.591857142857075,14.599799999999822,go_long,False,go_long,do_nothing
186,COTI/USDT:USDT,2024-02-09 03:00:00+00:00,second_buy,liquidation,0.07980000000000001,0.08497,0.07831476590814741,0.07618824370491432,0.0796,0,0.08406000000000001,91451163.0,0,False,0.07986799999999342,0.07937428571428885,0.0754496000000022,-56.78030419,-0.9275029778411482,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-02-24 20:45:00+00:00,0.15254,50830632.0,go_short,go_short,0.15096996147012814,0.15391000000000002,0.14613211935132694,0,0.14250920000000217,0.15513000000000002,0.15598,0,1,go_short,0.15380571428571735,0.1544719999999936,go_short,False,go_short,go_short
191,COTI/USDT:USDT,2024-08-05 06:45:00+00:00,second_buy,liquidation,0.06279,0.06443,0.06744217531084314,0.07045781743330956,0.06157000000000001,1,0.06256,10282614.0,0,False,0.06566999999999341,0.06655428571429066,0.07010960000000187,-56.1862817,-0.9168691663960398,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-09-20 04:15:00+00:00,0.11766000000000001,9128337.0,go_short,go_short,0.11441321919480323,0.11801,0.11249382334452646,0,0.11117000000000156,0.11902000000000001,0.11938000000000001,0,0,go_short,0.11526285714286262,0.11629799999999287,go_short,False,go_short,go_short
180,COTI/USDT:USDT,2022-12-19 23:00:00+00:00,second_buy,liquidation,0.055720000000000006,0.055920000000000004,0.05680201115708957,0.05734714631497252,0.055650000000000005,1,0.055920000000000004,1587563.0,0,False,0.056399999999995065,0.05670000000000293,0.057378400000002126,-56.21454788,-0.9177882570594814,1,go_short,go_short,go_short,go_short,go_short,go_short,2023-01-24 18:00:00+00:00,0.09805000000000001,19208505.0,go_short,go_short,0.09672763124199864,0.09961,0.0951014948900667,0,0.09457560000000197,0.0989,0.09965,0,0,go_short,0.0973257142857173,0.09795399999999474,go_short,False,go_short,go_short
240,ARK/USDT:USDT,2023-11-04 23:30:00+00:00,first_buy,long-exit-profit,1.6489,1.6576,1.567151510624999,1.53336216748782,1.6004,0,1.6141,8835970.0,0,False,1.58796,1.576942857142861,1.5287839999999997,0.5355631,0.008724013943472528,0,go_long,go_short,go_long,go_long,go_long,go_long,2023-11-05 04:45:00+00:00,1.5888,7215548.0,go_long,go_long,1.5876118409893536,1.6022,1.5737706408542598,0,1.5853079999999988,1.6318000000000001,1.649,0,0,go_long,1.5895142857142894,1.5975999999999997,go_long,False,go_long,go_short
145,BNB/USDT:USDT,2024-03-08 13:30:00+00:00,first_buy,long-exit-profit,486.59,489.87,478.2395936989501,474.56115501875104,485.55,0,487.86,58084.34,0,False,482.5139999999895,480.0885714285661,473.07399999999376,0.58787103,0.010031630424263556,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-09 10:00:00+00:00,486.54,55748.96,go_long,go_long,487.89097249269105,488.3,486.9665928851658,0,487.3779999999939,493.58,494.34,0,0,go_long,487.63285714285183,488.01399999998984,go_long,False,go_long,go_long
146,BNB/USDT:USDT,2024-03-09 10:15:00+00:00,first_buy,long-exit-profit,493.58,494.05,488.464669032277,487.31128970848687,489.72,0,491.62,41134.78,0,False,489.27599999998984,488.2828571428518,487.48159999999393,0.78901424,0.0133623901307039,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-10 07:45:00+00:00,495.77,44161.62,go_long,go_long,494.62074057048056,495.86,492.31527939578007,0,491.38039999999387,499.0,499.84,0,0,go_long,495.45285714285194,495.8939999999902,go_long,False,go_long,go_long
147,BNB/USDT:USDT,2024-03-10 08:00:00+00:00,first_buy,long-exit-profit,498.99,504.89,496.0483189442528,493.1734068479445,498.66,0,503.9,60560.1,0,False,497.8059999999902,496.77142857142337,492.0639999999939,0.4880568,0.008063420435168238,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-10 08:45:00+00:00,504.57,30130.96,go_long,go_long,500.3942523963589,505.0,496.02502982264554,0,494.55119999999386,508.96,509.22,0,0,go_long,502.23571428570904,504.74999999999017,go_long,False,go_long,go_long
148,BNB/USDT:USDT,2024-03-10 09:00:00+00:00,first_buy,long-exit-profit,508.97,515.0,502.4335981815345,497.3305831691162,507.65,0,513.65,85830.01,0,False,507.6799999999902,504.75142857142333,495.6067999999938,1.1804001,0.02087020560329753,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-10 10:00:00+00:00,517.18,184494.82,go_long,go_long,509.7907465066295,517.75,502.5279832200301,0,500.1871999999939,525.43,536.08,0,0,go_long,513.3442857142804,515.8899999999902,go_long,False,go_long,go_long
149,BNB/USDT:USDT,2024-03-10 10:15:00+00:00,first_buy,long-exit-profit,525.43,531.88,512.5290931979173,504.3844289074353,525.32,0,527.59,64213.76,0,False,518.6779999999902,516.5714285714233,501.77119999999394,0.9026083,0.015537021734898914,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-10 11:00:00+00:00,528.51,63240.8,go_long,go_long,520.2419403943686,529.33,510.045855899948,0,506.5215999999939,536.86,538.56,0,1,go_long,525.4542857142804,529.5839999999903,go_long,False,go_long,go_long
150,BNB/USDT:USDT,2024-03-10 11:15:00+00:00,first_buy,long-exit-profit,536.87,537.8,521.8508726413888,511.57579249995183,530.51,1,530.7,53424.57,0,False,530.6379999999903,528.052857142852,508.03919999999397,0.4821465,0.008250935045734367,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-10 11:45:00+00:00,530.67,44409.0,go_long,go_long,525.5108614769707,533.02,514.8698632544169,0,511.218799999994,536.19,537.7,1,1,go_long,531.7714285714234,533.2219999999902,go_long,False,go_long,go_long
151,BNB/USDT:USDT,2024-03-10 12:00:00+00:00,first_buy,long-exit-profit,536.15,537.0,526.5707289420521,516.1683919022379,531.65,1,532.4,31612.84,0,False,533.8339999999902,532.4585714285662,512.797999999994,0.53313207,0.009094144303168109,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-12 04:15:00+00:00,530.58,71810.46,go_long,go_long,531.7544841939073,534.95,528.0986800224728,0,526.9539999999938,538.67,540.8,1,0,go_long,533.8471428571376,534.9779999999897,go_long,False,go_long,go_long
152,BNB/USDT:USDT,2024-03-12 04:30:00+00:00,first_buy,long-exit-profit,538.67,544.35,533.2276404717677,529.0787777985859,538.34,0,541.33,73888.25,0,False,536.6599999999896,535.3571428571375,527.7315999999938,1.05722543,0.017737269515246578,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-13 07:00:00+00:00,545.53,87193.6,go_long,go_long,542.7760856350088,545.64,540.2775260661176,0,538.701199999994,552.55,555.0,1,0,go_long,543.4799999999948,544.8319999999896,go_long,False,go_long,go_long
153,BNB/USDT:USDT,2024-03-13 07:15:00+00:00,first_buy,long-exit-profit,552.55,564.9,545.7443801526998,541.8917833945534,552.34,0,562.07,105411.86,0,False,549.3019999999896,546.6599999999947,539.853599999994,0.46786282,0.008315460869901519,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-13 08:30:00+00:00,565.08,46734.71,go_long,go_long,556.2775431477902,566.57,548.9547671270318,0,545.6539999999939,568.25,569.76,0,0,go_long,561.8899999999948,563.7219999999896,go_long,False,go_long,go_long
154,BNB/USDT:USDT,2024-03-13 08:45:00+00:00,first_buy,long-exit-profit,568.25,576.25,559.2117672788994,550.9099695620665,566.8,0,575.35,73661.1,0,False,566.2439999999896,565.1471428571377,547.2931999999939,0.69612,0.01208719323225528,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-13 10:15:00+00:00,576.24,107397.56,go_long,go_long,570.8430188997274,576.7,560.6414775463616,0,556.7723999999939,583.47,587.86,0,1,go_long,576.7099999999948,577.2779999999897,go_long,False,go_long,go_long
155,BNB/USDT:USDT,2024-03-13 10:30:00+00:00,first_buy,long-exit-profit,583.46,585.0,572.5071698382309,562.1984051355199,581.06,1,581.66,46129.61,1,False,578.2559999999896,577.6114285714234,558.4575999999938,1.277271,0.0219367511646639,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-13 11:15:00+00:00,585.66,85482.61,go_long,go_long,579.1641251955781,587.03,567.7284590886806,0,564.3219999999939,595.71,596.45,0,0,go_long,583.3499999999948,586.2479999999897,go_long,False,go_long,go_long
156,BNB/USDT:USDT,2024-03-13 11:30:00+00:00,first_buy,long-exit-profit,595.62,600.97,582.1265674731815,570.0019065635931,593.29,0,598.42,163326.43,0,False,589.2379999999897,586.6299999999948,566.7279999999938,1.12353368,0.018756245926460823,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-13 22:30:00+00:00,599.62,132861.06,go_long,go_long,599.187293788799,599.71,595.0666035661993,0,594.5027999999936,611.26,615.0,0,0,go_long,600.2171428571373,600.6019999999901,go_long,False,go_long,go_long
157,BNB/USDT:USDT,2024-03-13 22:45:00+00:00,first_buy,long-exit-profit,611.26,618.49,601.9938639751376,596.7231514501846,610.76,0,617.43,79765.32,0,False,604.71999999999,602.8414285714231,595.7075999999937,0.5892651,0.01059401232705844,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-13 23:45:00+00:00,620.42,41630.37,go_long,go_long,611.7614874290113,622.31,603.349885001775,0,601.1099999999938,625.2,625.85,0,0,go_long,616.3242857142801,620.65799999999,go_long,False,go_long,go_long
158,BNB/USDT:USDT,2024-03-14 00:00:00+00:00,first_buy,long-exit-profit,625.2,634.68,614.7243355168557,605.3995231497917,622.7,0,631.02,96140.31,0,False,623.37599999999,620.7957142857085,602.7479999999938,0.6989798,0.012295658608712285,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-05-21 07:30:00+00:00,614.91,127483.73,go_long,go_long,607.8578516564739,617.53,602.6399737727907,0,601.2315999999915,626.78,628.2,1,0,go_long,609.5328571428485,613.03599999999,go_long,False,go_long,go_long
159,BNB/USDT:USDT,2024-05-21 07:45:00+00:00,first_buy,long-exit-profit,626.77,628.82,610.362797555478,604.2325683081395,622.71,0,624.14,95270.17,0,False,617.03399999999,613.0185714285628,602.3231999999915,0.48376209,0.008603461673285752,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-05-21 08:00:00+00:00,623.0,129543.74,go_long,go_long,613.5223671623276,624.14,606.2079336186478,0,603.5947999999914,630.9,632.89,0,0,go_long,617.1742857142772,622.0259999999901,go_long,False,go_long,go_long
247,ARK/USDT:USDT,2023-11-10 09:15:00+00:00,first_buy,long-exit-profit,1.7241,1.7726000000000002,1.6498612847103071,1.6090793857480645,1.7048,0,1.7401,5905306.0,0,False,1.6865800000000024,1.6628285714285742,1.6025479999999988,0.8327375,0.013659405361031704,0,go_long,go_short,go_long,go_long,go_long,go_long,2023-11-10 10:00:00+00:00,1.746,8352202.0,go_long,go_long,1.6890999408053795,1.7471,1.6377657776920953,0,1.6264199999999986,1.7673,1.838,0,0,go_long,1.7217571428571454,1.741180000000003,go_long,False,go_long,go_short
160,BNB/USDT:USDT,2024-05-21 08:15:00+00:00,first_buy,long-exit-profit,630.89,631.36,615.4481568296618,607.676975572822,625.5,1,626.04,73638.13,0,False,625.07599999999,620.30142857142,604.6755999999914,0.45439749,0.008056829836936221,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-03 06:45:00+00:00,622.36,118562.97,go_long,go_long,617.2360877156034,626.03,612.3124425202463,0,611.1803999999918,634.32,634.89,0,0,go_long,618.4614285714226,620.8239999999897,go_long,False,go_long,go_long
161,BNB/USDT:USDT,2024-06-03 07:00:00+00:00,first_buy,long-exit-profit,634.32,639.6,619.0028434516644,613.5278171483762,628.49,0,628.72,121313.1,1,False,623.8519999999896,620.7628571428512,612.2451999999918,0.5522795,0.009750458996546288,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-03 13:30:00+00:00,632.84,18684.63,go_long,go_long,632.4314669085478,634.72,629.1627787533869,0,630.5931999999918,636.34,636.77,0,0,go_long,632.9742857142799,633.1719999999898,go_long,False,go_long,go_long
162,BNB/USDT:USDT,2024-06-03 13:45:00+00:00,first_buy,long-exit-profit,636.3,638.19,633.1666258456943,629.758869216099,635.04,0,637.21,27985.64,0,False,634.5659999999898,633.7728571428513,631.0311999999918,0.68225044,0.011884602339868265,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-04 10:45:00+00:00,635.55,102208.38,go_long,go_long,633.3324586627831,635.87,631.711194203221,0,631.3279999999919,646.29,647.9,0,0,go_long,632.8899999999938,634.5059999999893,go_long,False,go_long,go_long
163,BNB/USDT:USDT,2024-06-04 11:00:00+00:00,first_buy,long-exit-profit,646.32,646.64,634.544388099278,632.4148094474268,640.55,0,641.21,45792.23,0,False,637.1959999999893,634.5857142857081,631.709599999992,0.4977666,0.008616722474680741,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-04 12:45:00+00:00,644.7,14166.97,go_long,go_long,642.6339809035009,646.65,638.110222224863,0,635.7487999999918,648.04,648.05,0,1,go_long,645.922857142851,646.5299999999895,go_long,False,go_long,go_long
164,BNB/USDT:USDT,2024-06-04 13:00:00+00:00,first_buy,long-exit-profit,648.04,649.28,643.2856761491161,638.759094652651,645.92,1,646.87,24556.98,0,False,646.6439999999895,646.3585714285653,636.4375999999918,0.6693768,0.011486218111969808,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-04 14:15:00+00:00,649.95,86847.85,go_long,go_long,647.5838278919648,649.95,642.5509732620955,0,640.4351999999918,655.59,660.0,0,0,go_long,649.5857142857079,650.4379999999895,go_long,False,go_long,go_long
165,BNB/USDT:USDT,2024-06-04 14:30:00+00:00,first_buy,long-exit-profit,655.61,665.21,650.0247774470472,644.0990493167551,655.46,0,663.45,84339.19,0,False,653.2199999999896,651.7871428571365,641.7415999999919,0.7051492,0.01179784750265879,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-04 17:15:00+00:00,664.41,60653.24,go_long,go_long,663.0351399399464,665.53,656.0031519948428,0,655.7511999999919,672.73,675.2,0,0,go_long,665.2814285714222,665.6379999999895,go_long,False,go_long,go_long
166,BNB/USDT:USDT,2024-06-04 17:30:00+00:00,first_buy,long-exit-profit,672.74,672.74,663.5205030261085,656.7577333285582,664.56,1,666.19,34782.1,1,False,666.4339999999895,665.3799999999937,656.6459999999918,0.6272379,0.010450993939188,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-04 20:45:00+00:00,669.45,31303.62,go_long,go_long,669.6510933337125,670.26,665.1540643390156,0,667.3027999999917,674.5,675.88,0,0,go_long,670.1557142857079,671.2639999999894,go_long,False,go_long,go_long
144,BNB/USDT:USDT,2024-03-08 12:45:00+00:00,first_buy,long-exit-profit,479.25,479.37,473.6239874955623,471.82021339098094,477.0,0,478.55,28376.14,0,False,475.4639999999895,473.92999999999466,471.40239999999375,0.8489832,0.014769182337879444,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-08 13:15:00+00:00,480.03,86967.3,go_long,go_long,476.490428916941,480.32,473.49724742025114,0,472.3927999999937,486.59,489.12,1,0,go_long,477.74714285713753,479.76799999998946,go_long,False,go_long,go_long
167,BNB/USDT:USDT,2024-06-04 21:00:00+00:00,first_buy,long-exit-profit,674.5,674.5,670.0740020516029,665.6908003139033,672.05,0,672.4,9180.9,0,False,671.6819999999894,670.9228571428506,667.6255999999917,0.8868609,0.014640559547533178,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-04 22:30:00+00:00,677.76,54390.18,go_long,go_long,674.0845240879719,678.83,669.3862719526601,0,670.4615999999918,683.6,685.85,0,0,go_long,674.6857142857078,676.0999999999892,go_long,False,go_long,go_long
143,BNB/USDT:USDT,2024-03-07 23:30:00+00:00,first_buy,long-exit-profit,476.96,477.12,470.2714426355827,465.5328977433935,471.26,0,472.71,42573.05,0,False,471.20999999998975,471.30571428570886,466.3775999999938,0.671766,0.011830881198344703,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-08 12:30:00+00:00,473.62,37794.51,go_long,go_long,472.72834885839177,474.14,471.2818304622594,0,471.12399999999377,479.25,479.44,0,0,go_long,472.8014285714232,473.82999999998947,go_long,False,go_long,go_long
141,BNB/USDT:USDT,2024-03-07 19:30:00+00:00,first_buy,long-exit-profit,466.46,467.29,459.2808415162973,453.57292954596664,463.77,1,464.53,39648.81,1,False,462.8639999999899,461.1871428571372,453.1287999999938,0.6779201,0.011214449648169028,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-07 21:00:00+00:00,468.29,24107.62,go_long,go_long,465.00053484972227,468.72,458.93932812906365,0,458.3767999999938,470.69,470.87,0,1,go_long,467.3999999999945,468.5599999999898,go_long,False,go_long,go_long
118,BNB/USDT:USDT,2024-02-15 14:00:00+00:00,first_buy,long-exit-profit,350.25,353.49,348.04599971283403,346.0300416848836,350.16,0,352.55,53400.15,0,False,349.3319999999888,348.62857142856603,345.9663999999938,0.8328827,0.013883291497179285,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-15 14:30:00+00:00,352.59,111615.08,go_long,go_long,350.2794435813782,353.25,347.4237531591938,0,346.8823999999938,358.16,360.78,0,0,go_long,351.15285714285176,352.19599999998877,go_long,False,go_long,go_long
119,BNB/USDT:USDT,2024-02-15 14:45:00+00:00,first_buy,long-exit-profit,358.15,361.31,351.5456830303969,348.24495662888313,358.0,0,358.51,96963.77,1,False,354.5459999999888,352.51428571428033,347.4819999999938,0.7085719,0.011614152889395556,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-15 15:00:00+00:00,358.52,83865.52,go_long,go_long,353.3694241026435,358.52,349.36755243415104,0,348.2971999999938,363.4,363.67,0,0,go_long,354.698571428566,357.1739999999888,go_long,False,go_long,go_long
120,BNB/USDT:USDT,2024-02-15 15:15:00+00:00,first_buy,long-exit-profit,363.41,366.4,354.8295127022368,350.3669929945843,362.0,0,362.86,127679.8,0,False,359.2359999999888,356.998571428566,349.1027999999938,0.69806021,0.012011568634474164,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-21 12:30:00+00:00,363.39,75827.99,go_long,go_long,363.95965081928796,363.92,361.4689393034763,0,360.7151999999938,368.22,369.08,0,0,go_long,364.93142857142306,365.0179999999886,go_long,False,go_long,go_long
121,BNB/USDT:USDT,2024-02-21 12:45:00+00:00,first_buy,long-exit-profit,368.23,374.0,364.9150891547821,362.1134623180336,367.66,0,370.17,111030.83,0,False,366.1419999999886,365.76142857142304,361.3663999999938,0.66322259,0.011186148159898126,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-21 21:15:00+00:00,372.69,45026.95,go_long,go_long,370.89085591589156,372.73,369.38490058880245,0,369.45999999999384,374.91,376.0,0,0,go_long,371.72428571428014,372.5079999999885,go_long,False,go_long,go_long
122,BNB/USDT:USDT,2024-02-21 21:30:00+00:00,first_buy,long-exit-profit,374.9,375.2,371.2876473134467,369.68750054518745,372.6,0,373.47,24470.17,1,False,372.7899999999885,372.3585714285659,369.66839999999377,0.4798864,0.008022634963836634,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-21 23:45:00+00:00,375.46,41961.22,go_long,go_long,374.07382404344304,375.59,372.1419832669506,0,371.27919999999375,377.22,378.77,0,0,go_long,374.73285714285146,375.15799999998853,go_long,False,go_long,go_long
123,BNB/USDT:USDT,2024-02-22 00:00:00+00:00,first_buy,long-exit-profit,377.23,378.87,374.7840049598364,372.6270215434728,377.23,0,378.69,30154.78,0,False,376.0699999999885,375.4157142857086,371.71039999999374,0.80076403,0.01320316734997336,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-22 01:00:00+00:00,379.41,121727.02,go_long,go_long,377.66938260624505,379.69,374.7125732309307,0,373.94079999999377,384.24,386.0,0,0,go_long,378.9742857142801,379.9999999999885,go_long,False,go_long,go_long
248,ARK/USDT:USDT,2023-11-10 10:15:00+00:00,first_buy,long-exit-profit,1.7674,1.7908,1.7013153345276288,1.6474497941593476,1.7354,1,1.7685,3317250.0,0,False,1.7500400000000031,1.7370000000000025,1.6353119999999988,1.36631387,0.022704194379776728,0,go_long,go_short,go_long,go_long,go_long,go_long,2023-11-10 22:15:00+00:00,1.78,1944101.0,go_long,go_long,1.7532065310645182,1.7803,1.7218158887524782,0,1.7109959999999984,1.8126,1.8290000000000002,0,0,go_long,1.7668428571428603,1.7794400000000032,go_long,False,go_long,go_short
125,BNB/USDT:USDT,2024-02-22 21:00:00+00:00,first_buy,long-exit-profit,386.28,386.4,382.90968070852875,381.51978719950193,384.57,0,386.3,20482.52,1,False,384.28199999998844,383.4671428571374,380.7675999999938,0.57138274,0.00985067136189292,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-25 20:00:00+00:00,387.65,8439.98,go_long,go_long,386.4696949985192,387.71,385.3377007718776,0,385.28119999999376,388.72,388.75,0,0,go_long,386.8257142857089,387.09399999998845,go_long,False,go_long,go_long
126,BNB/USDT:USDT,2024-02-25 20:15:00+00:00,first_buy,long-exit-profit,388.72,391.03,387.07281884490084,385.71194515914596,388.25,0,390.39,19345.43,0,False,387.95399999998847,387.46571428570894,385.54759999999374,0.51045158,0.008708242840264665,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-26 13:15:00+00:00,389.89,48357.7,go_long,go_long,389.7653112871668,389.99,388.5586252026403,0,388.36319999999375,394.4,394.8,0,0,go_long,390.1028571428515,390.0819999999887,go_long,False,go_long,go_long
