,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,volume (exit),sma-07 (exit),short_kdj (exit),low (exit),mean-grad-hist (exit),short-large-rl (exit),sma-05 (exit),sma-compare (exit),long-small-rl (exit),long-bid-rl (exit),close (exit),short-small-rl (exit),open (exit),short-bid-rl (exit),ema-26 (exit),ema-12 (exit),sma-25 (exit),long_jcrosk (exit),long-large-rl (exit),high (exit)
3053,BNB/USDT:USDT,2024-11-23 15:00:00+00:00,first_buy,force_exit,678.86,681.45,671.1953573317903,667.0701377290046,673.81,0,675.5,38998.6,0,False,673.7159999999884,672.6199999999933,667.9123999999927,-2.23369838,-0.0367058637000012,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,9619.73,655.6314285714208,False,653.5,1,go_long,654.6839999999875,1,go_long,go_long,654.46,go_long,654.4,go_long,655.9655222991971,656.5131159834813,657.4015999999922,0,go_long,654.8
536,AAVE/USDT:USDT,2024-11-28 00:15:00+00:00,first_buy,force_exit,210.66,211.52,207.08772256887096,204.40482786236717,207.5,1,209.34,42059.3,0,False,208.7940000000017,208.85714285714818,203.5416,-2.00852407,-0.047927137831356055,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,3322.7,198.3100000000054,False,198.94,0,go_long,198.3600000000017,0,go_long,do_nothing,199.85,go_long,199.15,do_nothing,198.6935173966872,198.96383321519994,199.2572,0,go_long,199.85
2634,BCH/USDT:USDT,2024-11-23 02:15:00+00:00,first_buy,force_exit,544.89,570.89,515.6179175682438,503.2875429617649,544.38,0,553.51,121815.59,1,False,529.9880000000023,520.1228571428409,498.18040000000104,-4.00595383,-0.06572968511327713,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,3117.811,515.1714285714128,False,515.46,0,go_long,515.0620000000021,0,go_long,go_long,519.2,go_long,516.37,go_long,515.3092827843346,514.2910803147898,515.1280000000011,0,go_long,519.24
1097,ALGO/USDT:USDT,2024-11-29 20:00:00+00:00,first_buy,force_exit,0.4183,0.4242,0.40725955106191175,0.3967936065962138,0.4169,0,0.42350000000000004,27743555.9,0,False,0.41153999999998436,0.41010000000000185,0.3979840000000199,-0.8892892,-0.014490705326794131,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,24383003.0,0.41200000000000186,False,0.4166,0,go_long,0.4138799999999844,0,go_long,do_nothing,0.418,go_long,0.4234,do_nothing,0.4089119278216176,0.39836445055204983,0.3998880000000199,0,go_long,0.42350000000000004
2206,BAL/USDT:USDT,2024-11-27 15:45:00+00:00,first_buy,force_exit,2.779,2.81,2.7455722258139814,2.712295281080903,2.773,0,2.803,74380.9,1,False,2.768399999999848,2.7557142857144656,2.7099600000001107,-0.65886066,-0.010767750813753248,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,7608.4,2.7690000000001764,False,2.775,0,go_long,2.76919999999985,0,go_long,do_nothing,2.782,go_long,2.779,do_nothing,2.7750757590831205,2.777663503785406,2.7866000000001128,0,go_long,2.782
1749,ATOM/USDT:USDT,2024-11-24 02:45:00+00:00,first_buy,force_exit,9.14,9.329,8.810941487829222,8.586397396987417,9.125,0,9.283,1000518.63,0,False,8.982199999999736,8.934285714285265,8.488360000000473,-4.83028851,-0.07876018148118664,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,86392.93,8.523857142856702,False,8.555,0,go_long,8.532199999999758,0,go_long,do_nothing,8.583,go_long,8.557,do_nothing,8.52748290229866,8.501382146861182,8.54288000000048,0,go_long,8.586
1313,APT/USDT:USDT,2024-11-11 23:45:00+00:00,first_buy,force_exit,13.6887,14.0079,12.932658889158406,12.569167639374406,13.482,0,13.5822,2124409.3,0,False,13.313760000000105,13.052557142857184,12.485347999999973,-2.66121503,-0.04349803618394401,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2024-11-29 20:15:00+00:00,129808.1,13.084900000000037,False,13.1103,0,go_long,13.088060000000107,0,go_long,do_nothing,13.1662,go_long,13.1441,do_nothing,13.078116854440268,13.058340219481416,13.057963999999991,0,go_long,13.1762
2006,BAL/USDT:USDT,2021-09-02 12:45:00+00:00,first_buy,long-exit-profit,32.894,33.77,32.30897010115768,31.987862652419736,32.882,0,33.092,206609.3,0,False,32.51359999999979,32.42228571428585,31.87784000000012,1.32710508,0.022257465730208384,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-03 09:00:00+00:00,51148.0,33.11185714285726,False,33.275,0,go_long,33.169199999999776,0,go_long,do_nothing,33.918,go_long,33.289,do_nothing,33.03722709199699,32.790795319966065,32.77020000000013,0,go_long,33.997
2007,BAL/USDT:USDT,2021-09-03 09:15:00+00:00,first_buy,long-exit-profit,33.916,34.474,33.24811523168976,32.910588259227836,33.67,0,34.408,95493.8,0,False,33.47239999999978,33.3437142857144,32.85820000000013,1.6279604,0.027812515556829787,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-04 10:15:00+00:00,142869.4,34.454571428571576,False,34.282,0,go_long,34.5473999999998,0,go_long,do_nothing,35.46,go_long,34.293,do_nothing,34.37861538974537,34.09798774062563,34.04440000000012,0,go_long,35.74
2009,BAL/USDT:USDT,2021-09-07 15:15:00+00:00,first_buy,long-exit-profit,23.936,25.74,28.354174625999903,29.78928218587719,20.174,1,22.743,172625.6,0,False,27.039199999999806,28.105714285714434,30.141840000000137,4.0270464,0.06795418020714464,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-07 15:30:00+00:00,158121.6,27.156142857143006,False,22.28,1,go_long,25.83379999999981,1,go_long,do_nothing,24.344,go_long,22.77,do_nothing,27.73722468353838,29.385927949886288,29.86444000000014,0,go_long,25.242
2010,BAL/USDT:USDT,2021-09-07 15:45:00+00:00,first_buy,long-exit-profit,24.366,26.287,27.504420886070935,29.151711064709527,24.275,0,26.224,154154.2,0,False,25.26679999999981,26.537714285714433,29.657240000000144,2.38822794,0.03953964746566731,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-07 16:45:00+00:00,43192.4,25.583571428571577,False,26.417,0,go_long,26.39959999999981,0,go_long,do_nothing,27.175,go_long,26.442,do_nothing,27.027694205138634,28.444176182590653,29.003480000000135,0,go_long,27.191
2011,BAL/USDT:USDT,2021-09-07 17:00:00+00:00,first_buy,long-exit-profit,27.182,27.585,27.068048942809614,28.3586816505469,27.069,0,27.29,35761.4,0,False,26.61279999999981,26.233142857143005,28.851600000000136,0.89216485,0.01484515767386616,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-15 08:00:00+00:00,18500.7,27.23542857142868,False,27.429,0,go_long,27.436199999999786,0,go_long,do_nothing,27.679,go_long,27.488,do_nothing,27.144208848431745,26.95081195063792,26.886400000000137,0,go_long,27.728
2012,BAL/USDT:USDT,2021-09-15 08:15:00+00:00,first_buy,long-exit-profit,27.67,27.673000000000002,27.196176717903786,26.99015921355363,27.4,1,27.482,19175.2,0,False,27.510199999999788,27.34742857142868,26.919560000000132,0.9604056,0.015870156044828533,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-15 10:30:00+00:00,31289.7,27.53714285714296,False,27.51,0,go_long,27.52419999999979,0,go_long,do_nothing,27.954,go_long,27.578,do_nothing,27.490282772058134,27.272717328699898,27.18324000000014,0,go_long,28.019
2013,BAL/USDT:USDT,2021-09-15 10:45:00+00:00,first_buy,long-exit-profit,27.972,28.001,27.557777730203036,27.321330859907313,27.66,0,27.929,53551.0,0,False,27.648799999999788,27.593714285714388,27.23356000000014,1.03699176,0.01766181975984704,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-15 23:15:00+00:00,15651.3,28.182142857142953,False,28.11,0,go_long,28.19719999999979,0,go_long,do_nothing,28.485,go_long,28.132,do_nothing,28.018188236995844,27.844009057692727,27.756240000000144,0,go_long,28.498
2014,BAL/USDT:USDT,2021-09-15 23:30:00+00:00,first_buy,long-exit-profit,28.484,28.484,28.040774662073407,27.8677861645303,27.937,1,28.165,23755.8,0,False,28.217599999999788,28.159000000000095,27.778000000000144,0.87648107,0.014805588492014982,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-16 01:15:00+00:00,18517.0,28.331857142857245,False,28.323,0,go_long,28.387999999999785,0,go_long,do_nothing,28.643,go_long,28.379,do_nothing,28.27630654834905,28.070788566605106,27.974480000000145,0,go_long,28.687
2015,BAL/USDT:USDT,2021-09-16 01:30:00+00:00,first_buy,long-exit-profit,28.639,28.767,28.30995169475689,28.10221163574547,28.429,0,28.495,18131.4,1,False,28.445399999999786,28.38914285714296,28.010280000000144,0.8600151,0.01435464994638357,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-16 05:30:00+00:00,16862.7,28.6930000000001,False,28.82,0,go_long,28.85099999999977,0,go_long,do_nothing,28.964,go_long,28.847,do_nothing,28.600832991787755,28.414064275964904,28.432000000000127,0,go_long,29.041
2016,BAL/USDT:USDT,2021-09-16 05:45:00+00:00,first_buy,long-exit-profit,28.968,29.133,28.667320223820408,28.45991136663417,28.906,0,29.033,29787.8,0,False,28.89379999999977,28.83157142857153,28.466720000000127,1.1913342,0.01951836564042102,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-16 07:45:00+00:00,116323.8,29.225714285714385,False,29.202,0,go_long,29.33979999999977,0,go_long,do_nothing,29.661,go_long,29.318,do_nothing,29.113777822251237,28.811105457914092,28.731920000000127,0,go_long,29.726
2018,BAL/USDT:USDT,2021-12-03 20:30:00+00:00,first_buy,long-exit-profit,18.885,19.022,19.308753780256694,19.642865726987942,17.796,1,18.71,132101.1,0,False,19.04259999999969,19.201285714285834,19.71672000000011,1.0855264,0.01812429735202224,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-12-03 21:00:00+00:00,32591.8,18.995571428571544,False,18.656,0,go_long,18.884799999999693,1,go_long,do_nothing,19.064,go_long,18.692,do_nothing,19.190811878171953,19.534769656196797,19.587480000000106,0,go_long,19.105
2019,BAL/USDT:USDT,2021-12-03 21:15:00+00:00,first_buy,long-exit-profit,19.075,19.207,19.172840819991652,19.50063857055259,19.01,0,19.074,32367.0,0,False,18.886199999999693,18.95600000000012,19.54140000000011,1.42805405,0.02337200888888307,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-12-23 18:30:00+00:00,41635.5,19.05071428571441,False,19.151,0,go_long,19.097999999999683,0,go_long,do_nothing,19.347,go_long,19.151,do_nothing,18.997847685445787,18.85250092489736,18.8916400000001,0,go_long,19.39
2020,BAL/USDT:USDT,2021-12-23 18:45:00+00:00,first_buy,long-exit-profit,19.346,19.351,19.01664034922336,18.87231567120126,19.102,0,19.12,43404.3,1,False,19.141199999999685,19.07671428571441,18.9031600000001,0.92074873,0.015033814413881096,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-02 17:00:00+00:00,30357.5,19.27914285714303,False,19.287,0,go_long,19.31219999999968,0,go_long,do_nothing,19.465,go_long,19.316,do_nothing,19.275309261710195,19.18968554875321,19.191840000000106,0,go_long,19.5
2021,BAL/USDT:USDT,2022-01-02 17:15:00+00:00,first_buy,long-exit-profit,19.469,19.618,19.29203091375478,19.20407921180853,19.344,0,19.384,39332.9,0,False,19.34059999999968,19.301142857143027,19.199880000000107,0.9482435,0.015763704956379705,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-02 22:45:00+00:00,38861.7,19.509285714285877,False,19.612,0,go_long,19.571799999999676,0,go_long,do_nothing,19.729,go_long,19.612,do_nothing,19.500250223477096,19.425526100910897,19.455280000000098,0,go_long,19.782
2022,BAL/USDT:USDT,2022-01-02 23:00:00+00:00,first_buy,long-exit-profit,19.73,19.782,19.528980958326773,19.44489453788046,19.636,0,19.687,21697.5,0,False,19.618399999999674,19.551428571428737,19.4700800000001,0.89767466,0.014691883584558758,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-04 11:45:00+00:00,12464.7,19.88342857142874,False,19.91,0,go_long,19.954599999999708,0,go_long,do_nothing,20.031,go_long,19.926,do_nothing,19.844305553291655,19.68255121957571,19.6900400000001,0,go_long,20.051
2024,BAL/USDT:USDT,2022-01-22 05:45:00+00:00,first_buy,long-exit-profit,12.596,12.637,12.70785740862676,12.83909913230725,12.191,1,12.3,78924.9,0,False,12.632999999999754,12.68714285714305,12.81032000000007,0.91232371,0.015119696775740758,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-26 13:30:00+00:00,14880.5,12.2582857142859,False,12.202,0,go_long,12.257199999999747,0,go_long,do_nothing,12.409,go_long,12.236,do_nothing,12.241924103902381,12.195741650614181,12.185320000000065,0,go_long,12.41
2005,BAL/USDT:USDT,2021-08-21 09:30:00+00:00,first_buy,long-exit-profit,31.501,31.638,30.976310105614278,30.578936884318246,31.186,0,31.558,35628.7,0,False,31.1951999999998,31.107857142857284,30.496680000000094,1.96009617,0.03266350672520604,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-02 12:30:00+00:00,109151.5,32.26700000000013,False,32.2,0,go_long,32.3387999999998,0,go_long,do_nothing,32.882,go_long,32.239,do_nothing,32.1666010286409,31.899531664613313,31.81496000000012,0,go_long,33.0
