,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,sma-compare (exit),long_jcrosk (exit),nlp-exit-short (exit),short-bid-rl (exit),sma-07 (exit),ema-26 (exit),nlp-enter-short (exit),imit-enter-short (exit),sma-05 (exit),low (exit),imit-exit-short (exit),short_kdj (exit),long-bid-rl (exit),open (exit),high (exit),nlp-enter-long (exit),short-large-rl (exit),ema-12 (exit),close (exit),sma-25 (exit),short-small-rl (exit),volume (exit),long-large-rl (exit),long-small-rl (exit),mean-grad-hist (exit)
64,CETUS/USDT:USDT,2024-11-08 04:45:00+00:00,second_buy,force_exit,0.42762000000000006,0.45496000000000003,0.4124464747078135,0.40323376196160265,0.42543000000000003,0,0.44983000000000006,126066.0,0,False,0.42011200000000243,0.4125714285714297,0.39848519999999965,1.46192756,0.32527027138274084,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,1,go_short,go_long,0.30714428571428626,0.3065300975276993,go_short,go_short,0.3077960000000034,0.30738000000000004,go_short,False,go_long,0.30910000000000004,0.30979,go_short,go_long,0.3059247906907094,0.30739000000000005,0.30485359999999834,go_long,1368.0,go_long,go_long,1
43,BEER/USDT:USDT,2024-12-02 07:45:00+00:00,first_buy,force_exit,1.3554000000000001e-05,1.3577e-05,1.3634744281519405e-05,1.3730958936307504e-05,5.15e-06,1,1.3433000000000002e-05,284693.0,0,False,1.3563799999999213e-05,1.360871428571466e-05,1.3726560000000192e-05,-2.74449294,-0.33454961518558557,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,0,0,go_long,go_long,9.198285714286071e-06,9.189184349928871e-06,go_long,go_long,9.21739999999918e-06,9.32e-06,go_long,False,go_long,9.334e-06,9.334e-06,go_long,do_nothing,9.14605519391638e-06,9.32e-06,9.126920000000175e-06,go_long,3901.0,do_nothing,go_long,0
26,BAKE/USDT:USDT,2021-09-13 14:30:00+00:00,second_buy,force_exit,1.8679999999999999,138.116,1.8953198066191832,1.901205209010247,1.788,1,1.842,461520.0,0,False,1.9034000000000177,1.9008571428571572,1.8909199999999948,7.90208739,0.8787616663579025,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,1,go_short,go_long,0.234957142857156,0.23469523049827148,go_short,go_short,0.23530000000003742,0.2354,go_short,False,go_long,0.2359,0.23600000000000002,go_short,go_long,0.23411929950677524,0.2354,0.2335920000000014,go_long,25393.0,go_long,go_long,1
44,BICO/USDT:USDT,2021-12-02 15:30:00+00:00,second_buy,force_exit,11.625,13.669,12.992428818937844,13.55302279202279,11.561,0,11.561,33137.0,0,False,12.432200000000005,12.686857142857146,13.75128,7.93444452,0.9814260885621494,1,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,0,go_short,go_long,0.2763000000000489,0.27588686029015186,go_short,go_short,0.2771800000000703,0.2775,go_short,False,go_long,0.2775,0.2775,go_short,go_long,0.27504120536281046,0.2775,0.2742760000000101,go_long,0.0,go_long,go_long,1
23,AXS/USDT:USDT,2021-12-04 05:30:00+00:00,second_buy,force_exit,114.341,115.163,119.47861658946219,123.19467254230447,96.257,1,103.133,420206.0,0,False,116.93060000000025,118.80814285714332,124.04260000000026,9.56760138,0.936936602022986,1,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,1,go_short,go_long,6.190571428572322,6.186719219707367,go_short,go_short,6.200000000000353,6.194,go_short,False,go_long,6.219,6.241,go_short,go_long,6.1779219188766445,6.195,6.164720000000272,go_long,62297.0,go_long,go_long,1
47,BLAST/USDT:USDT,2024-08-04 15:15:00+00:00,first_buy,force_exit,0.01037,0.010384,0.01064295746482578,0.01078742344137934,0.010291,1,0.010332,31732.0,0,False,0.010473200000000078,0.010589999999999997,0.010824360000000057,-1.17667939,-0.142078887801427,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,0,0,go_long,go_long,0.008867571428571332,0.008859884634228442,go_long,go_long,0.008871800000000086,0.008867,go_long,False,go_long,0.008867,0.008867,go_long,do_nothing,0.008860871712221382,0.008867,0.00883272000000005,go_long,0.0,do_nothing,go_long,1
34,BBL/USDT:USDT,2024-09-16 13:30:00+00:00,first_buy,force_exit,0.00644,0.00644,0.0064070425698398315,0.006450007214944312,0.0061400000000000005,1,0.00617,257016.0,0,False,0.006374000000000314,0.006408571428572231,0.006464399999999996,-3.11379341,-0.3719132863788531,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,0,0,go_long,go_long,0.003946714285715089,0.003950952890056669,go_long,go_long,0.003949400000000338,0.003947,go_long,False,go_long,0.003965,0.003977,go_long,do_nothing,0.003964981911772786,0.003947,0.003962560000000031,go_long,3460.0,do_nothing,go_long,1
51,BNB/USDT:USDT,2021-04-12 09:15:00+00:00,second_buy,force_exit,602.942,613.5,586.6427438960247,570.6180247433464,598.296,0,606.999,16141.0,1,False,596.7894000000002,592.4682857142844,571.27204,-0.93767426,-0.10308780002085371,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,1,go_short,go_long,693.4714285714228,693.2692679855601,go_short,go_short,693.9900000000068,693.8,go_short,False,go_long,694.8,695.05,go_short,go_long,692.8842471039069,694.05,692.1500000000024,go_long,16788.0,go_long,go_long,1
54,BTC/USDT:USDT,2024-11-19 19:15:00+00:00,second_buy,force_exit,93578.8,93853.3,93085.88630852682,92615.54862280747,93050.3,1,93803.5,4202912.0,0,False,93557.2400000002,93320.31428571479,92415.08799999987,0.0026578,0.0002836254340754783,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,0,go_short,go_long,94898.01428571479,94787.46074320821,go_short,go_short,94941.94000000044,94788.1,go_short,False,go_long,95026.3,95090.0,go_short,go_long,94607.04341345772,94792.7,94491.34799999988,do_nothing,688395.0,go_long,do_nothing,1
11,APT/USDT:USDT,2023-01-25 12:15:00+00:00,second_buy,force_exit,14.171,15.5,13.998365289480699,13.68238761887999,14.137,0,15.278,6373918.0,0,False,14.204399999999982,14.056714285714284,13.659199999999988,4.15446128,0.5439659777501503,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,1,go_short,go_long,9.026142857142725,9.007940061809038,go_short,go_short,9.040199999999786,9.018,go_short,False,go_long,9.075,9.085,go_short,go_long,8.979994435689413,9.022,8.95603999999993,go_long,46154.0,go_long,go_long,1
17,AR/USDT:USDT,2021-11-03 04:00:00+00:00,second_buy,force_exit,77.731,83.901,75.08642385202884,72.84644952055523,77.731,0,83.695,48601.0,0,False,77.48459999999974,75.51714285714307,72.41191999999972,7.17640373,0.8660663472562924,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,0,go_short,go_long,15.760428571428227,15.751091940670845,go_short,go_short,15.77879999999892,15.781,go_short,False,go_long,15.87,15.889,go_short,go_long,15.71544415973736,15.788,15.68155999999991,go_long,1367.0,go_long,go_long,1
