,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,imit-enter-short (exit),ema-12 (exit),high (exit),short-bid-rl (exit),sma-25 (exit),open (exit),mean-grad-hist (exit),imit-exit-short (exit),ema-26 (exit),short_kdj (exit),long_jcrosk (exit),nlp-enter-short (exit),nlp-enter-long (exit),nlp-exit-short (exit),sma-05 (exit),sma-07 (exit),low (exit),volume (exit),long-bid-rl (exit),sma-compare (exit),close (exit)
610,ATOM/USDT:USDT,2024-12-19 02:00:00+00:00,first_buy,force_exit,7.555,7.59,7.63250178275793,7.778428635898984,7.432,1,7.472,10915.0,0,False,7.581400000000242,7.595428571428683,7.737480000000033,-1.01586415,-0.1357839578136608,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,go_short,6.529577250757326,6.557,go_long,6.516880000000032,6.553,1,go_short,6.520432239489998,False,1,go_short,go_short,go_short,6.525000000000224,6.513714285714385,6.51,1600.0,go_long,0,6.51
200,BAKE/USDT:USDT,2024-12-20 11:45:00+00:00,first_buy,force_exit,0.2359,0.2364,0.24045466774330326,0.24845207506268774,0.22790000000000002,1,0.2293,1666053.0,0,False,0.23648000000003888,0.23732857142858382,0.250244000000001,0.15264496,0.015993387066685495,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2025-01-12 16:15:00+00:00,go_short,0.23411929950677524,0.23600000000000002,go_short,0.2335920000000014,0.2359,1,go_short,0.23469523049827148,False,1,go_short,go_short,go_short,0.23530000000003742,0.234957142857156,0.2354,25393.0,go_short,0,0.2354
457,BCH/USDT:USDT,2025-01-05 14:15:00+00:00,first_buy,force_exit,466.92,467.88,468.2751016295108,469.2996436365943,464.36,1,465.26,55118.0,0,False,468.15999999999883,468.37428571431053,468.74040000000264,-0.19553433,-0.021009162491018415,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,go_short,449.0094833788522,456.88,go_long,448.3504000000025,451.07,0,go_short,451.69572493971845,False,0,go_short,go_short,go_short,452.34,452.1342857143113,451.01,67491.0,go_long,0,456.88
506,ADA/USDT:USDT,2024-12-19 02:15:00+00:00,first_buy,force_exit,0.9484,0.9514,0.9620784819538447,0.9776285254073342,0.9165000000000001,1,0.9268000000000001,521270.0,0,False,0.9533599999999876,0.9587285714285662,0.9748160000000232,0.61140345,0.06590339418889267,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2025-01-12 16:00:00+00:00,go_short,0.994294051152676,0.9944000000000001,go_short,0.9911080000000233,0.9923000000000001,1,go_short,0.9939462062681687,False,1,go_short,go_short,go_short,0.9945399999999847,0.9938428571428531,0.991,7245.0,go_short,0,0.9929
300,BNB/USDT:USDT,2025-01-07 15:00:00+00:00,first_buy,force_exit,722.6,722.85,722.984388246821,724.8843882878194,713.8,1,716.2,646272.0,0,False,721.9800000000074,722.721428571423,725.3160000000018,-0.29718814,-0.0318874453581132,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,go_short,692.8842471039069,695.05,go_long,692.150000000002,694.8,1,go_short,693.2692679855601,False,1,go_short,go_short,go_short,693.9900000000068,693.4714285714232,693.8,16788.0,go_long,0,694.05
234,BAL/USDT:USDT,2024-12-18 20:15:00+00:00,first_buy,force_exit,3.072,3.072,3.1389588541626727,3.1584432030884275,2.815,1,2.98,12133.0,0,False,3.124399999999976,3.144000000000045,3.1568400000001997,-1.76603776,-0.1825614120978359,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,go_short,2.4822989784736924,2.493,go_long,2.4781200000002075,2.493,1,go_short,2.486472903493029,False,1,go_short,go_short,go_short,2.4925999999999755,2.488714285714336,2.493,443.0,go_long,0,2.493
140,AAVE/USDT:USDT,2024-12-23 21:00:00+00:00,second_buy,force_exit,361.26,365.43,357.3015851565263,351.3147975024909,360.57,0,365.02,17185.0,0,False,360.50999999999505,359.77142857142627,349.26079999999615,1.4589528,0.20004564314465145,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,2025-01-12 16:00:00+00:00,go_short,291.28759828010607,293.15,do_nothing,290.8523999999972,291.93,1,go_short,292.26998095389496,False,0,go_short,go_short,go_short,292.591999999995,292.5642857142845,291.57,6806.0,do_nothing,0,293.02
537,APT/USDT:USDT,2025-01-07 15:45:00+00:00,first_buy,force_exit,10.136,10.155,10.314507240971533,10.359504954856991,9.87,1,9.924,434851.0,0,False,10.210799999999791,10.305571428571303,10.396519999999931,-0.83858726,-0.09382449243350362,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2025-01-12 16:15:00+00:00,go_short,8.979994435689413,9.085,go_short,8.95603999999993,9.075,1,go_short,9.007940061809038,False,1,go_short,go_short,go_short,9.040199999999786,9.026142857142725,9.018,46154.0,go_short,0,9.022
389,ALGO/USDT:USDT,2025-01-03 11:30:00+00:00,second_buy,force_exit,0.4189,0.42160000000000003,0.41433149287455096,0.410524856333075,0.4182,0,0.4214,4812.0,0,False,0.41773999999999223,0.4161999999999999,0.4085599999999935,1.10151643,0.13073500700131005,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,2025-01-12 16:15:00+00:00,go_short,0.3687066971066833,0.3699,do_nothing,0.3680679999999931,0.3699,1,go_short,0.3685381131073663,False,1,go_short,go_short,go_short,0.368559999999992,0.3679285714285712,0.36710000000000004,2380.0,do_nothing,0,0.36710000000000004
46,BTC/USDT:USDT,2024-12-16 18:30:00+00:00,second_buy,force_exit,107061.4,107774.9,106706.00376093498,105993.10766945267,107060.5,1,107677.7,4674642.0,1,False,107149.62000000002,107014.67142857202,105588.71999999994,1.31530957,0.12227473248371726,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,2025-01-12 16:15:00+00:00,go_short,94607.04341345772,95090.0,do_nothing,94491.34799999991,95026.3,1,go_short,94787.46074320821,False,0,go_short,go_short,go_short,94941.94000000016,94898.01428571487,94788.1,688395.0,do_nothing,0,94792.7
410,BCH/USDT:USDT,2021-05-13 00:15:00+00:00,first_buy,stop_loss,1237.6,1280.3,1342.4041030244216,1381.7315065246887,1156.9,1,1258.65,281311.0,0,False,1301.3299999999992,1324.571428571433,1393.6080000000024,-4.9704418,-0.394210568726288,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2021-05-19 12:30:00+00:00,go_short,925.8288814399048,860.0,go_long,931.4380000000015,858.15,1,go_short,892.0565812701072,False,0,go_short,go_short,go_short,853.6399999999987,874.0142857142945,827.95,35431.0,go_long,1,839.2
237,BNB/USDT:USDT,2020-02-25 16:15:00+00:00,first_buy,stop_loss,20.506,20.756,20.86594871231183,21.02037747219602,20.27,0,20.756,1649.0,0,False,20.721800000000098,20.72742857142857,21.077399999999983,-4.02994746,-0.39275520693330235,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2020-03-12 10:30:00+00:00,go_short,14.73720413720097,14.046,go_long,14.763519999999964,14.031,1,go_short,14.366852107345915,False,0,go_short,go_short,go_short,14.196600000000078,14.258857142857178,13.8,18378.0,go_long,1,13.824
168,BAKE/USDT:USDT,2022-11-06 23:15:00+00:00,first_buy,stop_loss,0.25880000000000003,0.25880000000000003,0.2615910910189341,0.26417804048412835,0.2518,1,0.2518,25359.0,0,False,0.25894000000004047,0.2603571428571596,0.265316,-3.48675779,-0.3940280012131572,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2022-11-09 21:15:00+00:00,go_short,0.17830333461733952,0.17170000000000002,go_short,0.17918799999999951,0.17170000000000002,1,go_short,0.1751522634465834,False,0,go_short,go_short,go_short,0.17344000000004037,0.17542857142858806,0.16870000000000002,43439.0,go_short,1,0.16870000000000002
526,APT/USDT:USDT,2024-03-27 15:15:00+00:00,first_buy,stop_loss,17.72,17.75,17.878166446888756,18.03803947769929,17.505,1,17.557,155603.0,0,False,17.71839999999984,17.777285714285693,18.037879999999916,-3.56806288,-0.40581754216637805,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2024-04-12 17:15:00+00:00,go_short,11.453324199909954,11.224,go_short,11.508359999999936,11.173,1,go_short,11.273340768347092,False,0,go_short,go_short,go_short,11.171399999999782,11.199999999999964,11.122,37349.0,go_short,1,11.199
254,BNB/USDT:USDT,2021-05-04 15:30:00+00:00,first_buy,stop_loss,614.284,622.52,632.7003975731676,641.1370820437882,605.099,0,621.974,1096388.0,0,False,623.6287999999994,628.1660000000012,645.38272,-3.92682603,-0.3941652780820936,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2021-05-19 11:30:00+00:00,go_short,432.8298509344474,420.941,go_long,429.5779600000006,420.557,1,go_short,422.8680240265272,False,0,go_short,go_short,go_short,417.12940000000015,421.204571428574,381.377,2360114.0,go_long,1,390.013
255,BNB/USDT:USDT,2021-05-19 11:45:00+00:00,first_buy,stop_loss,390.013,398.385,417.8652510993692,429.6831953096735,359.61,1,390.35,4132803.0,0,False,409.6224000000002,414.65900000000255,427.8411200000006,-4.01544029,-0.394178307273985,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2021-05-23 12:30:00+00:00,go_short,267.57122165761166,259.358,go_long,266.5440000000002,256.432,1,go_short,259.69873410978425,False,0,go_short,go_short,go_short,258.2954000000004,258.2665714285732,251.187,1010133.0,go_long,0,251.9
554,AVAX/USDT:USDT,2023-06-10 04:30:00+00:00,second_buy,stop_loss,13.1191,13.1191,12.804570486612631,13.206725846463094,9.7299,1,10.3376,91046.0,0,False,12.554459999998459,12.745128571428252,13.353552000000215,-4.02390349,-0.3895334243763705,1,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,2023-07-14 00:30:00+00:00,go_short,13.956237366721643,14.3001,do_nothing,13.998928000000179,14.2822,0,go_short,14.059750122618269,False,1,go_short,go_short,go_short,14.133379999998477,14.092328571428265,14.1888,3979.0,do_nothing,0,14.1888
268,BNB/USDT:USDT,2022-05-08 02:30:00+00:00,first_buy,stop_loss,358.644,360.0,362.96883361598003,366.1527505116102,357.125,1,358.886,519146.0,0,False,361.26520000000505,362.0370000000002,366.5381199999991,-3.54207765,-0.3941498177016381,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2022-05-12 07:15:00+00:00,go_short,246.55667965470667,232.505,go_long,250.2364399999992,231.625,0,go_short,235.87769657185362,False,1,go_short,go_short,go_short,231.51660000000498,231.3004285714284,220.616,1388200.0,go_long,0,220.616
561,ATOM/USDT:USDT,2020-03-08 00:30:00+00:00,first_buy,stop_loss,3.576,3.576,3.623264130379166,3.6531101972429956,3.542,1,3.548,353.0,0,False,3.6027999999999807,3.6187142857142263,3.651439999999999,-2.797398,-0.39405011232422393,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2020-03-12 10:30:00+00:00,go_short,2.5878573466899777,2.441,go_long,2.601359999999996,2.441,1,go_short,2.4965132522456748,False,0,go_short,go_short,go_short,2.454199999999979,2.466999999999938,2.335,6159.0,go_long,1,2.365
562,ATOM/USDT:USDT,2020-03-12 10:45:00+00:00,first_buy,stop_loss,2.352,2.364,2.4348958288232634,2.551423469157387,2.08,1,2.096,54025.0,0,False,2.3753999999999786,2.408999999999938,2.5779599999999965,-3.305468,-0.39405320216776063,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2020-03-13 02:00:00+00:00,go_short,1.7227443369423325,1.494,go_long,1.7645999999999964,1.477,1,go_short,1.5745513315087467,False,0,go_short,go_short,go_short,1.4897999999999783,1.505285714285652,1.308,7505.0,go_long,1,1.327
238,BNB/USDT:USDT,2020-03-12 10:45:00+00:00,first_buy,stop_loss,13.812,13.812,14.031336398523466,14.548226052963862,12.105,1,12.186,163471.0,0,False,13.75340000000008,13.934857142857178,14.641599999999965,-3.92815534,-0.38986419823755886,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2020-03-13 02:00:00+00:00,go_short,10.125553802922937,8.714,go_long,10.417159999999969,8.636,1,go_short,9.248454152584527,False,0,go_short,go_short,go_short,8.704000000000075,8.88157142857146,7.503,200578.0,go_long,1,7.503
423,BCH/USDT:USDT,2022-05-05 15:15:00+00:00,first_buy,stop_loss,288.05,288.1,292.7217262124897,295.3185694177616,279.75,1,283.05,122730.0,1,False,290.0399999999996,291.80000000002235,296.45999999999896,-3.3535581,-0.3941884800691719,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2022-05-12 05:00:00+00:00,go_short,188.77379037442913,178.75,go_long,190.4479999999989,178.75,1,go_short,183.99078424553713,False,0,go_short,go_short,go_short,180.00000000000054,181.2857142857363,175.1,42500.0,go_long,1,177.05
202,BAL/USDT:USDT,2022-04-21 22:45:00+00:00,first_buy,stop_loss,15.21,15.31,15.632736165432288,15.772336125286623,15.119,1,15.31,4008.0,0,False,15.592399999999927,15.635714285714272,15.827840000000005,-3.6358074,-0.39419322619166336,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2022-05-11 12:45:00+00:00,go_short,10.953698182426047,10.92,go_long,10.87660000000002,10.92,1,go_short,10.933216785809103,False,0,go_short,go_short,go_short,10.818599999999932,10.945142857142857,9.987,24128.0,go_long,0,10.215
425,BCH/USDT:USDT,2022-06-10 12:45:00+00:00,first_buy,stop_loss,175.3,175.3,173.8664663750503,174.22271854077923,165.95,1,169.9,291928.0,1,False,173.9000000000006,173.9714285714506,174.2699999999988,-3.3461275,-0.394196310764707,1,go_short,go_short,go_short,go_short,go_long,go_long,go_short,2022-06-28 22:30:00+00:00,go_short,106.75013458801003,105.65,go_long,106.57999999999875,105.5,1,go_short,105.9328545610881,False,1,go_short,go_short,go_short,105.86000000000044,105.93571428573605,105.35,33496.0,go_long,1,105.35
173,BAKE/USDT:USDT,2023-02-24 22:45:00+00:00,first_buy,stop_loss,0.2597,0.2606,0.270206497697333,0.2781016039324921,0.2544,0,0.257,1617567.0,0,False,0.26136000000003917,0.2654142857143008,0.28420800000000007,-3.67115784,-0.3940563520493509,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2023-03-10 09:30:00+00:00,go_short,0.1621183806538802,0.16040000000000001,go_short,0.16219599999999995,0.1597,1,go_short,0.16156386727497382,False,0,go_short,go_short,go_short,0.16080000000003997,0.16147142857144367,0.15960000000000002,45106.0,go_short,1,0.15960000000000002
162,BAKE/USDT:USDT,2022-06-02 00:15:00+00:00,first_buy,stop_loss,0.332,0.333,0.34071636204222805,0.3500579790423924,0.329,1,0.33,13471.0,0,False,0.3368000000000273,0.3377142857142991,0.3520400000000014,-3.4378132,-0.39391854346261646,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2022-06-18 20:00:00+00:00,go_short,0.20967134870257279,0.20400000000000001,go_short,0.21096000000000084,0.203,1,go_short,0.20708200495771262,False,0,go_short,go_short,go_short,0.20520000000003233,0.2062857142857278,0.2,386169.0,go_short,1,0.2
160,BAKE/USDT:USDT,2022-05-09 10:45:00+00:00,first_buy,stop_loss,0.47300000000000003,0.47300000000000003,0.47973618118698397,0.48462284291038177,0.463,1,0.464,32257.0,0,False,0.4766000000000262,0.47971428571429925,0.4845600000000008,-3.63225654,-0.39411620637427086,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2022-05-11 12:45:00+00:00,go_short,0.37299048379176747,0.357,go_short,0.37056000000000083,0.357,1,go_short,0.362001068453116,False,0,go_short,go_short,go_short,0.3532000000000265,0.3580000000000133,0.318,344960.0,go_short,1,0.326
159,BAKE/USDT:USDT,2022-04-18 00:00:00+00:00,first_buy,stop_loss,0.767,0.767,0.789381319072385,0.8003187327218358,0.762,1,0.766,27127.0,0,False,0.7776000000000247,0.7854285714285872,0.8021599999999998,-3.68231868,-0.39415408121290474,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2022-05-09 10:30:00+00:00,go_short,0.4862726703432123,0.48,go_short,0.4858400000000008,0.48,1,go_short,0.48259730503916287,False,0,go_short,go_short,go_short,0.4810000000000262,0.48300000000001353,0.47000000000000003,178739.0,go_short,1,0.47300000000000003
153,BAKE/USDT:USDT,2021-11-24 14:00:00+00:00,first_buy,stop_loss,1.8519999999999999,1.8519999999999999,1.8612356423456193,1.8671588039735034,1.816,1,1.835,52532.0,0,False,1.8590000000000313,1.860428571428582,1.8705599999999956,-3.75252436,-0.3941598587306624,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2021-12-04 05:15:00+00:00,go_short,1.6310400455561906,1.465,go_short,1.6528399999999948,1.447,1,go_short,1.5713378292930895,False,1,go_short,go_short,go_short,1.5250000000000299,1.5561428571428666,1.329,224526.0,go_short,1,1.3719999999999999
465,ADA/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,stop_loss,1.30694,1.69584,1.5321889883254793,1.6350054076312412,0.9984900000000001,1,1.23214,96970.0,0,False,1.4563259999999916,1.4806700000000104,1.6698996000000066,-4.8802764,-0.39418202831417154,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2021-05-19 13:45:00+00:00,go_short,1.58845090861343,1.5760900000000002,go_short,1.6333736000000065,1.37158,0,go_short,1.4874727371239023,False,0,go_short,go_short,go_short,1.3484359999999915,1.4135057142857244,1.13917,13716.0,go_short,1,1.57353
149,BAKE/USDT:USDT,2021-09-06 12:15:00+00:00,first_buy,stop_loss,2.964,2.964,2.9965829686037866,3.008451537201451,2.653,1,2.835,741695.0,0,False,2.9710000000000134,2.995857142857154,3.0255199999999958,-3.80206462,-0.3941909537181238,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2021-09-07 15:00:00+00:00,go_short,2.60943724326159,2.468,go_short,2.623359999999997,2.464,1,go_short,2.5200439898603015,False,0,go_short,go_short,go_short,2.448200000000013,2.508142857142869,2.047,1262595.0,go_short,1,2.117
185,BAKE/USDT:USDT,2023-12-27 14:45:00+00:00,first_buy,stop_loss,0.7319,0.7444000000000001,0.7539911741673482,0.763079797483471,0.7126,1,0.7173,4727925.0,0,False,0.7461600000000395,0.7522571428571535,0.7668640000000008,-3.27620161,-0.33540978492710405,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2024-01-03 12:00:00+00:00,go_short,0.4918861352961244,0.4808,go_short,0.49508000000000024,0.4807,1,go_short,0.48702099608773075,False,0,go_short,go_short,go_short,0.4797600000000381,0.48432857142858193,0.4616,6806161.0,go_short,1,0.4697
145,BAKE/USDT:USDT,2021-06-18 14:15:00+00:00,first_buy,stop_loss,3.01,3.012,2.999229674429611,3.0292292823508333,2.915,1,2.915,24487.0,0,False,2.967600000000013,2.9868571428571533,3.0393600000000003,-3.9055052,-0.3942049019342046,1,go_short,go_short,go_short,go_short,go_short,go_short,go_short,2021-06-22 12:00:00+00:00,go_short,2.024220532273233,1.921,go_short,2.046880000000001,1.895,1,go_short,1.9515597566467122,False,0,go_short,go_short,go_short,1.9088000000000143,1.9225714285714393,1.881,536.0,go_short,1,1.881
