open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,predicted_action,reward
7.555,7.59,7.63250178275793,7.778428635898984,7.432,1,7.472,10915.0,7.737480000000033,0,0,1,5427.356092367073,5487.643907632927,0,go_short,-1.01586415
0.2359,0.2364,0.2404546677433032,0.2484520750626877,0.2279,1,0.2293,1666053.0,0.250244000000001,0,0,1,821207.9812983663,844845.0187016337,0,go_long,0.15264496
466.92,467.88,468.2751016295108,469.2996436365943,464.36,1,465.26,55118.0,468.7404000000026,0,0,1,27509.923705722067,27608.07629427793,0,do_nothing,-0.19553433
0.9484,0.9514,0.9620784819538448,0.9776285254073342,0.9165,1,0.9268,521270.0,0.9748160000000232,0,0,1,257632.80503412968,263637.1949658703,0,go_short,0.61140345
722.6,722.85,722.984388246821,724.8843882878194,713.8,1,716.2,646272.0,725.3160000000018,0,0,1,321698.6422018348,324573.35779816506,0,do_nothing,-0.29718814
3.072,3.072,3.1389588541626727,3.1584432030884275,2.815,1,2.98,12133.0,3.1568400000002,0,0,1,5974.279576999339,6158.720423000662,0,do_nothing,-1.76603776
361.26,365.43,357.3015851565263,351.3147975024909,360.57,0,365.02,17185.0,349.2607999999961,0,0,0,8636.983945585724,8548.016054414275,1,go_short,1.4589528
10.136,10.155,10.314507240971531,10.359504954856993,9.87,1,9.924,434851.0,10.396519999999931,0,0,1,215127.68315054837,219723.31684945163,0,go_long,-0.83858726
0.4189,0.4216,0.4143314928745509,0.410524856333075,0.4182,0,0.4214,4812.0,0.4085599999999935,0,0,0,2413.1581578007854,2398.841842199214,1,go_long,1.10151643
107061.4,107774.9,106706.00376093498,105993.10766945269,107060.5,1,107677.7,4674642.0,105588.71999999994,1,0,0,2344029.098023602,2330612.9019763987,1,do_nothing,1.31530957
1237.6,1280.3,1342.4041030244216,1381.7315065246887,1156.9,1,1258.65,281311.0,1393.6080000000024,0,0,1,141841.59845768654,139469.40154231346,0,do_nothing,-4.9704418
